Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus verensis,Sphenolithus moriformis,Sphenolithus abies,Reticulofenestra pseudoumbilicus,"Reticulofenestra ""small""",Discoaster quinqueramus,Discoaster intercalaris,Discoaster brouweri,Discoaster berggrenii,Coccolithus miopelagicus,Triquetrorhabdulus rugosus,Calcidiscus leptoporus,Pontosphaera discopora,Helicosphaera carteri,Discoaster surculus,Ceratolithus rugosus,Calcidiscus macintyrei,Helicosphaera sellii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Sphenolithus heteromorphus,Helicosphaera ampliaperta,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Reticulofenestra asanoi,Helicosphaera wallichii,Helicosphaera neogranulata,Comment
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A,  5,X,CC,  16.00,     38.9300,Muza     ,Nannofossils                                 ,A              ,G                 ,                     ,                       ,                  ,                                ,A                       ,                       ,                       ,                   ,                     ,                        ,                          ,C                     ,C                     ,F                    ,                   ,                    ,                      ,                    ,                     ,C                        ,rC                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,F                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A,  6,X,CC,  28.00,     48.6300,Muza     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                  ,                                ,F                       ,                       ,                       ,                   ,                     ,                        ,                          ,R                     ,                      ,F                    ,                   ,                    ,                      ,                    ,C                    ,C                        ,rF                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A,  7,X,CC,  47.00,     59.6800,Muza     ,Nannofossils                                 ,A              ,M                 ,                     ,                       ,                  ,                                ,C                       ,                       ,                       ,                   ,                     ,                        ,                          ,F                     ,                      ,C                    ,                   ,                    ,                      ,                    ,C                    ,C                        ,rF                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,R                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A,  9,X,CC,  14.00,     80.6900,Muza     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                  ,                                ,F                       ,                       ,                       ,                   ,                     ,                        ,                          ,                      ,                      ,F                    ,                   ,                    ,                      ,                    ,F                    ,C                        ,rF                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 10,X,CC,  17.00,     86.1800,Muza     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                  ,                                ,C                       ,                       ,                       ,                   ,                     ,                        ,                          ,R                     ,                      ,R                    ,                   ,                    ,                      ,                    ,F                    ,C                        ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 11,X,CC,  51.00,     94.8200,Muza     ,Nannofossils                                 ,C              ,M                 ,rF                   ,rC                     ,rF                ,rR                              ,C                       ,                       ,                       ,                   ,                     ,rA                      ,                          ,R                     ,                      ,F                    ,                   ,                    ,                      ,rR                  ,                     ,F                        ,rR                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 12,X,CC,  30.00,    109.7100,Muza     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,F                     ,R                     ,                     ,                   ,                    ,                      ,                    ,C                    ,C                        ,rF                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 13,X,CC,  38.00,    117.1400,Muza     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                  ,                                ,C                       ,                       ,                       ,                   ,                     ,                        ,                          ,                      ,R                     ,F                    ,                   ,                    ,                      ,rR                  ,C                    ,C                        ,                        ,                          ,                         ,                     ,                           ,                      ,R                      ,F                      ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Early Pliocene   ,NN20              ,NN19          ,170,1043,A, 14,X,CC,  15.00,    126.3400,Muza     ,Nannofossils                                 ,C              ,P                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,R                     ,                      ,F                    ,                   ,                    ,                      ,                    ,F                    ,C                        ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1043,A, 15,X, 1,  96.00,    129.6600,Muza     ,Nannofossils                                 ,A              ,M                 ,                     ,A                      ,                  ,rC                              ,                        ,                       ,F                      ,                   ,                     ,C                       ,                          ,R                     ,F                     ,F                    ,                   ,                    ,R                     ,                    ,                     ,                         ,                        ,C                         ,R                        ,F                    ,C                          ,C                     ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Early Pliocene   ,NN20              ,NN19          ,170,1043,A, 15,X,CC,  45.00,    130.3100,Muza     ,Nannofossils                                 ,C              ,P                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,R                     ,                      ,F                    ,                   ,                    ,                      ,                    ,F                    ,C                        ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1043,A, 17,X,CC,  14.00,    151.8100,Muza     ,Nannofossils                                 ,T              ,P                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,R                     ,                      ,                     ,                   ,                    ,                      ,                    ,R                    ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,NN21              ,NN20          ,170,1043,A, 18,X,CC,  30.00,    161.5200,Muza     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                  ,                                ,R                       ,                       ,                       ,                   ,                     ,                        ,                          ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,R                    ,R                        ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 19,H,CC,  26.00,    176.9000,Muza     ,Nannofossils                                 ,R              ,P                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,F                     ,                      ,                     ,                   ,                    ,                      ,                    ,C                    ,                         ,F                       ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 20,X,CC,  19.00,    181.8900,Muza     ,Nannofossils                                 ,C              ,P                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,F                     ,                      ,                     ,                   ,                    ,                      ,                    ,F                    ,C                        ,C                       ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 21,X,CC,  13.00,    195.1300,Muza     ,Nannofossils                                 ,F              ,M                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,                      ,                      ,F                    ,                   ,                    ,                      ,                    ,F                    ,                         ,F                       ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 22,X,CC,  38.00,    205.4500,Muza     ,Nannofossils                                 ,F              ,P                 ,                     ,                       ,                  ,                                ,F                       ,                       ,                       ,                   ,                     ,                        ,                          ,F                     ,                      ,                     ,                   ,                    ,                      ,F                   ,                     ,F                        ,F                       ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 23,X,CC,  27.00,    214.4700,Muza     ,Nannofossils                                 ,F              ,M                 ,                     ,                       ,                  ,                                ,F                       ,                       ,                       ,                   ,                     ,                        ,                          ,F                     ,                      ,                     ,                   ,                    ,                      ,F                   ,                     ,F                        ,F                       ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A, 24,X,CC,  30.00,    224.5300,Muza     ,Nannofossils                                 ,F              ,M                 ,                     ,                       ,                  ,                                ,F                       ,                       ,                       ,                   ,                     ,                        ,                          ,F                     ,                      ,                     ,                   ,                    ,                      ,F                   ,F                    ,F                        ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,NN18          ,170,1043,A, 25,X,CC,  33.00,    234.3300,Muza     ,Nannofossils                                 ,F              ,P                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,F                  ,                     ,                        ,                          ,F                     ,F                     ,F                    ,                   ,R                   ,R                     ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN16          ,170,1043,A, 26,X,CC,  38.00,    241.9100,Muza     ,Nannofossils                                 ,C              ,M                 ,                     ,                       ,                  ,C                               ,C                       ,                       ,                       ,F                  ,                     ,                        ,                          ,F                     ,F                     ,F                    ,F                  ,R                   ,R                     ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,NN15              ,NN14          ,170,1043,A, 27,X,CC,  35.00,    253.5500,Muza     ,Nannofossils                                 ,C              ,M                 ,F                    ,F                      ,F                 ,F                               ,F                       ,                       ,                       ,F                  ,                     ,                        ,                          ,F                     ,F                     ,F                    ,                   ,                    ,                      ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN11          ,170,1043,A, 28,X,CC,  33.00,    263.1300,Muza     ,Nannofossils                                 ,C              ,G                 ,                     ,F                      ,F                 ,C                               ,F                       ,C                      ,                       ,                   ,C                    ,                        ,F                         ,F                     ,                      ,                     ,                   ,                    ,                      ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN11          ,170,1043,A, 29,X,CC,  37.00,    272.8400,Muza     ,Nannofossils                                 ,C              ,G                 ,                     ,                       ,                  ,F                               ,F                       ,F                      ,F                      ,F                  ,F                    ,F                       ,                          ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN11          ,170,1043,A, 30,X,CC,  17.00,    282.2600,Muza     ,Nannofossils                                 ,C              ,M                 ,F                    ,F                      ,F                 ,C                               ,C                       ,R                      ,R                      ,F                  ,F                    ,F                       ,                          ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
