Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paragloborotalia nympha,Paragloborotalia continuosa,Orbulina universa,Orbulina suturalis,Globoturborotalita woodi,Globoturborotalita decoraperta,Globoturborotalita apertura,Globorotalia panda,Globorotalia miotumida,Globorotalia explicationis,Globorotalia conoidea,Globigerinita uvula,Globigerinita glutinata,Globigerinella obesa,Globigerina quinqueloba,Globigerina falconensis,Globigerina bulloides,Globorotalia scitula,Paragloborotalia nana,Globorotalia juanai,Neogloboquadrina pachyderma (sinistral),Sphaeroidinellopsis seminulina,Globorotalia conomiozea,Globorotalia puncticuloides,Globorotalia pliozea,Globorotalia challengeri,Neogloboquadrina humerosa,Globorotalia sphericomiozea,Globorotalia puncticulata,Globorotalia crassaformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1172,C, 12,H,CC,  29.00,    114.4900,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                       ,                           ,+                ,+                 ,                        ,                              ,                           ,                  ,                      ,                          ,                     ,+                  ,+                      ,                    ,+                      ,+                      ,+                    ,+                   ,                     ,                   ,+                                      ,                              ,+                      ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN10          ,189,1172,C, 13,H,CC,  11.00,    123.8200,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                       ,                           ,+                ,+                 ,                        ,+                             ,+                          ,                  ,+                     ,                          ,+                    ,+                  ,+                      ,                    ,+                      ,+                      ,+                    ,                    ,                     ,                   ,+                                      ,+                             ,                       ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN10          ,189,1172,C, 14,H,CC,  12.00,    133.1200,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                       ,                           ,+                ,+                 ,                        ,+                             ,+                          ,                  ,+                     ,                          ,+                    ,+                  ,+                      ,                    ,+                      ,                       ,+                    ,                    ,                     ,                   ,+                                      ,                              ,                       ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1172,C, 15,H,CC,   0.00,    141.9300,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,+                          ,+                ,+                 ,                        ,+                             ,+                          ,                  ,+                     ,                          ,+                    ,+                  ,+                      ,+                   ,+                      ,+                      ,+                    ,+                   ,                     ,+                  ,+                                      ,                              ,                       ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1172,C, 16,H,CC,  14.00,    152.2900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                       ,                           ,+                ,+                 ,                        ,+                             ,+                          ,+                 ,+                     ,                          ,+                    ,+                  ,+                      ,+                   ,+                      ,+                      ,+                    ,+                   ,+                    ,+                  ,                                       ,                              ,                       ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1172,C, 17,H,CC,   0.00,    161.3400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                       ,+                          ,+                ,+                 ,                        ,+                             ,+                          ,+                 ,+                     ,                          ,+                    ,                   ,+                      ,                    ,+                      ,+                      ,+                    ,+                   ,                     ,                   ,                                       ,                              ,                       ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN8           ,189,1172,C, 18,H,CC,  23.00,    171.3400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                      ,+                          ,+                ,+                 ,+                       ,+                             ,+                          ,+                 ,+                     ,+                         ,+                    ,+                  ,+                      ,+                   ,+                      ,+                      ,+                    ,                    ,                     ,                   ,                                       ,                              ,                       ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
