Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Hemiaulus altus,Hemiaulus angustobrachiatus,Hemiaulus caracteristicus,Hemiaulus danicus,Hemiaulus dissimilis,Hemiaulus grassus,Hemiaulus incisus,Hemiaulus inequilaterus,Hemiaulus peripterus,Hemiaulus polycystinorum,Hemiaulus polymorphus var. morsianus,Hemiaulus rectus var. twista,Hemiaulus sp.,Hemiaulus stilwelli,Hemiaulus subacutus,Hemiaulus taurus,Hemidiscus cuneiformis,Hemidiscus karstenii,Hemidiscus karstenii f.1,Hercotheca sp.,Hyalodiscus sp.,Ikebea tenuis,Kannoa hastata,Kannoa sp.,Kisseleviella carina,Kisseleviella cicatricata,Kisseleviella ezoensis,Kisseleviella faballiforma,Kisseleviella gaster,Kisseleviella sp.,Kisseleviella tricoronata,Kisselviella magnaareolata,Liradiscus ovalis,Lisitzinia ornata,Lithodesmium minusculum,Navicula directa,Navicula spp.,Navicula wisei,Naviculata udintsevii,Neobrunia mirabilis,Nitzschia denticuloides,Nitzschia efferans,Nitzschia grossepunctata,Nitzschia miocenica,Nitzschia sicula,Nitzschia sp. 17,Nitzschia spp.,Odontella spp.,Paralia sulcata,Paralia sulcata var. crenulata,Porosira glacialis,Porosira pseudodenticulata,Porotheca danica,Proboscia barboi,Proboscia ?cretacea,Proboscia curvirostris,Proboscia inermis,Proboscia sp,Pseudopodosira sp.,Pseudopyxilla spp.,Pseudotriceratium radiosoreticulatum,Pterotheca aculeifera,Pterotheca sp. A of Scherer et al. 2001,Pyrgupyxis eocena,Pyxilla prolongata,Pyxilla sp.,Pyxilla reticulata,Raphidodiscus marylandicus,Rhabdonema spp.,Rhaphoneis amphiceros,Rhaphoneis spp.,Rhizosolenia antarctica,Rhiozosolenia antennata var. antennata,Rhizosolenia antennata var. semispina,Rhizosolenia costata,Rhizosolenia fidicularis,Rhizosolenia harwoodii,Rhizosolenia hebetata,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia simplex,Rhizosolenia sp. B,Rhizosolenia sp. D sensu Olney et al 2007,Rhizosolenia oligocaenica,Rhizosolenia spp.,Rocella gelida,Rocella gelida  var. schraderi,Rocella praenitida,Rocella semigelida,Rocella vigilans var. A,Rocella vigilans var. B,Roperia tesselata,Rossiella fennerae,Rossiella symmetrica,Rouxia antarctica,Rouxia californica,Rouxia constricta,Rouxia diploneides,Rouxia heteropolara,Rouxia isopolica,Rouxia leventerae,Rouxia naviculoides,Rouxia peragalli,Rouxia sp. 2 of Gersonde and Burckle,Rouxia spp.,Rouxia sp. spatulate long heteropolar (MIS),Rylandsia biradiata,Sceptroneis lingulatus,Sceptroneis pesplanus,Sceptroneis sp.,Shionodiscus gracilis var. expectus,Shionodiscus sp. Exp 318,Sceptroneis sp. (small),Shionodiscus gracilis var. gracilis,Shionodiscus oestrupii,Shionodiscus tetraoestrupii,Shionodiscus tetraoestrupii var. reimeri,Skeletonema penicillus,Skeletonema utriculosa,"""Skeletonema"" utriculosa",Skeletonemopsis barbabadensis,Skeletonemopsis mahoodii,Skeletonemopsis and Skeletonema grp,Sphynctolethus pacificus,Stellarima microtrias,Stellarima stellaris,Stephanonycites coronis,Stephanonycites tabularis,Stephanonycites variegatus,Stephanopyxis grunowii,Stephanopyxis spp.,Stictodiscus hardmanianus,Stictodiscus kittonianus,Syndendrium rugosum,Synedropsis cheethamii,Synedropsis sp.,Synedropsis sp. C,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Thalassiosira frauenfeldii,Thalassiosira antarctica,Thalassiosira complicata,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica,Thalassiosira elliptipora,Thalassiosira fasciculata,Thalassiosira gravida,Thalassiosira insigna,Thalassiosira insigna/inura trans,Thalassiosira inura,Thalassiosira aff. Inura,Thalassiosira jacksonii,Thalassiosira kolbei,Thalassiosira lentiginosa,Thalassiosira lentiginosa var. obovatus,Thalassiosira lineata,Thalassiosira mahoodii,Thalassiosira miocenica,Thalassiosira nansenii,Thalassiosira nativa,Thalassiosira oliverana,Thalassiosira oliverana var. sparsa,Thalassiosira poroseriata,Thalassiosira praeconvexa,Thalassiosira praefraga,Thalassiosira sp.,Thalassiosira spp.,Thalassiosira striata,Thalassiosira teres,Thalassiosira torokina,Thalassiosira trifulta,Thalassiosira tumida,Thalassiosira vulnifica,Thalassiosira yabei,Thalassiosira webbii,Thalassiothrix antarctica,Thalassiothrix flaugenferdii,Thalassiothrix longissima,Thalassiothrix miocenica,Triceratium inconspicuum var. trilobata,Triceratium kanayae,Triceratium kanayae var. quadriloba,Triceratium pileus,Triceratium pulvinar,Triceratium unguiculatum,Trichotoxon reinboldii,Trinacria cornuta,Trinacria excavata,Trinacria simulacrum,Trinacria spp.,Trochosira coronata,Trochosira spinosa,Tubaformis unicornis,Vallodiscus sp.,Vallodiscus lanceolatus,Xanthiopyxis sp.,Nitzschia denticuloides var. M,Trochosira spp.
318-U1361A-11H-CC-PAL,318,U1361,A,11,11-CC,H,CC,PAL,0,5,104.215,104.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,
318-U1361A-12H-CC-PAL,318,U1361,A,12,12-CC,H,CC,PAL,0,5,111.275,111.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,X-R,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,X[318_Si],,,,,,R-F,X[318_Si],,,,,,,,,,,,,,,,,,,,,
318-U1361A-13H-CC-PAL,318,U1361,A,13,13-CC,H,CC,PAL,0,5,122.52,122.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,X[318_Si],,,,,,,F[318_Si],,,,,,,,,,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,X[318_Si],,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-14H-CC-PAL,318,U1361,A,14,14-CC,H,CC,PAL,0,4,132.53,132.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,
318-U1361A-15H-CC-PAL,318,U1361,A,15,15-CC,H,CC,PAL,0,3,141.73,141.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-16H-CC-PAL,318,U1361,A,16,16-CC,H,CC,PAL,0,5,151.65,151.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,R[318_Si],,,,,,,,,,
318-U1361A-17X-CC-PAL,318,U1361,A,17,17-CC,X,CC,PAL,0,5,160.29,160.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,F[318_Si],,,X[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-18X-CC-PAL,318,U1361,A,18,18-CC,X,CC,PAL,0,5,167.05,167.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,F-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,R-F,,,,X[318_Si],,,,,X[318_Si],,,R[318_Si],,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,
318-U1361A-20X-CC-PAL,318,U1361,A,20,20-CC,X,CC,PAL,0,6,184.35,184.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-F,,,,,,,,,,,X[318_Si],,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,R-F,X[318_Si],,,,,R[318_Si],,,,,,,,,X[318_Si],,,X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-22X-CC-PAL,318,U1361,A,22,22-CC,X,CC,PAL,0,5,205.16,205.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,X[318_Si],,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,X[318_Si],R-F,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,
318-U1361A-23X-CC-PAL,318,U1361,A,23,23-CC,X,CC,PAL,0,5,215.85,215.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-24X-1-PAL,318,U1361,A,24,24-1,X,1,PAL,0,20,215.8,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,X[318_Si],,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-24X-CC-PAL,318,U1361,A,24,24-CC,X,CC,PAL,0,5,219.065,219.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-25X-CC-PAL,318,U1361,A,25,25-CC,X,CC,PAL,0,5,234.77,234.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-26X-CC-PAL,318,U1361,A,26,26-CC,X,CC,PAL,0,6,244.175,244.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-27X-CC-PAL,318,U1361,A,27,27-CC,X,CC,PAL,0,5,252.95,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,F[318_Si],,,,,,,,,,
318-U1361A-28X-CC-PAL,318,U1361,A,28,28-CC,X,CC,PAL,0,5,263.86,263.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,
318-U1361A-29X-CC-PAL,318,U1361,A,29,29-CC,X,CC,PAL,0,5,273.37,273.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,
318-U1361A-30X-1-PAL,318,U1361,A,30,30-1,X,1,PAL,0,5,273.5,273.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,
