Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1486B-6H-CC-PAL-NANNO,0,5,53.88,53.93,NN19 [M71],LB,VG [P33],D [A22],F [A30],,R [A30],R [A30],V [A94],C [A04],F [A30],,,,,,,,,,C [A04],,C [A04],,,R [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,F [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,CC,PAL,NANNO
363-U1486B-7H-2-W 120/120-NANNO,0,0,56.2,56.2,NN19 [M71],,,,,,,,A [A23],A [A23],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,7,H,2,W,120/120-NANNO
363-U1486B-7H-4-W 120/120-NANNO,0,0,59.2,59.2,NN19 [M71],AGSF - Gephyrocapsa >4 um absent in sample,,,,,A [A23],,C [A04],A [A23],A [A23],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,7,H,4,W,120/120-NANNO
363-U1486B-7H-CC-PAL-NANNO,0,5,62.81,62.86,NN19 [M71],LB,VG [P33],D [A22],V [A94],,V [A94],R [A30],C [A04],A [A23],C [A04],P [A30],,,,,,,,,C [A04],,C [A04],,,F [A30],F [A30],C [A04],F [A30],,,,,,F [A30],F [A30],,P [A30],,,,,,,,R [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,7,H,CC,PAL,NANNO
363-U1486B-8H-3-W 130/130-NANNO,0,0,67.3,67.3,NN19 [M71],LB,VG [P33],D [A22],C [A04],,V [A94],,,F [A30],C [A04],P [A30],,,,,,,,,F [A30],,C [A04],,,F [A30],C [A04],,,,,,,,,,F [A30],,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,8,H,3,W,130/130-NANNO
363-U1486B-8H-5-W 130/130-NANNO,0,0,70.3,70.3,NN19 [M71],LB,VG [P33],D [A22],V [A94],,V [A94],,F [A30],F [A30],C [A04],P [A30],,,,,,,,,C [A04],,C [A04],,,,C [A04],,,,,x [A115],,,P [A30],F [A30],F [A30],,,,,,,,R [A30],R [A30],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,8,H,5,W,130/130-NANNO
363-U1486B-8H-CC-PAL-NANNO,0,5,72.74,72.79,NN19 [M71],LB,G [P33],D [A22],V [A94],,A [A23],P [A30],P [A30],C [A04],C [A04],F [A30],,,,,,,,,C [A04],,C [A04],,,F [A30],C [A04],,P [A30],,,,,,,,F [A30],,,,,P [A30],,P [A30],P [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,8,H,CC,PAL,NANNO
363-U1486B-9H-2-W 96/96-NANNO,0,0,74.96,74.96,NN19 [M71],,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,2,W,96/96-NANNO
363-U1486B-9H-4-W 96/96-NANNO,0,0,77.96,77.96,NN19 [M71],,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,4,W,96/96-NANNO
363-U1486B-9H-6-W 96/96-NANNO,0,0,80.96,80.96,NN19 [M71],,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,6,W,96/96-NANNO
363-U1486B-9H-CC-PAL-NANNO,0,5,82.47,82.52,NN19 [M71],LB - Absence H.sellii re-checked,G [P33],D [A22],V [A94],,A [A23],F [A30],,C [A04],C [A04],F [A30],,,,,,,,,,,C [A04],,,,C [A04],,,,,x [A115],,,,F [A30],,,,,,,,P [A30],,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,CC,PAL,NANNO
363-U1486B-10H-2-W 100/100-NANNO,0,0,84.5,84.5,NN19 [M71],LB,VG [P33],D [A22],V [A94],,A [A23],F [A30],C [A04],C [A04],C [A04],P [A30],,,,,,,,,C [A04],,C [A04],,,P [A30],C [A04],F [A30],,,,F [A30],,,,,,,,,,,,P [A30],,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,2,W,100/100-NANNO
363-U1486B-10H-4-W 100/100-NANNO,0,0,87.5,87.5,NN19 [M71],AGSF - Gephyrocapsa 4-5 um few to common;,VG [P33],D [A22],V [A94],,A [A23],C [A04],C [A04],C [A04],C [A04],,,,,,,,,,F [A30],,C [A04],,,,F [A30],,,,,F [A30],,,P [A30],P [A30],,,,,,,,P [A30],,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,4,W,100/100-NANNO
363-U1486B-10H-6-W 100/100-NANNO,0,0,90.5,90.5,NN19 [M71],"AGSF - Gephyrocapsa 4-5 um absent, mostly <4 um",,,,,A [A23],F [A30],C [A04],C [A04],C [A04],P [A30],,,,,,,,,,,,,,,,,,,,F [A30],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,6,W,100/100-NANNO
363-U1486B-10H-CC-PAL-NANNO,0,5,91.85,91.9,NN19 [M71],LB,G [P33],D [A22],V [A94],,V [A94],F [A30],,C [A04],C [A04],P [A30],,,,,,,,,,,,,,,C [A04],,,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,CC,PAL,NANNO
363-U1486B-11H-2-W 120/120-NANNO,0,0,94.2,94.2,NN19 [M71],LB small Gephy,VG [P33],D [A22],V [A94],,V [A94],P [A30],P [A30],F [A30],F [A30],x [A115],,,,,,,,,F [A30],,C [A04],,,F [A30],C [A04],F [A30],,,,F [A30],,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,363,U1486,B,11,H,2,W,120/120-NANNO
363-U1486B-11H-4-W 120/120-NANNO,0,0,97.2,97.2,NN19 [M71],LB small Gephy,VG [P33],D [A22],V [A94],,V [A94],x [A115],P [A30],C [A04],C [A04],,,,,,,,,,C [A04],P [A30],C [A04],,,F [A30],C [A04],,,,,F [A30],,,,F [A30],F [A30],,,,,,,,,F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,11,H,4,W,120/120-NANNO
363-U1486B-11H-6-W 120/120-NANNO,0,0,100.2,100.2,NN19 [M71],LB small Gephy,VG [P33],D [A22],V [A94],,R [A30],x [A115],P [A30],,,,,,,,,,P [A30],,C [A04],,C [A04],,,F [A30],C [A04],F [A30],,,,,,,,P [A30],F [A30],,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,11,H,6,W,120/120-NANNO
363-U1486B-11H-CC-PAL-NANNO,0,5,101.39,101.44,NN19 [M71],TDJ - siliceous (rad and diatom) fragments comomon,G [P33],D [A22],V [A94],,V [A94],,,C [A04],F [A30],,,,,,,,P [A30],,C [A04],F [A30],C [A04],F [A30],,F [A30],C [A04],,,,,,,,,,F [A30],R [A30],,,,F [A30],,,,C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,11,H,CC,PAL,NANNO
363-U1486B-12H-2-A 100/100-NANNO,0,0,103.5,103.5,NN19 [M71],"agsf - well preserved C pelagicus with bridge; 1 abraded D. brouweri (reworked?), and several reworked sphenoliths; 1 R. pseudoumbilicus",,,,,,,,C [A04],C [A04],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,12,H,2,A,100/100-NANNO
