Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1482A-25H-CC,0,34,231.19,231.53,E [P46],R [A88],1,,,,3,,,,,,,1,,,4,,,,,,1,,2,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,1,,,,,3,14,1,,1,,,4,,,,,1,,,,,,,,,12,,,,,,2,,,,,,4,,1,,,2,,,,,,2,,,,,,,3,,,,,363,U1482,A,25,H,CC,,
363-U1482A-26H-CC,0,25,240.72,240.97,E [P46],R [A88],1,,,,3,,,,,,,2,,,2,,1,,2,,1,,3,,,,,1,1,,,2,,,,,,4,,,,2,2,,4,,,,,,,,,,,,3,3,,,,,,5,,,,,2,,,1,,,,,,7,,,,,1,3,,,,,,8,,1,,,6,1,,,,,15,,,,,,1,1,,,,,363,U1482,A,26,H,CC,,
363-U1482A-27H-CC,0,18,250.27,250.45,E [P46],R [A88],1,,,,,,,,,,,,,,3,,,,1,,1,,3,,,,,3,,1,,1,,,,,,3,,,,,,,,4,,,,,,1,,,,,1,,,,,,,1,,,,,4,,,3,,,,,,9,,,,,,,,,,,,5,,,,,,1,,,,,20,,,,,,,1,,,,,363,U1482,A,27,H,CC,,
363-U1482A-28H-CC,0,11,259.72,259.83,E [P46],R [A88],1,,,,,,,,,,,,,,2,,,,1,,2,,3,,,,,3,,,,,,,,,,3,,,,,1,,3,,,,,,,1,,,,,,9,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,1,,2,,,,,2,,,,,,7,,,,,,2,,,,,,363,U1482,A,28,H,CC,,
363-U1482A-29H-CC,0,29,269.29,269.58,E [P46],R [A88],1,,,,,,2,,,,,2,,,4,,,,,,2,,4,,,,,6,,,,2,,,,,,,,14,,,8,,10,,,,2,,,2,,,,,4,24,,,,,,18,,,,,6,,,,,,,,,2,,,,,,,,,,,,4,,,,,14,,,,,,24,,,,,,,,,,,,363,U1482,A,29,H,CC,,
363-U1482A-30H-CC,0,6,278.63,278.69,E [P46],R [A88],1,,,,,,,,,,,,,,1,,,,,,,,3,,,,,4,,,,,,,,,,,,4,,,,,,,,,1,,1,,,,,,,6,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,3,,,,,4,,,,,,15,,,,,,,1,,,,,363,U1482,A,30,H,CC,,
363-U1482A-31H-CC,0,22,288.44,288.66,E [P46],R [A88],1,,,,,,,,,,,,,,2,,,,,,,,3,,,,,3,,,,1,,,,,,3,,4,,,1,,5,,,,,,,,,,1,,2,2,,,,,,3,,1,,,13,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,8,,,,,,,1,,,,,363,U1482,A,31,H,CC,,
363-U1482A-32H-CC,0,3,297.72,297.75,E [P46],R [A88],1,,,,,,8,,,,,,,6,2,,,,,,,,6,,,,,8,,,,,,,,,,6,,,,,,,6,8,,,,,,6,,,,,2,,,,,,,,,,,,20,,2,,,,,,,12,,,,,,,,,,,,4,,,,,,,,,,,26,,,,,,,,,,,,363,U1482,A,32,H,CC,,
363-U1482A-33H-CC,0,22,307.52,307.74,E [P46],R [A88],1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2,,,2,,2,2,,,4,,,,,,,,,4,,,,,,2,,,,,26,,,,,,,,,10,,,,,2,,,,,,,2,,,,,2,,,,,,30,,,,,,,14,,,,,363,U1482,A,33,H,CC,,
363-U1482A-34H-CC,0,24,316.88,317.12,E [P46],R [A88],1,,,,,,1,,,,,2,,,2,,,,2,,2,,6,,,,,,,,,1,,,,,,2,,1,,,7,,1,1,,,1,,,1,,,,,1,1,,,,,,,,,,,14,,,,,,,,,,,,,,1,,,,,,,1,,1,,,3,,,,,,9,,,,,,3,1,,,,,363,U1482,A,34,H,CC,,
363-U1482A-35H-CC,0,19,326.38,326.57,E [P46],R [A88],1,,,,,,,,,,,2,,,1,,1,,,,,,15,,,,,2,,,,2,,,,,,3,,4,,,,,13,5,,,,,,4,,,,,5,2,,,,,,,,,,,28,,,,,,,,,6,,,,,10,,,,,,,8,,1,,,,,,,,,9,,,,,,,2,,,,,363,U1482,A,35,H,CC,,
363-U1482A-36H-CC,0,10,335.02,335.12,E [P46],R [A88],1,,,,,,2,,,,,,,,2,,,,,,,,11,,,,,4,,,,,,,,,,,,2,,,,,3,,,,,,2,1,,,,,1,2,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,,,,,363,U1482,A,36,H,CC,,
363-U1482A-37H-CC,0,63,344.66,345.29,E [P46],R [A88],1,,,,,,,,,,,1,,,5,,,,,,,,1,,,,,2,,,,,,,,,,3,,4,,,,,3,,,,,,3,1,,,,,1,2,,,,,,,,,,,6,,,2,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,363,U1482,A,37,H,CC,,
363-U1482A-39F-CC,0,30,354.38,354.68,E [P46],R [A88],1,,,,,,,,,,,,,,3,,,,,,,,13,,,,,2,,,,2,,,,,,,,2,,,,,2,,,,1,,1,3,,,,,,7,,,,,,,,1,,,10,,,4,,,,1,,1,,,,,2,,,,,,,3,,,,,,,,,,,20,,,,,,,,,,,,363,U1482,A,39,F,CC,,
363-U1482A-40F-CC,0,17,359.06,359.23,E [P46],R [A88],1,,,,,,4,,,,,,,,3,,,,,,,,15,,,,,,,,,3,,,,,,7,,4,,,,,3,,,,1,,1,2,,,,,,7,,,2,,,1,,,,,10,,1,1,,,,,,4,,,,,5,,,,,,,2,,9,,,1,,,,,,10,,,,,,,,,,,,363,U1482,A,40,F,CC,,
363-U1482A-41F-CC,0,23,363.76,363.99,E [P46],R [A88],1,,,,,,,,,,,2,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,3,,,,,,,,1,,,3,,1,,,,,,,3,,,,,3,2,,,,,,3,,,,,2,,,,,,17,,,,,,,,,,,,363,U1482,A,41,F,CC,,
363-U1482A-42F-CC,0,28,368.52,368.8,E [P46],R [A88],1,,,,10,,,,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,7,,4,,,,,,2,2,,,,,,5,,,,,,,,1,,,1,,,,,,,,,2,,,,,,3,,,,,,5,,1,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,42,F,CC,,
363-U1482A-43F-CC,0,29,372.79,373.08,E [P46],R [A88],1,,,,,,4,,,,,6,,,12,,,,4,,2,,10,,,,,4,,,,6,,,,,,,,4,,,6,,,,,,,,,12,,,,,,12,,,,,,,,10,,,6,,4,,,,,,,6,,,,,4,2,,,,,,6,,10,,,,,,,,,20,,,,,,,,,,,,363,U1482,A,43,F,CC,,
363-U1482A-44F-CC,0,17,377.69,377.86,E [P46],R [A88],1,,,,,,4,,,,,4,,,,,,,,,,,18,,,,,,,,,6,,,,,,4,,8,,,2,,,,,,4,,,,,,,,,6,,,,,,,,,,,6,,,6,,,,,,10,,,,,8,4,,,,,,6,,10,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,44,F,CC,,
363-U1482A-45F-CC,0,39,379.82,380.21,E [P46],R [A88],1,,,,3,,,,,,,,,,1,,,,,6,4,3,2,,,,,,,,,,,,,,,2,,1,,,1,,3,1,,,1,,,9,,,,,1,,,,,,,1,,1,,,12,,1,,,,3,,,1,,,,1,2,,,,,,,1,,,,,4,,,,,,10,,,,,,,1,,,,,363,U1482,A,45,F,CC,,
363-U1482A-46X-CC,0,38,385.16,385.54,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,1,3,6,3,2,,,,,3,,,,,,,,,,1,,4,,,,,4,1,,,,,,,,,,,1,,,,,,,2,,1,,,7,,1,2,,,,,3,,,,,1,1,,,,,,,1,,,,,6,,,,,,3,,,,,,,,,,,,363,U1482,A,46,X,CC,,
363-U1482A-47X-CC,0,37,390.97,391.34,E [P46],R [A88],1,,,,,,,,,,,,,,,,1,,,,3,2,2,,,,,3,,,,,,,,,,2,,,,,,,4,4,,,,,,3,,,,,1,,,,,,,,,,,,7,,,3,,,2,,1,,,,,,1,,,,,,,3,,2,,,2,,,,,,2,,,,,,,,,,,,363,U1482,A,47,X,CC,,
363-U1482A-48X-CC,0,48,400.67,401.15,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,,2,5,1,4,,,,,1,,,,,,,,,,1,,3,,,1,,2,,,,1,,,2,,,,,,,,,,,,2,,4,,,12,,,1,,,,,1,2,,,,,,,,,,,,4,,1,,,4,1,,,,,5,,,,,,,3,,,,,363,U1482,A,48,X,CC,,
363-U1482A-49X-CC,0,45,410.44,410.89,E [P46],R [A88],1,,,,,,,,,,,,,,1,,2,,,4,17,2,,,,,,1,,,,1,,,,,,,,1,,,,,4,15,,,,,,1,,,,2,1,,,,,,,6,,,,,9,,1,,,,,,,,,,,,4,,,,,,,3,,,,,5,,,,1,,6,,,,,,,,,,,,363,U1482,A,49,X,CC,,
363-U1482A-50X-CC,0,36,418.61,418.97,E [P46],R [A88],1,,,,,,,,,,,,,,4,,1,,,2,,1,,,,,,2,,,,,,,,,,,,1,,,,,2,1,,,,,,4,,,,,,,,,1,,,1,,3,,,4,,1,,,,1,,1,,,,,,3,,,,,,,5,,1,,,10,,,,,,7,,,,,,,,,,,,363,U1482,A,50,X,CC,,
363-U1482A-51X-CC,0,32,429.08,429.4,E [P46],R [A88],1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,3,,,,,,,,,,1,,3,,,2,,,4,,,1,,,,,,,1,,,,,,,,1,,,,,1,,,2,,,3,,1,,,,,,1,,,,,,,2,,,,,3,,,,,,3,,,,,,,1,,,,,363,U1482,A,51,X,CC,,
363-U1482A-52X-CC,0,44,439.5,439.94,E [P46],R [A88],1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,2,10,,,,,,,,,,,,,,,,,,1,,,,,13,,,2,,,2,,1,2,,,,,3,,,,,,,1,,1,,,5,,,,,,3,,,,,,,,,,,,363,U1482,A,52,X,CC,,
363-U1482A-53X-CC,0,43,448,448.43,E [P46],R [A88],1,,,,,,,,,,,,,,,,5,,2,1,,1,,,,,,9,,,,,,,,,,,,3,,,1,,1,12,,,,,,6,,,,,1,,,,,,,,,1,,,4,,,1,,,6,,3,1,,,1,1,2,,,,,,,1,,2,,,6,,,,,,11,,,,,,,,,,,,363,U1482,A,53,X,CC,,
363-U1482A-54X-CC,0,47,456.05,456.52,E [P46],R [A88],1,,,,,,,,,,,4,,,,,2,,,2,,4,,,,,,5,,,,,,,,,,,,,,,1,,2,,,,,,,2,,,,,,,,,,,,,,,,,8,,2,,,,1,,4,3,,,1,,,,,,,,,1,,2,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,54,X,CC,,
363-U1482A-55X-CC,0,38,465.85,466.23,E [P46],R [A88],1,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,3,,,,,2,1,,,,,,2,,,,,,,,,,,,,,2,,,1,,2,1,,,5,,1,2,,,,,6,,,,,,,4,,2,,,4,,,,,,3,,,,,,,,,,,,363,U1482,A,55,X,CC,,
363-U1482A-56X-CC,0,36,474.54,474.9,E [P46],R [A88],1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,15,,,,3,,,,,,,,,,,,,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,28,,9,1,,,,,5,,,,,,,,,2,,,15,,,,,,13,,,,,,,,,,,,363,U1482,A,56,X,CC,,
363-U1482A-57X-CC,0,38,483.9,484.28,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,2,,2,2,,,,,3,1,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,363,U1482,A,57,X,CC,,
363-U1482A-58X-CC,0,35,490.13,490.48,E [P46],R [A88],1,,,,,,,,,,,2,,,,,3,,,1,,,,,,,,23,,,,,,,,,,,,,,,,,1,12,,,,,,2,,,,,,,,,,,,,,1,,,6,,1,,,,10,,,1,,,,,4,,,,,,,,,,,,6,,,,,,6,,,,,,,,,,,,363,U1482,A,58,X,CC,,
