Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data
375-U1520D-29F-CC-PAL-NANNO,0,10,241.76,241.86,M/P,F,,,,F,,,,,,,,,,F,,,,*,,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,*,,,,F,F,,,,,*,*,,,,,,,,,,,,,,,R,,,,
375-U1520D-31X-CC-PAL-NANNO,0,10,248.63,248.73,P,F,,,,,,,,,,,,,,F,,,,*,,,,,,,,,,,,,,,,F,F,,F,,,,R,,,,,,,,,,,,,,,*,F,,,R,,,*,,,*,*,,,,,,,,,,,,,,,,,,,
375-U1520D-33X-CC-PAL-NANNO,0,10,270.32,270.42,M/P,A,,,,,,,F,,,,*,,,,,,*,*,,,,*,,,,,,,,,,*,,,,,,,,,,,,,,,*,,,,,,,,,*,F,,,,,,,,,*,,,,,,,,,,,F,,,,,,,,,
375-U1520D-35X-CC-PAL-NANNO,0,10,376.22,376.32,M/P,D,,,,C,*,,,,,,,,,,C,,,*,,,,,,,,,,,,,,,,F,A,,C,F,,,R,,,,,,,R,,,,,C,C,,*,F,,,R,,*,,,,,,C,,,,*,,,,,F,,,,,,,,,
375-U1520D-37X-CC-PAL-NANNO,0,10,395.3,395.4,M/P,F,,,,,,,F,,,,*,,,F,C,,*,*,,,,*,,,,,,,,,,*,,,C,,F,,,,R,,,,,,,,,,,,R,R,,*,C,,,R,R,*,*,,,*,,,,,,*,,,*,*,,,,,,,,,,
375-U1520D-39X-CC-PAL-NANNO,0,10,412.43,412.53,M/P,C,,,,C,,,F,,,,,,,F,C,,,*,,,,*,,,,,,,,,,,,F,C,,F,R,,,R,,,,,,,R,R,,,,C,C,,*,F,,,,,*,*,,,*,,R,,,,,,,,,,,,,,F,,,,
375-U1520D-41X-CC-PAL-NANNO,0,10,422.59,422.69,M/P,A,,,,F,,,R,,,,,,,,,,,*,,,,*,,,,,,,*,,,,,,D,,,,,,F,,,,,,,F,R,,,,C,C,*,*,,,,,,,*,,,*,,,,,,,,*,*,,,,,,,,,,,
375-U1520D-43X-CC-PAL-NANNO,0,10,434.31,434.41,M/P,F,,,,F,,,F,,,,*,,,C,C,,,*,,,,*,,,,,,,,,,,,R,C,,F,,*,,,,,,,,,,,,,,F,R,,*,F,,,,,*,,,,*,*,,,,,,,,,,,,,,,,,,,
375-U1520D-45X-CC-PAL-NANNO,0,10,453.53,453.63,M/P,A,,,,C,,,F,R,,,,,*,C,F,,,*,,,,,,,,,,,,,,,,,A,,F,,,,R,,,,,,,,F,F,,,C,,,*,,,,,,*,*,,,*,,R,,,,,,,,*,R,,,,,,,,,
375-U1520D-47X-CC-PAL(18-28)-NANNO,0,10,477.23,477.33,M/P,C,,,,,,,,,,,,,,C,,,,*,,,,*,,,,,,,,,,,,,,,F,,,,,,,,,,,R,R,,,,F,F,,*,C,,,F,F,*,*,,,,*,,,,,,,,*,*,,,,,,F,,,,
375-U1520D-49X-CC-PAL-NANNO,0,10,494.8,494.9,M/P,C,,,,C,,,F,,,,*,,,C,F,,,*,,,,*,,,,,,,,,,,,R,,,F,F,,,R,,,,,,,R,F,,,,C,C,,*,F,,,F,F,,*,,,*,,,,,,*,,,,,,,,,,F,,,,
375-U1520D-51X-CC-PAL-NANNO,0,5,511.84,511.89,M/P,A,,,,C,C,,,,R,,*,,,C,C,,,,,,,,,,,,,,,,,,,,F,,F,,,,R,,,R,,,,,,,,,C,C,,,F,C,,,,*,*,,,,,R,,,,,,,,,R,,,,,,,,,
375-U1520D-53X-CC-PAL-NANNO,0,10,532.17,532.27,M/P,C,,,,C,F,,F,,,,,,,C,F,*,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,R,,,,,,,,,F,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520D-54X-CC-PAL-NANNO,0,10,537.11,537.21,M/P,A,,,,C,R,,C,,,,,,,C,C,,,,,*,,,,,,,R,,,,,,,,C,,F,,,,F,,,,,,,,,,,,,C,,,,C,,,,,*,,,*,,,,,,,,,,,,,,,,,,,,
375-U1520D-55X-CC-PAL-NANNO,0,10,543.45,543.55,M,C,,,,C,F,,C,,,,,,,C,F,,,,,,,,,,,,F,,R,R,,,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,
375-U1520D-56X-CC-PAL-NANNO,0,10,548.88,548.98,M/P,D,,,,C,C,,C,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375-U1520D-59X-CC-PAL-NANNO,0,3,577.32,577.35,M,A,,,,C,F,,C,,,,,,,C,F,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,*,,D,R,,D,C,,,,,,,,,,R,,,,,,,,,,F,,,,
375-U1520D-61X-CC-PAL-NANNO,0,10,592.94,593.04,M,A,,,,C,,,C,,,,,,,C,,,,,,,,,*,,,,R,,,,,F,,,,,F,,,,,,,,,,,,,,,,,F,,*,C,,,F,F,C,C,,,,*,,,,,,,,,,,,,,,F,,,,
375-U1520D-62X-CC-PAL-NANNO,0,10,598.06,598.16,M/P,A,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,C,,,,,C,,,,,,,,,,,,,*,,,,,,,,,,,
375-U1520D-63X-CC-PAL-NANNO,0,11,609.71,609.82,M/P,A,,,,C,,,C,,,,,,,C,F,,,*,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,*,C,,,,C,F,F,,,*,,,,,,,,,,,,,,,,F,,,,
375-U1520D-64X-CC-PAL-NANNO,0,10,619.44,619.54,M/P,A,,,,C,,,F,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,*,C,C,C,,C,F,,,,,,,,,,R,,,*,,,,,,,,,,,
375-U1520D-65X-CC-PAL-NANNO,0,5,622.95,623,M/P,A,,,,C,R,,F,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,C,,,,,,,,,,,,,,,R,,,*,,,,,,,,,,,
375-U1520D-66X-CC-PAL-NANNO,0,5,631.48,631.53,M/P,C,,,,F,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,*,C,,,,,,F,,,*,,,,,,,,,*,,,,,,,,,,,
375-U1520D-67X-CC-PAL-NANNO,0,5,635.92,635.97,M/P,A,,,,F,C,,,,,,,,,C,F,,,,,,,*,,,,,,,,R,,F,,,,,,,,,R,,,,,,,,,,,,,,,*,C,C,,F,F,,,,,*,,,,,,,,,,,,,,,,F,,,,
