Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus
320-U1335A-3H-4-W 136/136,320,U1335,A,3,3-4,H,4,W,136/136,0,0,24.26,24.26,TDJ - ,NN13-15,Pliocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,C [320_Ns],,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-3H-6-W 88/88,320,U1335,A,3,3-6,H,6,W,88/88,0,0,26.78,26.78,TDJ - acutus present,NN12,Pliocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,C [320_Ns],,C [320_Ns],,C [320_Ns],,,,,,,R [320_Ns],,,,F [320_Ns],,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-3H-CC-PAL-NANNO,320,U1335,A,3,3-CC,H,CC,PAL,NANNO,0,0,28.13,28.13,"TDJ - pseudoumbilicus, acutus present; no T. rugosus",NN12,Pliocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,F [320_Ns],,,F [320_Ns],F [320_Ns],,R [320_Ns],,,,,,,,,F [320_Ns],R [320_Ns],,,F [320_Ns],,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,C [320_Ns],C [320_Ns],,F [320_Ns],F [320_Ns],,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-4H-1-W 132/132,320,U1335,A,4,4-1,H,1,W,132/132,0,0,29.22,29.22,"TDJ - T. rugosus present; no quinqueramus, C. acutus",NN12,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-4H-2-W 97/97,320,U1335,A,4,4-2,H,2,W,97/97,0,0,30.37,30.37,TDJ - T. rugosus; quinqueramus present,NN11,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,F [320_Ns],,,R [320_Ns],,C [320_Ns],,,,F [320_Ns],,C [320_Ns],,,,,,,,,R [320_Ns],,,,F [320_Ns],,,,,,,,,,C [320_Ns],,,,,,,F [320_Ns],,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],C [320_Ns],,C [320_Ns],C [320_Ns],,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-4H-4-W 80/80,320,U1335,A,4,4-4,H,4,W,80/80,0,0,33.2,33.2,TDJ - quinqueramus present,NN11,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,R [320_Ns],,R [320_Ns],,,R [320_Ns],,C [320_Ns],,,F [320_Ns],F [320_Ns],,F [320_Ns],,,,,,,,,F [320_Ns],,R [320_Ns],,C [320_Ns],,,,,,,,,,C [320_Ns],,,,,,,F [320_Ns],,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],A [320_Ns],,C [320_Ns],C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,
320-U1335A-4H-5-W 37/37,320,U1335,A,4,4-5,H,5,W,37/37,0,0,34.27,34.27,TDJ - no amplificus,NN11,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,F [320_Ns],,F [320_Ns],,,R [320_Ns],,,,,F [320_Ns],,R [320_Ns],,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-4H-6-W 66/66,320,U1335,A,4,4-6,H,6,W,66/66,0,0,36.06,36.06,TDJ - amplificus present,NN11,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,F [320_Ns],R [320_Ns],C [320_Ns],,,,,,,,F [320_Ns],,,C [320_Ns],,,,,,,,,R [320_Ns],,,,F [320_Ns],,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-4H-CC-PAL-NANNO,320,U1335,A,4,4-CC,H,CC,PAL,NANNO,0,0,37.8,37.8,"TDJ - no ceratolithus, amaurolithus, ? no quinqueramus",NN11,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,R [320_Ns],,,R [320_Ns],,F [320_Ns],,,F [320_Ns],R [320_Ns],,F [320_Ns],,R [320_Ns],,,,,,,,R [320_Ns],,,F [320_Ns],,,,,,,,,,F [320_Ns],R [320_Ns],,,,,,,,,,,,,,,,R [320_Ns],,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],C [320_Ns],,F [320_Ns],F [320_Ns],,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,
320-U1335A-5H-1-W 120/120,320,U1335,A,5,5-1,H,1,W,120/120,0,0,38.6,38.6,"PB - quinqueramus, Amaurolithus",NN11,late Miocene,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,R [320_Ns],,F [320_Ns],,,,,C [320_Ns],,,R [320_Ns],R [320_Ns],,C [320_Ns],,R [320_Ns],,,,,,,R [320_Ns],,R [320_Ns],,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],A [320_Ns],,C [320_Ns],C [320_Ns],R [320_Ns],,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-5H-3-W 10/10,320,U1335,A,5,5-3,H,3,W,10/10,0,0,40.5,40.5,"PB - berggrenii, Amaurolithus",NN11,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,C [320_Ns],,,R [320_Ns],F [320_Ns],,C [320_Ns],,F [320_Ns],,,,,,,,R [320_Ns],,,C [320_Ns],,,,,,,,,,C [320_Ns],R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],A [320_Ns],,C [320_Ns],C [320_Ns],,,,,,,,,,,,,,,D [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-5H-5-W 50/50,320,U1335,A,5,5-5,H,5,W,50/50,0,0,43.9,43.9,PB - berggrenii; no amaurolithus,NN11,late Miocene,P [320_N],C [320_Ng],,,,,,,,,,,,,,,,,R [320_Ns],,F [320_Ns],,,F [320_Ns],,,,,R [320_Ns],R [320_Ns],,C [320_Ns],,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,R [320_Ns],,,,,,,F [320_Ns],,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-5H-6-W 110/110,320,U1335,A,5,5-6,H,6,W,110/110,0,0,46,46,PB - ,NN11,late Miocene,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,F [320_Ns],,,C [320_Ns],,F [320_Ns],,,,,,,,,,,,,,,,,,,,,A [320_Ns],R [320_Ns],,,,,,R [320_Ns],,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-5H-CC-PAL-NANNO,320,U1335,A,5,5-CC,H,CC,PAL,NANNO,0,0,46.45,46.45,"TDJ/PB - no ceratolithus, amaurolithus; quinqueramus present",NN11,late Miocene,M [320_N],F [320_Ng],,,,,,,,R [320_Ns],,,,,,,,,R [320_Ns],,F [320_Ns],,,,,,,,,R [320_Ns],,C [320_Ns],,R [320_Ns],,,,,,,,,,,F [320_Ns],,F [320_Ns],,,,,,,,C [320_Ns],R [320_Ns],,,,,,F [320_Ns],,,,,,,,R [320_Ns],,R [320_Ns],,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],C [320_Ns],,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,
320-U1335A-6H-1-W 60/60,320,U1335,A,6,6-1,H,1,W,60/60,0,0,47.5,47.5,PB - ,NN10,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,C [320_Ns],,R [320_Ns],,,,,,,,,,,C [320_Ns],,F [320_Ns],,,,,,,,C [320_Ns],R [320_Ns],,,,,,F [320_Ns],,,,,,,,C [320_Ns],,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],A [320_Ns],,,,,,,,,,,,,,,,,,D [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-6H-2-W 60/60,320,U1335,A,6,6-2,H,2,W,60/60,0,0,49,49,TDJ/PB - ,NN10,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,R [320_Ns],,,,,,R [320_Ns],,,,,,F [320_Ns],,C [320_Ns],,R [320_Ns],,,,,,,,,,,F [320_Ns],,F [320_Ns],,,,,,,,C [320_Ns],,,,,,,F [320_Ns],,,,R [320_Ns],,,,,,,,,C [320_Ns],,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],A [320_Ns],,,,,,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-6H-4-W 60/60,320,U1335,A,6,6-4,H,4,W,60/60,0,0,52,52,TDJ/PB - no berggrenii,NN11,late Miocene,M [320_N],C [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,C [320_Ns],,R [320_Ns],,,,,,,,,,,F [320_Ns],,,,,,,,,,C [320_Ns],,,,,,,F [320_Ns],,,,,,,,C [320_Ns],,,,,C [320_Ns],,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],A [320_Ns],,,,,,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,
320-U1335A-6H-6-W 96/96,320,U1335,A,6,6-6,H,6,W,96/96,0,0,55.36,55.36,TDJ/PB - ab. 3D 5 rayed discos,NN10,late Miocene,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,F [320_Ns],,,,,,R [320_Ns],,F [320_Ns],,,,,,C [320_Ns],,R [320_Ns],,,,,,,,,,,F [320_Ns],,R [320_Ns],,,,,,,,,,,,,,,A [320_Ns],,,,R [320_Ns],,,,,,,,R [320_Ns],C [320_Ns],,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],F [320_Ns],,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,
