Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Zone name [short],PF Preservation,% Planktic Foraminifera within whole sample,Catapsydrax dissimilis,Catapsydrax cf. howei,Catapsydrax unicavus,Catapsydrax sp.,Dentoglobigerina galavasi,Dentoglobigerina pseudovenezuelana,Dentoglobigerina tripartita,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina euapertura,Globigerina officinalis,Globigerina ouachitensis,Globigerina prasepis,Globigerina venezulana,Globorotalia praehumerosa,Globorotalia semivera,Globorotaloides suteri,Globoquadrina tapurensis,Globorotaloides quadrocameratus,Globoquadrina sp.,Paragloborotalia griffinoides,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia opima-mayeri transition,Paragloborotalia pseudocontinuosa,Parasubbotina griffinae,Parasubbotina inaquespira,Paragloborotalia sp.,Subbotina corpulenta,Subbotina angiporoides,Subbotina patagonica,Subbotina utilsindex,Subbotina yeguaensis,Subbotina sp.,Turborotalia ampliapertura,Turborotalia frontosa,Turbotalia,Globorotalia sp.
320-U1332A-7H-4-W 38/40-foram,320,U1332,A,7,7-4,H,4,W,38/40-foram,0,2.0,56.28,56.3,KME (Diatoms present),E14-O2,M,1,R,A,P,,F,,,,,,,,,P,,,,F,,,,P,,,,,,,,,,P,,,,F,,
320-U1332A-8H-2-W 48/50,320,U1332,A,8,8-2,H,2,W,48/50,0,2.0,62.88,62.9,KME (Diatoms present),Olig.,M,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-8H-4-W 38/40,320,U1332,A,8,8-4,H,4,W,38/40,0,2.0,65.78,65.8,KME (Diatoms present) D.tripartita (E13-O6),E13-O6,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-8H-CC-PAL-FORAMP,320,U1332,A,8,8-CC,H,CC,PAL,FORAMP,0,2.0,71.0,71.02,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-9H-1-W 15/22,320,U1332,A,9,9-1,H,1,W,15/22,0,7.0,70.55,70.62,LLR ,E13-O6,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
320-U1332A-9H-2-W 15/22,320,U1332,A,9,9-2,H,2,W,15/22,0,7.0,72.05,72.12,KME ,Olig.,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
320-U1332A-9H-3-W 15/22,320,U1332,A,9,9-3,H,3,W,15/22,0,7.0,73.55,73.62,KME ,E13-LOlig,P,2,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-9H-4-W 130/137,320,U1332,A,9,9-4,H,4,W,130/137,0,7.0,76.2,76.27,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-9H-4-W 15/22,320,U1332,A,9,9-4,H,4,W,15/22,0,7.0,75.05,75.12,LLR ,E13-O6,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,
320-U1332A-9H-4-W 70/77,320,U1332,A,9,9-4,H,4,W,70/77,0,7.0,75.6,75.67,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-9H-5-W 15/22,320,U1332,A,9,9-5,H,5,W,15/22,0,7.0,76.55,76.62,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-9H-6-W 15/22,320,U1332,A,9,9-6,H,6,W,15/22,0,7.0,78.05,78.12,LLR ,B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-9H-7-W 15/22,320,U1332,A,9,9-7,H,7,W,15/22,0,7.0,79.55,79.62,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-9H-CC-PAL-FORAMP,320,U1332,A,9,9-CC,H,CC,PAL,FORAMP,0,2.0,80.47,80.49,LLR BARREN,B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-10H-3-W 108/110,320,U1332,A,10,10-3,H,3,W,108/110,0,2.0,83.98,84.0,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-10H-CC-PAL-FORAMP,320,U1332,A,10,10-CC,H,CC,PAL,FORAMP,0,2.0,89.89,89.91,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-11H-6-W 99/101-Foram,320,U1332,A,11,11-6,H,6,W,99/101-Foram,0,2.0,97.89,97.91,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-11H-CC-PAL-FORAMP,320,U1332,A,11,11-CC,H,CC,PAL,FORAMP,0,2.0,98.52,98.54,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-12H-1-W 140/142,320,U1332,A,12,12-1,H,1,W,140/142,0,2.0,100.3,100.32,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-12H-CC-PAL-FORAMP,320,U1332,A,12,12-CC,H,CC,PAL,FORAMP,0,2.0,108.45,108.47,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-13H-3-W 30/32-FORAM,320,U1332,A,13,13-3,H,3,W,30/32-FORAM,0,2.0,111.7,111.72,KME ,B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-13H-5-W 144/146-FORAM,320,U1332,A,13,13-5,H,5,W,144/146-FORAM,0,2.0,115.84,115.86,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-13H-CC-PAL-FORAMP,320,U1332,A,13,13-CC,H,CC,PAL,FORAMP,0,2.0,118.38,118.4,LLR ,P4-P8?,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,
320-U1332A-14H-2-W 38/40,320,U1332,A,14,14-2,H,2,W,38/40,0,2.0,119.78,119.8,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-14H-4-A 38/40,320,U1332,A,14,14-4,H,4,A,38/40,0,2.0,122.78,122.8,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-14H-CC-PAL-FORAMP,320,U1332,A,14,14-CC,H,CC,PAL,FORAMP,0,2.0,126.28,126.3,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-15X-3-W 58/60,320,U1332,A,15,15-3,X,3,W,58/60,0,2.0,129.48,129.5,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-15X-CC-PAL-FORAMP,320,U1332,A,15,15-CC,X,CC,PAL,FORAMP,0,2.0,132.93,132.95,LLR,B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-16X-2-W 38/40,320,U1332,A,16,16-2,X,2,W,38/40,0,2.0,137.38,137.4,LLR BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1332A-17X-CC-PAL-FORAMP,320,U1332,A,17,17-CC,X,CC,PAL,FORAMP,0,0.000199999995529652,148.21,148.21,KME BARREN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
