Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Abundance,Preservation,Mixing,Stylatractus universus,Collosphaera tuberosa,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium vetulum,Lamprocyrtis heteroporos,Theocorythium trachelium,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Anthocyrtidium jenghisi,Theocalyptra davisiana,Stichocorys peregrina,Anthocyrtidium pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Spongaster pentas,Phormostichoartus doliolum,Amphirhopalum ypsilon,Didymocyrtis penultima,Spongaster tetras,Nephrospyris renilla,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antepenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetrathalamus,Stichocorys delmontensis,Acrobotrys tritubus,Stylosphaera sp. C,Acrobotris tritubus,Diartus hughesi,Didymocyrtis laticonus,Botryostrobus miralestensis,Diartus petterssoni,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos communis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Comments,File data
320-U1335A-5H-2-W 100/102,320,U1335,A,5,5-2,H,2,W,100/102,100,102,40.9,40.92,RN8,A,G,,,,,,,,,,,,,,,R,,,R,,R,,F,,,R,R,,R,F,,F,R,,R,,,,,,,,,,,,,,,,
320-U1335A-5H-4-W 100/102,320,U1335,A,5,5-4,H,4,W,100/102,100,102,43.9,43.92,RN8,A,G,1,,,,,,,,,,,,,,,,,R,,,,R,,,R,R,R,R,F,,F,R,,R,,,,,,R,,,,,,,,,,
320-U1335A-5H-CC-PAL-RADS,320,U1335,A,5,5-CC,H,CC,PAL,RADS,0,0,46.45,46.45,RN7,A,G,,,,,,,,,,,,,,,,,,R,R,,,R,,,,R,R,R,F,,C,R,,R,F,,,,,R,,,,,,,,,COMMON DIATOMS,
320-U1335A-6H-2-W 105/107,320,U1335,A,6,6-2,H,2,W,105/107,105,107,50.5,50.52,RN7,A,G,,,,,,,,,,,,,,,,,,R,,R,,vR,,,,R,F,R,F,,C,R,,R,F,,,,,R,,,,,,,,,,
320-U1335A-6H-4-W 105/107,320,U1335,A,6,6-4,H,4,W,105/107,105,107,53.5,53.52,RN7,A,G,,,,,,,,,,,,,,,,,,R,,R,,,,,,,F,R,F,,C,,,,F,R,R,R,,,,,,,,,,,,
320-U1335A-6H-CC-PAL-RADS,320,U1335,A,6,6-CC,H,CC,PAL,RADS,0,0,56.45,56.45,RN7,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,R,F,R,F,,C,,,,F,R,R,R,,,,,,,,,,,COMMON DIATOMS,
320-U1335A-7H-2-W,320,U1335,A,7,7-2,H,2,W,,102,104,58.92,58.94,RN6,C,M,1,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,C,,,,,F,R,F,R,,,vR,,vR,,,,,,
320-U1335A-7H-4-W,320,U1335,A,7,7-4,H,4,W,,102,104,61.92,61.94,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,C,,,,,F,F,F,R,,,R,,vR,,,vR,,,
320-U1335A-7H-CC-PAL-RADS,320,U1335,A,7,7-CC,H,CC,PAL,RADS,0,0,66.24,66.24,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,C,,,,,F,R,R,R,,,F,R,R,,,,,DIATOMS,
320-U1335A-8H-2-W 103/105,320,U1335,A,8,8-2,H,2,W,103/105,103,105,69.46,69.48,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,C,,,,,F,R,R,R,,,F,vR,R,vR,,vR,,,
320-U1335A-8H-4-W 105/107,320,U1335,A,8,8-4,H,4,W,105/107,105,107,72.5,72.52,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,R,R,,,F,R,R,,,,vR,DIATOMS; SPINES,
320-U1335A-8H-CC-PAL-RADS,320,U1335,A,8,8-CC,H,CC,PAL,RADS,0,0,75.86,75.86,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,R,R,,,R,R,R,,,,,COMMON DIATOMS,
320-U1335A-9H-2-W 120/122,320,U1335,A,9,9-2,H,2,W,120/122,120,122,79.3,79.32,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,F,R,R,R,,,R,R,R,vR,,vR,vR,COMMON DIATOMS; SPINES,
320-U1335A-9H-4-W 105/107,320,U1335,A,9,9-4,H,4,W,105/107,105,107,82,82.02,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,F,R,R,R,,,R,R,F,,R,,R,,
320-U1335A-9H-CC-PAL-RADS,320,U1335,A,9,9-CC,H,CC,PAL,RADS,0,0,85.02,85.02,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,R,R,,,R,R,vR,F,R,R,R,,
320-U1335A-10H-2-W 105/107,320,U1335,A,10,10-2,H,2,W,105/107,105,107,88.5,88.52,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,F,R,R,R,,,R,,R,R,R,R,R,,
320-U1335A-10H-4-W 105/107,320,U1335,A,10,10-4,H,4,W,105/107,105,107,91.5,91.52,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,F,R,,R,,,R,R,,R,,R,R,COMMON DIATOMS; SPINES,
320-U1335A-10H-CC-PAL-RADS,320,U1335,A,10,10-CC,H,CC,PAL,RADS,0,0,94.94,94.94,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,,vR,,,R,R,vR,F,,F,F,,
320-U1335A-11H-2-W,320,U1335,A,11,11-2,H,2,W,,149,150,97.39,97.4,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,,R,,,,R,,R,,F,R,,
320-U1335A-11H-2-W 104/106,320,U1335,A,11,11-2,H,2,W,104/106,104,106,97.98,98,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,F,R,,R,,,,R,,F,vR,F,R,,
320-U1335A-11H-4-W 104/106,320,U1335,A,11,11-4,H,4,W,104/106,104,106,100.98,101,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,,R,,,,,,R,vR,F,R,,
320-U1335A-11H-CC-RADS,320,U1335,A,11,11-CC,H,CC,RADS,,0,0,103.82,103.82,RN5,A,G,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,,R,,,,R,,R,,R,R,,
320-U1335A-12H-2-W 104/106,320,U1335,A,12,12-2,H,2,W,104/106,104,106,107.48,107.5,RN5,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,R,R,,,,,,,,R,,R,,C. bramlettei   ,
320-U1335A-12H-3-W,320,U1335,A,12,12-3,H,3,W,,149,150,108.39,108.4,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,R,R,,R,,,,R,,F,R,R,R,,
320-U1335A-12H-4-W 104/106,320,U1335,A,12,12-4,H,4,W,104/106,104,106,110.48,110.5,RN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-12H-CC-PAL-RADS,320,U1335,A,12,12-CC,H,CC,PAL,RADS,0,0,113.84,113.84,RN5,A,G,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,,R,,,,R,,F,,F,,,
320-U1335A-34H-4-W,320,U1335,A,34,34-4,H,4,W,,105,107,317.05,317.07,RN10,A,G,2,,,,,,,,,,R,R,R,,C,,vR,,R,R,,R,,,,,,,,R,R,,,,,,,,,R,,,,,,,,,,
