Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1488A-4H-2-W 80/80-NANNO,0,0,27.2,27.2,,AGSF - very abundant small Gephyrocapsa (small Gephyrocapsa acme?),,,,,V [A94],,,C [A04],C [A04],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,4,H,2,W,80/80-NANNO
363-U1488A-4H-4-W 80/80-NANNO,0,0,30.2,30.2,,AGSF,,,,,V [A94],,,C [A04],C [A04],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,4,H,4,W,80/80-NANNO
363-U1488A-4H-6-W 10/10-NANNO,0,0,32.5,32.5,,AGSF - Gephyrocapsa ~5um: 3;,,,,,V [A94],,,C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,4,H,6,W,10/10-NANNO
363-U1488A-4H-CC-PAL-NANNO,0,5,34.79,34.84,NN19 [M71],LB; AGSF - with H. sellii,G [P33],D [A22],A [A23],,A [A23],C [A04],A [A23],F [A30],A [A23],F [A30],,,,,,,,,,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,4,H,CC,PAL,NANNO
363-U1488A-5H-2-W 111/111-NANNO,0,0,37.01,37.01,,"AGSF - start of C pelagicus ""appearance""",,,,,,,,C [A04],C [A04],,,,,,,,,,,F [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,5,H,2,W,111/111-NANNO
363-U1488A-5H-4-W 111/111-NANNO,0,0,40.01,40.01,,AGSF - large C pelagicus with bridge,,,,,,,,C [A04],C [A04],,,,,,,,,,,R [A30],,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,5,H,4,W,111/111-NANNO
363-U1488A-5H-6-W 101/101-NANNO,0,0,42.91,42.91,,AGSF - large C pelagicus with bridge,,,,,,,,C [A04],C [A04],,,,,,,,,,,R [A30],,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,5,H,6,W,101/101-NANNO
363-U1488A-5H-CC-PAL-NANNO,0,5,44.34,44.39,NN18 [M71],LB; AGSF - Discoasters very rare; H. sellii is few to common; D. triradiatus and D. brouweri present,G [P33],D [A22],V [A94],,C [A04],x [A115],V [A94],F [A30],C [A04],,,,,,,,C [A04],,C [A04],C [A04],,,,P [A30],C [A04],,F [A30],,,P [A30],,,,,,,,,,,,,F [A30],F [A30],F [A30],,P [A30],,,,,,,,,,R [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,5,H,CC,PAL,NANNO
363-U1488A-6H-2-W 60/60-NANNO,0,0,46,46,NN18 [M71],"AGSF - Discoasters few are well-preserved; ""airplane"" discoaster present",,,,,,,,C [A04],C [A04],,,,,,,,,,,F [A30],,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,6,H,2,W,60/60-NANNO
363-U1488A-6H-4-W 60/60-NANNO,0,0,49,49,NN18 [M71],AGSF - diacoasters more common; really big D. triradiatus; C pelagicus common; reworked Amaurolithus sp. (probably primus),,,,,,,,C [A04],C [A04],,,,,,,,,,,P [A30],,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,6,H,4,W,60/60-NANNO
363-U1488A-6H-6-W 60/60-NANNO,0,0,52,52,,"AGSF - ""airplane discoaster"" present in sample",,,,,,,,C [A04],C [A04],,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,6,H,6,W,60/60-NANNO
363-U1488A-6H-CC-PAL-NANNO,0,5,53.78,53.83,NN18 [M71],LB,G [P33],D [A22],A [A23],,A [A23],,A [A23],F [A30],A [A23],,,C [A04],,,,,C [A04],,F [A30],,,F [A30],,,,,,,,,,,,,,,,,,,,,F [A30],F [A30],F [A30],,,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,6,H,CC,PAL,NANNO
363-U1488A-7H-2-W 49/49-NANNO,0,0,55.39,55.39,,"AGSF - compared to the section slides in core 6, less discoasters; with D. pentaradiatus; Micula staurophora reworked",,,,,,,,C [A04],C [A04],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],P [A30],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,7,H,2,W,49/49-NANNO
363-U1488A-7H-4-W 45/45-NANNO,0,0,58.35,58.35,,AGSF - with D. surculus; airplane discoaster - 2,,,,,,,,C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A30],P [A30],,F [A30],P [A30],,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,7,H,4,W,45/45-NANNO
363-U1488A-7H-6-W 49/49-NANNO,0,0,61.39,61.39,,AGSF - very few discoasters again; D. pentaradiatus mostly ray fragments; discoaster preservation bad; airplane discoaster,,,,,,,,C [A04],C [A04],,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A30],P [A30],,R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,7,H,6,W,49/49-NANNO
363-U1488A-7H-CC-PAL-NANNO,0,5,63.27,63.32,NN17 [M71],LB,G [P33],D [A22],A [A23],,,,,F [A30],C [A04],C [A04],,V [A94],,,,,C [A04],,F [A30],,,,,,C [A04],C [A04],P [A30],,,,,,,R [A30],,,F [A30],,,,,,C [A04],F [A30],F [A30],,,,,,,,,,,,,,,P [A30],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,7,H,CC,PAL,NANNO
363-U1488A-8H-2-W 60/60-NANNO,0,0,65,65,,AGSF - D. blackstockae present; airplane discoaster; D. quadramus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,F [A30],R [A30],,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,8,H,2,W,60/60-NANNO
363-U1488A-8H-4-W 60/60-NANNO,0,0,68,68,,AGSF - abundant discoasters (well-preserved); airplane discoaster; 4-rayed variablis; no observed D. tamalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,C [A04],R [A30],x [A115],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,8,H,4,W,60/60-NANNO
363-U1488A-8H-6-W 60/60-NANNO,0,0,71,71,,AGSF - abundant discoasters; airplane discoaster,,,,,,,,,,,,,,,,,,,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [A04],R [A30],,A [A23],P [A30],F [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,8,H,6,W,60/60-NANNO
363-U1488A-8H-CC-PAL-NANNO,0,5,71.7,71.75,NN16 [M71],LB,G [P33],D [A22],A [A23],,,,,C [A04],R [A30],A [A23],,V [A94],,,,,C [A04],,P [A30],F [A30],,R [A30],,,C [A04],,,,,,,,R [A30],R [A30],,,,,,,,,C [A04],F [A30],,,,,,,,,,,,,C [A04],F [A30],F [A30],F [A30],P [A30],P [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,8,H,CC,PAL,NANNO
363-U1488A-9H-2-W 60/60-NANNO,0,0,74.5,74.5,,AGSF - airplane discoasters (1 with bifurcation); S abies <0.1% of assemblage,,,,,,,,C [A04],C [A04],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,C [A04],P [A30],P [A30],C [A04],P [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,9,H,2,W,60/60-NANNO
363-U1488A-9H-4-W 60/60-NANNO,0,0,77.5,77.5,,"AGSF - S. abies <0,1% of the assemblage; Discoasters common; airplane discoaster present",,,,,,,,C [A04],C [A04],,,,,,,,,,,R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,C [A04],,,C [A04],P [A30],R [A30],R [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,9,H,4,W,60/60-NANNO
363-U1488A-9H-6-W 60/60-NANNO,0,0,80.5,80.5,,AGSF - S abies absent,,,,,,,,C [A04],C [A04],,,,,,,,,,,F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x [A115],,,,C [A04],P [A30],P [A30],C [A04],P [A30],P [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,9,H,6,W,60/60-NANNO
