Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data
320-U1333A-9H-2-W 105/107,320,U1333,A,9,9-2,H,2,W,105/107,105,107,79.6,79.62,RP20,C,P,,,R,,,,R,R,,R,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333A-9H-4-W 105/107,320,U1333,A,9,9-4,H,4,W,105/107,105,107,82.6,82.62,RP20,C,P,,R,R,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333A-9H-CC-PAL-RADS,320,U1333,A,9,9-CC,H,CC,PAL,RADS,0,0,85.87,85.87,RP20,C,M,1,R,R,-,R,vR,,,,R,,-,-,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,D. CIRCULUS W/ A FEW SPINES,
320-U1333A-10H-2-W 105/107,320,U1333,A,10,10-2,H,2,W,105/107,105,107,89.1,89.12,RP20,C,M,,,R,,,,,R,,,,F,R,R,R,,,,,,,,R,,,,vR,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,DIATOMS,
320-U1333A-10H-4-W 105/107,320,U1333,A,10,10-4,H,4,W,105/107,105,107,92.1,92.12,RP20,A,G,,vR,R,,,,,R,,,,C,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common diatoms,
320-U1333A-10H-CC-PAL-RADS,320,U1333,A,10,10-CC,H,CC,PAL,RADS,0,0,95.33,95.33,RP20,C,M,,-,R,,,,,,,-,-,R,R,R,R,-,,-,,-,R,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333A-11X-2-W,320,U1333,A,11,11-2,X,2,W,,95,97,97.45,97.47,RP20,C,M,,,R,,,,,R,,,,C,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,
320-U1333A-11X-4-W,320,U1333,A,11,11-4,X,4,W,,95,97,100.45,100.47,RP20,A,G,,,R,,,,,R,,,,0,R,vR,R,,,,R,,,,R,,,,vR,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common diatoms,
320-U1333A-11X-CC-PAL-RADS,320,U1333,A,11,11-CC,X,CC,PAL,RADS,0,0,101.17,101.17,RP20,C,M,,vR,R,,,,,,,,,R,R,,,,,-,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1333A-12X-2-W,320,U1333,A,12,12-2,X,2,W,,105,107,103.25,103.27,RP20,A,G,,,R,,,,,R,,,,F,R,,R,,,,R,R,,,R,,,,vR,,,,,,,,,,,,,,,,R,,vR,,,,,,,,,,R,,,common diatoms,
320-U1333A-12X-4-W,320,U1333,A,12,12-4,X,4,W,,105,107,106.25,106.27,RP20,C,M,,,R,,,,,  R,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,common diatoms,
320-U1333A-12X-CC-PAL-RADS,320,U1333,A,12,12-CC,X,CC,PAL,RADS,0,0,107.94,107.94,RP20,C,M,,-,R,,,,,,,,,-,-,,,,,,-,-,-,,R,-,-,-,,-,-,-,,,,-,-,,,,-,,,-,,,,,,,,,,,,,R,,-,,
320-U1333A-13X-1-W,320,U1333,A,13,13-1,X,1,W,,127,134,111.57,111.64,RP20,A,G,,,R,,,,,vR,,,,,,,,,,,,,,,F,,,,vR,,,,vR,,,,,,,R,,,,,R,,,,,,,,,,,,R,,,common diatoms; ASH,
320-U1333A-13X-2-W,320,U1333,A,13,13-2,X,2,W,,37,44,112.17,112.24,RP20,A,M,1,,R,,,,,vR,,,,,,,,,,,,,,,F,vR,,vR,vR,,vR,,vR,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,
320-U1333A-13X-2-W,320,U1333,A,13,13-2,X,2,W,,88,95,112.68,112.75,RP20,C,M,1,,R,,,,,vR,,,,,,,,,,,,,,,F,vR,vR,,,R,F,vR,R,,,,,R,,R,,,,,R,,,,,vR,,,,,,vR,R,,,"common diatoms W/O""EYES""; ASH",
320-U1333A-13X-2-W,320,U1333,A,13,13-2,X,2,W,,105,107,112.85,112.87,RP19,C,M,2,,R,,,,,,,,,,,,,,,,,,,,F,,,R,,R,F,,R,,,,,R,,R,,,,,R,,,,,,,R,,,,,R,,,,
320-U1333A-13X-3-W,320,U1333,A,13,13-3,X,3,W,,0,8,113.3,113.38,RP19,A,G,1,,R,,,,,,,,,,,,,,,,,,,,F,R,,R,,F,C,,C,R,R,R,R,R,R,R,,vR,,,vR,vR,R,,vR,,,R,,,,,R,,vR,,
320-U1333A-13X-3-W,320,U1333,A,13,13-3,X,3,W,,122,129,114.52,114.59,RP19,A,M,,,R,,,,,,,,,,,,,,,,,,,,F,R,,,,F,F,,C,R,R,R,R,R,,R,,,vR,,,,R,,,,,R,,,,vR,R,,,SPINY LEG OMBROS,
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,72,80,115.52,115.6,RP19,C,M,1,,R,,,,,,,,,,,,,,,,,,,,R,R,vR,,,F,F,,F,R,R,R,R,R,,R,,,,,,,R,vR,,,vR,R,,,,,R,,,SPINY LEG OMBROS,
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,96,104,115.76,115.84,RP19,C,M,1,,R,,,,,,,,,,,,,,,,,,,,F,R,,,,F,F,,F,R,R,R,,R,,R,,,vR,vR,,vR,R,,vR,,vR,,,,,,R,,,SPINY LEG OMBROS GOOD,
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,105,107,115.85,115.87,RP19,C,M,,,R,,,,,,,,,,,,,,,,,,,,F,R,,R,,R,F,,R,R,R,R,,R,,R,vR,,,,,vR,R,,,,,,,,,,R,,,SPINY LEG OMBROS,
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,120,128,116,116.08,RP19,F,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,R,R,R,R,,R,,R,,,,,,,R,R,,,vR,,vR,,,,R,,,,
320-U1333A-13X-5-W,320,U1333,A,13,13-5,X,5,W,,8,16,116.38,116.46,RP18,C,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,R,R,R,,R,,R,R,,,R,,R,R,R,R,vR,vR,,,,vR,vR,R,,,SPINY LEG OMBROS,
320-U1333A-13X-5-W,320,U1333,A,13,13-5,X,5,W,,96,104,117.26,117.34,RP18,A,G,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,R,R,R,,R,,R,R,,,F,,C,F,R,F,,R,,,,,,R,vR,,L. DUMITRICA; ARCED LEG OMBROS;T. CRYPTOCEPHALA,
320-U1333A-13X-6-W,320,U1333,A,13,13-6,X,6,W,,40,48,118.2,118.28,RP18,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,R,R,R,,R,,R,R,,,F,,F,R,R,F,,R,,,,vR,,R,vR,,L. DUMITRICA; ARCED LEG OMBROS;T. CRYPTOCEPHALA,
320-U1333A-13X-CC-PAL-RADS,320,U1333,A,13,13-CC,X,CC,PAL,RADS,0,0,119.93,119.93,RP18,A,G,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,vR,R,R,R,R,R,R,R,R,R,,,R,,F,R,R,R,,R,,,,,,-,,-,L. DUMITRICA; ARCED LEG OMBROS;T. CRYPTOCEPHALA,
320-U1333A-14X-2-W 95/97,320,U1333,A,14,14-2,X,2,W,95/97,95,97,123.4,123.42,RP18,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,F,R,R,R,,,,R,R,R,,C,,F,R,,F,R,F,,,vR,,R,,,,T. CRYPTOCEPHALA,
320-U1333A-14X-4-W 95/97,320,U1333,A,14,14-4,X,4,W,95/97,95,97,126.4,126.42,RP17,C,M,,,R,,,,,,,,,,,,,,,,,,,,F,R,R,,,R,R,,vR,,R,R,,,,R,R,R,,F,,R,R,,R,R,F,,,,,R,R,,R,T. CRYPTOCEPHALA,
320-U1333A-14X-CC-PAL-RADS,320,U1333,A,14,14-CC,X,CC,PAL,RADS,0,0,129.8,129.8,RP17,C,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,R,,-,,R,-,,,,R,,,R,,R,,,R,,,,,,,,,,R,,
320-U1333A-15X-2-W 96/98,320,U1333,A,15,15-2,X,2,W,96/98,96,98,133.02,133.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,
320-U1333A-15X-CC-PAL-RADS,320,U1333,A,15,15-CC,X,CC,PAL,RADS,0,0,139.14,139.14,RP16,C,P,,,-,,,,,,,,,,,,,,,,,,,,-,R,R,R,,R,R,R,,,,R,-,,,,-,,,-,,,,,,,,,,,,,,,R,,
