Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
363-U1484A-11H-CC,0,32,100.9,101.22,E,,35,,,,3,,,4,9,8,,,,,,,7,1,,,39,,,,,,2,,,,,,,,,,2,,,,,,,,,30,20,,,,,3,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,,4,,,3,,,3,,,1,,,,,,,,,,,,,,,27,10,,,,,,,,,363,U1484,A,11,H,CC,,,,
363-U1484A-12H-CC,0,10,110.06,110.16,E,,35,,,,3,,,4,9,8,,,,,,,7,1,,,39,,,,,,2,,,,,,,,,,2,,,,,,,,,1,20,,,,,3,,,,,2,,,,,,10,,1,,,,,,,,,1,,,,,,4,,,3,,1,19,,,1,,,,,,,,,,,,,,,27,10,,,,,,,,,363,U1484,A,12,H,CC,,,,
363-U1484A-13H-CC,0,18,115.33,115.51,E,,35,,,,3,,,4,9,8,15,,,,,,7,1,,,2,,,,,,2,,,,,,,,,,2,,,,,,,,,30,20,,2,,,3,,,,,2,,,,,,40,,1,,,,,,,,,1,,,,,,4,,,3,,,3,,,1,,,,,,,,,,,,,,,27,10,,,,,,,,,363,U1484,A,13,H,CC,,,,
363-U1484A-14H-CC,0,18,123.53,123.71,E,,35,,,,3,,,4,9,8,,,,,,,7,1,,,39,,,,,,2,,,,,,,4,,,2,,,,,,,,,30,20,,,,,3,,,,,2,,,,,,3,,1,,,,,,,,,1,,,,,,4,,,7,,2,6,,,1,,,,,,,,,,,,,,,27,10,,,,,,,,,363,U1484,A,14,H,CC,,,,
363-U1484A-15H-CC,0,38,138.29,138.67,E,,35,,,3,,,,,,,9,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,13,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,363,U1484,A,15,H,CC,,,,
363-U1484A-16H-CC,0,16,143.21,143.37,E,,35,,,3,,,,,,,10,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,2,,,,,3,,,,,,,,,,,,,,,13,,,15,,,,,,,,2,,,,,,,,,,,,,,,,,,,,363,U1484,A,16,H,CC,,,,
363-U1484A-17H-CC,0,24,156.29,156.53,E,,35,,,,,,,,49,5,4,,,,,9,,9,,,69,,,,,,,,,,,,,,,,,,,,,5,3,,,11,,,,,1,,2,,,,4,,,2,,,,,,,,,2,,,,,,,,,,,3,,,1,,,3,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,17,H,CC,,,,
363-U1484A-18H-CC,0,34,167.11,167.45,E,,1,,,,,,,,45,7,5,,,,,7,,11,,,56,,,,,,,,,,,,,,,,,,,,,5,3,,,11,,,,,1,,2,,,,4,,,2,,,,,,,,,1,,,,,,,,,,,3,,,1,,,3,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,18,H,CC,,,,
363-U1484A-19H-CC,0,63,175.87,176.5,E,,1,,,,,,,,54,6,12,,,,,4,,3,,2,31,,,,,,,,,,,1,,,,,1,,3,,,9,3,,1,12,,,7,,,1,,,,,1,,,,,,,1,1,,,,2,,,,,,,,,,,6,,,5,,,7,7,,,1,,,,,,,,,,,,,1,48,1,,,,,,,,,363,U1484,A,19,H,CC,,,,
363-U1484A-20H-CC,0,31,185.56,185.87,E,,1,,,,,,,,32,5,4,,,,,9,,4,,,69,,,,,,,,,,,,,,,,,,,,,5,3,,,1,,,,,1,,2,,,,4,,,2,,,,,,,,,1,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,20,H,CC,,,,
363-U1484A-21H-CC,0,32,194.95,195.27,E,,1,,,,,,,,42,5,4,,,,,5,,9,,,71,,,,,,,,,,,,,,,,,,,,,6,3,,,2,,,,,1,,1,,,,4,,,2,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,21,H,CC,,,,
363-U1484A-22F-CC,0,18,199.34,199.52,E,,1,,,,,,,,31,3,4,,,,,10,,,,,10,,,,,,,,,,,,,,,,,,,,,5,3,,,1,,,,,1,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,22,F,CC,,,,
363-U1484A-23F-CC,0,29,204.03,204.32,E,,1,,,,,,,,22,4,4,,,,,7,,7,,,22,,,,,,,,,,,,,,,,,,,,,7,,,,3,,,,,1,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,23,F,CC,,,,
363-U1484A-24F-CC,0,76,208.95,209.71,E,,1,,,,,,,,25,5,4,,,,,5,,8,,,65,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,24,F,CC,,,,
363-U1484A-25F-CC,0,42,213.2,213.62,E,,1,,,,,,,,32,5,4,,,,,3,,11,,,32,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,1,,,,,,5,,,2,,,,,,,,,1,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,25,F,CC,,,,
363-U1484A-26F-CC,0,19,218.9,219.09,E,,1,,,,,,,,41,6,4,,,,,6,,,,,30,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,26,F,CC,,,,
363-U1484A-27F-CC,0,28,223.39,223.67,E,,1,,,,,,,,32,7,4,,,,,8,,8,,,32,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,,,1,4,,,,,,,,,,,,,15,3,9,,,,,,,,,363,U1484,A,27,F,CC,,,,
