Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],?Acarinina spp.,?Morozovella spp.,Beella digitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis ,Clavatorella bermudezi ,Dentoglobigerina altispira,Dentoglobigerina globosa,Dentoglobigerina sp.,Globigerina angulisuturalis,Globigerina bulloides,Globigerina ciperoensis,Globigerina druryi ,Globigerina euapertura,Globigerina falconensis,Globigerina gortanii ,Globigerina ouachitaensis ,Globigerina praebulloides,Globigerina pseudovenezuelana ,Globigerina quinqueloba,Globigerina rubescens (pink),Globigerina rubescens (white),Globigerina tapuriensis ,Globigerina tripartita,Globigerinatella insueta ,Globigerinella calida,Globigerinella obesa,Globigerinella siphonifera (aequilateralis),Globigerinita glutinata,Globigerinita uvula,Globigerinoides altiaperturus,Globigerinoides conglobatus ,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerinoides primordius ,Globigerinoides ruber (pink),Globigerinoides ruber (white) ,Globigerinoides sacculifer,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus ,Globoquadrina baroemoenensis,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina praedehiscens,Globoquadrina venezuelana,Globorotalia archeomenardii ,Globorotalia birnageae,Globorotalia cibaoensis ,Globorotalia continuousa,Globorotalia crassaformis,Globorotalia crassula ,Globorotalia decoraperta ,Globorotalia exilis ,Globorotalia fimbriata,Globorotalia flexuosa ,Globorotalia fohsi fohsi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia juanai ,Globorotalia lenguaensis,Globorotalia limbata ,Globorotalia margaritae ,Globorotalia menardii ,Globorotalia merotumida,Globorotalia miotumida,Globorotalia miozea ,Globorotalia miozea/conoidea,Globorotalia multicamerata,Globorotalia peripheroacuta ,Globorotalia peripheroronda,Globorotalia pertenuis,Globorotalia plesiotumida ,Globorotalia praefohsi,Globorotalia praemenardii,Globorotalia praescitula,Globorotalia pseudomiocenica ,Globorotalia scitula,Globorotalia sp. ,Globorotalia tosaensis ,Globorotalia truncatulinoides ,Globorotalia tumida ,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides suteri,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta ,Globoturborotalita nepenthes ,Globoturborotalita obliquus,Globoturborotalita woodi,Glogoturborotalita sp. ,Hantkenina alabamensis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina pachyderma (dextral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. ,Orbulina sp. ,Orbulina suturalis ,Orbulina universa ,Paragloborotalia kugleri,Paragloborotalia mayeri ,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia semivera,Paragloborotalia sp.,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina sp. ,Pseudohastigerina cf. naguewichiensis,Pseudohastigerina micra ,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina sp.,Pulleniatina spectabilis ,Sphaeroidinella dehiscens ,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides ,Subbotina eocaena s.l.,Subbotina linaperta s.l. ,Subbotinal yeguaensis s.l.,Tenuitella gemma ,Tenuitella spp. N/A,Tenuitellinata angustiumbilicata,Turborotalia ampliapertura,Turborotalia cerroazulensis ,Turborotalia cocoaensis ,Turborotalia cunialensis,Turborotalia increbescens,Turborotalia pomeroli ,Turborotalita humilis,Comment,Ship File Links,Shore File Links,File Data
368-U1505C-10H-CC-PAL-FORAM,0,5,93.6,93.65,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,P [A88],,,,R [A88],,,P [A88],,,R [A88],F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,,,R [A88],,P [A88],,,,,F [A88],,,,R [A88],,,,,F [A88],,,,,,,,,,,,,,P [A88],,,,A [A88],F [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-11H-CC-PAL-FORAM,0,5,102.73,102.78,,,,,,,,,,,,,,G [P32],A [A87],95,,,,P [A88],,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,P [A88],P [A88],,,R [A88],P [A88],,P [A88],,,R [A88],F [A88],,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,R [A88],,,,,R [A88],,,,P [A88],,,,,F [A88],,,,,,,,,,,,,,P [A88],,,,A [A88],F [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-12H-CC-PAL-FORAM,0,5,111.68,111.73,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,F [A88],,,,P [A88],,,,,,,,,,,,,,,P [A88],,P [A88],,,,R [A88],P [A88],,P [A88],,,R [A88],A [A88],,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,R [A88],,,,,P [A88],,,,P [A88],,,,,F [A88],,,,,,,,,,,,,,R [A88],,,,A [A88],F [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-13H-CC-PAL-FORAM,0,5,122.66,122.71,,,,,,,,,,,,,,G [P32],A [A87],90,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,P [A88],P [A88],,P [A88],,,P [A88],A [A88],,,,,,,,,R [A88],,,P [A88],,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,A [A88],,R [A88],,,R [A88],,,,,,R [A88],,,,,F [A88],,,,,,,,,,,,,,,,,,F [A88],A [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-14H-CC-PAL-FORAM,0,5,132.18,132.23,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,P [A88],P [A88],,R [A88],,,P [A88],A [A88],,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,P [A88],,,P [A88],,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,R [A88],A [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-15H-CC-PAL-FORAM,0,5,141.27,141.32,,,,,,,,,,,,,,G [P32],A [A87],95,,,,P [A88],,,,,,,F [A88],,,,P [A88],,,,,,,,,,,,,,,,,,,,,F [A88],R [A88],,P [A88],,,P [A88],A [A88],,,,P [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,F [A88],,R [A88],,,P [A88],,,P [A88],,,,,,,,A [A88],,,,,,,,,,,,,,,,,,F [A88],A [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-16H-CC-PAL-FORAM,0,5,150.85,150.9,,,,,,,,,,,,,,G [P32],A [A87],95,,,,P [A88],,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,F [A88],,,,A [A88],,,,R [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,F [A88],,,R [A88],,,P [A88],,,R [A88],P [A88],,,,A [A88],,,,,,,,,,,,,,,,,,F [A88],A [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-17H-CC-PAL(34-39)-FORAM,0,5,160.62,160.67,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,P [A88],,,,,,,,,,,,,,,,,,P [A88],,,,P [A88],,A [A88],,,,A [A88],,,,P [A88],,,,,R [A88],,,,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,R [A88],,,,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-18H-CC-PAL(29-34)-FORAM,0,5,170.23,170.28,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,P [A88],,,,,,,,,,,,,,,,,,P [A88],,,,P [A88],,F [A88],,,,A [A88],,,,,,,F [A88],,R [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-19H-CC-PAL(33-38)-FORAM,0,5,179.7,179.75,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,F [A88],,,,A [A88],,,,,,,F [A88],,A [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-20H-CC-PAL(30-35)-FORAM,0,5,189.21,189.26,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,P [A88],,,R [A88],,,,F [A88],,A [A88],,,,A [A88],,,,,,,F [A88],,A [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-21H-CC-PAL(17-22)-FORAM,0,5,196.48,196.53,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,A [A88],,,,R [A88],,,,,,,F [A88],,F [A88],,,,,,,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,P [A88],P [A88],,P [A88],,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,
368-U1505C-22H-CC-PAL(25-30)-FORAM,0,5,200.01,200.06,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,P [A88],,P [A88],P [A88],,,,,,,,,,R [A88],,,,,,,R [A88],,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,P [A88],,R [A88],,,,,,,,,,,,,,,,A [A88],D [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-23H-CC-PAL(37-42)-FORAM,0,5,207,207.05,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,D [A88],,,,,,R [A88],,,,,,,,,,,,,P [A88],,P [A88],P [A88],,,,,,,,,R [A88],R [A88],,,,,,,F [A88],,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,P [A88],,R [A88],,,,,,,,,,,,,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-24F-CC-PAL(29-34)-FORAM,0,5,212.13,212.18,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,R,,P [A88],,,P [A88],P [A88],,,,P [A88],P [A88],,R [A88],,p [A88],,,,,,,,,,,,,,,,,,p [A88],,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,R [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-25F-CC-PAL(32-37)-FORAM,0,5,216.87,216.92,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,P,,P,,,,,P,,,,,,,,,,,R [A88],R,,,,,,,,,,,,,,,,,,,
368-U1505C-26F-CC-PAL(24-29)-FORAM,0,5,221.49,221.54,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,D,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,P,P,,F [A88],,P,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,R [A88],,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,
368-U1505C-27F-CC-PAL(33-38)-FORAM,0,5,225.95,226,,,,,,,,,,,,,,M [P32],A [A87],95,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,P [A88],,,R [A88],,,,,,,,,R [A88],R [A88],,,,,,,F [A88],,A [A88],,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,F [A88],,,,,,,,,,,,,,,,F [A88],R [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-28F-CC-PAL(22-27)-FORAM,0,5,230.88,230.93,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,P [A88],,,R [A88],,,,,,R [A88],,,,A [A88],,,,,,,R [A88],,P [A88],,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,R [A88],,F [A88],,,,,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,
368-U1505C-29F-CC-PAL(27-32)-FORAM,0,5,235.64,235.69,,,,,,,,,,,,,,G,A [A87],95,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,P,,P [A88],,,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,P [A88],,,,,,,,,,R [A88],R,,,,,,,,,,,,,,,,,,,
368-U1505C-30F-CC-PAL-FORAM,0,5,240.27,240.32,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,P [A88],,,R [A88],,,,,,A [A88],,,,R [A88],,,,,,,P [A88],,P [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,F [A88],,R [A88],,,,,,,,,,,,,,,,R [A88],P [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-31F-CC-PAL-FORAM,0,5,244.97,245.02,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,P [A88],,,R [A88],,,,,,A [A88],,,P [A88],R [A88],,,,,,,F [A88],,F [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,R [A88],,R [A88],,,,,,,,,,,,,,,,R [A88],P [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-32F-CC-PAL-FORAM,0,5,249.69,249.74,,,,,,,,,,,,,,G,A,95,,,,,,,,,,,D [A88],,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,P,,,,,,,,P,R [A88],,R [A88],,,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,
368-U1505C-33F-CC-PAL-FORAM,0,5,254.41,254.46,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,F [A88],,,,,,F [A88],,,,R [A88],,,,,,,F [A88],,R [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,,,,,,P [A88],,R [A88],,,,,,,P [A88],,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,
368-U1505C-34F-CC-PAL-FORAM,0,5,259.12,259.17,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,A [A88],F [A88],,,,P [A88],P [A88],,F [A88],,R [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,P [A88],,P [A88],P [A88],,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,
368-U1505C-35F-CC-PAL-FORAM,0,5,263.78,263.83,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,A [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,A [A88],F [A88],,,,P [A88],P [A88],,R [A88],,F [A88],,,,,,,,,,,P [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,,,P [A88],P [A88],,,,,,,,,,,,R [A88],,,,,,,,,,,,,,,,,,
368-U1505C-36F-CC-PAL-FORAM,0,5,268.48,268.53,,,,,,,,,,,,,,G [P32],A [A87],95,,,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A88],,,A [A88],F [A88],,,,R [A88],P [A88],,R [A88],,R [A88],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A88],,,,,P [A88],R [A88],R [A88],P [A88],,,,,,,,,,F [A88],,,,,,,,,,,,,,,,,,
