Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stylatractus universus,Stichocorys peregrina,Stichocorys delmontensis,Sphaeropyle robusta,Lychnocanoma nipponica nipponica,Lychnocanoma nipponica magnacornuta,Dictyophimus splendens,Cycladophora cosma cosma,Anthocyrtella (?) callopisma,Amphymenium amphistylium,Stylacontarium acquilonium,Prunopyle hayesi,Eucyrtidium calvertense,Botryostrobus aquilonaris,Phormostichoartus fistula,Lamprocyrtis heteroporos,Sphaeropyle langii,Actinomma popofskii,Cycladophora pliocenica,Dictyophimus bullatus,Phormostichoartus crustula,Haliommetta miocenica,Phormostichoartus pitomorphus,Lamprocyrtis neoheteroporos,Cycladophora davisiana davisiana,Lychnocanoma nipponica sakaii,Eucyrtidium matuyamai,Lamprocyrtis nigriniae,Didymocyrtis tetrathalamus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  2,H, 1, 115.00,      5.7500,Morley   ,Radiolarians                                 ,A              ,M-G               ,                      ,F                     ,                     ,                        ,                   ,                                ,                                   ,                      ,F                       ,+                           ,                        ,F                         ,                ,                       ,C                        ,                         ,                        ,+                 ,T                  ,F                      ,                     ,                          ,F                    ,T                            ,+                          ,C                               ,                             ,R                    ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  2,H, 2, 115.00,      7.2500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,F                     ,                     ,                        ,+                  ,                                ,                                   ,                      ,F                       ,T                           ,                        ,F                         ,                ,T                      ,F                        ,                         ,R                       ,+                 ,                   ,                       ,                     ,                          ,R                    ,+                            ,+                          ,F                               ,T                            ,T                    ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  2,H, 3, 115.00,      8.7500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,R                     ,                     ,                        ,                   ,                                ,                                   ,                      ,F                       ,                            ,                        ,T                         ,                ,                       ,T                        ,                         ,R                       ,T                 ,T                  ,T                      ,                     ,                          ,R                    ,                             ,                           ,F                               ,                             ,T                    ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  2,H, 4, 115.00,     10.2500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,R                     ,                     ,                        ,+                  ,                                ,                                   ,                      ,F                       ,T                           ,                        ,R                         ,                ,R                      ,R                        ,                         ,F                       ,R                 ,T                  ,R                      ,                     ,                          ,R                    ,                             ,R                          ,C                               ,+                            ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  2,H, 5, 115.00,     11.7500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,T                     ,                     ,                        ,+                  ,                                ,                                   ,                      ,R                       ,                            ,                        ,R                         ,                ,T                      ,                         ,                         ,R                       ,+                 ,                   ,R                      ,                     ,                          ,T                    ,                             ,T                          ,F                               ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  2,H, 6, 115.00,     13.2500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,+                     ,                     ,                        ,                   ,                                ,                                   ,                      ,R                       ,                            ,                        ,T                         ,                ,+                      ,T                        ,                         ,F                       ,T                 ,T                  ,+                      ,                     ,                          ,T                    ,+                            ,R                          ,-                               ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  3,H, 1, 115.00,     15.2500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,                      ,                     ,                        ,R                  ,                                ,                                   ,                      ,                        ,                            ,                        ,R                         ,                ,T                      ,R                        ,                         ,F                       ,R                 ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  3,H, 2, 115.00,     16.7500,Morley   ,Radiolarians                                 ,A              ,G                 ,                      ,R                     ,                     ,                        ,T                  ,                                ,                                   ,                      ,R                       ,                            ,                        ,T                         ,                ,                       ,R                        ,                         ,T                       ,T                 ,                   ,                       ,                     ,T                         ,R                    ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  3,H, 3, 115.00,     18.2500,Morley   ,Radiolarians                                 ,A              ,M                 ,                      ,                      ,                     ,                        ,                   ,                                ,                                   ,                      ,R                       ,                            ,                        ,T                         ,                ,                       ,R                        ,                         ,R                       ,                  ,                   ,R                      ,                     ,T                         ,R                    ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  3,H, 4, 115.00,     19.7500,Morley   ,Radiolarians                                 ,C              ,M                 ,                      ,R                     ,                     ,                        ,                   ,                                ,                                   ,                      ,F                       ,                            ,                        ,R                         ,                ,R                      ,T                        ,                         ,T                       ,R                 ,                   ,R                      ,                     ,                          ,R                    ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  3,H, 5, 115.00,     21.2500,Morley   ,Radiolarians                                 ,A              ,M                 ,                      ,F                     ,                     ,                        ,T                  ,                                ,                                   ,                      ,                        ,                            ,                        ,R                         ,                ,T                      ,T                        ,                         ,R                       ,R                 ,                   ,T                      ,                     ,                          ,T                    ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  3,H, 6, 115.00,     22.7500,Morley   ,Radiolarians                                 ,C              ,P-M               ,                      ,F                     ,                     ,                        ,R                  ,                                ,                                   ,                      ,                        ,T                           ,                        ,R                         ,                ,R                      ,                         ,T                        ,R                       ,T                 ,R                  ,R                      ,R                    ,T                         ,R                    ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  4,H, 1, 115.00,     24.7500,Morley   ,Radiolarians                                 ,A              ,P-M               ,                      ,R                     ,                     ,                        ,T                  ,                                ,                                   ,                      ,R                       ,R                           ,                        ,T                         ,                ,T                      ,                         ,R                        ,T                       ,                  ,R                  ,                       ,F                    ,R                         ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  4,H, 2, 115.00,     26.2500,Morley   ,Radiolarians                                 ,A              ,P-M               ,                      ,F                     ,                     ,                        ,R                  ,                                ,                                   ,                      ,R                       ,T                           ,                        ,                          ,                ,                       ,                         ,T                        ,                        ,T                 ,T                  ,R                      ,R                    ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  4,H, 3, 115.00,     27.7500,Morley   ,Radiolarians                                 ,A              ,M                 ,                      ,F                     ,T                    ,+                       ,                   ,                                ,                                   ,                      ,R                       ,T                           ,                        ,R                         ,                ,                       ,R                        ,R                        ,T                       ,                  ,                   ,R                      ,F                    ,+                         ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  4,H, 4, 115.00,     29.2500,Morley   ,Radiolarians                                 ,A              ,P-M               ,                      ,F                     ,C                    ,R                       ,                   ,                                ,                                   ,                      ,R                       ,T                           ,                        ,R                         ,                ,                       ,R                        ,T                        ,                        ,                  ,                   ,R                      ,T                    ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  4,H, 5, 115.00,     30.7500,Morley   ,Radiolarians                                 ,A              ,M                 ,                      ,C                     ,C                    ,F                       ,T                  ,                                ,                                   ,                      ,F                       ,+                           ,                        ,F                         ,                ,                       ,                         ,R                        ,C                       ,                  ,                   ,T                      ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  4,H, 6, 115.00,     32.2500,Morley   ,Radiolarians                                 ,A              ,P-M               ,                      ,F                     ,C                    ,                        ,T                  ,-                               ,                                   ,                      ,                        ,                            ,                        ,T                         ,                ,                       ,                         ,                         ,C                       ,T                 ,T                  ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  5,H, 1, 115.00,     34.2500,Morley   ,Radiolarians                                 ,A              ,M                 ,                      ,R                     ,F                    ,                        ,                   ,T                               ,                                   ,T                     ,T                       ,+                           ,                        ,R                         ,                ,                       ,                         ,                         ,F                       ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  5,H, 2, 115.00,     35.7500,Morley   ,Radiolarians                                 ,A              ,P-M               ,                      ,R                     ,C                    ,T                       ,T                  ,R                               ,                                   ,                      ,R                       ,                            ,                        ,R                         ,                ,T                      ,R                        ,                         ,T                       ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  5,H, 3, 115.00,     37.2500,Morley   ,Radiolarians                                 ,A              ,M                 ,F                     ,R                     ,C                    ,                        ,R                  ,T                               ,                                   ,T                     ,                        ,                            ,                        ,R                         ,                ,                       ,                         ,T                        ,                        ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  5,H, 4, 115.00,     38.7500,Morley   ,Radiolarians                                 ,A              ,P-M               ,                      ,F                     ,C                    ,T                       ,                   ,T                               ,                                   ,                      ,R                       ,                            ,                        ,R                         ,                ,T                      ,                         ,R                        ,                        ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  5,H, 5, 115.00,     40.2500,Morley   ,Radiolarians                                 ,A              ,M                 ,T                     ,F                     ,R                    ,T                       ,+                  ,+                               ,                                   ,+                     ,T                       ,+                           ,                        ,T                         ,                ,+                      ,+                        ,T                        ,                        ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  5,H, 6, 115.00,     41.7500,Morley   ,Radiolarians                                 ,A              ,M                 ,T                     ,R                     ,F                    ,F                       ,R                  ,R                               ,                                   ,+                     ,R                       ,                            ,+                       ,+                         ,T               ,R                      ,T                        ,                         ,                        ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  6,H, 1, 115.00,     43.7500,Morley   ,Radiolarians                                 ,A              ,P-M               ,T                     ,R                     ,F                    ,C                       ,R                  ,T                               ,                                   ,T                     ,R                       ,                            ,T                       ,                          ,                ,                       ,                         ,                         ,                        ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 885,A,  6,H, 2, 115.00,     45.2500,Morley   ,Radiolarians                                 ,R              ,P                 ,R                     ,F                     ,T                    ,F                       ,R                  ,?                               ,C                                  ,+                     ,T                       ,+                           ,                        ,                          ,                ,                       ,                         ,                         ,                        ,                  ,                   ,                       ,                     ,                          ,                     ,                             ,                           ,                                ,                             ,                     ,                      ,                          ,From Leg 145 SR; Ch 4; Table 4; p. 60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
