Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Saturnalis circularis,Pterocanium trilobum,Pterocanium praetextum eucolpum,Phormostichoartus corbula,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Lamprocyclas hannai,Eucyrtidium teuscheri teuscheri,Eucyrtidium calvertense,Eucyrtidium acuminatum,Didymocyrtis tetrathalamus tetrathalamus,Cycladophora davisiana,Cycladophora cornutoides,Acanthodesmia viniculata,Eucyrtidium anomalum,Spongaster tetras tetras,Axoprunum angelinum,Amphirhopalum ypsilon,Pterocanium praetextum praetextum,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium trachelium trachelium,Collosphaera tuberosa,Comment
  IR,                 ,Pleistocene      ,RN16              ,B invaginata  ,175,1077,A,  5,H,CC,  23.00,     43.3900,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,1                        ,                           ,                        ,+                  ,+                              ,+                      ,                      ,+                                       ,+                     ,1                       ,                        ,                    ,                        ,                   ,                     ,                                 ,                       ,+                     ,+                                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,RN16              ,B invaginata  ,175,1077,A,  6,H,CC,  19.00,     52.9300,Motoyama ,Radiolarians                                 ,C              ,G                 ,+                    ,+                   ,+                              ,1                        ,                           ,                        ,+                  ,                               ,                       ,+                     ,1                                       ,+                     ,+                       ,+                       ,1                   ,+                       ,                   ,+                    ,1                                ,                       ,                      ,+                                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,RN16              ,B invaginata  ,175,1077,A,  7,H,CC,  31.00,     62.5500,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,+                        ,                           ,                        ,+                  ,1                              ,1                      ,+                     ,+                                       ,+                     ,+                       ,+                       ,+                   ,+                       ,                   ,                     ,                                 ,                       ,+                     ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A,  8,H,CC,  24.00,     72.2400,Motoyama ,Radiolarians                                 ,A              ,G                 ,1                    ,+                   ,+                              ,                         ,                           ,                        ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,+                       ,1                       ,1                   ,+                       ,+                  ,                     ,                                 ,                       ,+                     ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A,  9,H,CC,  18.00,     80.8900,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,+                        ,                           ,                        ,+                  ,+                              ,+                      ,                      ,+                                       ,+                     ,+                       ,                        ,                    ,+                       ,+                  ,                     ,                                 ,                       ,+                     ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 10,H,CC,  40.00,     91.2600,Motoyama ,Radiolarians                                 ,C              ,G                 ,1                    ,+                   ,                               ,                         ,                           ,                        ,+                  ,+                              ,+                      ,                      ,+                                       ,+                     ,+                       ,1                       ,                    ,                        ,+                  ,                     ,                                 ,                       ,+                     ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 11,H,CC,  17.00,    100.4600,Motoyama ,Radiolarians                                 ,A              ,G                 ,1                    ,+                   ,+                              ,                         ,                           ,                        ,+                  ,+                              ,1                      ,                      ,+                                       ,+                     ,+                       ,1                       ,                    ,+                       ,+                  ,                     ,                                 ,                       ,+                     ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 12,H,CC,  24.00,    110.1900,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,                         ,                           ,                        ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,+                       ,+                       ,                    ,+                       ,                   ,+                    ,                                 ,                       ,+                     ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 14,H,CC,  22.00,    127.4700,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,                         ,                           ,                        ,+                  ,+                              ,                       ,+                     ,+                                       ,+                     ,+                       ,                        ,                    ,                        ,+                  ,+                    ,                                 ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 15,H,CC,  23.00,    138.6700,Motoyama ,Radiolarians                                 ,A              ,G                 ,1                    ,+                   ,1                              ,                         ,                           ,                        ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,+                       ,+                       ,                    ,+                       ,+                  ,+                    ,                                 ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 16,H,CC,  39.00,    148.2800,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,                         ,                           ,                        ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,+                       ,1                       ,+                   ,+                       ,1                  ,                     ,                                 ,+                      ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 17,H,CC,  19.00,    157.5500,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,+                        ,                           ,1                       ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,1                       ,                        ,1                   ,                        ,+                  ,                     ,1                                ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,A. ypsilon        ,A. angelinum  ,175,1077,A, 18,H,CC,  22.00,    166.7300,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,+                   ,+                              ,+                        ,                           ,                        ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,+                       ,1                       ,+                   ,                        ,+                  ,+                    ,                                 ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,A. angulare   ,175,1077,A, 19,H,CC,  27.00,    176.3900,Motoyama ,Radiolarians                                 ,A              ,G                 ,1                    ,+                   ,+                              ,+                        ,+                          ,                        ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,+                       ,+                       ,                    ,1                       ,+                  ,                     ,                                 ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,A. angulare   ,175,1077,A, 20,H,CC,  25.00,    185.9300,Motoyama ,Radiolarians                                 ,C              ,G                 ,+                    ,+                   ,                               ,+                        ,+                          ,1                       ,+                  ,+                              ,1                      ,+                     ,+                                       ,+                     ,+                       ,+                       ,+                   ,1                       ,+                  ,                     ,                                 ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,A. angulare   ,175,1077,A, 21,H,CC,  25.00,    195.4900,Motoyama ,Radiolarians                                 ,C              ,G                 ,                     ,                    ,1                              ,+                        ,+                          ,                        ,+                  ,+                              ,                       ,+                     ,+                                       ,+                     ,+                       ,1                       ,1                   ,                        ,                   ,                     ,                                 ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,A. angulare   ,175,1077,A, 22,H,CC,  23.00,    205.0100,Motoyama ,Radiolarians                                 ,A              ,G                 ,+                    ,1                   ,+                              ,+                        ,+                          ,1                       ,+                  ,+                              ,+                      ,+                     ,+                                       ,+                     ,+                       ,+                       ,                    ,                        ,                   ,                     ,                                 ,                       ,                      ,                                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
