Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Menardella menardii,Hastigerina siphonifera,Globigerinoides trilobus,Globigerinoides ruber,Globigerina bulloides,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (sinistral),Globorotaloides hexagona,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia scitula,Globorotalia hirsuta,Globorotalia crassaformis hessi,Globorotalia crassaformis,Globorotalia conglomerata,Globorotalia aequilaterus,Globoconella inflata,Globigerinoides sacculifer,Globigerinoides ruber (pink),Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerina quinqueloba,Beella digitata,Globorotalia menardii,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  5,H,CC,  23.00,     43.3900,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A13              ,6                          ,-                         ,-                  ,1                      ,2                       ,A9                   ,A12                  ,-                        ,-                           ,-                                      ,-                       ,-                  ,-                            ,-                   ,-                   ,-                              ,1                        ,-                        ,-                        ,A12                 ,-                         ,2                           ,2                            ,+                        ,-                      ,-                      ,-              ,                     ,                      ,Low planktonic: benthic ratio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  6,H,CC,  19.00,     52.9300,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A16              ,A20                        ,4                         ,                   ,4                      ,                        ,6                    ,2                    ,                         ,                            ,                                       ,                        ,                   ,                             ,                    ,                    ,                               ,1                        ,                         ,                         ,A10                 ,                          ,2                           ,                             ,                         ,                       ,3                      ,               ,                     ,                      ,pyrite and sponge spicules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  7,H,CC,  31.00,     62.5500,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,D27              ,A11                        ,4                         ,                   ,3                      ,3                       ,A11                  ,                     ,                         ,                            ,4                                      ,                        ,5                  ,2                            ,                    ,                    ,                               ,                         ,                         ,                         ,3                   ,4                         ,5                           ,                             ,                         ,                       ,                       ,               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  8,H,CC,  24.00,     72.2400,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A11              ,D37                        ,3                         ,                   ,7                      ,3                       ,A13                  ,3                    ,                         ,                            ,3                                      ,                        ,                   ,                             ,                    ,                    ,                               ,3                        ,                         ,                         ,7                   ,3                         ,3                           ,                             ,                         ,                       ,                       ,               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A,  9,H,CC,  18.00,     80.8900,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,A5               ,A5                         ,                          ,                   ,A6                     ,1                       ,2                    ,3                    ,                         ,                            ,1                                      ,2                       ,                   ,                             ,                    ,                    ,                               ,                         ,                         ,                         ,2                   ,                          ,2                           ,                             ,                         ,                       ,                       ,1              ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 10,H,CC,  40.00,     91.2600,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A16              ,A12                        ,                          ,A10                ,5                      ,3                       ,A13                  ,5                    ,                         ,                            ,                                       ,                        ,                   ,                             ,                    ,                    ,                               ,1                        ,                         ,                         ,                    ,                          ,1                           ,                             ,                         ,                       ,                       ,               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 11,H,CC,  17.00,    100.4600,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,2                ,A14                        ,4                         ,A7                 ,1                      ,2                       ,A8                   ,4                    ,-                        ,-                           ,2                                      ,-                       ,-                  ,-                            ,-                   ,-                   ,-                              ,-                        ,-                        ,-                        ,2                   ,-                         ,A12                         ,-                            ,-                        ,-                      ,-                      ,-              ,                     ,                      ,no change in fauna that reflects change to early Pleistocene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 12,H,CC,  24.00,    110.1900,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,A23              ,A12                        ,A17                       ,                   ,3                      ,5                       ,A11                  ,A17                  ,                         ,4                           ,1                                      ,                        ,                   ,                             ,                    ,                    ,                               ,1                        ,                         ,                         ,2                   ,4                         ,A16                         ,                             ,                         ,                       ,2                      ,               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 14,H,CC,  22.00,    127.4700,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,2                ,D13                        ,2                         ,1                  ,A4                     ,2                       ,                     ,2                    ,                         ,                            ,                                       ,2                       ,                   ,                             ,                    ,                    ,                               ,                         ,                         ,                         ,A3                  ,                          ,1                           ,                             ,                         ,                       ,                       ,               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 15,H,CC,  23.00,    138.6700,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A9               ,A13                        ,A10                       ,                   ,8                      ,4                       ,D33                  ,A9                   ,2                        ,                            ,2                                      ,                        ,                   ,                             ,                    ,                    ,                               ,                         ,                         ,                         ,3                   ,1                         ,                            ,                             ,                         ,                       ,1                      ,               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 16,H,CC,  39.00,    148.2800,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,A15              ,A14                        ,A14                       ,                   ,A11                    ,                        ,6                    ,3                    ,                         ,                            ,1                                      ,                        ,                   ,                             ,                    ,                    ,                               ,                         ,                         ,                         ,7                   ,1                         ,1                           ,                             ,                         ,                       ,                       ,               ,                     ,                      ,clayey and gray so it is difficult to pick forams and also difficult to differentiat the G. ruber-pink from white (dirty bugs); there are ostracods.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 17,H,CC,  19.00,    157.5500,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,D127             ,2                          ,6                         ,                   ,A12                    ,4                       ,8                    ,5                    ,                         ,                            ,                                       ,                        ,                   ,                             ,                    ,                    ,                               ,5                        ,                         ,                         ,                    ,1                         ,                            ,                             ,                         ,                       ,                       ,               ,                     ,                      ,Very large Orbulinas - didn't pick them!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 18,H,CC,  22.00,    166.7300,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,1                ,4                          ,                          ,                   ,                       ,                        ,                     ,                     ,                         ,                            ,                                       ,                        ,                   ,                             ,                    ,                    ,                               ,                         ,                         ,                         ,                    ,                          ,                            ,                             ,                         ,                       ,                       ,               ,                     ,                      ,very few forams; dissolution is a problem here; clays are gray
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 19,H,CC,  27.00,    176.3900,Christensen,Planktonic Foraminifers                      ,B              ,                  ,-                ,-                          ,-                         ,-                  ,-                      ,-                       ,-                    ,-                    ,-                        ,-                           ,-                                      ,-                       ,-                  ,-                            ,-                   ,-                   ,-                              ,-                        ,-                        ,-                        ,-                   ,-                         ,-                           ,-                            ,-                        ,-                      ,-                      ,-              ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 20,H,CC,  25.00,    185.9300,Christensen,Planktonic Foraminifers                      ,A              ,G                 ,1                ,D49                        ,A29                       ,2                  ,A21                    ,1                       ,A25                  ,2                    ,3                        ,2                           ,1                                      ,-                       ,1                  ,-                            ,-                   ,-                   ,-                              ,1                        ,-                        ,-                        ,-                   ,3                         ,-                           ,3                            ,-                        ,-                      ,1                      ,-              ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1077,A, 21,H,CC,  25.00,    195.4900,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A13              ,A10                        ,A7                        ,1                  ,A6                     ,1                       ,A10                  ,A9                   ,                         ,                            ,                                       ,                        ,                   ,                             ,                    ,                    ,                               ,                         ,                         ,                         ,                    ,                          ,                            ,                             ,                         ,                       ,                       ,               ,                     ,                      ,some pyritized forms.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
