Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spp.,Sphenolithus heteromorphus,Reticulofenestra spp.,Pontosphaera spp.,Helicosphaera carteri,Helicosphaera ampliaperta,Discoaster musicus,Discoaster formosus,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus miopelagicus,Calcidiscus leptoporus,Geminilithella rotula,Discoaster variabilis,Discoaster moorei,Discoaster exilis,Triquetrorhabdulus milowii,Discoaster signus,Coccolithus pelagicus,Thoracosphaera spp.,Reticulofenestra pseudoumbilicus,Triquetrorhabdulus serratus,Helicosphaera intermedia,Discoaster bollii,Calcidiscus macintyrei,Triquetrorhabdulus rugosus,Discoaster kugleri,Umbilicosphaera spp.,Catinaster coalitus,Discoaster calcaris,Discoaster bellus,Discoaster hamatus,Discoaster quinqueramus,Discoaster surculus,Discoaster pseudovariabilis,Discoaster brouweri,Minylitha convallis,Discoaster neohamatus,Discoaster neorectus,Discoaster loeblichii,Discoaster berggrenii,Amaurolithus primus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Reticulofenestra rotaria,Amaurolithus amplificus,Discoaster pentaradiatus,Discoaster intercalaris,Scyphosphaera spp.,Discoaster asymmetricus,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus rugosus,Syracosphaera sp.,Ceratolithus telesmus,Thoracosphaera sp.,Ceratolithus cristatus,Pseudoemiliania lacunosa,Discoaster tamalis,Helicosphaera sellii,Discoaster triradiatus,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<4 microns),Gephyrocapsa oceanica,Gephyrocapsa spp. large (>5.5 microns),Gephyrocapsa omega,Helicosphaera hyalina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14a             ,              ,138, 846,B,  2,H,CC,   5.00,     16.7900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,A                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,                      ,F                       ,                  ,                    ,                      ,                       ,C                                   ,F                    ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14a             ,              ,138, 846,B,  3,H, 1,  42.00,     16.9200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,A                    ,                 ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,F                    ,                  ,F                     ,F                       ,                  ,                    ,                      ,                       ,C                                   ,F                    ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14a             ,              ,138, 846,B,  4,H, 1,  40.00,     26.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,C                                   ,                     ,                                      ,F                 ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14a             ,              ,138, 846,B,  4,H, 5,  42.00,     32.4200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,F                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,A                                   ,F                    ,                                      ,F                 ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14a             ,              ,138, 846,B,  4,H, 5, 120.00,     33.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,A                    ,R                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,cf                   ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,C                     ,A                       ,                  ,                    ,                      ,                       ,A                                   ,F                    ,                                      ,R                 ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN14a             ,              ,138, 846,B,  4,H, 6,  45.00,     33.9500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,F                                   ,R                    ,                                      ,R                 ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  4,H, 6, 120.00,     34.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,C                                   ,                     ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  4,H, 7,  20.00,     35.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,F                                   ,                     ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  4,H, 7,  54.00,     35.5400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,                 ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,R                     ,A                       ,                  ,                    ,                      ,                       ,F                                   ,                     ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  5,H, 1,  49.00,     35.9900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,F                     ,F                    ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,C                                   ,cf                   ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  5,H, 3,  40.00,     38.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,F                    ,F                ,F                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,                                    ,                     ,R                                     ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  5,H, 3, 120.00,     39.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,F                    ,F                ,F                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,R                    ,                  ,F                     ,A                       ,                  ,                    ,                      ,                       ,                                    ,                     ,cf                                    ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  5,H, 4,  40.00,     40.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,F                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,R                    ,F                 ,R                     ,A                       ,                  ,                    ,                      ,                       ,                                    ,                     ,F                                     ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  5,H, 6,  42.00,     43.4200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,A                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,                      ,A                       ,                  ,                    ,                      ,                       ,C                                   ,F                    ,C                                     ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  6,H, 1,  39.00,     45.3900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,F                     ,A                       ,                  ,                    ,                      ,                       ,C                                   ,C                    ,C                                     ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  6,H, 3,  39.00,     48.3900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,F                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,                     ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,                  ,R                     ,A                       ,                  ,                    ,                      ,                       ,C                                   ,C                    ,F                                     ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  6,H, 3, 120.00,     49.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,C                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,R                    ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,F                     ,C                       ,                  ,                    ,                      ,                       ,F                                   ,C                    ,R                                     ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  6,H, 4,  39.00,     49.8900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                          ,C                    ,F                ,F                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,F                    ,                     ,                 ,                 ,                          ,                 ,F                    ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,                 ,                     ,                  ,R                     ,A                       ,                  ,F                   ,                      ,                       ,C                                   ,C                    ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN13b             ,              ,138, 846,B,  6,H, 5,  40.00,     51.4000,Raffi    ,Nannofossils                                 ,C              ,G                 ,                 ,                          ,C                    ,R                ,F                    ,                         ,                  ,                   ,                     ,                     ,                           ,                      ,                        ,C                     ,                     ,                     ,                 ,                 ,                          ,                 ,C                    ,                   ,                                ,                           ,                        ,                 ,                      ,                          ,                  ,                    ,                   ,                   ,                 ,                  ,                       ,                   ,                           ,                   ,                   ,                     ,                    ,                     ,                     ,                   ,                            ,                      ,                        ,                       ,                        ,                       ,                  ,                       ,                    ,                   ,                    ,F                ,                     ,R                 ,                      ,C                       ,                  ,F                   ,                      ,                       ,A                                   ,C                    ,                                      ,                  ,                     ,from ODP Leg 138 SR Chapter 12 Table 13 pp 252-255
