Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Lithopera thornburgi,Lithopera renzae,Diartus petterssoni,Cyrtocapsella japonica,Cyrtocapsella cornuta,Carpocanopsis cristata,Botryostrobus miralestensis,Stichocorys delmontensis,Siphostichartus corona,Phormostichoartus doliolum,Diartus hughesi,Calocycletta caepa,Stichocorys johnsoni,Solenosphaera omnitubus omnitubus,Didymocyrtis penultima,Stichocorys peregrina,Lychnodictyum audax,Theocorythium vetulum,Stylatractus universus,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocalyptra davisiana,Anthocyrtidium angulare,Pterocorys minythorax,Lamprocyrtis nigriniae,Theocorythium trachelium trachelium,Collosphaera tuberosa,Comment
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  5,H,CC,  21.00,     45.5000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,R                    ,R                     ,R                                  ,                     ,Uncertain identity of L. nigrini; from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  6,H, 1,  50.00,     45.5000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,R                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  6,H, 2,  50.00,     47.0000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,R                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  6,H, 3, 110.00,     49.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,-                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  6,H, 4, 100.00,     50.5000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,                      ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,-                    ,-                     ,R                                  ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  6,H, 5, 110.00,     52.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,-                     ,                         ,R                          ,                        ,                         ,                       ,R                    ,R                     ,R                      ,-                    ,-                     ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,B,  6,H,CC,  21.00,     53.9000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,-                     ,                         ,R                          ,-                       ,                         ,                       ,R                    ,R                     ,R                      ,-                    ,-                     ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  7,H, 3, 110.00,     58.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,-                       ,                         ,                       ,R                    ,R                     ,-                      ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  7,H, 5, 110.00,     61.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,-                       ,                         ,                       ,R                    ,R                     ,-                      ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  7,H,CC,  20.00,     64.2300,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,-                     ,                         ,R                          ,-                       ,                         ,                       ,R                    ,R                     ,-                      ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  8,H, 3, 115.00,     68.1500,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,-                       ,                         ,                       ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  8,H, 4, 100.00,     69.5000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,R                       ,                         ,                       ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,B,  8,H, 5, 110.00,     71.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,F                    ,R                     ,R                ,R                     ,                         ,R                          ,R                       ,                         ,                       ,R                    ,R                     ,                       ,                     ,                      ,                                   ,                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
