Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorys redondoensis	Stylatractus universus	Stichocorys peregrina	Stichocorys delmontensis	Prunopyle hayesi	Phormostichoartus fistula	Lychnocanoma nipponica nipponica	Cycladophora cosma cosma	Actinomma popofskii	Sphaeropyle robusta	Eucyrtidium calvertense	Dictyophimus splendens	Stylacontarium acquilonium	Cycladophora pliocenica	Lamprocyrtis heteroporos	Anthocyrtella (?) callopisma	Phormostichoartus crustula	Sphaeropyle langii	Dictyophimus bullatus	Botryostrobus aquilonaris	Cycladophora davisiana davisiana	Lamprocyrtis neoheteroporos	Haliommetta miocenica	Phormostichoartus pitomorphus	Lychnocanoma nipponica sakaii	Eucyrtidium matuyamai	Didymocyrtis tetrathalamus	Lamprocyrtis nigriniae	Comment
  SR	                 	                 	                  	              	145	 881	C	  6	H	CC	  16.00	     51.6100	Morley   	Radiolarians                                 	C              	M-G               	                      	+                     	                     	                        	                	                         	                                	F                       	                   	                   	T                      	                      	R                         	R                      	-                       	R                           	                          	R                 	                     	R                        	C                               	+                          	+                    	                             	R                            	                     	R                         	R                     	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  7	H	CC	   7.00	     60.5600	Morley   	Radiolarians                                 	C              	M                 	                      	T                     	                     	                        	                	                         	                                	F                       	                   	                   	T                      	                      	F                         	T                      	-                       	T                           	                          	R                 	                     	T                        	C                               	-                          	T                    	                             	T                            	T                    	                          	T                     	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  8	H	CC	  28.00	     70.8200	Morley   	Radiolarians                                 	F              	M-G               	                      	                      	                     	                        	                	-                        	                                	F                       	                   	                   	T                      	                      	R                         	T                      	                        	                            	                          	                  	                     	R                        	C                               	R                          	R                    	                             	T                            	T                    	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	  9	H	CC	   0.00	     78.8400	Morley   	Radiolarians                                 	C              	M-G               	                      	R                     	                     	                        	                	                         	                                	F                       	                   	                   	                       	                      	R                         	R                      	                        	                            	                          	R                 	                     	                         	C                               	                           	                     	-                            	                             	R                    	+                         	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 10	H	CC	   0.00	     89.3800	Morley   	Radiolarians                                 	R              	M                 	                      	                      	                     	                        	                	                         	                                	F                       	                   	                   	T                      	                      	F                         	T                      	                        	R                           	                          	+                 	                     	T                        	C                               	                           	                     	R                            	                             	R                    	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 11	H	CC	  20.00	     98.5200	Morley   	Radiolarians                                 	F              	M                 	                      	R                     	                     	                        	                	                         	                                	R                       	                   	+                  	                       	                      	R                         	T                      	                        	                            	                          	T                 	                     	                         	C                               	                           	F                    	                             	                             	T                    	+                         	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 12	H	CC	  20.00	    108.6800	Morley   	Radiolarians                                 	C              	M                 	                      	T                     	                     	                        	                	                         	                                	F                       	                   	T                  	                       	                      	R                         	R                      	-                       	T                           	                          	T                 	                     	                         	C                               	                           	R                    	                             	                             	R                    	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 13	H	 7	  30.00	    117.6000	Morley   	Radiolarians                                 	C              	M                 	                      	R                     	                     	                        	                	                         	                                	C                       	R                  	T                  	T                      	                      	R                         	F                      	R                       	                            	                          	R                 	                     	T                        	C                               	T                          	F                    	R                            	T                            	R                    	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 14	H	CC	  23.00	    127.7600	Morley   	Radiolarians                                 	C              	M-G               	                      	F                     	                     	                        	                	                         	                                	C                       	                   	T                  	R                      	                      	F                         	T                      	R                       	                            	                          	                  	                     	                         	C                               	T                          	R                    	R                            	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 15	H	CC	  23.00	    137.0700	Morley   	Radiolarians                                 	R              	M                 	                      	                      	                     	                        	                	                         	                                	R                       	R                  	                   	                       	                      	T                         	                       	                        	T                           	                          	R                 	                     	                         	C                               	                           	F                    	                             	T                            	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 16	H	CC	  24.00	    146.7300	Morley   	Radiolarians                                 	C              	M-G               	                      	R                     	                     	                        	                	                         	                                	C                       	                   	                   	                       	                      	R                         	                       	R                       	R                           	                          	T                 	                     	                         	C                               	T                          	R                    	T                            	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 17	H	CC	  20.00	    155.7500	Morley   	Radiolarians                                 	F              	M                 	                      	F                     	                     	                        	                	                         	                                	R                       	                   	                   	                       	                      	F                         	R                      	R                       	R                           	                          	                  	                     	T                        	F                               	T                          	R                    	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 18	X	 3	  50.00	    159.3000	Morley   	Radiolarians                                 	F              	M                 	                      	F                     	                     	                        	                	R                        	                                	F                       	R                  	                   	                       	                      	T                         	T                      	R                       	R                           	                          	                  	                     	R                        	R                               	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 25	X	 1	  20.00	    219.2000	Morley   	Radiolarians                                 	F              	M                 	                      	F                     	                     	                        	                	                         	                                	R                       	T                  	                   	                       	                      	R                         	R                      	T                       	                            	                          	T                 	T                    	+                        	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 25	X	 4	  50.00	    224.0000	Morley   	Radiolarians                                 	R              	M                 	                      	F                     	                     	                        	                	                         	                                	R                       	T                  	R                  	                       	                      	R                         	R                      	R                       	                            	                          	                  	R                    	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 27	X	 1	  20.00	    238.5000	Morley   	Radiolarians                                 	F              	P-M               	                      	R                     	T                    	                        	                	R                        	                                	F                       	                   	                   	                       	                      	T                         	R                      	T                       	                            	T                         	                  	T                    	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 27	X	 5	  20.00	    244.5000	Morley   	Radiolarians                                 	F              	P-M               	                      	F                     	C                    	F                       	                	T                        	                                	                        	                   	                   	                       	                      	                          	R                      	F                       	                            	                          	                  	+                    	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 29	X	 1	  20.00	    257.8000	Morley   	Radiolarians                                 	C              	M                 	                      	F                     	C                    	F                       	                	                         	                                	                        	T                  	                   	                       	                      	R                         	R                      	F                       	                            	                          	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 29	X	 3	  20.00	    260.7000	Morley   	Radiolarians                                 	C              	M                 	                      	C                     	C                    	F                       	                	                         	                                	T                       	+                  	                   	                       	                      	T                         	                       	R                       	                            	                          	T                 	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 30	X	 1	  21.00	    267.4100	Morley   	Radiolarians                                 	A              	P-M               	+                     	F                     	C                    	F                       	                	                         	-                               	F                       	                   	                   	T                      	T                     	                          	                       	F                       	T                           	+                         	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 30	X	 7	  22.00	    276.4200	Morley   	Radiolarians                                 	R              	M                 	R                     	R                     	C                    	F                       	                	                         	-                               	R                       	T                  	                   	                       	T                     	R                         	                       	R                       	R                           	                          	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 32	X	 1	  20.00	    286.7000	Morley   	Radiolarians                                 	C              	M                 	T                     	F                     	C                    	F                       	                	                         	+                               	                        	R                  	                   	T                      	T                     	R                         	R                      	                        	                            	                          	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 32	X	 3	  20.00	    289.7000	Morley   	Radiolarians                                 	C              	M                 	R                     	F                     	C                    	R                       	                	                         	T                               	                        	T                  	                   	                       	T                     	                          	                       	                        	                            	                          	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 35	X	 1	  22.00	    315.6200	Morley   	Radiolarians                                 	A              	P-M               	T                     	R                     	F                    	F                       	                	                         	T                               	                        	R                  	T                  	+                      	R                     	T                         	                       	                        	                            	                          	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 36	X	 1	  29.00	    325.3900	Morley   	Radiolarians                                 	A              	M                 	T                     	T                     	F                    	C                       	R               	                         	R                               	T                       	R                  	T                  	T                      	F                     	                          	                       	                        	                            	                          	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

  SR	                 	                 	                  	              	145	 881	C	 36	X	 7	  29.00	    334.3900	Morley   	Radiolarians                                 	A              	M                 	T                     	+                     	F                    	C                       	T               	+                        	-                               	T                       	T                  	                   	                       	                      	                          	                       	                        	                            	                          	                  	                     	                         	                                	                           	                     	                             	                             	                     	                          	                      	from Leg 145 SR; Ch 4; Table 2; p. 57

