leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
14,140,A,2,3,0.0,0.0,235.00,238.00, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDESM0041,Desmospyris lata (q),PRESENT,  ,1,557ccb66fe1d57de4a1febcfe70b8e50
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RHELS0010,Heliosestilla spicata,PRESENT,  ,1,ef7d1b680ffbe2e18d17febf369f9ba0
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RSTYA0040,Stylatractus ostracion,PRESENT,  ,1,aa6cfe324e488500148afc976d0acdbd
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RTRIG0030,Trigonactinium sp.,PRESENT,  ,1,8b7b49f41276a1d051fb9abcbc9ecfa5
14,140,A,2,6,0.0,0.0,235.00,242.50, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLOPY0031,Lophocyrtis jacchia (q),PRESENT,  ,1,bb34b813c26457c5cc9113aaef230221
14,140,A,2,6,0.0,0.0,235.00,242.50, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RRHOA0010,Rhopalocanium ornatum,PRESENT,  ,1,3dd2a3c0fd31d5d7e976f58a7078202a
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RACTN0010,Actinommura sp.,PRESENT,  ,1,bea271fe5183efc530507c26b711c045
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RAXOP0050,Axoprunum polycentrum,PRESENT,  ,1,c4ee6bd3281979b8e3499b63c29be51f
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RBATH0050,Bathropyramis scalaris,PRESENT,  ,1,2f162515c82bb607d7a4f660a50374a3
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RCORU0020,Cornutella clava,PRESENT,  ,1,ecd6b58ae82d3f8fe6cd988bbbbd87be
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDICU0110,Dictyophimus pocillum,PRESENT,  ,1,229ba78c8e90509ba8a736ee343bb7ef
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLIRI0010,Liriospyris sp.,PRESENT,  ,1,b2323ca5db6bd60e5de05dcadb15acae
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLOPP0021,Lophophaena capito (q),PRESENT,  ,1,821846c8453a2ef0791603b9c9e9c637
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPERY0010,Peripyramis sp.,PRESENT,  ,1,74a0f735ad6e5e368c8a52ef8dc5ebc4
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPTEP0010,Pteropilium sp.,PRESENT,  ,1,d7c9c356d759de31e53d22ff2838fff9
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPTER0071,Pterolanium prismatium (q),PRESENT,  ,1,57d3fa210597249430c89d47987bcf7a
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RRHOD0010,Rhodospyris sp.,PRESENT,  ,2,504941ab4c7b6b6e664e92360f0e1154
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RSTEP0021,Stephanastrum rhopaloporum (q),PRESENT,  ,2,591e3a6ef49bb48359c8850a9d47e893
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RTRIL0011,Tricolocapsa sp. (q),PRESENT,  ,2,80a3892ace4f7abab8958fbbe173d366
