Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Rossiella paleacea,Denticulopsis hustedtii,Crucidenticula nicobarica,Coscinodiscus marginatus,Cavitatus jouseanus,Annellus californicus,Coscinodiscus lewisianus,Cestodiscus pulchellus,Cestodiscus peplum,Thalassionema nitzschioides,Odontella aurita,Craspedodiscus coscinodiscus,Azpeitia nodulifera,Actinocyclus moronensis,Actinoptychus senarius,Thalassiosira tappanae,Asteromphalus elegans,Triceratium pileus,Thalassiosira yabei,Coscinodiscus lewisianus var. similis,Actinocyclus ellipticus var. javanica,Coscinodiscus temperei var. delicata,Thalassiosira oestrupii,Nitzschia porteri,Hemidiscus cuneiformis,Actinocyclus ellipticus,Thalassiosira praeconvexa,Nitzschia miocenica,Nitzschia marina,Rhizosolenia praebergonii var. robusta,Nitzschia fossilis,Pseudoeunotia doliolus,Nitzschia reinholdii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 27,R,CC,  14.00,    417.3700,White    ,Diatoms                                      ,A              ,M                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,F                          ,                ,                            ,R                  ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,A                      ,                 ,                      ,rR                     ,                         ,                   ,R               ,                                      ,                  ,F                     ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N. reinholdii ,170,1040,C, 28,R, 1, 125.00,    420.3500,White    ,Diatoms                                      ,F              ,P                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,                           ,                ,                            ,                   ,                       ,                      ,                      ,R                    ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,rR                                    ,                  ,                      ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 28,R, 2, 125.00,    421.8500,White    ,Diatoms                                      ,F              ,P                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,                           ,                ,                            ,                   ,                       ,                      ,                      ,R                    ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,rR                                    ,                  ,                      ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 28,R, 3,  42.00,    422.5200,White    ,Diatoms                                      ,F              ,P                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,R                          ,                ,                            ,R                  ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,F                      ,                 ,R                     ,                       ,                         ,                   ,R               ,rR                                    ,                  ,R                     ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 28,R,CC,  20.00,    425.3000,White    ,Diatoms                                      ,R              ,P                 ,                         ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,R                          ,                ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,R                      ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 29,R, 3,  97.00,    432.5700,White    ,Diatoms                                      ,F              ,G                 ,R                        ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,F                          ,                ,                            ,                   ,                       ,R                     ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,F                      ,                 ,R                     ,                       ,                         ,                   ,R               ,rR                                    ,R                 ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 33,R,CC,  18.00,    476.8900,White    ,Diatoms                                      ,R              ,P                 ,                         ,                  ,                       ,                         ,R                       ,                   ,                     ,                        ,                      ,                  ,                           ,                ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,R               ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,170,1040,C, 34,R, 3, 150.00,    481.2000,White    ,Diatoms                                      ,F              ,M                 ,R                        ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,                           ,                ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,R                      ,                 ,                      ,                       ,R                        ,R                  ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,N.marina          ,T. yabei      ,170,1040,C, 34,R,CC,  23.00,    483.4600,White    ,Diatoms                                      ,F              ,M                 ,R                        ,                  ,                       ,                         ,                        ,                   ,                     ,                        ,                      ,                  ,R                          ,                ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,R                      ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,N.marina          ,T. yabei      ,170,1040,C, 35,R, 3, 152.00,    490.8900,White    ,Diatoms                                      ,F              ,P                 ,F                        ,R                 ,                       ,                         ,F                       ,                   ,                     ,                        ,                      ,                  ,                           ,                ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,R                      ,                 ,R                     ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,A new PAL sample was created and substitued for the original depth range of 132-152 cm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,                  ,              ,170,1040,C, 35,R, 4,  90.00,    491.7900,White    ,Diatoms                                      ,C              ,P                 ,F                        ,R                 ,                       ,                         ,F                       ,                   ,                     ,rR                      ,                      ,                  ,R                          ,                ,                            ,R                  ,R                      ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,F                      ,                 ,F                     ,rR                     ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,                  ,              ,170,1040,C, 36,R,CC,   8.00,    502.3300,White    ,Diatoms                                      ,C              ,G                 ,F                        ,F                 ,F                      ,                         ,                        ,                   ,                     ,rR                      ,                      ,                  ,F                          ,                ,                            ,F                  ,R                      ,                      ,                      ,                     ,rR                ,F                  ,                                     ,                                     ,F                                   ,F                      ,F                ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 37,R,CC,   0.00,    511.7600,White    ,Diatoms                                      ,C              ,M                 ,C                        ,R                 ,F                      ,                         ,                        ,                   ,                     ,rR                      ,                      ,                  ,                           ,                ,F                           ,F                  ,                       ,                      ,                      ,                     ,                  ,F                  ,                                     ,                                     ,C                                   ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 38,R, 6,  33.00,    523.1300,White    ,Diatoms                                      ,A              ,G                 ,C                        ,F                 ,F                      ,                         ,                        ,                   ,                     ,rR                      ,rR                    ,                  ,F                          ,                ,                            ,F                  ,                       ,                      ,                      ,                     ,rR                ,F                  ,                                     ,R                                    ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 39,R, 5,  41.00,    531.3100,White    ,Diatoms                                      ,C              ,G                 ,C                        ,F                 ,F                      ,R                        ,                        ,                   ,                     ,rR                      ,                      ,                  ,                           ,F               ,                            ,                   ,                       ,                      ,                      ,                     ,rR                ,R                  ,rR                                   ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 40,R,CC,  14.00,    544.3100,White    ,Diatoms                                      ,A              ,M                 ,C                        ,F                 ,F                      ,C                        ,                        ,                   ,                     ,C                       ,F                     ,                  ,F                          ,F               ,F                           ,C                  ,                       ,R                     ,                      ,R                    ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 41,R,CC,  16.00,    553.9400,White    ,Diatoms                                      ,A              ,G                 ,A                        ,F                 ,                       ,A                        ,                        ,                   ,                     ,C                       ,                      ,                  ,F                          ,F               ,                            ,F                  ,R                      ,                      ,F                     ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 42,R,CC,  12.00,    563.4600,White    ,Diatoms                                      ,A              ,M                 ,A                        ,                  ,F                      ,A                        ,                        ,                   ,                     ,F                       ,F                     ,                  ,F                          ,C               ,F                           ,R                  ,                       ,                      ,F                     ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 43,R,CC,  19.00,    568.5100,White    ,Diatoms                                      ,A              ,M                 ,A                        ,                  ,F                      ,A                        ,                        ,                   ,                     ,F                       ,F                     ,R                 ,                           ,F               ,F                           ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 44,R,CC,  21.00,    579.3100,White    ,Diatoms                                      ,A              ,M                 ,A                        ,                  ,                       ,C                        ,                        ,                   ,                     ,F                       ,F                     ,R                 ,                           ,F               ,                            ,F                  ,                       ,                      ,F                     ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 45,R,CC,  39.00,    590.0200,White    ,Diatoms                                      ,A              ,G                 ,A                        ,F                 ,                       ,A                        ,F                       ,                   ,                     ,F                       ,C                     ,R                 ,F                          ,C               ,                            ,                   ,                       ,R                     ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 46,R,CC,  13.00,    598.8600,White    ,Diatoms                                      ,A              ,G                 ,A                        ,F                 ,                       ,A                        ,                        ,                   ,                     ,                        ,C                     ,R                 ,                           ,                ,F                           ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 47,R,CC,  19.00,    611.7800,White    ,Diatoms                                      ,A              ,G                 ,A                        ,F                 ,                       ,C                        ,C                       ,                   ,                     ,R                       ,F                     ,R                 ,F                          ,C               ,F                           ,F                  ,R                      ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 48,R,CC,  13.00,    621.4500,White    ,Diatoms                                      ,A              ,M                 ,A                        ,R                 ,R                      ,F                        ,F                       ,F                  ,                     ,R                       ,C                     ,R                 ,F                          ,F               ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 49,R, 6, 129.00,    629.9900,White    ,Diatoms                                      ,A              ,M                 ,A                        ,R                 ,                       ,C                        ,F                       ,F                  ,                     ,F                       ,F                     ,F                 ,                           ,                ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,              ,170,1040,C, 50,R, 6,  18.00,    638.4800,White    ,Diatoms                                      ,A              ,M                 ,A                        ,F                 ,F                      ,C                        ,F                       ,F                  ,R                    ,                        ,                      ,                  ,                           ,                ,                            ,                   ,                       ,                      ,                      ,                     ,                  ,                   ,                                     ,                                     ,                                    ,                       ,                 ,                      ,                       ,                         ,                   ,                ,                                      ,                  ,                      ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
