Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis disjuncta	Praeorbulina transitoria	Praeorbulina sicana	Praeorbulina glomerosa glomerosa	Praeorbulina glomerosa curva	Praeorbulina glomerosa circularis	Globorotaloides suteri	Globorotalia praemenardii	Globorotalia peripheroronda	Globorotalia peripheroacuta	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides ruber s.l.	Globigerinoides quadrilobatus s.l.	Globigerinoides mitra	Globigerinoides diminutus	Globigerinoides bisphericus	Globigerinatella insueta	Dentoglobigerina altispira altispira	Clavatorella bermudezi	Globorotalia scitula	Globigerinoides obliquus obliquus	Globigerinella praesiphonifera	Orbulina suturalis	Globorotalia praefohsi	Sphaeroidinellopsis kochi	Orbulina universa	Sphaeroidinellopsis seminulina	Globoturborotalita nepenthes	Globorotaloides variabilis	Globorotaloides hexagona	Globorotalia menardii s.l.	Globigerinita glutinata	Globorotalia miozea	Globorotalia limbata	Globigerinoides obliquus extremus	Globigerinella siphonifera	Dentoglobigerina altispira globosa	Neogloboquadrina acostaensis	Candeina nitida	Pulleniatina primalis	Pulleniatina obliquiloculata	Globorotalia tumida tumida	Globorotalia margaritae	Globigerinoides conglobatus	Neogloboquadrina humerosa	Sphaeroidinella dehiscens	Globoquadrina conglomerata	Globorotalia tumida flexuosa	Globorotalia crassaformis	Globigerinoides fistulosus	Comment

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  1	R	 5	 133.00	      7.3300	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	                         	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+?                               	                              	+                 	                      	+                        	+                	+                             	                            	                          	+                       	                          	+                      	                   	+                   	+?                               	+                         	+                                 	+                           	               	                     	+                           	+                         	                       	+                          	+                        	+?                       	+                         	                            	                         	                          	benthic foraminifers few. radiolarians few. sponge spicules rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  1	R	 6	 133.00	      8.8300	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+?                       	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+?                               	                              	                  	                      	+                        	+                	+                             	+?                          	                          	+                       	                          	                       	                   	+                   	+                                	+                         	+                                 	+                           	               	                     	+                           	+                         	                       	+                          	                         	+?                       	+?                        	                            	                         	                          	benthic foraminifers few. radiolarians few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  1	R	CC	   0.00	      9.3000	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+?                       	                       	+                           	+?                        	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+                                	+                             	                  	                      	+                        	+                	+                             	+?                          	                          	                        	                          	                       	                   	+                   	+                                	+                         	+                                 	+                           	+              	                     	+                           	+                         	                       	+                          	                         	+?                       	+?                        	                            	                         	                          	benthic foraminifers rare. radiolarians rare. sponge spicules rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  2	R	 1	 105.00	     10.4500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+                                	+                             	+                 	                      	+                        	+                	+                             	                            	                          	+                       	                          	                       	                   	+                   	+                                	+                         	+                                 	+                           	               	                     	+                           	+                         	                       	+                          	                         	+?                       	                          	                            	                         	                          	benthic foraminifers few. radiolarians few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  2	R	 2	 105.00	     11.9500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	+                   	+                                	+                             	                  	                      	+                        	+                	+                             	+                           	                          	+                       	                          	                       	                   	+                   	+                                	+                         	                                  	+                           	+              	+                    	+                           	+                         	                       	+                          	+                        	                         	                          	                            	                         	                          	benthic foraminifers few. ostracodes rare. radiolarians few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  2	R	 3	 105.00	     13.4500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+                                	                              	                  	                      	+                        	+                	+                             	+?                          	                          	+                       	                          	                       	                   	+                   	+                                	+                         	                                  	+                           	               	+                    	+                           	                          	                       	+                          	                         	                         	                          	                            	                         	                          	benthic foraminifers few. radiolarians rare. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  2	R	 4	 105.00	     15.0800	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+                                	                              	                  	                      	+                        	+                	+                             	+?                          	                          	+                       	                          	+                      	                   	+                   	+                                	+                         	                                  	+                           	               	+?                   	+                           	+?                        	+?                     	+                          	                         	                         	                          	                            	                         	                          	benthic foraminifers rare. ostracodes rare. radiolarians rare. sponge spicules rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  2	R	 5	 105.00	     16.5800	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	+                   	+                                	+                             	                  	                      	+                        	+                	+                             	+?                          	                          	+                       	                          	+                      	                   	+                   	+                                	+                         	                                  	+                           	+              	                     	+                           	+                         	+                      	+                          	+?                       	                         	                          	                            	                         	                          	benthic foraminifers few. ostracodes rare. radiolarians few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  2	R	CC	   0.00	     17.4300	Vincent  	Planktonic Foraminifers                      	               	G                 	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	+                   	+                                	                              	+                 	                      	+                        	+                	+                             	+?                          	+                         	                        	+?                        	                       	                   	+                   	+                                	+                         	+                                 	+                           	               	+                    	+                           	+                         	+                      	+?                         	                         	                         	                          	                            	                         	                          	benthic foraminifers few. ostracodes rare. radiolarians rare. sponge spicules rare. foraminifers embedded rare. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  3	R	 1	 105.00	     20.0500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+                                	                              	+                 	                      	+                        	+                	+                             	+?                          	                          	                        	                          	                       	                   	+                   	+                                	+                         	                                  	+                           	+              	                     	+                           	+?                        	+?                     	+                          	                         	                         	                          	                            	                         	                          	benthic foraminifers few. radiolarians few. calcareous aggregates few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  3	R	 2	 105.00	     21.5500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+                                	                              	+                 	                      	+                        	+                	+                             	                            	                          	                        	                          	                       	                   	+                   	+                                	+                         	+                                 	+                           	               	                     	+                           	+                         	+                      	+                          	                         	                         	                          	                            	                         	                          	benthic foraminifers rare. radiolarians rare. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  3	R	 3	 105.00	     23.0500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+                                	                              	+                 	                      	+                        	+                	+                             	+?                          	                          	                        	                          	                       	                   	+                   	+                                	+                         	                                  	+                           	               	                     	+                           	+?                        	+?                     	+                          	                         	                         	                          	                            	                         	                          	benthic foraminifers rare. radiolarians few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  3	R	 4	 105.00	     24.5500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	+                   	+                                	                              	+                 	                      	+                        	+                	+                             	                            	                          	                        	                          	                       	                   	+                   	+                                	+                         	+                                 	+                           	+              	                     	+                           	+                         	+?                     	+                          	                         	                         	                          	                            	                         	                          	benthic foraminifers few/rare. ostracodes rare. radiolarians few. sponge spicules few. calcareous aggregates rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Early Pliocene   	                 	N18               	N19           	115	 712	A	  3	R	CC	   0.00	     25.3400	Vincent  	Planktonic Foraminifers                      	               	G                 	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	+?                     	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	+                   	+                                	+                             	+                 	                      	+                        	+                	+                             	                            	                          	+?                      	+                         	                       	                   	+                   	+                                	+                         	                                  	+                           	+              	+                    	+                           	+                         	+                      	+                          	                         	                         	                          	                            	                         	                          	benthic foraminifers common. radiolarians rare. fish remains rare. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Late Miocene     	                 	N16               	N17           	115	 712	A	  4	R	 2	 105.00	     31.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	+                   	+                                	+                             	                  	                      	+                        	+                	+                             	+                           	+                         	+?                      	+?                        	                       	                   	+                   	+                                	                          	+                                 	+                           	+              	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers few. sponge spicules rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Late Miocene     	                 	N16               	N17           	115	 712	A	  4	R	 3	  32.00	     31.9200	Vincent  	Planktonic Foraminifers                      	               	G                 	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	+                   	+                                	+                             	                  	                      	+                        	+                	+                             	+?                          	+                         	+                       	+                         	                       	                   	+                   	                                 	+                         	+                                 	+                           	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers rare. ostracodes rare. foraminifers embedded few/rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Late Miocene     	                 	N15               	              	115	 712	A	  4	R	CC	   0.00	     32.1700	Vincent  	Planktonic Foraminifers                      	               	P/M               	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	                             	+                        	                       	+                           	                          	+                                 	                     	                         	                           	                        	+                                   	                      	                    	+?                               	                              	                  	                      	+                        	+                	+                             	+?                          	+                         	                        	+                         	                       	+                  	+?                  	+                                	+                         	+                                 	                            	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers few. radiolarians rare. sponge spicules common. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Middle Miocene   	                 	N14               	              	115	 712	A	  5	R	 1	 105.00	     39.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	+?                           	+                        	+?                     	+                           	                          	+                                 	                     	                         	                           	                        	+?                                  	                      	                    	                                 	+                             	+                 	                      	+                        	+                	+                             	+                           	+                         	+?                      	+                         	+?                     	                   	                    	                                 	                          	                                  	                            	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers rare. radiolarians few. sponge spicules few. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Middle Miocene   	                 	N14               	              	115	 712	A	  5	R	 2	 105.00	     40.8500	Vincent  	Planktonic Foraminifers                      	               	P/M               	                             	                        	                   	                                	                            	                                 	                      	                         	                           	                           	+                            	+                        	+                      	+                           	                          	+?                                	                     	                         	                           	                        	+                                   	                      	+                   	+                                	+                             	+                 	                      	+                        	+                	+                             	+?                          	+                         	+?                      	+                         	                       	                   	                    	                                 	                          	                                  	                            	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers few. ostracodes rare. radiolarians rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Middle Miocene   	                 	N13               	              	115	 712	A	  5	R	CC	   0.00	     41.5000	Vincent  	Planktonic Foraminifers                      	               	MG                	+                            	                        	                   	                                	                            	                                 	+                     	+                        	                           	                           	+                            	+                        	+                      	+                           	+                         	+                                 	                     	                         	                           	                        	+?                                  	                      	+                   	                                 	+?                            	+                 	                      	+                        	+                	                              	                            	                          	                        	                          	                       	                   	                    	                                 	                          	                                  	                            	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers few. ostracodes rare. fish remains rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Middle Miocene   	                 	N9                	              	115	 712	A	  6	R	 1	 105.00	     48.9500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                            	                        	+                  	                                	                            	+?                               	+                     	+                        	+                          	+                          	+                            	+                        	+                      	+                           	+                         	+                                 	+                    	+?                       	+                          	                        	+                                   	+?                    	                    	+                                	+?                            	+                 	+?                    	                         	                 	                              	                            	                          	                        	                          	                       	                   	                    	                                 	                          	                                  	                            	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers common. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Middle Miocene   	                 	N8                	              	115	 712	A	  6	R	 2	 105.00	     50.4500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                            	                        	+                  	+                               	                            	                                 	+                     	+                        	+                          	+                          	+                            	+                        	+                      	+                           	+                         	+                                 	+                    	                         	+                          	                        	+                                   	+                     	+?                  	+                                	+?                            	                  	                      	                         	                 	                              	                            	                          	                        	                          	                       	                   	                    	                                 	                          	                                  	                            	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 10. pages 817-818.

  SR	Middle Miocene   	                 	N8                	              	115	 712	A	  6	R	CC	   0.00	     51.4500	Vincent  	Planktonic Foraminifers                      	               	MG                	+                            	+                       	+                  	+                               	+                           	+                                	+                     	+                        	+                          	+                          	+                            	+                        	+                      	+                           	+                         	+                                 	+                    	+?                       	+                          	+                       	+                                   	+                     	                    	                                 	                              	                  	                      	                         	                 	                              	                            	                          	                        	                          	                       	                   	                    	                                 	                          	                                  	                            	               	                     	                            	                          	                       	                           	                         	                         	                          	                            	                         	                          	benthic foraminifers rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 10. pages 817-818.

