Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhizosolenia styliformis,Eucampia antarctica,Denticulopsis simonsenii,Paralia sulcata,Actinocyclus karstenii,Odontella aurita,Thalassiosira torokina,Thalassiosira oliverana,Thalassiosira oestrupii,Thalassiosira inura,Nitzschia barronii,Thalassiosira elliptipora,Nitzschia praecurta,Actinocyclus octonarius,Actinocyclus actinochilus,Thalassiosira complicata,Nitzschia kerguelenis,Comment
  IR,                 ,                 ,                  ,              ,178,1103,A, 13,R, 1,  23.00,    113.2300,Winter   ,Diatoms                                      ,R              ,P                 ,                        ,                   ,                        ,               ,                      ,                ,R                     ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,Abundant frags/Rare whole valves
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 14,R, 1,  24.00,    122.8400,Winter   ,Diatoms                                      ,R              ,P                 ,                        ,                   ,                        ,R              ,                      ,                ,R                     ,                       ,+                      ,+                  ,+                 ,                         ,+                  ,                       ,                         ,                        ,                     ,+ Rouxia spp. + Stephanogonia spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 17,R, 1,  44.00,    151.8400,Winter   ,Diatoms                                      ,F              ,P                 ,                        ,                   ,                        ,               ,                      ,R               ,F                     ,+                      ,                       ,                   ,                  ,                         ,                   ,R                      ,+                        ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 23,R,CC,  22.00,    209.3200,Winter   ,Diatoms                                      ,R              ,P                 ,                        ,+                  ,                        ,               ,+                     ,                ,R                     ,+                      ,+                      ,+                  ,+                 ,+                        ,+                  ,                       ,                         ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 24,R,CC,   0.00,    218.4000,Winter   ,Diatoms                                      ,R              ,P                 ,+                       ,+                  ,                        ,               ,+                     ,                ,R                     ,+                      ,R                      ,R                  ,+                 ,                         ,                   ,                       ,                         ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 29,R,CC,  14.00,    269.0800,Winter   ,Diatoms                                      ,T              ,P                 ,                        ,                   ,                        ,+              ,                      ,                ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 34,R,CC,  14.00,    319.5600,Winter   ,Diatoms                                      ,F              ,P                 ,                        ,                   ,R                       ,               ,                      ,+               ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,+ Pseudoammodochium sphaericum (R)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 35,R,CC,  16.00,    326.4900,Winter   ,Diatoms                                      ,R              ,P                 ,+                       ,+                  ,R                       ,+              ,                      ,                ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 37,R,CC,  31.00,    348.7700,Winter   ,Diatoms                                      ,R              ,P                 ,                        ,                   ,+                       ,R              ,+                     ,                ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 38,R,CC,  22.00,    355.3400,Winter   ,Diatoms                                      ,T              ,P                 ,+                       ,+                  ,+                       ,               ,                      ,                ,                      ,                       ,                       ,                   ,                  ,                         ,                   ,                       ,                         ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
