Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)		Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Quadrum trifidum	Quadrum sissinghii	Micula decussata	Micula concava	Cribrosphaerella ehrenbergii	Cretarhabdus crenulatus	Ceratolithoides aculeus	Aspidolithus parcus parcus	Quadrum gothicum	Toweius pertusus	Sphenolithus anarrhopus	Placozygus sigmoides	Heliolithus kleinpellii	Fasciculithus tympaniformis	Fasciculithus thomasii	Discoaster mohleri	Cruciplacolithus tenuis	Cruciplacolithus primus	Cruciplacolithus frequens	Cruciplacolithus asymmetricus	Coccolithus pelagicus	Chiasmolithus bidens	Zygrhablithus bijugatus	Toweius eminens	Fasciculithus involutus	Markalius inversus	Heliolithus riedelii	Chiasmolithus consuetus	Tribrachiatus orthostylus	Toweius crassus	Discoaster lodoensis	Coccolithus formosus	Campylosphaera dela	Chiasmolithus grandis	Sphenolithus radians	Ellipsolithus macellus	Coronocyclus nitescens	Discoaster barbadiensis	Clausicoccus fenestratus	Toweius gammation	Chiasmolithus solitus	Discoaster sublodoensis	Reticulofenestra dictyoda	Nannotetrina fulgens	Chiasmolithus gigas	Comment
  IR	                 	Early Eocene     	                  	NP13          		197	1204	A	  3	R	 5	  51.00	    787.6100	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	F                    	                    	R                      	               	                       	R                 	                    	                       	                         	R              	F                   	                    	R                  	                     	                    	                      	                      	R                      	                        	                 	F                    	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP13          		197	1204	A	  3	R	CC	  18.00	    788.1000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	C                    	                    	R                      	               	                       	                  	                    	                       	                         	R              	F                   	R                   	R                  	                     	R                   	                      	R                     	                       	R                       	R                	C                    	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP12          		197	1204	A	  4	R	 1	  50.00	    791.2000	Siesser  	Nannofossils                                 	C              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	F                    	                    	R                      	               	                       	                  	                    	                       	R                        	R              	F                   	                    	R                  	R                    	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP12          		197	1204	A	  4	R	 3	  50.00	    794.2000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	C                    	                    	R                      	               	                       	R                 	                    	                       	F                        	R              	F                   	R                   	R                  	                     	R                   	                      	R                     	R                      	R                       	                 	                     	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP12          		197	1204	A	  4	R	CC	  20.00	    796.8000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	F                    	                    	R                      	               	                       	                  	                    	                       	F                        	R              	F                   	                    	R                  	R                    	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP12          		197	1204	A	  5	R	 1	  50.00	    800.8000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	F                    	                    	R                      	R              	                       	R                 	                    	                       	F                        	R              	F                   	R                   	R                  	R                    	R                   	R                     	R                     	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP12          		197	1204	A	  5	R	 3	  50.00	    803.8000	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	                       	                    	                       	                           	                      	                  	                       	                       	                         	                             	C                    	                    	R                      	R              	                       	                  	                    	                       	F                        	R              	F                   	R                   	R                  	R                    	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

  IR	                 	Early Eocene     	                  	NP12          		197	1204	A	  5	R	CC	  13.00	    805.5900	Siesser  	Nannofossils                                 	F              	M                 	                    	                	                  	                	              	                            	                       	                       	                          	                	                	R                      	                    	                       	                           	                      	                  	                       	                       	                         	                             	F                    	R                   	R                      	R              	                       	R                 	                    	R                      	C                        	R              	F                   	R                   	R                  	                     	                    	                      	                      	                       	                        	                 	                     	                       	                         	                    	                   	       

