taxon_name,taxon_group
Sphenolithus belemnos,nannofossils
Catapsydrax unicavus_,planktic_forams
Stellarima stellaris,diatoms
Entopyla spp.,diatoms
Raphidodiscus marylandicus,diatoms
Dictyophimus craticula,radiolarians
Filisphaera filifera,dinoflagellates
Acrocubus octopylus,radiolarians
Denticulopsis ichikawae,diatoms
Lychnocanoma auxilla,radiolarians
Vaginulinopsis cristellata,benthic_forams
"Acarinina rohri (Bronnimann & Bermudez, 1953)",planktic_forams
Dentoglobigerina venezuelana,planktic_forams
Lychnocanoma turgidum,radiolarians
Porotheca danica,diatoms
Cribrorotalia tainuia,benthic_forams
Paragloborotalia griffinoides,planktic_forams
Bulimina senta,benthic_forams
Helicosphaera orientalis,nannofossils
Globoturborotalita decoraperta _T and B_,planktic_forams
Gephyrocapsa oceanica,nannofossils
Globigerina euapertura,planktic_forams
"Chiloguembelina ototara (Finlay, 1940)",planktic_forams
Turbotalia,planktic_forams
Pontosphaera multipora,nannofossils
Fragilariopsis praecurta,diatoms
Muricohedbergella planispira,planktic_forams
Hystrichokolpoma spp. (pars.),dinoflagellates
Fohsella lobata _B_,planktic_forams
Globorotalia praemenardii _B_,planktic_forams
Arachnodiscus ehrenbergi,diatoms
"Globigerina angulisuturalis Bolli, 1957",planktic_forams
"Acarinina pseudotopilensis Subbotina, 1953",planktic_forams
Virgulopsis costata,benthic_forams
"Morozovella subbotinae (Morozova, 1929)",planktic_forams
Globigerinatheka index,planktic_forams
Rouxia isopolica,diatoms
Dinocysts,dinoflagellates
Ceratobulimina jonesiana,benthic_forams
Gephyrocapsa omega,nannofossils
Lenticulina costata,benthic_forams
"Fohsella ""praefohsi"" _B_ _M8_",planktic_forams
"Acarinina mcgowrani Wade and Pearson, 2006",planktic_forams
"Globigerina ciperoensis (Bolli, 1954)",planktic_forams
"Acarinina quetra (Bolli, 1957)",planktic_forams
Globigerinella calida _B,planktic_forams
Denticulopsis crassa (closed copula),diatoms
Tritaxia instar,benthic_forams
Eurossia irregularis var. incurvatus,diatoms
"Morozovella marginodentata (Subbotina, 1953 p.212-213 as Globorotalia)",planktic_forams
Amphiprora sp.,diatoms
Cibicides finlayi,benthic_forams
Textularia gladizea,benthic_forams
Globorotaloides testarugosa,planktic_forams
Globanomalina ovalis,planktic_forams
Planularia australis,benthic_forams
"Globanomalina australiformis (Jenkins), 1966",planktic_forams
"Subbotina trivialis (Subbotina), 1953",planktic_forams
Globoturborotalita bollii,planktic_forams
Stilostomella spp.,benthic_forams
Cryptococcolithus mediaperforate,nannofossils
Eoglobigerina eobulloides,planktic_forams
Elphidium novozealandicum,benthic_forams
Navicula directa,diatoms
Martinottiella communis,benthic_forams
Pontosphaera spp.,nannofossils
Dactylacanthis spp.,diatoms
Solidopons petrae,nannofossils
Sphenolithus spp.,nannofossils
Dorothia agrestis,benthic_forams
