Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus sp. cf. Z. erectus	Zeugrhabdotus embergeri	Watznaueria supracretacea	Watznaueria barnesae	Tranolithus gabalus	Tranolithus exiguus	Tegumentum stradneri	Rhagodiscus angustus	Percivillia hauxtonensis	Manivitella pemmatoidea	Helicolithus trabeculatus	Glaukolithus diplogrammus	Eprolithus floralis	Eiffellithus turriseiffelii (form 2)	Discorhabdus ignotus	Cribrosphaerella ehrenbergii	Corollithion signum	Chiastozygus platyrhethus	Biscutum constans	Axopodorhabdus albianus	Aspidolithus bevieri	Zeugrhabdotus elegans	Prediscosphaera columnata (<5 microns)	Watznaueria ovata	Vekshinella stradnerii	Stoverius achylosus	Rhagodiscus asper	Radiolithus planus	Parhabdolithus melanoarachnion	Gephyrorhabdus coronadventis	Gartnerago nanum	Broinsonia dentata	Biscutum salebrosum	Rotelapillus laffittei	Cretarhabdus surirellus	Cretarhabdus conicus	Stradneria crenulata	Cyclagelosphaera margerelii	Parhabdolithus achylostaurion	Zeugrhabdotus acanthus	Scampanella cornuta	Prediscosphaera columnata (>5 microns)	Stoverius baldiae	Prediscosphaera cantabrigensis	Prediscosphaera avitus	Lithraphidites carniolensis	Tetrapodorhabdus decorus	Eiffellithus turriseiffelii (form 3)	Microrhabdulus belgicus	Glaukolithus bicrescenticus	Comment

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	  9	R	 1	  61.00	    153.0100	Shafik   	Nannofossils                                 	A              	G                 	C                               	R                      	F                        	A                   	                   	C                  	F                   	F                   	F                       	R                      	                         	A                        	R                  	F                                   	                    	                            	C                  	F                        	C                	R                      	                    	A                    	                                      	F                	F                     	                   	                 	S                 	F                             	                            	F               	F                 	C                  	R                     	                       	R                   	R                   	                           	                             	                      	                   	                                      	                 	                              	R                     	R                          	S                       	                                    	S                      	F                          	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	  9	R	 3	  10.00	    155.5000	Shafik   	Nannofossils                                 	F              	P                 	                                	R                      	R                        	C                   	                   	F                  	                    	                    	F                       	R                      	                         	F                        	                   	F                                   	R                   	                            	                   	R                        	F                	R                      	                    	C                    	                                      	                 	F                     	                   	                 	                  	                              	                            	                	                  	F                  	                      	                       	                    	R                   	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 10	R	 1	  88.00	    162.8800	Shafik   	Nannofossils                                 	C              	M                 	                                	R                      	F                        	A                   	                   	F                  	R                   	F                   	C                       	                       	                         	F                        	                   	C                                   	C                   	F                           	                   	R                        	C                	F                      	R                   	C                    	                                      	                 	F                     	                   	                 	                  	                              	R                           	F               	                  	                   	                      	R                      	                    	R                   	R                          	                             	                      	                   	                                      	                 	                              	                      	                           	                        	R                                   	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 11	R	 1	  24.00	    171.9400	Shafik   	Nannofossils                                 	F              	M                 	F                               	R                      	R                        	C                   	                   	                   	                    	                    	C                       	                       	                         	F                        	F                  	                                    	F                   	F                           	                   	                         	                 	F                      	R                   	F                    	                                      	                 	R                     	                   	                 	                  	                              	                            	                	                  	R                  	                      	                       	                    	                    	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 11	R	 3	  18.00	    173.4300	Shafik   	Nannofossils                                 	A              	M                 	C                               	F                      	                         	A                   	                   	F                  	                    	F                   	C                       	                       	                         	F                        	R                  	F                                   	F                   	F                           	R                  	                         	C                	F                      	                    	                     	                                      	                 	F                     	R                  	                 	R                 	                              	                            	R               	                  	F                  	                      	F                      	                    	R                   	                           	R                            	                      	                   	                                      	                 	                              	                      	R                          	R                       	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 12	R	 1	  40.00	    181.7000	Shafik   	Nannofossils                                 	C              	P                 	R                               	                       	F                        	A                   	                   	R                  	                    	F                   	C                       	F                      	                         	F                        	F                  	F                                   	C                   	F                           	                   	                         	F                	                       	R                   	C                    	                                      	                 	                      	                   	                 	                  	                              	                            	                	                  	                   	                      	                       	                    	F                   	                           	R                            	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 12	R	 5	  48.00	    187.7800	Shafik   	Nannofossils                                 	A              	M                 	                                	F                      	                         	A                   	                   	F                  	                    	R                   	                        	F                      	R                        	F                        	R                  	F                                   	F                   	                            	R                  	R                        	A                	F                      	                    	                     	                                      	                 	                      	                   	R                	                  	R                             	                            	                	                  	F                  	R                     	                       	R                   	                    	                           	R                            	                      	                   	                                      	                 	                              	                      	R                          	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 13	R	 1	  47.00	    191.4700	Shafik   	Nannofossils                                 	A              	G                 	C                               	F                      	                         	A                   	                   	                   	R                   	F                   	                        	                       	                         	F                        	                   	C                                   	C                   	                            	R                  	R                        	A                	F                      	R                   	C                    	R                                     	R                	R                     	R                  	                 	R                 	R                             	                            	C               	                  	C                  	R                     	R                      	                    	                    	                           	                             	                      	                   	                                      	                 	R                             	R                     	R                          	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 13	R	CC	   0.00	    193.5700	Shafik   	Nannofossils                                 	F              	P                 	F                               	R                      	R                        	C                   	                   	F                  	R                   	R                   	C                       	R                      	                         	F                        	                   	F                                   	F                   	F                           	R                  	                         	C                	                       	                    	F                    	                                      	                 	F                     	                   	R                	                  	                              	                            	                	                  	                   	                      	                       	                    	F                   	                           	                             	                      	                   	                                      	R                	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 15	R	CC	   9.00	    210.3900	Shafik   	Nannofossils                                 	F              	P                 	C                               	F                      	                         	A                   	                   	F                  	                    	                    	F                       	                       	                         	F                        	                   	R                                   	C                   	F                           	                   	                         	C                	F                      	R                   	                     	                                      	R                	R                     	                   	                 	                  	                              	                            	F               	                  	                   	                      	                       	                    	                    	                           	R                            	                      	                   	R                                     	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 16	R	 1	  97.00	    220.9700	Shafik   	Nannofossils                                 	F              	P                 	                                	                       	                         	C                   	                   	R                  	                    	                    	F                       	                       	                         	R                        	                   	                                    	F                   	F                           	                   	                         	F                	F                      	R                   	F                    	                                      	                 	                      	R                  	                 	                  	                              	                            	                	                  	                   	                      	                       	                    	                    	                           	                             	F                     	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 16	R	 3	  52.00	    223.5200	Shafik   	Nannofossils                                 	F              	M                 	                                	                       	                         	A                   	                   	                   	                    	R                   	C                       	R                      	                         	F                        	                   	F                                   	C                   	                            	                   	                         	C                	                       	                    	F                    	                                      	                 	R                     	R                  	                 	                  	R                             	                            	F               	                  	                   	                      	                       	                    	R                   	                           	                             	F                     	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 17	R	CC	   8.00	    229.6800	Shafik   	Nannofossils                                 	C              	M                 	A                               	R                      	R                        	A                   	                   	                   	                    	R                   	C                       	                       	                         	C                        	                   	R                                   	C                   	C                           	F                  	                         	C                	F                      	R                   	                     	                                      	                 	C                     	                   	                 	                  	                              	                            	F               	                  	                   	R                     	                       	                    	R                   	                           	                             	F                     	S                  	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 18	R	 3	  70.00	    242.8000	Shafik   	Nannofossils                                 	R              	M                 	                                	                       	                         	C                   	                   	R                  	                    	                    	                        	                       	                         	F                        	                   	F                                   	C                   	R                           	R                  	                         	C                	                       	R                   	C                    	                                      	                 	R                     	                   	                 	                  	                              	                            	R               	                  	                   	                      	R                      	                    	R                   	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 19	R	 1	 144.00	    250.2400	Shafik   	Nannofossils                                 	R              	P                 	C                               	R                      	                         	C                   	                   	                   	                    	                    	F                       	                       	                         	F                        	                   	R                                   	F                   	R                           	                   	                         	C                	F                      	                    	R                    	R                                     	                 	                      	                   	                 	                  	R                             	                            	                	                  	                   	                      	                       	                    	                    	                           	R                            	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 20	R	 1	  68.00	    259.0800	Shafik   	Nannofossils                                 	F              	P                 	C                               	                       	                         	C                   	                   	R                  	                    	                    	                        	                       	                         	F                        	                   	F                                   	C                   	F                           	R                  	                         	C                	R                      	R                   	R                    	                                      	                 	F                     	                   	                 	                  	                              	                            	R               	                  	                   	                      	                       	R                   	R                   	R                          	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 21	R	 2	  13.00	    269.4500	Shafik   	Nannofossils                                 	A              	M                 	C                               	R                      	R                        	A                   	                   	R                  	                    	R                   	F                       	R                      	                         	F                        	                   	F                                   	C                   	C                           	R                  	                         	A                	F                      	R                   	C                    	R                                     	                 	C                     	R                  	R                	                  	R                             	                            	F               	                  	                   	R                     	R                      	F                   	                    	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 22	R	 1	  26.00	    277.9600	Shafik   	Nannofossils                                 	A              	M                 	C                               	F                      	                         	C                   	                   	F                  	                    	                    	F                       	                       	                         	F                        	                   	F                                   	C                   	F                           	R                  	R                        	A                	R                      	R                   	F                    	                                      	R                	F                     	F                  	F                	R                 	R                             	R                           	F               	F                 	F                  	                      	                       	                    	                    	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 24	R	 1	  25.00	    297.2500	Shafik   	Nannofossils                                 	F              	M                 	C                               	R                      	R                        	C                   	                   	                   	                    	R                   	F                       	                       	                         	R                        	R                  	R                                   	C                   	R                           	                   	                         	C                	R                      	R                   	F                    	R                                     	                 	                      	                   	                 	                  	                              	                            	                	                  	                   	                      	                       	                    	                    	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

  SR	Albian           	Cenomanian       	CC9b              	              	159	 962	D	 24	R	 3	   8.00	    300.0800	Shafik   	Nannofossils                                 	C              	M                 	C                               	R                      	F                        	A                   	R                  	F                  	R                   	R                   	C                       	R                      	R                        	F                        	R                  	F                                   	A                   	F                           	F                  	R                        	A                	F                      	R                   	                     	                                      	                 	                      	                   	                 	                  	                              	                            	                	                  	                   	                      	                       	                    	                    	                           	                             	                      	                   	                                      	                 	                              	                      	                           	                        	                                    	                       	                           	from 159SR Ch 26 Table 2

