Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites lenzii	Florentinia resex	Palaeohystrichophora infusoriodes	Oligosphaeridium pulcherrimum	Oligosphaeridium complex	Trichodinium castanea bifidum	Spiniferites ramosus ramosus	Florentinia radiculata	Spiniferites ramosus	Oligosphaeridium dividuum	Pterospermopsis sp.	Exochosphaeridium bifidum	Cribroperidinium cf. C. auctificum	Acritarch forma B	Cribroperidinium cooksoniae	Achomosphaera triangulata	Spiniferites spp.	Exochosphaeridium? sp.	Circulodinium distinctum	Pervosphaeridium truncatum	Dinopterygium cladoides	Comment
  SR	Albian           	                 	                  	              	159	 962	D	 27	R	 1	  80.00	    312.1000	Oboh-Ikuenobe	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	                      	                    	                         	+                  	+                        	+                                 	+                	                           	                         	                 	                      	                        	                          	                       	from 159SR Ch 25 Table 4

  SR	Cenomanian       	                 	                  	              	159	 962	D	 27	R	 2	 114.00	    313.9400	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	+                            	+                           	                      	                    	+                        	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 29	R	 2	  37.00	    327.8700	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	+                            	                            	                      	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Albian           	                 	                  	              	159	 962	D	 31	R	 2	  89.00	    347.6900	Oboh-Ikuenobe	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	                      	+                   	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from 159SR Ch 25 Table 4

  SR	Cenomanian       	                 	                  	              	159	 962	D	 32	R	 1	  30.00	    355.2000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	                            	+                     	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 33	R	 1	  79.00	    365.3900	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	                             	+                           	                      	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 34	R	 2	  70.00	    371.5000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	                        	+                            	                            	                      	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 36	R	 1	 146.00	    385.3600	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	                 	                                 	                             	+                       	                             	                            	                      	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 37	R	 1	 142.00	    389.9200	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                   	+                	+                                	+                            	                        	                             	                            	                      	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 37	R	 4	  49.00	    393.4900	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                  	+                	                                 	                             	                        	                             	                            	                      	                    	                         	                   	                         	                                  	                 	                           	                         	                 	                      	                        	                          	                       	from Leg 159SR Ch 24 Fig 3

