Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum (6-sided)	Distephanus crux	Naviculopsis biapiculata	Distephanus speculum speculum (6-sided; multiwindowed)	Dictyocha pentagona	Corbisema archangelskiana	Bachmannocena apiculata (no basal spines)	Bachmannocena apiculata	Distephanus raupii	Distephanus speculum speculum (eight-sided)	Distephanus speculum speculum (7-sided)	Distephanus speculum pentagonus	Distephanus polyactis polyactis	Dictyocha messanensis stapedia (fibulid)	Bachmannocena diodon	Bachmannocena circulus	Distephanus speculum speculum f. varians	Distephanus speculum speculum f. notabilis	Distephanus boliviensis (multiwindowed)	Distephanus boliviensis	Dictyocha messanensis stapedia (asperid)	Comment
  SR	Late Miocene     	                 	                  	              	120	 747	A	  5	H	 4	  47.00	     42.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                       	                	                        	                                                      	                   	                         	                                         	                       	                  	1                                          	                                       	                               	                               	                                        	21                  	20                    	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Late Miocene     	                 	                  	              	120	 747	A	  6	H	 2	  47.00	     48.9700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	5                                      	                	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	1                              	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Middle Miocene   	                 	                  	              	120	 747	A	  7	H	 2	  47.00	     58.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                       	                	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	                               	                               	4                                       	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Middle Miocene   	                 	                  	              	120	 747	A	  7	H	 6	  47.00	     64.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                       	                	                        	                                                      	                   	                         	                                         	                       	                  	2                                          	3                                      	1                              	1                              	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Early Miocene    	                 	                  	              	120	 747	A	 11	H	 6	  47.00	    102.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                       	                	                        	                                                      	                   	                         	                                         	2                      	                  	                                           	                                       	                               	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Early Miocene    	                 	N. biapiculata(Cies)	              	120	 747	A	 13	H	 2	  47.00	    115.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                       	                	1                       	                                                      	                   	                         	                                         	                       	1                 	                                           	                                       	                               	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Early Miocene    	                 	N. biapiculata(Cies)	              	120	 747	A	 15	H	 2	  47.00	    134.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                      	                	9                       	3                                                     	                   	                         	                                         	1                      	4                 	                                           	                                       	                               	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Early Miocene    	                 	N. biapiculata(Cies)	              	120	 747	A	 15	H	 6	  47.00	    140.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                       	1               	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	                               	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Late Oligocene   	                 	C. archangelskiana	              	120	 747	A	 17	X	 4	  47.00	    156.4700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                      	81              	5                       	11                                                    	1                  	10                       	2                                        	2                      	                  	                                           	                                       	                               	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	Number of aberrants = 4; from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

  SR	Early Oligocene  	                 	C. archangelskiana	              	120	 747	A	 18	X	 2	  47.00	    162.9700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                      	1               	                        	                                                      	                   	                         	                                         	                       	                  	                                           	                                       	                               	                               	                                        	                    	                      	                                        	                                          	                                       	                       	                                        	from ODP Leg 120 SR Vol 2 Chapter 42 Table 2 p 817

