Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus pseudoradians	Sphenolithus moriformis	Sphenolithus furcatolithoides	Reticulofenestra umbilica	Reticulofenestra samodurovii	Pseudotriquetrorhabdulus inversus	Pedinocyclus larvalis	Markalius sp. 2	Markalius sp. 1	Markalius inversus	Lanternithus minutus	Holococcolith type A	Helicosphaera heezenii	Ericsonia pacifica	Ericsonia formosa	Discoaster saipanensis	Discoaster deflandrei	Discoaster barbadiensis	Cyclolithella kalianata	Cyclicargolithus floridanus	Cruciplacolithus tarquinius	Cribrocentrum reticulatum	Coccolithus sp.1	Coccolithus pelagicus	Coccolithus eopelagicus	Chiasmolithus titus	Chiasmolithus grandis	Campylosphaera dela	Calcidiscus protoannulus	Calcidiscus kingii	Bramletteius serraculoides	Pemma rotundum	Discoaster nodifer	Braarudosphaera bigelowii	Discoaster tanii	Pontosphaera segmenta	Sphenolithus predistentus	Micrantholithus flos	Helicosphaera reticulata	Helicosphaera euphratis	Dictyococcites scrippsae	Dictyococcites bisectus	Coronocyclus nitescens	Triquetrorhabdulus carinatus	Sphenolithus distentus	Sphenolithus ciperoensis	Ericsonia obruta	Coccolithus fuscus	Sphenolithus dissimilis	Triquetrorhabdulus milowii	Sphenolithus heteromorphus	Sphenolith (unspecified taxon or taxa)	Scyphosphaera spp.	Reticulofenestrid taxa	Helicosphaera carteri	Hayella aperta	Geminilithella rotula	Discoaster variabilis	Discoaster undefined 6-ray b.	Discoaster signus-tuberi	Discoaster moorei	Discoaster extensus-dilatus group	Discoaster exilis	Discoaster adamanteus	Dictyococcites spp.	Coccolithus radiatus	Thoracosphaera spp.	Pontosphaera spp.	Discoaster formosus	Helicosphaera obliqua	Helicosphaera intermedia	Cyclicargolithus abisectus (< 10 microns)	Coccolithus miopelagicus	Calcidiscus leptoporus	Discoaster undefined 6-ray m.	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus/rioensis	Syracosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster undefined 5-ray	Discoaster triradiatus	Discoaster intercalaris	Discoaster hamatus	Discoaster brouweri	Catinaster coalitus	Calcidiscus macintyrei	Discoaster undefined 6-ray	Discoaster pansus	Discoaster neohamatus	Discoaster bellus	Catinaster calyculus	Minylitha convallis	Discoaster surculus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Umbilicosphaera spp.	Discoaster sp. 1	Discoaster quinqueramus/berggrenii	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster sp. 2	Discoaster asymmetricus	Rhabdosphaera spp.	Discoaster tristellifer	Ceratolithus rugosus	Amaurolithus tricorniculatus	Ceratolithus armatus	Ceratolithus acutus	Helicosphaera sellii	Pseudoemiliania lacunosa	Discoaster decorus	Discoaster tamalis	Ceratolithus cristatus	Comment

  SR	                 	                 	CN11              	              	115	 712	A	  1	R	 5	  70.00	      6.7000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	F                    	F                            	                        	                 	                                 	                 	                     	                   	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	R                 	C                               	C                         	R                     	                       	                  	C                  	R                  	R                     	F                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	                   	                      	                       	                	                       	                  	                       	F                   	                            	                    	                   	R                   	R                       	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 712	A	  1	R	 6	  70.00	      8.2000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	A                                     	R                 	C                     	C                    	              	C                    	C                    	F                            	                        	                 	                                 	                 	                     	                   	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	R                 	C                               	C                         	R                     	F                      	                  	C                  	                   	R                     	C                         	                 	                     	                 	                    	                   	F                  	                           	C                       	                    	                	                                  	                   	                      	                       	                	                       	                  	C                      	F                   	                            	                    	                   	R                   	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 712	A	  1	R	 7	  20.00	      9.2000	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	C                    	                             	                        	                 	                                 	                 	                     	                   	F                   	F                  	F                	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	F                 	C                               	                          	R                     	F                      	                  	C                  	                   	F                     	                          	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	R                                 	                   	                      	                       	                	                       	                  	C                      	F                   	                            	                    	                   	R                   	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 712	A	  2	R	 1	  75.00	     10.1500	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	C                    	C                            	                        	                 	                                 	                 	                     	                   	C                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	R                 	C                               	C                         	R                     	R                      	                  	C                  	                   	F                     	C                         	                 	                     	                 	                    	                   	F                  	                           	C                       	F                   	                	R                                 	                   	R                     	                       	                	                       	                  	F                      	F                   	                            	R                   	R                  	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 712	A	  2	R	 2	  75.00	     11.6500	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	R                    	R                            	                        	                 	                                 	                 	                     	C                  	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	R                 	C                               	                          	R                     	                       	                  	C                  	                   	F                     	                          	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	R                  	F                     	                       	                	R                      	                  	                       	R                   	R                           	                    	R                  	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 712	A	  2	R	 3	  75.00	     13.1500	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	F                 	C                     	C                    	              	C                    	                     	                             	                        	                 	                                 	                 	                     	F                  	F                   	F                  	R                	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	R                 	C                               	F                         	R                     	                       	                  	C                  	                   	F                     	F                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	R                  	R                     	                       	                	R                      	                  	R                      	F                   	R                           	R                   	cf                 	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 712	A	  2	R	 4	  75.00	     14.7800	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	F                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	F                    	R                            	                        	                 	                                 	                 	                     	C                  	F                   	R                  	R                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	C                               	R                         	                      	R                      	                  	C                  	                   	R                     	R                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	R               	C                                 	R                  	R                     	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 712	A	  2	R	 5	  75.00	     16.2800	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	F                    	R                            	                        	                 	                                 	                 	                     	F                  	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	                                   	F                 	C                               	R                         	R                     	                       	                  	C                  	                   	F                     	R                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	R                  	                      	                       	                	                       	                  	F                      	F                   	cf                          	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10a             	CN10b         	115	 712	A	  2	R	CC	   0.00	     17.4300	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	F                     	C                    	              	C                    	F                    	F                            	                        	                 	                                 	                 	                     	F                  	F                   	                   	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	                                	C                         	R                     	                       	                  	C                  	                   	F                     	C                         	F                	F                    	                 	                    	F                  	C                  	                           	C                       	                    	C               	C                                 	                   	                      	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10a             	CN10b         	115	 712	A	  3	R	 1	  75.00	     19.7500	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	R                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	F                 	C                     	C                    	              	C                    	C                    	F                            	                        	                 	                                 	                 	                     	C                  	F                   	                   	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	R                                  	R                 	R                               	F                         	R                     	F                      	                  	C                  	                   	R                     	F                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	C               	C                                 	R                  	R                     	                       	                	R                      	R                 	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10a             	CN10b         	115	 712	A	  3	R	 1	 130.00	     20.3000	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	F                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	C                    	F                            	                        	                 	                                 	                 	                     	F                  	F                   	R                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	R                                  	F                 	C                               	F                         	                      	                       	                  	C                  	                   	R                     	F                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	R                  	R                     	                       	                	R                      	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN10a             	CN10b         	115	 712	A	  3	R	 2	  75.00	     21.2500	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	F                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	R                 	C                     	C                    	              	C                    	C                    	R                            	                        	R                	                                 	                 	                     	F                  	F                   	R                  	F                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	C                               	R                         	R                     	F                      	                  	C                  	                   	F                     	R                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	                	                                  	R                  	R                     	                       	                	R                      	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 712	A	  3	R	 3	  75.00	     22.7500	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	F                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	F                 	A                     	C                    	              	C                    	F                    	R                            	                        	                 	                                 	                 	                     	C                  	F                   	R                  	R                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	C                               	                          	R                     	F                      	                  	C                  	                   	R                     	                          	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	F               	C                                 	                   	R                     	                       	                	R                      	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 712	A	  3	R	 3	 116.00	     23.1600	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	R                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	F                 	C                     	C                    	              	C                    	C                    	F                            	                        	                 	                                 	                 	                     	F                  	F                   	R                  	R                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	R                               	F                         	R                     	R                      	                  	C                  	                   	R                     	F                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	F               	C                                 	                   	R                     	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 712	A	  3	R	 4	  71.00	     24.2100	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	A                                     	F                 	C                     	C                    	              	C                    	C                    	F                            	                        	                 	                                 	                 	                     	F                  	F                   	R                  	R                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	F                               	F                         	                      	                       	                  	C                  	                   	F                     	F                         	                 	F                    	                 	                    	                   	C                  	                           	C                       	                    	C               	C                                 	R                  	R                     	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 712	A	  3	R	 4	  75.00	     24.2500	Rio      	Nannofossils                                 	A              	M                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	F                 	C                     	C                    	              	C                    	C                    	F                            	                        	                 	                                 	                 	                     	C                  	F                   	F                  	                 	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	R                               	F                         	                      	                       	                  	C                  	                   	F                     	C                         	R                	R                    	                 	                    	                   	C                  	                           	C                       	                    	C               	C                                 	R                  	R                     	                       	R               	R                      	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 712	A	  4	R	 1	  75.00	     29.3500	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	C                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	A                                     	F                 	C                     	C                    	              	C                    	F                    	R                            	                        	                 	                                 	                 	                     	F                  	F                   	R                  	F                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	F                               	                          	R                     	R                      	                  	C                  	                   	R                     	R                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	C               	C                                 	R                  	R                     	                       	R               	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 712	A	  4	R	 2	  75.00	     30.8500	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	F                    	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	C                                     	F                 	C                     	C                    	              	C                    	C                    	R                            	                        	                 	                                 	                 	                     	F                  	F                   	R                  	F                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	C                               	R                         	R                     	R                      	                  	C                  	                   	F                     	                          	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	C               	C                                 	R                  	R                     	R                      	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 712	A	  4	R	 2	  80.00	     30.9000	Rio      	Nannofossils                                 	A              	G                 	                       	                     	                          	                       	                             	                         	                            	                                 	                     	               	               	                  	                    	                    	                      	                  	                 	                      	                     	                       	                       	                           	                           	                         	                	                     	                       	                   	                     	                   	                        	                  	                          	              	                  	                         	                	                     	                         	                    	                        	                       	                        	                       	                      	                            	                      	                        	                	                  	                       	                          	                          	A                                     	F                 	C                     	C                    	              	C                    	C                    	                             	                        	                 	                                 	                 	                     	C                  	F                   	F                  	R                	                   	                     	                        	                                         	                        	C                     	                             	                         	F                                  	                  	C                               	                          	                      	                       	                  	C                  	                   	R                     	C                         	                 	                     	                 	                    	                   	C                  	                           	C                       	                    	C               	C                                 	R                  	R                     	                       	                	                       	                  	                       	                    	                            	                    	                   	                    	                        	                  	                  	                      	from 115 SR. Chapter 15. Table 21. microfiche in back pocket.

