pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,genus_taxon_name,genus_taxon_id,family_taxon_name,family_taxon_id,order_taxon_name,order_taxon_id,class_taxon_name,class_taxon_id,phylum_taxon_name,phylum_taxon_id,kingdom_taxon_name,kingdom_taxon_id,version,pbdb_name_count
434998,Lygeum,genus,Lygeum,434998,Poaceae,53546,Poales,182987,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
81704,Miliolidae,family,,,Miliolidae,81704,Miliolida,256604,Tubothalamea,428719,Foraminifera,288974,Rhizaria,212476,old,2
81704,Miliolidae,family,Miliolidae,81704,,,Miliolida,256604,Tubothalamea,428719,Foraminifera,288974,Rhizaria,212476,updated,2
108193,Miliolina,suborder,,,,,Miliolida,256604,Tubothalamea,428719,Foraminifera,288974,Rhizaria,212476,old,2
108193,Miliolina,suborder,Miliolina,108193,,,Miliolida,256604,Tubothalamea,428719,Foraminifera,288974,Rhizaria,212476,updated,2
7805,Mollusca,phylum,,,,,,,,,Mollusca,7805,Animalia,325038,old,2
7805,Mollusca,phylum,Mollusca,7805,,,,,,,,,Animalia,325038,updated,2
82197,Nodosariidae,family,,,Nodosariidae,82197,Nodosariida,429322,Nodosariata,428875,Foraminifera,288974,Rhizaria,212476,old,2
82197,Nodosariidae,family,Nodosariidae,82197,,,Nodosariida,429322,Nodosariata,428875,Foraminifera,288974,Rhizaria,212476,updated,2
82211,Nonionidae,family,,,Nonionidae,82211,,,,,Foraminifera,288974,Rhizaria,212476,old,2
82211,Nonionidae,family,Nonionidae,82211,,,,,,,Foraminifera,288974,Rhizaria,212476,updated,2
250689,Nothofagus,genus,Nothofagus,250689,Nothofagaceae,183023,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
250689,Nothofagus,genus,Nothofagus,250689,Nothofagaceae,183023,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
319869,Olea,genus,Olea,319869,Oleaceae,54728,Lamiales,54939,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
319869,Olea,genus,Olea,319869,Oleaceae,54728,Lamiales,54939,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
432538,Oolithotus,genus,Oolithotus,432538,Calcidiscaceae,419763,,,,,,,,,old,2
432538,Oolithotus,genus,Oolithotus,432538,Calcidiscaceae,419763,Coccosphaerales,443656,,,,,,,updated,2
22826,Ostracoda,class,,,,,,,Ostracoda,22826,Arthropoda,18891,Animalia,325038,old,2
22826,Ostracoda,class,Ostracoda,22826,,,,,,,Arthropoda,18891,Animalia,325038,updated,2
157332,Ostrya,genus,Ostrya,157332,Betulaceae,54589,Fagales,54902,Magnoliopsida,55217,Spermatophyta,55350,Plantae,54311,old,2
157332,Ostrya,genus,Ostrya,157332,Betulaceae,54589,Fagales,54902,Angiospermae,452804,Spermatophyta,55350,Plantae,54311,updated,2
69589,Pennales,order,,,,,Pennales,69589,Bacillariophyceae,69587,Ochrophyta,432613,,,old,2
69589,Pennales,order,Pennales,69589,,,,,Bacillariophyceae,69587,Ochrophyta,432613,,,updated,2
