Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia miotumida,Globorotalia conomiozea,Globorotalia conoidea,Globigerina bulloides,Orbulina universa,Globorotalia pliozea,Globorotalia juanai,Globorotalia crassaconica,Globigerina falconensis,Globoturborotalita apertura,Globigerinita glutinata,Globorotalia sphericomiozea,Globigerina quinqueloba,Globorotalia puncticulata,Globorotalia crassaformis,Neogloboquadrina pachyderma,Globorotalia tosaensis,Globorotalia scitula,Globorotalia puncticuloides,Globorotalia inflata,Globorotalia crassula,Globigerinoides elongatus,Globigerinella aequilateralis,Globigerinella obesa,Globigerinella praecalida,Globorotalia truncatulinoides,Comment
  IR,                 ,                 ,                  ,SN13          ,189,1168,B,  5,H,CC,  11.00,     42.1300,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                                      ,                      ,                       ,                     ,+                    ,+                ,                    ,                   ,                         ,                       ,                           ,+                      ,                           ,+                      ,+                        ,+                        ,+                          ,                      ,+                   ,+                          ,+                   ,+                    ,                         ,                             ,                    ,                         ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,B,  6,H,CC,   8.00,     51.5100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                                       ,                      ,                       ,                     ,+                    ,+                ,                    ,                   ,+                        ,                       ,                           ,+                      ,                           ,+                      ,+                        ,+                        ,+                          ,+                     ,+                   ,+                          ,+                   ,+                    ,+                        ,+                            ,                    ,                         ,                             ,Gr inflata v. rare. Gr pucticulata v. common; 1 specimen of Gr tosaensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN12a         ,189,1168,B,  7,H,CC,   8.00,     61.3200,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,+                                      ,                      ,                       ,                     ,+                    ,+                ,+                   ,                   ,                         ,                       ,                           ,+                      ,                           ,+                      ,+                        ,+                        ,                           ,                      ,                    ,                           ,                    ,                     ,                         ,                             ,                    ,                         ,                             ,Some fragmentation of foram tests
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,B,  8,H,CC,  15.00,     69.9100,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,+                                      ,                      ,+                      ,                     ,+                    ,+                ,+                   ,                   ,                         ,                       ,                           ,+                      ,+                          ,+                      ,                         ,                         ,                           ,                      ,                    ,                           ,                    ,                     ,                         ,                             ,                    ,                         ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,B,  9,H,CC,   0.00,     78.9000,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,+                                      ,                      ,+                      ,                     ,+                    ,+                ,                    ,+                  ,                         ,                       ,                           ,+                      ,+                          ,+                      ,                         ,                         ,                           ,                      ,                    ,                           ,                    ,                     ,                         ,                             ,                    ,                         ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,B, 10,H,CC,  12.00,     87.9900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                                      ,+                     ,+                      ,                     ,+                    ,+                ,                    ,+                  ,                         ,                       ,+                          ,+                      ,                           ,                       ,                         ,                         ,                           ,                      ,                    ,                           ,                    ,                     ,                         ,                             ,                    ,                         ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,B, 11,H,CC,  12.00,     98.7100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                                      ,                      ,+                      ,                     ,+                    ,+                ,+                   ,+                  ,+                        ,+                      ,                           ,                       ,                           ,                       ,                         ,                         ,                           ,                      ,                    ,                           ,                    ,                     ,                         ,                             ,                    ,                         ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,B, 12,H,CC,   7.00,    108.4100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,+                                      ,+                     ,+                      ,+                    ,+                    ,                 ,                    ,                   ,                         ,                       ,                           ,                       ,                           ,                       ,                         ,                         ,                           ,                      ,                    ,                           ,                    ,                     ,                         ,                             ,                    ,                         ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
