Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Orbulina universa,Neogloboquadrina continuosa,Globoquadrina dehiscens,Globoconella miozea,Globoconella conoidea,Globigerinoides trilobus,Globigerinita juvenilis,Globigerinita glutinata,Globigerinella obesa,Neogloboquadrina pachyderma (dextral),Globorotalia puncticulata,Globorotalia crassaformis,Globigerina falconensis,Globorotalia margaritae,Globigerina quinqueloba,Globorotalia pliozea,Globigerinoides ruber,Globigerinoides conglobatus,Globigerina bulloides,Globorotalia scitula,Globorotalia tosaensis,Globorotalia inflata,Neogloboquadrina dutertrei,Globorotalia crassula,Globigerinella siphonifera,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Comment
  IR,                 ,Quaternary       ,                  ,              ,182,1129,D,  5,R,CC,   0.00,    392.9400,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,                         ,P                        ,                       ,                       ,                       ,                    ,P                    ,                           ,                     ,                    ,                      ,P                   ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D,  6,R,CC,   9.00,    403.1200,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,                         ,                         ,                       ,                       ,                       ,                    ,P                    ,                           ,                     ,                    ,                      ,P                   ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D,  7,R,CC,   0.00,    413.3400,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,P                      ,                    ,P                                    ,                         ,                         ,                       ,                       ,                       ,                    ,P                    ,                           ,                     ,                    ,                      ,P                   ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D,  8,R,CC,   0.00,    422.9700,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,P                      ,                    ,P                                    ,P                        ,P                        ,F                      ,                       ,F                      ,                    ,F                    ,                           ,F                    ,                    ,P                     ,F                   ,                          ,P                    ,                          ,P                           ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D,  9,R,CC,  11.00,    434.7100,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,F                        ,F                        ,F                      ,                       ,P                      ,                    ,P                    ,                           ,P                    ,                    ,                      ,P                   ,P                         ,P                    ,                          ,                            ,                             ,"small menardii, small dutertrei"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 10,R,CC,  16.00,    442.5200,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,F                        ,P                        ,F                      ,                       ,                       ,                    ,P                    ,                           ,P                    ,                    ,                      ,P                   ,                          ,                     ,P                         ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 11,R,CC,  17.00,    453.6400,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,P                        ,                         ,P                      ,                       ,                       ,                    ,P                    ,                           ,                     ,                    ,                      ,P                   ,P                         ,P                    ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 12,R,CC,  15.00,    462.0000,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,P                   ,P                                    ,F                        ,P                        ,F                      ,                       ,P                      ,                    ,P                    ,                           ,P                    ,                    ,P                     ,P                   ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 13,R,CC,  13.00,    476.9300,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,P                        ,P                        ,P                      ,                       ,P                      ,                    ,P                    ,                           ,P                    ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 14,R,CC,   8.00,    481.7600,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,F                        ,                         ,P                      ,                       ,                       ,                    ,P                    ,                           ,P                    ,                    ,P                     ,                    ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 15,R,CC,  19.00,    491.7100,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,A                        ,R                        ,P                      ,                       ,P                      ,                    ,P                    ,P                          ,P                    ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 16,R,CC,  19.00,    507.6400,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,F                        ,P                        ,P                      ,                       ,                       ,P                   ,P                    ,                           ,P                    ,P                   ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 17,R,CC,   0.00,    512.1500,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,F                        ,                         ,F                      ,                       ,                       ,P                   ,P                    ,P                          ,P                    ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,cf conomiozea of Horni
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 18,R,CC,  37.00,    521.5200,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,P                        ,P                        ,                       ,                       ,P                      ,                    ,                     ,                           ,                     ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1129,D, 20,R,CC,  14.00,    546.3300,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,P                        ,                         ,                       ,P                      ,                       ,                    ,                     ,                           ,                     ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,"reworked suteri, testarugosa etc"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,182,1129,D, 21,R,CC,  31.00,    554.7000,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,P                ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,P                                    ,P                        ,R                        ,F                      ,                       ,                       ,                    ,                     ,                           ,                     ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 22,R, 1, 105.00,    557.1500,Li       ,Planktonic Foraminifers                      ,T              ,P                 ,P                   ,                 ,                           ,                       ,                   ,                     ,                        ,                       ,                       ,                    ,                                     ,                         ,                         ,                       ,                       ,                       ,                    ,                     ,                           ,                     ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,Miocene ?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 22,R,CC,  16.00,    557.6800,Li       ,Planktonic Foraminifers                      ,               ,                  ,                    ,                 ,                           ,                       ,                   ,P                    ,P                       ,                       ,                       ,                    ,                                     ,                         ,                         ,                       ,                       ,                       ,                    ,                     ,                           ,                     ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,chert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,182,1129,D, 24,R, 1,  20.00,    575.6000,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,P                   ,P                ,P                          ,P                      ,P                  ,P                    ,P                       ,P                      ,P                      ,P                   ,                                     ,                         ,                         ,                       ,                       ,                       ,                    ,                     ,                           ,                     ,                    ,                      ,                    ,                          ,                     ,                          ,                            ,                             ,praescitula reworked?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
