Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina pachyderma	Neogloboquadrina acostaensis	Globorotalia scitula	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia mons	Globigerina bulloides	Globigerinella aequilateralis	Globigerina falconensis	Zeaglobigerina woodi	Globorotalia crassaformis	Globigerina quinqueloba	Globorotalia crassaconica	Globigerinoides ruber	Globorotalia inflata	Globorotalia puncticuloides	Globorotalia inflata triangula	Globorotalia crassula	Globorotalia crassaformis dextral	Dentoglobigerina altispira altispira	Neogloboquadrina humerosa	Globorotalia crassacarina	Globigerinoides extremus	Globorotalia truncatulinoides	Globorotalia sphericomiozea	Comment
  IR	                 	                 	                  	              	181	1125	A	  9	H	CC	  26.00	     80.7600	forams   	Planktonic Foraminifers                      	A              	VG                	R                	A                          	                            	P                   	                         	                    	                 	A                    	P                            	                       	R                   	R                        	                       	P                        	                     	F                   	A                          	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 11	H	CC	  30.00	     99.8200	forams   	Planktonic Foraminifers                      	A              	G                 	R                	R                          	                            	                    	F                        	                    	                 	R                    	                             	                       	                    	                         	F                      	F                        	                     	F                   	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 13	H	CC	  30.00	    118.7900	forams   	Planktonic Foraminifers                      	A              	VG                	R                	F                          	                            	R                   	F                        	P                   	                 	D                    	P                            	                       	                    	P                        	R                      	R                        	P                    	                    	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 15	H	CC	  12.00	    137.7000	forams   	Planktonic Foraminifers                      	A              	VG                	P                	F                          	P                           	R                   	F                        	R                   	                 	D                    	                             	                       	                    	R                        	F                      	R                        	P                    	                    	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 17	H	CC	  10.00	    156.6900	forams   	Planktonic Foraminifers                      	A              	VG                	R                	                           	                            	                    	F                        	R                   	R                	F                    	                             	F                      	R                   	F                        	F                      	R                        	                     	                    	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 18	H	CC	  14.00	    166.0200	forams   	Planktonic Foraminifers                      	A              	VG                	P                	R                          	                            	F                   	F                        	R                   	R                	F                    	                             	F                      	                    	R                        	R                      	                         	                     	                    	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 20	H	CC	  10.00	    184.9200	forams   	Planktonic Foraminifers                      	A              	VG                	P                	F                          	P                           	P                   	F                        	F                   	P                	F                    	P                            	                       	R                   	R                        	F                      	                         	                     	                    	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 21	H	CC	   9.00	    194.3200	forams   	Planktonic Foraminifers                      	A              	VG                	P                	F                          	P                           	                    	F                        	                    	R                	F                    	R                            	F                      	                    	                         	                       	                         	                     	                    	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

  IR	                 	                 	                  	              	181	1125	A	 22	H	CC	  21.00	    203.4200	forams   	Planktonic Foraminifers                      	A              	VG                	R                	D                          	R                           	P                   	F                        	R                   	R                	F                    	                             	                       	                    	                         	                       	                         	                     	                    	                           	                              	                     	                                 	                                    	                         	                         	                        	                             	                           	       

