Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma vulgaris,Bolboforma spinosa,Bolboforma spiralis,Bolboforma rotunda,Bolboforma cyst,Bolboforma reticulata,Bolboforma gracilireticulata,Bolboforma cf.  laevis (round),Bolboforma fava,Bolboforma two-chambered cyst,Bolboforma platyreticulata,Bolboforma badenensis,Bolboforma laevis,Bolboforma moravica,Bolboforma danielsi,Bolboforma verrucosa,Bolboforma robusta,Bolboforma atlantica,Bolboforma capsula,Bolboforma oblongireticulata,Bolboforma compressispinosa,Bolboforma subfragori magna,Bolboforma clodiusi,Bolboforma superba,Bolboforma subfragori,Bolboforma furcata,Bolboforma fragori,Bolboforma metzmacheri ornata,Bolboforma aculeata,Bolboforma contorta sculpturata,Bolboforma contorta contorta,Bolboforma pentaspinosa,Bolboforma metzmacheri solida,Bolboforma m. metzmacheri,Bolboforma deformis,Bolboforma polygonalis,Bolboforma trochospiralis,Bolboforma praeintermedia,Bolboforma intermedia,Bolboforma pisiformis,Bolboforma pustulaintermedia,Bolboforma communis,Bolboforma groenlandica,Bolboforma lockeri,Bolboforma mutabilis,Bolboforma carina,Bolboforma sphaerica,Bolboforma costa. variabilis,Bolboforma tenuis,Bolboforma hispida,Bolboforma carinsapinosa,Bolboforma c. costairregularis,Bolboforma stella,Bolboforma alata,Bolboforma elegans,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,8,H,3,142.00,66.9200,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,C                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,8,H,4,142.00,68.4200,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,                ,T                 ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,8,H,5,140.00,69.9000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,                              ,                 ,                ,C                 ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,8,H,6,140.00,71.4000,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,                              ,                 ,                ,R                 ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,up B. costairregula,,162,982,B,9,H,1,84.00,72.8400,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,                ,T                 ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,9,H,3,84.00,75.8400,Spiegler ,Bolboforms                                   ,T              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,T                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,9,H,5,84.00,78.8400,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,T              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,C                 ,                        ,C                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,10,H,1,30.00,81.8000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,T              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,T                 ,                        ,C                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,10,H,2,30.00,83.3000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,T              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,C               ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,10,H,3,30.00,84.8000,Spiegler ,Bolboforms                                   ,A              ,                  ,                   ,                  ,                   ,                  ,T              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,T                 ,                        ,R                             ,                 ,A               ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,10,H,4,30.00,86.3000,Spiegler ,Bolboforms                                   ,A              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,A                             ,                 ,C               ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,10,H,5,30.00,87.8000,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,10,H,6,30.00,89.3000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,R              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,C                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,10,H,7,30.00,90.8000,Spiegler ,Bolboforms                                   ,A              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,T                 ,                        ,A                             ,T                ,R               ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,11,H,1,20.00,91.2000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,T                             ,C                ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,11,H,2,20.00,92.7000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,T                 ,                        ,T                             ,C                ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,11,H,3,20.00,94.2000,Spiegler ,Bolboforms                                   ,A              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,T                 ,                        ,T                             ,A                ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,11,H,4,20.00,95.7000,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,T                 ,                        ,R                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,11,H,5,20.00,97.2000,Spiegler ,Bolboforms                                   ,A              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,A                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,11,H,6,20.00,98.7000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,C                 ,                        ,R                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,up B. costairregula,,162,982,B,11,H,7,20.00,100.2000,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,R              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,                            ,                 ,                  ,                        ,R                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,low B. costairregula,,162,982,B,12,H,2,20.00,102.2000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,T              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,C                           ,                 ,                  ,                        ,                              ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,low B. costairregula,,162,982,B,12,H,3,20.00,103.7000,Spiegler ,Bolboforms                                   ,C              ,                  ,                   ,                  ,                   ,                  ,T              ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,C                           ,                 ,                  ,                        ,                              ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,low B. costairregula,,162,982,B,12,H,4,20.00,105.2000,Spiegler ,Bolboforms                                   ,R              ,                  ,                   ,                  ,                   ,                  ,               ,                     ,                            ,                              ,               ,                             ,                          ,                     ,                 ,                   ,                   ,                    ,                  ,                    ,                  ,                            ,                           ,                           ,                   ,                  ,                     ,                  ,                  ,                             ,                   ,                               ,                            ,                       ,                             ,                         ,                   ,                      ,                         ,                         ,                     ,                     ,                            ,                   ,                       ,                  ,                    ,                 ,                    ,T                           ,                 ,T                 ,                        ,T                             ,                 ,                ,                  ,from 162SR. Ch 3. Tables 1 thr 4.
