Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina continuosa,Globigerina praebulloides,Globoquadrina dehiscens,Paragloborotalia mayeri,Globorotalia zealandica,Globorotalia praescitula,Globigerinoides quadrilobatus,Globigerinoides obliquus,Catapsydrax dissimilis,Globoquadrina baroemoenensis,Sphaeroidinellopsis disjuncta,Praeorbulina glomerosa glomerosa,Globigerina woodi,Globorotalia miozea,Globigerinita glutinata,Globigerinoides trilobus,Catapsydrax stainforthi,Orbulina suturalis,Globigerina bulloides,Praeorbulina glomerosa circularis,Orbulina universa,Globorotalia scitula,Globorotalia conoidea,Globigerina quinqueloba,Globigerina eamesi,Globigerinoides subquadratus,Neogloboquadrina spp.,Streptochilus globigerum,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (dextral),Sphaeroidinellopsis kochi,Orbulina bilobata,Neogloboquadrina atlantica (sinistral),Globigerinita uvula,Neogloboquadrina acostaensis,Globigerinoides spp.,Globorotalia juanai,Globigerina nepenthes,Globigerina aequilateralis,Globorotalia conomiozea,Globorotalia cf. Gr. crassula,Globorotalia margaritae,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina humerosa,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassaformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),,162,982,B,5,H,2,110.00,36.6000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,C                    ,                                 ,R                ,R                   ,                     ,R                      ,                  ,                            ,                     ,                        ,F                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,R                                      ,                         ,                         ,C                   ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gr. inflata   ,,162,982,B,5,H,3,76.00,37.7600,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,                 ,R                   ,                     ,R                      ,                  ,                            ,                     ,                        ,F                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,T                                      ,                         ,                         ,C                   ,F                        ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gr. inflata   ,,162,982,B,5,H,4,126.00,39.7600,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,C                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,T                                      ,                         ,                         ,C                   ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gr. inflata   ,,162,982,B,5,H,5,110.00,41.1000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,A                    ,                                 ,                 ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,R                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,A                   ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,,162,982,B,5,H,6,104.00,42.5400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,T                ,F                   ,                     ,T                      ,                  ,                            ,                     ,                        ,F                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,,162,982,B,6,H,1,60.00,44.1000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,C                    ,                                 ,F                ,F                   ,                     ,                       ,                  ,                            ,                     ,                        ,C                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,R                        ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,Gg. bulloides ,,162,982,B,6,H,2,54.00,45.5400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,T                      ,                        ,                       ,                  ,A                    ,                                 ,R                ,T                   ,                     ,                       ,                  ,                            ,                     ,                        ,C                                    ,                                    ,                         ,                 ,                                      ,                   ,                            ,                    ,                   ,                     ,T                         ,                       ,                             ,                       ,T                                      ,                         ,                         ,                    ,T                        ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,6,H,3,65.00,47.1500,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,F                    ,                                 ,                 ,R                   ,                     ,                       ,                  ,                            ,T                    ,                        ,                                     ,                                    ,                         ,                 ,D                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,T                   ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,6,H,5,68.00,50.1800,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,A                                     ,                   ,                            ,                    ,                   ,                     ,T                         ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,7,H,2,18.00,54.6800,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,F                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,7,H,3,18.00,56.1800,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,F                      ,                        ,                       ,                  ,C                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,A                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,T/R                      ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,7,H,4,18.00,57.6800,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,R                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,A                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,F                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,7,H,5,18.00,59.1800,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,F                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,8,H,2,142.00,65.4200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,F                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,R                         ,                       ,                             ,                       ,                                       ,                         ,C                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N. atlantica  ,,162,982,B,8,H,4,142.00,68.4200,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,F                    ,                                 ,F                ,F                   ,                     ,                       ,C                 ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,D                                     ,                   ,                            ,                    ,                   ,                     ,F                         ,                       ,                             ,                       ,                                       ,                         ,T                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,,162,982,B,8,H,5,140.00,69.9000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,R                   ,                     ,                       ,T                 ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,D                                     ,                   ,                            ,                    ,                   ,                     ,T                         ,                       ,R                            ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,,162,982,B,8,H,6,140.00,71.4000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,D                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,R                            ,                       ,                                       ,                         ,R                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,,162,982,B,9,H,1,84.00,72.8400,Flower   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,F                    ,                                 ,F                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,D                                     ,                   ,                            ,                    ,                   ,                     ,R                         ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,,162,982,B,9,H,3,84.00,75.8400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,C                         ,                       ,                             ,                       ,                                       ,                         ,C                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,,162,982,B,9,H,5,84.00,78.8400,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,C                    ,                                 ,F                ,R                   ,                     ,R                      ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,C                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,,162,982,B,10,H,2,30.00,83.3000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,                 ,R                   ,R                    ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,C                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. puncticulata,,162,982,B,12,H,7,20.00,109.7000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,                     ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,R                      ,                                       ,                         ,D                        ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,13,H,1,30.00,110.3000,Flower   ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,A                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,F                                      ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,13,H,2,30.00,111.8000,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,C                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,R                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,T                                      ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,13,H,5,30.00,116.3000,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,R                      ,                        ,                       ,                  ,A                    ,                                 ,C                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,14,H,2,29.00,121.2900,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,D                    ,                                 ,                 ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,C                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,R                                      ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,14,H,5,29.00,125.7900,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,F                                    ,                                    ,                         ,                 ,F                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,T                                      ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,15,H,2,29.00,130.7900,Flower   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,A                    ,                                 ,F                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,F                                     ,                   ,                            ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,17,H,2,24.00,149.7400,Flower   ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,R                ,                   ,R                      ,                        ,                       ,                  ,A                    ,                                 ,R                ,                    ,                     ,                       ,                  ,                            ,                     ,                        ,                                     ,                                    ,                         ,                 ,F                                     ,                   ,C                           ,                    ,                   ,                     ,                          ,                       ,R                            ,T                      ,R                                      ,R                        ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,Gr. margaritae,,162,982,B,17,H,5,24.00,154.2400,Flower   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                         ,                       ,                       ,                       ,                        ,                             ,                        ,                      ,                            ,                             ,                                ,                 ,                   ,                       ,                        ,                       ,                  ,C                    ,                                 ,F                ,R                   ,                     ,                       ,                  ,                            ,                     ,                        ,R                                    ,                                    ,                         ,                 ,C                                     ,                   ,R                           ,                    ,                   ,                     ,                          ,                       ,                             ,                       ,                                       ,                         ,                         ,                    ,                         ,from 162SR.Ch 2.Table 6.
