Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Oxeas taxa	Spherasters (Oxyasters) taxa	Isochelae taxa	Acanthotylostyles taxa	Acanthostypes taxa	Strongyles taxa	Acanthoxeas taxa	Tylostyles taxa	Triods taxa	Styles taxa	Sigmas taxa	Acanthostrongyles taxa	Streptasters taxa	Sinusoidal styles taxa	Discorhabds taxa	Hexactines taxa	Amphidiscs taxa	Distephanus crux	Triskelion gorgon	Naviculopsis constricta	Ebriopsis antiqua antiqua	Dictyocha messanensis	Craniopsis octo	Corbisema triacantha	Corbisema hastata	Bachmannocena apiculata	Ammodochium rectangulare	Adonnadonna primadonna	Comment
  SR	Middle Miocene   	                 	                  	              	152	 918	D	 39	R	 5	  80.00	    654.7000	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	4         	                            	1             	                      	                  	               	1               	3              	           	           	1          	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 40	R	 2	  41.00	    659.4100	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1         	                            	1             	1                     	                  	               	                	               	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 40	R	 3	  33.00	    660.8300	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	11        	                            	1             	                      	1                 	2              	2               	               	           	1          	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 40	R	 4	  50.00	    662.5000	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	18        	1                           	1             	                      	                  	               	4               	1              	           	1          	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	1 unknown spicule type; From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 40	R	 5	  63.00	    664.1300	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	11        	1                           	2             	                      	                  	               	2               	               	           	           	1          	1                     	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	1 unknown spicule type; From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 41	R	 1	  91.00	    668.1100	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	3         	3                           	              	1                     	                  	               	1               	               	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 41	R	 2	   9.00	    668.7900	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	13        	4                           	7             	                      	1                 	               	                	1              	           	           	           	1                     	                 	2                     	1               	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 41	R	 3	 120.00	    671.4000	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	10        	1                           	              	                      	1                 	1              	1               	               	1          	1          	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	1 unknown spicule type; From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 41	R	 4	 109.00	    672.7900	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	10        	1                           	1             	5                     	2                 	4              	1               	3              	           	           	           	1                     	                 	1                     	                	1              	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	1 unknown spicule type; From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 41	R	 5	  70.00	    673.9000	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	8         	1                           	              	1                     	                  	               	1               	1              	           	           	           	                      	1                	1                     	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 42	R	 1	  71.00	    677.5100	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	3         	1                           	1             	                      	                  	               	1               	               	           	           	1          	                      	                 	1                     	1               	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 42	R	 2	  65.00	    678.9500	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	6         	                            	1             	                      	                  	               	1               	3              	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 42	R	 3	  54.00	    680.3400	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	16        	5                           	4             	1                     	                  	               	1               	1              	2          	           	           	1                     	1                	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 42	R	 4	  63.00	    681.9300	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1         	                            	              	                      	1                 	1              	                	               	           	           	1          	1                     	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 42	R	 5	  96.00	    683.7600	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	20        	1                           	3             	                      	                  	1              	3               	2              	           	           	           	1                     	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 43	R	 1	  72.00	    687.1200	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2         	                            	              	                      	                  	               	1               	1              	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 43	R	 2	  52.00	    688.4200	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	5         	4                           	              	1                     	                  	               	1               	               	1          	           	1          	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	1 unknown spicule type; From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 44	R	 1	  61.00	    696.7100	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	8         	1                           	1             	                      	3                 	               	                	1              	1          	3          	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 44	R	 3	  64.00	    699.7400	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2         	1                           	1             	                      	                  	1              	1               	               	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 44	R	 4	  66.00	    701.2600	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	6         	                            	1             	                      	2                 	2              	                	               	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Middle Miocene   	                 	                  	              	152	 918	D	 47	R	 2	  66.00	    725.8600	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1         	2                           	1             	1                     	3                 	               	                	               	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

  SR	Early Miocene    	                 	                  	              	152	 918	D	 51	R	 4	  28.00	    767.9800	Wei      	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1         	                            	              	                      	                  	               	                	               	           	           	           	                      	                 	                      	                	               	               	                	                 	                       	                         	                     	               	                    	                 	                       	                        	                      	From Leg 152SR; Ch 13; Table 1; p 193

