Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Woodringina hornerstownensis	Woodringina claytonensis	Schackoina cenomana	Heterohelix globulosa	Heterohelix dentata	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanella petaloidea	Abathomphalus mayaroensis	Abathomphalus intermedius	Parasubbotina variospira	Morozovella velascoensis	Morozovella conicotruncata	Morozovella angulata	Igorina tadjikistanensis	Igorina albeari	Globanomalina pseudomenardii	Subbotina triangularis	Morozovella pasionensis	Morozovella occlusa	Morozovella acuta	Acarinina soldadoensis	Acarinina nitida	Acarinina mckannai	Acarinina coalingensis	Subbotina velascoensis	Subbotina lozanoi	Morozovella lensiformis	Morozovella formosa	Acarinina pseudotopilensis	Acarinina primitiva	Subbotina inaequispira	Morozovella subbotinae	Morozovella spinulosa	Morozovella marginodentata	Morozovella caucasica	Morozovella aragonensis	Guembelitrioides higginsi	Globigerinatheka senni	Acarinina pentacamerata	Igorina broedermanni	Acarinina bullbrooki	Hantkenina alabamensis	Globorotaloides suteri	Globigerinatheka subconglobata	Globigerinatheka index	Catapsydrax unicavus	Turborotalia ampliapertura	Subbotina praeturritilina	Subbotina gortanii	Subbotina angiporoides	Pseudohastigerina naguewichiensis	Pseudohastigerina micra	Pseudohastigerina barbadoensis	Globigerina pseudovenezuelana	Globigerina ouachitaensis	Globigerina euapertura	Globigerina angustiumbilicata	Catapsydrax dissimilis	Tenuitella gemma	Paragloborotalia opima opima	Paragloborotalia opima nana	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina acostaensis	Globoturborotalita woodi	Globoturborotalita nepenthes	Globorotalia tumida	Globorotalia plesiotumida	Globorotalia menardii	Globorotalia margaritae	Truncorotalia crassaformis	Sphaeroidinellopsis subdehiscens	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens s.l.	Globorotalia puncticulata	Globorotalia conomiozea	Globigerinoides sacculifer	Globigerinoides obliquus	Globigerinoides extremus	Globigerinoides conglobatus	Dentoglobigerina altispira	Truncorotalia tosaensis	Truncorotalia truncatulinoides	Neogloboquadrina dutertrei	Globorotalia scitula	Globorotalia inflata	Globigerina bulloides	Globorotalia hirsuta	Globigerinoides ruber	Globigerinella aequilateralis	Comment

  IR	                 	Early Pliocene   	N19-N20           	N18           	198	1211	C	  5	H	CC	  17.00	     45.7600	planks   	Planktonic Foraminifers                      	R              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	F                             	R                	R                                    	R                           	F                       	F                           	R                  	R                        	R                    	R                      	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	common planktic fragments; few rads

  IR	                 	Late Oligocene   	                  	P21b          	198	1211	C	  6	H	CC	  11.00	     54.5900	planks   	Planktonic Foraminifers                      	R              	P                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	R                            	R                        	                      	A                            	R                     	F               	F                           	F                          	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	rare phillipsite; fish teeth

  IR	Late Oligocene   	Early Oligocene  	P21a              	P20           	198	1211	C	  7	H	CC	  11.00	     64.6300	planks   	Planktonic Foraminifers                      	T              	P                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	R                     	                                 	                       	                              	R                            	R                        	R                     	A                            	R                     	F               	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	rare phillipsite crystals; fish teeth

  IR	                 	Early Oligocene  	P18               	P18           	198	1211	C	  8	H	CC	   9.00	     73.4900	planks   	Planktonic Foraminifers                      	F              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	R                     	                              	                      	R                   	F                         	R                        	F                 	R                     	F                                	F                      	F                             	F                            	R                        	R                     	F                            	F                     	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	dissolved

  IR	                 	Late Paleocene   	P17               	P16           	198	1211	C	  9	H	CC	  14.00	     83.3000	planks   	Planktonic Foraminifers                      	T              	P                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	+                	                       	                   	                          	                   	+                     	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	R                     	R                     	R                             	P                     	P                   	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	       

  IR	                 	Middle Eocene    	P10               	P10           	198	1211	C	 10	H	CC	  15.00	     92.4000	planks   	Planktonic Foraminifers                      	F              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	R                	                       	                   	                          	R                  	R                     	                      	R                    	                          	F                    	F                      	R                        	+                     	F                      	F                   	F                   	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	       

  IR	                 	Early Eocene     	P8                	P9            	198	1211	C	 11	H	CC	   9.00	    101.7800	planks   	Planktonic Foraminifers                      	F              	M                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	F                     	                	                  	                      	                      	R                	                       	+                  	                          	                   	R                     	R                     	R                    	F                         	R                    	F                      	R                        	R                     	F                      	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	       

  IR	                 	Early Eocene     	P7                	P6b           	198	1211	C	 12	H	CC	  11.00	    111.5500	planks   	Planktonic Foraminifers                      	F              	P                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	F                     	                	                  	                      	P                     	R                	P                      	F                  	R                         	R                  	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	       

  IR	                 	Late Paleocene   	P4b               	P4c           	198	1211	C	 13	H	CC	   7.00	    121.3200	planks   	Planktonic Foraminifers                      	F              	P                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	                        	F                       	                          	                    	                        	P              	                            	R                     	R                      	F                  	F                	R                     	R               	F                 	P                     	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	dissolved

  IR	                 	Late Paleocene   	P3b               	P4a           	198	1211	C	 14	H	CC	  15.00	    130.5100	planks   	Planktonic Foraminifers                      	R              	P                 	                            	                        	                   	                     	                   	                        	                             	                           	                         	                         	F                       	P                       	F                         	R                   	P                       	R              	P                           	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	       

  IR	                 	Maestrichtian    	KS31              	KS31          	198	1211	C	 15	H	CC	   9.00	    138.5900	planks   	Planktonic Foraminifers                      	T              	P                 	P                           	R                       	R                  	P                    	P                  	P                       	P                            	P                          	P                        	R                        	                        	                        	                          	                    	                        	               	                            	                      	                       	                   	                 	                      	                	                  	                      	                      	                 	                       	                   	                          	                   	                      	                      	                     	                          	                     	                       	                         	                      	                       	                    	                    	                      	                      	                              	                      	                    	                          	                         	                  	                      	                                 	                       	                              	                             	                         	                      	                             	                      	                	                            	                           	                              	                 	                                     	                            	                        	                            	                   	                         	                     	                       	                          	                                	                                  	                              	                         	                       	                          	                        	                        	                           	                          	                       	                              	                          	                    	                    	                     	                    	                     	                             	strongly contaminated with Paleocene

