Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Sphaeroidinellopsis seminulina	Globorotalia menardii menardii (sinistral)	Globorotalia siakensis	Globorotalia miozea	Globoquadrina dehiscens	Globoquadrina venezuelana	Globigerina nepenthes	Globigerinoides trilobus	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Neogloboquadrina acostaensis (sinistral)	Dentoglobigerina altispira altispira	Globigerinoides obliquus obliquus	Globorotalia plesiotumida	Globorotalia scitula	Globigerinoides sacculifer	Globorotalia cf. Gr. miozea	Orbulina suturalis	Globigerina woodi	Globigerinoides quadrilobatus	Globigerinoides obliquus extremus	Globigerinita glutinata	Globorotalia menardii menardii (dextral)	Globigerina decoraperta	Globoquadrina baroemoenensis	Globorotalia conomiozea	Pulleniatina obliquiloculata obliquiloculata	Globorotalia juanai	Globorotalia menardii cultrata (sinistral)	Globorotalia margaritae primitivae	Globigerinoides pyramidalis	Orbulina bilobata	Globorotalia cf. Gr. conomiozea	Globoquadrina altispira globosa	Globoquadrina altispira conica	Globorotalia margaritae	Globigerinoides conglobatus	Globorotalia cf. Gr. juanai	Globigerinoides elongatus	Neogloboquadrina dutertrei	Globorotalia pseudopima	Globorotalia miocenica	Globigerinoides ruber	Globorotalia multicamerata	Globigerinella aequilateralis	Globorotalia menardii cultrata (dextral)	Globorotalia cf. Gr. multicamerata	Globorotalia pseudomiocenica	Globorotalia cf. Gr. miocenica	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia pertenuis	Globorotalia exilis	Globorotalia tumida	Globorotalia cf. Gr. hirsuta	Globigerina apertura	Neogloboquadrina pachyderma (dextral)	Globorotaloides hexagona	Globigerina falconensis	Globorotalia inflata	Globigerina bulloides	Candeina nitida	Globorotalia tosaensis	Sphaeroidinella dehiscens	Globorotalia truncatulinoides	Globorotalia crassula	Globigerina rubescens	Globigerinoides fistulosus	Globigerina eamsi	Globigerinella obesa	Comment

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  5	R	 2	  83.00	    121.6300	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	R                        	                                      	                                        	                                    	F                                	                         	F                   	F                         	                           	                  	F                	                             	                                 	R                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	F                          	                           	                         	                          	                       	F                     	C                    	                          	C                            	                                        	                                  	                            	                              	F                        	C                        	                      	F                  	                   	R                           	                    	C                                    	                        	F                      	A                   	C                    	               	                      	                         	                             	C                    	R                    	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  5	R	 4	  25.00	    124.0500	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	R                        	                                      	                                        	                                    	                                 	                         	C                   	F                         	                           	                  	F                	                             	                                 	C                      	                                        	C                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	R                          	                           	                         	                          	                       	F                     	C                    	                          	C                            	                                        	                                  	                            	                              	C                        	                         	                      	F                  	                   	R                           	F                   	F                                    	                        	C                      	F                   	C                    	               	                      	                         	                             	A                    	R                    	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  5	R	CC	  12.00	    125.7300	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	                    	C                         	                           	                  	                 	                             	                                 	                       	                                        	                       	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	C                     	C                    	                          	C                            	                                        	                                  	                            	                              	C                        	C                        	                      	C                  	                   	                            	                    	                                     	                        	                       	                    	                     	               	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  6	R	 1	  43.00	    129.4300	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	C                	                             	C                                	C                      	                                        	C                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	F                     	A                    	                          	F                            	                                        	                                  	                            	                              	C                        	                         	                      	C                  	                   	F                           	F                   	C                                    	                        	F                      	C                   	                     	               	                      	                         	                             	C                    	F                    	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  6	R	 2	 127.00	    131.7700	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	R                   	F                         	                           	                  	F                	                             	F                                	C                      	                                        	C                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	R                          	                           	                         	                          	                       	F                     	A                    	                          	C                            	                                        	                                  	                            	                              	F                        	                         	                      	C                  	                   	F                           	F                   	C                                    	                        	                       	F                   	R                    	               	                      	                         	                             	C                    	C                    	R                         	F                	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  6	R	 3	  53.00	    132.5300	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	R                   	F                         	                           	                  	C                	                             	F                                	F                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	R                          	                           	                         	                          	                       	F                     	C                    	                          	C                            	                                        	                                  	                            	                              	F                        	R                        	F                     	C                  	                   	F                           	                    	C                                    	                        	F                      	F                   	C                    	               	                      	                         	                             	A                    	C                    	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  6	R	 4	  89.00	    134.3900	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	C                	                             	C                                	C                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	R                          	                           	                         	                          	                       	R                     	C                    	                          	C                            	                                        	                                  	                            	                              	F                        	C                        	R                     	C                  	                   	                            	F                   	C                                    	                        	F                      	                    	F                    	               	                      	                         	R                            	F                    	F                    	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  6	R	CC	   0.00	    135.0000	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	                    	C                         	                           	                  	F                	                             	                                 	C                      	                                        	                       	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	C                     	C                    	                          	C                            	                                        	                                  	                            	                              	C                        	C                        	                      	C                  	                   	                            	                    	                                     	                        	                       	                    	C                    	               	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  7	R	 2	  83.00	    140.9300	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                	                              	                                          	                      	                   	                       	                         	                     	                        	F                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	F                	                             	C                                	F                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	R                	                               	                               	                              	                       	F                          	                           	                         	                          	                       	                      	C                    	                          	C                            	                                        	                                  	                            	                              	C                        	C                        	F                     	C                  	                   	                            	                    	C                                    	                        	C                      	F                   	C                    	               	                      	R                        	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL5               	              	157	 954	B	  7	R	 3	  40.00	    142.0000	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	C                	                             	C                                	C                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	F                          	                           	                         	                          	                       	C                     	C                    	F                         	F                            	                                        	                                  	                            	                              	C                        	C                        	F                     	C                  	                   	                            	                    	F                                    	                        	F                      	                    	F                    	               	F                     	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL3               	              	157	 954	B	  7	R	 4	  47.00	    143.5700	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	C                             	                                          	                      	                   	                       	                         	                     	                        	F                        	                                      	                                        	F                                   	                                 	                         	F                   	C                         	                           	                  	                 	                             	C                                	                       	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	                      	F                    	F                         	C                            	                                        	                                  	                            	                              	C                        	                         	                      	C                  	                   	F                           	F                   	C                                    	                        	C                      	C                   	C                    	               	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL3               	              	157	 954	B	  7	R	CC	  19.00	    144.3800	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	C                       	C                        	                                      	                                        	                                    	                                 	                         	F                   	F                         	                           	                  	                 	                             	F                                	                       	                                        	                       	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	F                          	                           	                         	                          	                       	                      	                     	                          	                             	                                        	                                  	                            	                              	F                        	C                        	R                     	F                  	                   	                            	                    	                                     	                        	                       	R                   	                     	R              	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL3               	              	157	 954	B	  8	R	 1	  11.00	    148.3100	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	C                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	                 	                             	C                                	C                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	R                	                               	                               	                              	                       	F                          	                           	                         	                          	                       	                      	C                    	F                         	C                            	                                        	                                  	                            	R                             	C                        	C                        	F                     	C                  	                   	                            	                    	                                     	                        	F                      	F                   	F                    	               	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL3               	              	157	 954	B	  8	R	 1	  85.00	    149.0500	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	                        	F                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	F                	                             	F                                	F                      	                                        	F                      	                            	                       	                                            	                   	                                          	                                  	                           	R                	                               	                               	                              	                       	                           	                           	                         	                          	                       	                      	C                    	                          	F                            	                                        	                                  	                            	                              	C                        	C                        	R                     	C                  	                   	                            	R                   	                                     	                        	C                      	                    	                     	               	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL3               	              	157	 954	B	  8	R	 2	  50.00	    150.0000	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                	R                             	                                          	                      	                   	                       	                         	                     	                        	F                        	                                      	                                        	                                    	                                 	                         	F                   	C                         	                           	                  	                 	                             	F                                	                       	                                        	                       	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	                      	F                    	C                         	C                            	                                        	                                  	                            	                              	C                        	F                        	                      	C                  	                   	                            	                    	                                     	                        	                       	                    	                     	               	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.

  SR	Late Pliocene    	                 	PL3               	              	157	 954	B	  8	R	CC	  19.00	    151.1000	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                	                              	                                          	                      	                   	                       	                         	                     	F                       	C                        	                                      	                                        	R                                   	                                 	                         	F                   	                          	                           	                  	                 	                             	F                                	                       	                                        	C                      	                            	                       	                                            	                   	                                          	                                  	                           	                 	                               	                               	                              	                       	                           	                           	                         	                          	                       	F                     	C                    	C                         	C                            	                                        	                                  	                            	                              	C                        	C                        	                      	C                  	                   	                            	F                   	                                     	R                       	                       	                    	                     	               	                      	                         	                             	                     	                     	                          	                 	                    	from Leg 157 SR CH. 10. Table 4.
