Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Textularia sp.,Istriloculina sp.,Verneuilinidae taxa,Miliolid taxa,Arenobulimina sp. A,Nezzazata sp. B,Trocholina sp. cf. T. odukpaniensis,Foraminifers (planispiral taxa),Debarina sp. cf. D. hahounerensis,Bdelloidina sp. cf. B. urgonensis,Foraminifers (attached),Cayeuxia sp.,Vercorsella sp.,Cuneolina sliteri,Spiroloculina sp.,Arenobulimina sp.,Glomospira sp.,Novalesia producta,Vercorsella sp. cf. V. arenata,Vercorsella sp. cf. V. scarsellai,Melathrokerion sp.,Nezzazata isabellae,Lituola stogguloides,Fischerina? carinata,Belorussiella sp.,Paracoskinolina sp. cf. P. sunnilandensis,Cuneolina sp. cf. C. pavonia,Orbitolinid taxa,Orbitolina (Orbitolina) sp.,Orbitolina (Conicorbitolina) sp. cf. O. aliensis,Cuneolina parva,Pseudolituonella sp.,Bacinella irregularis,Neomeris cretacea,Trocholina altispira,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  3,R, 1,  42.00,     15.9200,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,R             ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,A                                ,A                      ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,R                    ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  3,R, 1,  95.00,     16.4500,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,              ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,A                      ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,R                           ,C               ,C                          ,                                                ,               ,                    ,C                    ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  4,R, 1,   9.00,     25.0900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,F             ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,R           ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,R              ,R                   ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  5,R, 1,  31.00,     34.9100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,F             ,                 ,R                  ,F            ,                   ,               ,                                   ,R                              ,                                 ,                                 ,                       ,A           ,               ,R                ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,F                  ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,R              ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  5,R, 1,  41.00,     35.0100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,A             ,                 ,                   ,VA           ,                   ,               ,                                   ,R                              ,F                                ,                                 ,                       ,            ,R              ,A                ,                 ,R                ,              ,                  ,C                             ,                                 ,                  ,C                  ,                    ,                    ,                 ,                                         ,F                           ,VA              ,VA                         ,R                                               ,R              ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  5,R, 1,  46.00,     35.0600,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,F             ,                 ,R                  ,C            ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,F              ,F                ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,R                  ,                    ,                    ,                 ,R                                        ,                            ,VA              ,VA                         ,R                                               ,C              ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  5,R, 1,  53.00,     35.1300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,              ,R                ,                   ,A            ,                   ,               ,                                   ,C                              ,                                 ,                                 ,                       ,            ,               ,C                ,                 ,C                ,              ,                  ,R                             ,                                 ,                  ,C                  ,                    ,                    ,                 ,R                                        ,                            ,VA              ,VA                         ,C                                               ,F              ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  5,R, 1,  60.00,     35.2000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,A             ,F                ,                   ,C            ,                   ,               ,                                   ,R                              ,                                 ,                                 ,                       ,            ,A              ,R                ,                 ,                 ,              ,                  ,                              ,                                 ,R                 ,C                  ,                    ,                    ,                 ,R                                        ,                            ,C               ,C                          ,A                                               ,F              ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  5,R, 1,  73.00,     35.3300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,A             ,F                ,                   ,A            ,                   ,               ,                                   ,C                              ,R                                ,                                 ,                       ,            ,C              ,                 ,                 ,R                ,R             ,                  ,                              ,R                                ,R                 ,                   ,                    ,                    ,                 ,                                         ,                            ,A               ,A                          ,C                                               ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  6,R, 1,  12.00,     44.4200,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,F                ,                   ,A            ,                   ,               ,                                   ,A                              ,C                                ,                                 ,                       ,F           ,               ,                 ,                 ,                 ,              ,                  ,C                             ,F                                ,                  ,A                  ,F                   ,A                   ,R                ,F                                        ,C                           ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 879,A,  6,R, 1,  19.00,     44.4900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,A             ,C                ,                   ,A            ,                   ,               ,                                   ,A                              ,C                                ,                                 ,                       ,            ,A              ,R                ,                 ,                 ,              ,                  ,A                             ,A                                ,                  ,VA                 ,R                   ,A                   ,R                ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 10,R, 1,  11.00,     83.0100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,R             ,                 ,                   ,             ,                   ,               ,                                   ,F                              ,                                 ,                                 ,                       ,R           ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 10,R, 1,  20.00,     83.1000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,VA            ,R                ,                   ,F            ,                   ,               ,                                   ,C                              ,C                                ,                                 ,                       ,A           ,VA             ,                 ,                 ,R                ,              ,                  ,                              ,F                                ,F                 ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 11,R, 1,   0.00,     92.5000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,F                ,                   ,F            ,                   ,               ,                                   ,                               ,R                                ,                                 ,                       ,C           ,R              ,R                ,                 ,R                ,              ,                  ,R                             ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 13,R, 1,   0.00,    111.8000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,R                ,                   ,C            ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,R           ,               ,                 ,                 ,R                ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 14,R, 1,  13.00,    121.6300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,              ,C                ,                   ,A            ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,R                 ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 14,R, 1,  33.00,    121.8300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,A             ,C                ,                   ,A            ,                   ,               ,                                   ,R                              ,R                                ,R                                ,R                      ,            ,C              ,                 ,F                ,                 ,F             ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 15,R, 1,   8.00,    131.1800,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,A             ,VA               ,                   ,A            ,F                  ,               ,                                   ,R                              ,                                 ,                                 ,                       ,            ,               ,                 ,R                ,C                ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 15,R, 1,  23.00,    131.3300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,VA               ,                   ,A            ,C                  ,               ,                                   ,F                              ,                                 ,                                 ,                       ,            ,A              ,R                ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 879,A, 15,R, 1,  35.00,    131.4500,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,              ,A                ,                   ,             ,                   ,               ,                                   ,F                              ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 15,R, 1,  38.00,    131.4800,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,R             ,F                ,                   ,             ,R                  ,               ,                                   ,                               ,                                 ,                                 ,R                      ,R           ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 16,R, 1,  19.00,    140.9900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,                 ,                   ,R            ,C                  ,R              ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 16,R, 1, 109.00,    141.8900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,F             ,                 ,R                  ,             ,F                  ,               ,R                                  ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 16,R, 1, 131.00,    142.1100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,A             ,                 ,                   ,F            ,VA                 ,               ,R                                  ,R                              ,F                                ,R                                ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 17,R, 1,  40.00,    150.8000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,                 ,R                  ,             ,A                  ,R              ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 17,R, 1,  46.00,    150.8600,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,F             ,                 ,R                  ,C            ,C                  ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 17,R, 1, 141.00,    151.8100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,F             ,                 ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,                  ,              ,144, 879,A, 17,R, 2,  92.00,    152.8200,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,C             ,C                ,                   ,             ,                   ,               ,                                   ,                               ,                                 ,                                 ,                       ,            ,               ,                 ,                 ,                 ,              ,                  ,                              ,                                 ,                  ,                   ,                    ,                    ,                 ,                                         ,                            ,                ,                           ,                                                ,               ,                    ,                     ,                 ,                    ,from ODP Leg 144; Ch 10; Table 3; p 204
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
