column,type
Clast roundness,lithology
A/W,lithology
Grain size rank [read only],lithology
LITH 1 color,lithology
Grain size max. [mm],lithology
GROUNDMASS COLOUR,lithology
Lithology prefix+name+suffix [read only],lithology
MAJ Lith. ave. grain size rank [read only],lithology
Vesicle size MODE [mm],lithology
2ND crystal roundness,lithology
Dominant grain size rank,lithology
LITH 1 Clast 2 sediment - grain size,lithology
Total matrix calculated LITH 1 [%],lithology
Glass abundance,lithology
Apparent dip angle 1 [deg],lithology
LITH 1 Clast 3 metamorphic - grain size,lithology
MAJ Lith. prefix + name,lithology
Clast 4 igneous - vesicular grain size,lithology
Vitric clasts (>2 mm) 2ND ORDER,lithology
3RD lithic roundness,lithology
LITHOLOGY COMMENTS,lithology
Lithology 1 principal name,lithology
Type,lithology
MIN Lith. abundance [%],lithology
"Calcite, allogenic  abundance",lithology
Clasts (>2 mm) 3ND ORDER,lithology
Clast sorting,lithology
Clast color,lithology
LITH 1 Matrix sorting,lithology
DOMINANT Clasts max. grain size rank [read only],lithology
DOMINANT lithic roundness,lithology
2nd sedimentary structure,lithology
Texture comment,lithology
Clast roundness rank,lithology
Bioturbation type,lithology
Lithology principal name,lithology
MAJ Lith. Principal name abundance Plot [%],lithology
Clast size,lithology
MIN lith color (simple),lithology
Other mineral,lithology
Color (name),lithology
LITH 2 grain sorting,lithology
Skeletal components INTERMEDIATE comment,lithology
Phenocryst 1 comments,lithology
Vesicle sphericity,lithology
MAJ Principal lithology B,lithology
MAJ Lith. principal name,lithology
Lithologic unit (preliminary),lithology
Calcareous nannofossils abundance,lithology
Halite abundance,lithology
Major  prefix modifier before principal,lithology
Matrix alteration intensity,lithology
Core,lithology
Clast 2 sediment - grain size,lithology
Vesicle abundance,lithology
Phenocryst 2 size MODE [mm],lithology
PHENOCRYST COMPOSITION,lithology
LITH 1 max. grain size rank [read only],lithology
Lithology 2 principal name,lithology
Complete lithology name,lithology
MAJ Lithology ABC,lithology
Clast 2 sediment grain size,lithology
MIN Lith. prefix+name+suffix,lithology
Texture Rank,lithology
Total phenocryst abundance [%],lithology
Lithological Accessories 1,lithology
Lithology ave. grain size rank [read only],lithology
LITH 1 Matrix 6 sediment [%],lithology
Phenocryst 2 shape,lithology
Lithology 2 prefix,lithology
Drilling disturbance type,lithology
Clast 3 metamorphic - grain size,lithology
Phenocryst 1 size MAX [mm],lithology
LITH 2 max. grain size class,lithology
MAJ Lith. prefix,lithology
LITH 2 ave. grain size rank [read only],lithology
MAJ Lithology color,lithology
lithology classification,lithology
Apparent dip azimuth 2 [deg],lithology
Lithology color (simple),lithology
Exp,lithology
MAJ Lith. max. grain size rank,lithology
Comment,lithology
Subdominant Clasts % [%],lithology
MAJ Lith. Principal name,lithology
Clast/matrix texture,lithology
MAJ Lith. color,lithology
"Dominant grain size (Wentworth, 1922)",lithology
Bottom contact definition,lithology
LITH 1 abundance [%],lithology
Top Depth[m] [m],lithology
Altered glass (palagonite) abundance [%],lithology
Dip angle calculated in CRF [deg],lithology
Bottom contact or boundary geometry,lithology
MIN Lith. color,lithology
Clast 7 -other lithology [%],lithology
Clast percentage [%],lithology
Volcaniclastic grain minerals,lithology
Top[cm] [cm],lithology
LITH 1 ave. grain size rank [read only],lithology
Lithology Prefix,lithology
MAJ Lith. name+suffix,lithology
Opaques abundance,lithology
Lithology prefix + name,lithology
Matrix biogenic carbonate [%],lithology
LITH 1 Bioturbation intensity,lithology
Primary sedimentary structure,lithology
Lithology  abundance [%],lithology
Lithology [%],lithology
Clast 2 sediment - roundness,lithology
Lithology Suffix,lithology
MIN Lith. principal name,lithology
Total clasts calculated LITH 1 [%],lithology
MAJ Lith. prefix abundance plot [%],lithology
MAJ Lith. prefix+name+suffix [read only],lithology
LITH 1 prefix+name [read only],lithology
Diagenetic constituent composition,lithology
LITH 1 Layer or bedding thickness,lithology
MIN Lith. suffix,lithology
Lithologic accessories,lithology
Clastic grain roundness,lithology
Vesicle comments,lithology
3rd sedimentary structure,lithology
Matrix 6 sediment [%],lithology
Feldspar abundance,lithology
Lithology avg. grain size rank,lithology
"Silicoflagellate, ebridian, actiniscidian abundance",lithology
DOMINANT volcanic clast roundness,lithology
Clasts (>2 mm) DOMINANT,lithology
Lithic clasts (>2 mm) 2ND ORDER,lithology
Complete name,lithology
Clast 1 igneous - pumiceous [%],lithology
LITH 2 Macrofossil,lithology
Drilling disturbance intensity rank,lithology
Minor suffix modifier after principal,lithology
Rock fragment - volcanic lithic,lithology
Sedimentary structure,lithology
Clast morphology (shape),lithology
LITH 1 Deformational structure attitude,lithology
Interbed lithology,lithology
Clast lith. abund. sum [%],lithology
Accessory mineral 2 (<1 Vol. %),lithology
VESICLE SHAPE,lithology
Texture Rank [read only],lithology
LITH 1 Clast 1 igneous -  grain size,lithology
Clasts [%],lithology
LITH 1 Macrofossil abundance name,lithology
LITH 1 Macrofossil,lithology
Structure comment,lithology
Subdominant Clasts ave. grain size rank [read only],lithology
Matrix sorting,lithology
REFERENCE,lithology
Core-Sect,lithology
Volcaniclastic grain size name,lithology
MIN Lith. Principal name,lithology
Volcanic clasts (>2 mm) DOMINANT,lithology
Bottom Depth [m],lithology
VOLCANICLASTIC GRAINS,lithology
LITH 1 Diagenetic constituent,lithology
Degree of alteration,lithology
Lithology color,lithology
Non-skeletal components,lithology
MAJ Lith. max. grain size,lithology
"Dominantgrain size(Wentworth, 1922)",lithology
Accessory mineral (comments),lithology
Lithology (%),lithology
3RD vitric roundness,lithology
Clasts (>2 mm) 2ND ORDER,lithology
Igneous texture 2,lithology
MIN Lith. max. grain size rank,lithology
VESICLE ABUNDANCE,lithology
Bottom[cm] [cm],lithology
Bottom Depth[m] [m],lithology
Subdominant clast roundness,lithology
Total LITH abundance [%],lithology
Matrix 2 igneous - scoriaceous [%],lithology
Sample,lithology
Matrix 5 volcaniclastic [%],lithology
Clast abundance,lithology
Top depth [m],lithology
Drilling disturbance intensity,lithology
COMMENTS,lithology
Matrix abundance [%],lithology
DOMINANT Clasts ave. grain size class,lithology
LITH 1 ave. grain size class,lithology
2ND volcanic clast roundness,lithology
LITH 1 Matrix comments,lithology
LITH 2 Ash abundance name,lithology
Layer or bedding thickness,lithology
MIN Lith. ave. grain size rank,lithology
MAJ Lith. abundance [%],lithology
LITH 1 Clast 3 metamorphic - roundness,lithology
DOMINANT Clasts max. grain size class,lithology
Extra Sample ID Data,lithology
Drilling disturbance intensity rank (read only),lithology
Clay minerals abundance,lithology
LITH 1 Clast 3 -other LITH [%],lithology
LITH 2 max. grain size rank [read only],lithology
Skeletal components INTERMEDIATE,lithology
Clastic Grain roundness,lithology
Phenocryst 2 abundance [%],lithology
GRAVEL SIZE CLASTSHAPE,lithology
Lithology SUFFIX,lithology
Glauconite abundance,lithology
Amount of ash in lithology rank [read only],lithology
Biotite abundance,lithology
Layer/Beddding,lithology
"FACIES (neritic, hemipelagic, pelagic)",lithology
Matrix detritical carbonate [%],lithology
Matrix comments,lithology
Bottom [cm],lithology
LITH 1 Sedimentary structure,lithology
Clasts abundance,lithology
Principal Lithology,lithology
Grain size distribution,lithology
Clast 3 igneous - massive grain size,lithology
Pyroxene abundance,lithology
Upper boundary ave. grain size class,lithology
LITH 1 prefix+name+suffix [read only],lithology
Clast 3 -other lithology grain size,lithology
MAJ Lith. Suffix,lithology
Clastic grainRoundness,lithology
Clast 5 volcaniclastic grain size,lithology
Minor trace fossils,lithology
Label ID,lithology
LITHOLOGY [%],lithology
MAJ Lith. principal name abundance plot [%],lithology
Apparent dip angle 2 [deg],lithology
MAJ Lith. ave. grain size,lithology
Clast lithology,lithology
GRAVEL SIZE CLAST,lithology
Bottom contact or boundary type,lithology
Bottom depth [m],lithology
Detrital carbonate,lithology
Dip azimuth calculated in CRF [deg],lithology
Clast 3 igneous - massive [%],lithology
MAJ Lith. Prefix abundance Plot [%],lithology
Phenocryst 1 shape,lithology
COMMENT,lithology
INTERPRETATION - Turbiditic or Hemipelagic,lithology
LITH 1 Clast 1 igneous [%],lithology
Clast 6 sediment grain size,lithology
MAJ Lithology prefix A,lithology
Top Depth [m],lithology
Clast 1 igneous - pumiceous grain size,lithology
MIN Lith. prefix,lithology
Lithology prefix+name [read only],lithology
LITH 2 lithification,lithology
Glass preservation comment,lithology
LITH 2 Ash abundance rank (read only),lithology
Principal lithology,lithology
Volcanic clasts (>2 mm) 2ND ORDER,lithology
Phenocryst 1 (most abundant),lithology
Sorting,lithology
LITH 1 grain sorting,lithology
Matrix 7 -other lithology [%],lithology
TEPHRA type,lithology
Lith. abundance sum [%],lithology
DOMINANT Clasts % [%],lithology
Lithological unit number,lithology
Rock fragment - sedimentary lithic,lithology
Principal lithology name,lithology
Lithology 1 suffix,lithology
Matrix 1 igneous - pumiceous [%],lithology
Clast 3 metamorphic - roundness,lithology
Phenocryst 2 size MAX [mm],lithology
Lithology avg. grain size,lithology
MAJ Lith. prefix+name+suffix,lithology
Bottom offset [cm],lithology
Clast 5 volcaniclastic [%],lithology
Lithological asseccories,lithology
Accessory mineral 1 (<1 Vol. %),lithology
Deformational structure dip [deg],lithology
MIN Lith. ave. grain size,lithology
Foraminifera abundance,lithology
Sedimentary structure comment,lithology
Bioturbation intensity rank,lithology
Matrix comment,lithology
LITH 1 comment,lithology
Groundmass modal percent [%],lithology
LITH 2 ave. grain size class,lithology
Groundmass modal grain size [mm],lithology
Clasts (>2 mm) Subdominant,lithology
MIN lithology comment,lithology
Bioturbation intensity,lithology
Clast comments,lithology
GROUNDMASS GRAIN SIZE (mm),lithology
Number of clasts (>2mm),lithology
dupes and comments,lithology
GRAVEL SIZE CLASTLITHOLOGY,lithology
Vesicle filling,lithology
Other sedimentary feature,lithology
Lithology name+suffix,lithology
Diagenetic structure,lithology
Clast 1 igneous -  roundness,lithology
Matrix abund. sum [%],lithology
MIN Lith. name+suffix,lithology
PRINCIPAL Lithology,lithology
MIN Lith. max. grain size,lithology
structure,lithology
Clast 1 igneous -  grain size,lithology
Amount of ash in lithology,lithology
PRINCIPALLITHOLOGY,lithology
Igneous texture 1,lithology
Clast -  grain size,lithology
Clast 2 igneous - scoriaceous grain size,lithology
Domain relative abundance [%],lithology
"Dominant grain size(Wentworth, 1922)",lithology
Skeletal components MAJOR comment,lithology
Lamination,lithology
Vesicle size MAX [mm],lithology
Lithic clasts (>2 mm) DOMINANT,lithology
PHENOCRYST GRAIN SIZE (mm),lithology
Clast 7 -other lithology grain size,lithology
Lowerr boundary ave. grain size class,lithology
Phenocryst 1 size MODE [mm],lithology
DOMINANT vitric roundness,lithology
Bottom contact attitude,lithology
Phenocryst 2 (2nd most abundant),lithology
LITH 1 Deformational structure,lithology
"Matrix, fines (<2 mm) DOMINANT",lithology
Radiolarians abundance,lithology
Lith. comment,lithology
MAJ Lith. prefix+name [read only],lithology
Bottom contact or boundary definition,lithology
Volcanic clasts (>2 mm) 3RD ORDER,lithology
MAJ lith color (simple),lithology
Skeletal components MINOR comment,lithology
Lithology lithification,lithology
Fossil,lithology
Clast 2 igneous - scoriaceous [%],lithology
Clast 4 igneous - vesicular [%],lithology
Color(name),lithology
Phenocryst 1 abundance [%],lithology
"Matrix, fines (<2 mm) 2ND ORDER",lithology
Matrix carbonate [%],lithology
Siliciclastic,lithology
Diagenetic constituent,lithology
MIN Lith. prefix + name,lithology
Lithology classification,lithology
LITH 1 max. grain size class,lithology
Macrofossil,lithology
Subdominant Clasts ave. grain size class,lithology
LITH 1 Diagenetic structure,lithology
Lithification,lithology
MIN Lith. Suffix,lithology
Lithology ave. grain size class,lithology
MIN Lith. Prefix,lithology
Dip angle measured in CRF [deg],lithology
Lithology color (Munsell),lithology
Sed. structures,lithology
LITHIFICATION,lithology
Section,lithology
Matrix modifier,lithology
LITH 1 Matrix alteration intensity,lithology
LITH 2 prefix+name+suffix [read only],lithology
MAJ Lith. ave. grain size rank,lithology
Top offset [cm],lithology
Sponge spicule fragments abundance,lithology
Prefix,lithology
MAJ Lith. suffix,lithology
LITH 1 Diagenetic constituent composition,lithology
Deformational structure comment,lithology
Lithification [name],lithology
Matrix alteration rank,lithology
Lithology max. grain size rank [read only],lithology
Thickness of interbeds,lithology
Diagenetic structure comment,lithology
LITH 2 abundance [%],lithology
LITH 2 color,lithology
LITH 1 Ash abundance name,lithology
DOMINANT clast roundness,lithology
LITH 1 Clast 2 sediment [%],lithology
Deformational structures,lithology
Clasts,lithology
LITH 1 Clast 2 sediment - roundness,lithology
Vitric clasts (>2 mm) DOMINANT,lithology
Crystals (>2 mm) 3RD ORDER,lithology
Quartz abundance,lithology
Lithological Accessories 2,lithology
Color code,lithology
Non-skeletal components comment,lithology
Lithology comments,lithology
Lith. prefix+name+suffix,lithology
Lithification rank [read only],lithology
LITH 1 Clast 1 igneous -  lithology,lithology
"Matrix, fines (<2 mm) 3ND ORDER",lithology
Bioturbation intensity rank [read only],lithology
Clast 6 sediment [%],lithology
LITH 1 Number of clasts (>2mm),lithology
Lithology Principal name,lithology
Classification,lithology
,taxa
Thalassiosira 'palmeri',taxa
Globocassidulina oblonga,taxa
Stephanopyxis spp.,taxa
Globoconusa daubjergensis,taxa
Quinqueloculina spp.,taxa
Dinocysts,taxa
Azpeitia nodulifera (Schmidt),taxa
Siphogerenina pacifica,taxa
Discoaster nodifer,taxa
Thalassiosira nordenskioeldii,taxa
Toweius rotundus,taxa
Discoaster kuepperi,taxa
"Fohsella ""praefohsi"" _B_ _M8",taxa
Zeauvigerina waiparaensis,taxa
Larcopyle nebulum,taxa
Fohsella lobata _B_,taxa
Prinsius dimorphosus,taxa
Globorotalia juanai _B_,taxa
Dorcadospyris ombros n. sp.,taxa
Elphidium spp.,taxa
"Parasubbotina griffinae (Blow, 1979)",taxa
Eggerella bradyi,taxa
Rotalinoides compressiusculus,taxa
Paragloborotalia sp.,taxa
Igorina tadjikistanensis,taxa
Bramletteius serraculoides,taxa
Fursenkoina schreibersiana,taxa
Pseudouvigerina sp.,taxa
Triloculina insignis,taxa
Cibicidoides renzi,taxa
"Turborotalia increbescens (Bandy, 1949)",taxa
Globoturborotalita woodi connecta,taxa
Subbotina utilisindex,taxa
Melonis pacificus,taxa
Spirosigmoilinella compressa,taxa
Wetzeliella gochtii/symmetrica,taxa
Neogloboquadrina incompta (dextral),taxa
Anthocyrtoma spp.,taxa
Ellipsodimorphina spp.,taxa
Phomostichoartus corbula,taxa
Fragilariopsis sublinearis,taxa
Cassidulina laevigata,taxa
Discoaster broweri,taxa
Octolithus multiplus,taxa
Neogloboquadrina dutertrei,taxa
Challengeria spp.,taxa
Globorotalia (Fohsella) peripheroronda,taxa
Planulina sp. (loosely coiled),taxa
Tribrachiatus digitalis,taxa
Loxostomina major,taxa
Fragiariopsis evenescens,taxa
Neocrepidolithus dirimosus,taxa
Lithocyclia aristotelis gr.,taxa
Pontosphaera indooceanica,taxa
Discoaster gr. variabilis,taxa
Ceratolithus rugosus,taxa
Paralia sulcata,taxa
Fursenkoina bradyi,taxa
Coronocyclas nitescens,taxa
Globorotalia scitula (dex),taxa
Rhizosolenia hebetata,taxa
Saracenaria latiforns,taxa
Cryptococcolithus mediaperforate,taxa
Spiniferites elongatus,taxa
Bolivina pacifica,taxa
Martinottiella  sp.,taxa
Thalassiosira inura,taxa
Discoaster quadramus,taxa
Denticulopsis spp.,taxa
Haynesina depressula,taxa
Repagalum parvidentatum,taxa
Bulimina alazanensis,taxa
Blackites gladius,taxa
Amphisorus hemprichii,taxa
Pyrgo denticulata,taxa
Thalassiosira manifesta,taxa
Bulimina mexicana,taxa
Cornuspira spp.,taxa
Uvigerina akitaensis,taxa
Sphenolithus belemnos,taxa
Gavelinopsis? Sp.,taxa
Lenticulina gibba,taxa
Plectacantha oikiskos,taxa
Placozygus spp.,taxa
Amaurolithus primus,taxa
Upper boundary age min [Ma],taxa
Cibicides/Cibicidoides spp.,taxa
Alabamminella weddellensis,taxa
Globoconella sphericomiozea,taxa
Pulleniatina finalis,taxa
Pseudodictyophimus gracilipes,taxa
Podocyrtis apeza,taxa
Stilostomella abyssorum,taxa
Uvigerina rippensis,taxa
Lamprocyrtis nigrinae,taxa
Prediscosphaera majungae,taxa
Dictyococcites spp.,taxa
Vulvulina bueningi,taxa
Thalassiosira leptopus,taxa
Annectina sp.,taxa
Sacculinella sp.,taxa
Valvulineria spp.,taxa
Paragloborotalia semivera (S),taxa
Blackites spp.,taxa
Cylindralithus serratus,taxa
Gavelinella complanata (cf.),taxa
Gephyrocapsa caribbeanica (large),taxa
Dorothia sp.,taxa
Dictyophimus bullatus,taxa
Fragilariopsis barronii/kerguelensis transtitional form,taxa
Zealithapium anoectum,taxa
Skeletonemopsis and Skeletonema grp,taxa
Neoeponides procerus,taxa
Corbisema triacantha,taxa
Hexacontium pachydermum,taxa
Lithraphidites carniolensis,taxa
Lampromitra sp.,taxa
Paracassidulina spp.,taxa
Podocyrtis spp.,taxa
Globoconella miotumida (DEX),taxa
Ceratolithina copis,taxa
Hyalina balthica,taxa
Rectuvigerina multicostata,taxa
Percentage of non-calcareous agglutinated forams in total foram assemblage [%],taxa
Botryostrobus aquilonaris,taxa
Helicosphaera euphratis,taxa
Eucampia antactica var. twista,taxa
Globorotalia (Globoconella) miozea,taxa
Siphonodosaria insecta,taxa
Planularia,taxa
Rhizosolenia harwoodii,taxa
Nuttalides florialis,taxa
Neogloboquadrina humerosa,taxa
Lychnocanoma sakaii,taxa
Fragilariopsis claviceps,taxa
Dictyoprora amphora,taxa
Trilete ornamented,taxa
Gartnerago obliquum,taxa
Acrobotris tritubus,taxa
Kisseleviella gaster,taxa
Fragilariopsis praeinterfrigidaria,taxa
Cocconeis fluminensis,taxa
Collonosphaera murrayana,taxa
Fragilariopsis separanda,taxa
Thalassiosira sp. F 'glass w. bubbles',taxa
Calcidiscus pacificanus,taxa
Conorboides,taxa
"""Globigerina"" ciperoensis _T",taxa
Cavitatus jouseanus,taxa
Sphenolithus furcatolithoides,taxa
Globorotalia margaritae _T and B_ _PL3,taxa
Siphocampe corbula (=Lithocampe corbula),taxa
Microhedbergella renilaevis,taxa
Morozovella lensiformis,taxa
PF Zone,taxa
Globoconella inflata,taxa
Hastigerinoides subdigitata,taxa
Rectoglandulina sp.,taxa
Actinoptychus undulatus,taxa
Helicosphaera burkei,taxa
Valvulineria teuriensis,taxa
Odontella aurita,taxa
Biscutum dissimilis,taxa
Bottom depth [m],taxa
Rotelapillus,taxa
Zone name (short),taxa
Dorothia bradyana,taxa
Peripyramis woodringi,taxa
Spirillina sp.,taxa
Brizalina cf. dilatata,taxa
Rossiella paleacea,taxa
Ilselithina fusa,taxa
Actinocyclus ingens var. ovalis,taxa
Textularia sp. 1,taxa
Zeugrhabdotus embergeri,taxa
Globigerina woodi,taxa
Fissurina spp.,taxa
Mesocena diadon diadon,taxa
Dorcadospyris papilio,taxa
Nonionella sp.,taxa
Stylochlamidium  venustum,taxa
Stainforthia sp.,taxa
Stilostomella fistuca,taxa
Carpocanistrum sp.,taxa
Nonionoides spp.,taxa
Cavitatus linearis,taxa
Acrosphaera australis,taxa
Globorotalia archeomenardii _T and B_,taxa
Sphaeroidinella disjuncta,taxa
Neogloboquadrina pachyderma (dex),taxa
Clavatorella bermudezi,taxa
Sigmoilina obesa,taxa
Discoaster petaliformis,taxa
Cassidulina minuta,taxa
Hoeglundina elegans,taxa
Quercus deciduous type,taxa
Globorotalia plesiotumida _T_,taxa
Asterigerinata sp.,taxa
Proboscia sp.,taxa
Globorotalia tosaensis,taxa
Fragilariopsis pusilla,taxa
Spores,taxa
Morozovella formosa,taxa
Antarctissa cylindrica,taxa
Pistacia,taxa
Psammosiphonella sp.,taxa
Rouxia leventerae,taxa
Lamprocyclas maritalis maritalis,taxa
Pleurostomellids comment,taxa
Clausicoccus vanheckiae,taxa
Planulina exorna,taxa
Liriospyris reticulata,taxa
Globorotalia (Globoconella) conoidea,taxa
Cibicidoides pseudoungerianus,taxa
Fursenkoina texturata,taxa
Archaeoglobigerina sp.,taxa
Axopodorhabdus biramiculatus,taxa
Sigmoidella spp.,taxa
Globigerinoides primordius,taxa
Anthocytidium sp.,taxa
Globgerinatella insueta _B and T_,taxa
Lanternithus minutus,taxa
Subbotina patagonica,taxa
Siphotextularia sp.,taxa
Sphaeroidinellopsis disjuncta,taxa
Gyroidinoides soldanii,taxa
Zeaglobigerina woodi,taxa
Amaurolithus tricorniculatus,taxa
Reticulofenestra sp. (>7 microns),taxa
Chiloguembelina sp.,taxa
Operculinella venosa,taxa
Botryostrobus auritus,taxa
Cibicidoides sp. cf. laurisae,taxa
Lithelius sp.,taxa
Thalassiosira sp.9,taxa
Epistominella pulchella,taxa
Thalssiosira nodulolineata,taxa
Thalassiosira jouseae,taxa
Chiphragmolithus calathus,taxa
Rhabdammina linearis,taxa
Cocconeis scutellum,taxa
Diatoms group abundance,taxa
Skeletonemopsis and Skeletonema grp.,taxa
Dictyocha pulchella,taxa
Elphidium aculeatum,taxa
Nuttallides florialis,taxa
Cretarhabdus crenulatus,taxa
Charltonina sp.,taxa
Buccinosphaera invaginata,taxa
Gyroidinoides (or: Hansenisca) altiformis,taxa
Globigerinita uvula,taxa
Alabamina creta,taxa
Glomospira irregularis,taxa
Globigerinatheka semiinvoluta,taxa
Globigerinoides extremus,taxa
Quinqueloculina patagonica,taxa
Tenuitellinata praestainforthi,taxa
Ceratocyrtis cucullaris,taxa
Cymatosira biharensis,taxa
Globoturborotalita brazieri,taxa
Nitzschia miocenica,taxa
Menardella limbata,taxa
Chrysalogonium sp.,taxa
Ortomorphina spp.,taxa
Nodogenerina spp.,taxa
Batiacasphaera cooperi,taxa
Dorothia oxycona,taxa
Rossiella elongata,taxa
Fragilariopsis obliquecostata,taxa
Thalassiosira sp. D 'paired row central processes',taxa
Lithomelissa setosa,taxa
Discanomalina sp.,taxa
Marginotruncana spp.,taxa
Abathomphalus mayaroensis,taxa
Reticulofenestra haqii,taxa
Zeugrhabdotus sisyphus,taxa
Euuvigerina pliozea,taxa
Discoaster barbadiensis,taxa
Spongurus bilobatus,taxa
Flagilariopsis cylindrus,taxa
Planorbulina mediterranensis,taxa
Protelphidium sp.,taxa
Uvigerina juncea,taxa
Globigerinoides trilobus,taxa
Helicosphaera princei,taxa
Helicosphaera euphratis (< 8 microns),taxa
Cornuspira carinata,taxa
Cassigerinella chipolensis,taxa
Neogloboquadrina pseudopima,taxa
Contusotruncana walfischensis,taxa
Tappanina sp.,taxa
Azpeitia africana,taxa
Stilostomella holoserica,taxa
Dictyophimus crisiae,taxa
Oridorsalis tenera,taxa
Quadrum intermedium,taxa
Umbilicosphaera jordanii,taxa
Islandiella sp.,taxa
Globanomalina australiformis,taxa
Haliommetta miocenica,taxa
Sigalia deflaensis,taxa
Helicopontosphaera hyalina,taxa
Rhizosolenia alata,taxa
Guembelitria cretacea,taxa
Cocconeis disculus,taxa
Thalassionema nitzschioides var. inflata,taxa
Haplophragmoides sp.,taxa
Schenkiella weymouthi,taxa
Pteropod group abundance,taxa
Pseudopodosira sp.,taxa
Globobulimina sp.,taxa
Toweius magnicrassus,taxa
Fragilaria leptostauron,taxa
Planoheterohelix sp.,taxa
Siphonosphaera martensi,taxa
Thalassiosira oliverana var. sparsa,taxa
Lophocyrtis exitelus,taxa
Brown phytoclasts,taxa
Pyrgo murrhina,taxa
Bolivina decussata,taxa
Denticulopsis aff. Seminae = Neodenticula seminae,taxa
Globigerinatheka mexicana,taxa
Articulina alticostata,taxa
Scallopostoma ovicula,taxa
Uniplanarius trifidus,taxa
Top Depth[m] [m],taxa
Cibicidoides mckannai,taxa
Gladiolithus flabellatus,taxa
Hirsutella cibaoensis,taxa
Sphenolithus strigosus,taxa
Echigoina hataii,taxa
Euuvigerina rodleyi (group) >50 m,taxa
Gavelinella spp.,taxa
Lepidocyclina sp.,taxa
Cibicides robertsoninaus >1000 m,taxa
Globorotalia crassula,taxa
Thalassionema nitzschioides var. nitzschioides,taxa
Globorotalia pertenuis _T_,taxa
Nitzschia malinterpretaria,taxa
Martinotiella sp.,taxa
Araniscus spp.,taxa
Ehrenbergina spp.,taxa
Acanthodesmia spp.,taxa
Plectofrondicularia lirata,taxa
Anthocyrtis ehrenbergi var. pliocenica,taxa
Quinqueloculina seminulum,taxa
Globorotalia truncatulinoides _B,taxa
Fragilariopsis cylindrus,taxa
Calocycletta anekathen n. sp.,taxa
Nonion germanicus,taxa
Globoquadrina baroemoenensis,taxa
Astrononion echolsi,taxa
Procerolagena spp.,taxa
Acarinina strabocella,taxa
Hexacontium enthacanthus,taxa
Group abundance (%),taxa
Discorbina sp.,taxa
Grigelis spp.,taxa
Vulvulina pennatula >800 m,taxa
Rotalipora cushmani,taxa
BF preservation,taxa
Dorcadospyris anastasis n. sp.,taxa
Hedbergella implicata,taxa
"Acarinina pseudosubsphaerica Pearson and Berggren, 2006",taxa
Subbotina triangularis,taxa
Pleurostomella spp.,taxa
Impagidinium spp. indet.,taxa
Chiasmolithus grandis,taxa
Hexacontium parviakitaensis,taxa
Globoquadrina sellii,taxa
Lamprocyclas hadros,taxa
Dictyococcites perplexus,taxa
