Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reinhardtites levis	Micula staurophora	Ceratolithoides aculeus	Arkhangelskiella cymbiformis	Uniplanarius sissinghii	Uniplanarius gothicus	Lithraphidites quadratus	Ceratolithoides kamptneri	Micula murus	Fasciculithus ulii	Fasciculithus pileatus	Cruciplacolithus tenuis	Chiasmolithus danicus	Fasciculithus tympaniformis	Discoaster multiradiatus	Zygrhablithus bijugatus	Toweius gammation	Sphenolithus radians	Sphenolithus editus	Ericsonia subdisticha	Discoaster lodoensis	Discoaster kuepperi	Campylosphaera dela	Reticulofenestra dictyoda	Discoaster sublodoensis	Discoaster barbadiensis	Cruciplacolithus cribellum	Sphenolithus pseudoradians	Sphenolithus obtusus	Reticulofenestra umbilica	Discoaster tanii	Discoaster tamalis	Discoaster saipanensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Sphenolithus predistentus	Discoaster deflandrei	Sphenolithus distentus	Sphenolithus ciperoensis	Reticulofenestra pseudoumbilicus	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster berggrenii	Calcidiscus macintyrei	Ceratolithus rugosus	Amaurolithus spp.	Discoaster asymmetricus	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Gephyrocapsa parallela	Gephyrocapsa margerelii	Gephyrocapsa (small)	Comment

  IR	                 	                 	CN10c             	CN10c         	198	1211	A	  5	H	CC	  32.00	     41.3300	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	A                               	F                  	                       	C                       	F                  	                     	C                     	R                   	F                	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CN9a              	CN9a          	198	1211	A	  6	H	CC	  18.00	     50.5700	nannos   	Nannofossils                                 	               	                  	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	C                               	R                  	F                      	R                       	R                  	C                    	F                     	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP19b             	CP19b         	198	1211	A	  7	H	CC	  12.00	     60.0500	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	R                    	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	C                      	A                          	                         	C                    	                      	A                       	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP18              	CP18          	198	1211	A	  8	H	CC	  11.00	     69.3600	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	R                      	                 	                    	                   	R                    	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	C               	                  	                      	C                      	A                          	A                        	C                    	R                     	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP16a             	CP16a         	198	1211	A	  9	H	CC	  14.00	     78.8000	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	C                    	                    	                   	                   	                         	                       	                       	                          	                          	                    	C                        	C               	                  	                      	C                      	A                          	C                        	C                    	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP14b             	CP14b         	198	1211	A	 10	H	CC	  21.00	     88.2400	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	C                      	                          	F                         	C                   	C                        	F               	+                 	C                     	A                      	C                          	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP12              	CP12          	198	1211	A	 11	H	CC	  12.00	     98.0500	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	A                      	F                	R                   	C                  	                     	C                   	F                  	F                  	R                        	F                      	C                      	F                         	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP11              	CP11          	198	1211	A	 12	H	CC	   8.00	    107.4700	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	R                       	A                      	F                	C                   	C                  	R                    	C                   	C                  	C                  	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP8               	CP8           	198	1211	A	 13	H	CC	  16.00	    117.0200	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	                  	                      	                       	                     	A                          	A                       	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CP3               	CP3           	198	1211	A	 14	H	CC	  12.00	    126.5800	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                       	                            	                       	                     	                        	                         	            	C                 	C                     	C                      	C                    	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CC25              	CC25          	198	1211	A	 15	H	CC	  11.00	    135.4600	nannos   	Nannofossils                                 	A              	M                 	                   	                  	F                      	C                           	                       	                     	                        	F                        	C           	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CC25              	CC25          	198	1211	A	 16	H	CC	  15.00	    145.4900	nannos   	Nannofossils                                 	A              	M                 	                   	                  	F                      	F                           	F                      	F                    	R                       	F                        	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

  IR	                 	                 	CC25              	CC24          	198	1211	A	 17	H	CC	  11.00	    155.0900	nannos   	Nannofossils                                 	A              	M                 	                   	                  	F                      	F                           	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	M.prae. & M.decuss. and questionable R. levis here

  IR	                 	                 	CC24              	CC24          	198	1211	A	 18	H	CC	  15.00	    159.0100	nannos   	Nannofossils                                 	A              	M                 	C                  	F                 	F                      	F                           	                       	                     	                        	                         	            	                  	                      	                       	                     	                           	                        	                       	                 	                    	                   	                     	                    	                   	                   	                         	                       	                       	                          	                          	                    	                         	                	                  	                      	                       	                           	                         	                     	                      	                        	                                	                   	                       	                        	                   	                     	                      	                    	                 	                       	                        	                     	                      	                       	                    	       

