Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ventilabrella multicamerata	Rugoglobigerina rugosa	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Pseudotextularia elegans	Pseudoguembelina excolata	Pseudoguembelina costulata	Heterohelix rajagopalani	Globotruncanita stuartiformis	Globotruncanita stuarti	Globotruncanella petaloidea	Globotruncanella havanensis	Globotruncana orientalis	Globotruncana mariei	Globotruncana linneiana	Globotruncana falsostuarti	Globotruncana arca	Globigerinelloides subcarinatus	Gansserina gansseri	Contusotruncana fornicata	Contusotruncana contusa	Rugoglobigerina rotundata	Racemiguembelina fructicosa	Globotruncana rosetta	Gansserina wiedenmayeri	Abathomphalus intermedius	Abathomphalus mayaroensis	Praemurica uncinata	Morozovella angulata	Guembelitria cenomana	Parasubbotina varianta	Parasubbotina pseudobulloides	Morozovella conicotruncata	Igorina pusilla	Igorina albeari	Morozovella velascoensis	Morozovella subbotinae	Morozovella pasionensis	Morozovella occlusa	Morozovella aequa	Acarinina soldadoensis	Acarinina coalingensis	Subbotina eocaena	Morozovella gracilis	Morozovella formosa	Igorina broedermanni	Acarinina quetra	Subbotina lozanoi	Pseudohastigerina wilcoxensis	Morozovella caucasica	Morozovella aragonensis	Guembelitrioides higginsi	Globigerinatheka senni	Globigerina cryptomphala	Acarinina primitiva	Acarinina pentacamerata	Acarinina bullbrooki	Tenuitella gemma	Subbotina praeturritilina	Globigerinatheka subconglobata	Globigerinatheka mexicana	Globigerinatheka index	Turborotalia ampliapertura	Subbotina angiporoides	Globorotaloides suteri	Globoquadrina tripartita	Globigerina praebulloides	Globigerina euapertura	Catapsydrax unicavus	Pseudohastigerina micra	Tenuitella munda	Globigerina angustiumbilicata	Paragloborotalia nana	Globoquadrina venezuelana	Globoquadrina baroemoenensis	Globoquadrina sellii	Globigerina officinalis	Sphaeroidinellopsis seminulina	Orbulina universa	Globoturborotalita woodi	Globoturborotalita nepenthes	Globoturborotalita decoraperta	Globorotalia miozea	Globoquadrina dehiscens	Globigerinoides ruber	Globigerina bulloides	Dentoglobigerina altispira	Sphaeroidinella dehiscens s.l.	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis	Globorotalia menardii	Globorotalia conoidea	Globoconella conomiozea	Globigerinoides sacculifer	Globigerinoides extremus	Globigerinoides conglobatus	Globorotalia scitula	Globorotalia puncticulata	Globigerinoides subquadratus	Truncorotalia tosaensis	Truncorotalia crassaformis	Pulleniatina obliquiloculata	Orbulina suturalis	Neogloboquadrina humerosa	Globorotalia tumida	Globorotalia inflata	Globigerinoides obliquus	Truncorotalia truncatulinoides	Globorotalia hirsuta	Comment

  IR	Early Pliocene   	Early Pliocene   	N19-N20           	N19-N20       	198	1211	A	  5	H	CC	  32.00	     41.3300	planks   	Planktonic Foraminifers                      	F              	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	R                        	                            	                    	                       	F                             	R                	                        	F                           	                              	                   	                       	R                    	R                    	F                         	F                             	+                                    	R                         	R                           	R                    	F                    	F                      	R                         	R                       	R                          	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Late Miocene     	N17a              	N17a          	198	1211	A	  6	H	CC	  18.00	     50.5700	planks   	Planktonic Foraminifers                      	F              	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	F                             	R                	F                       	F                           	R                             	R                  	F                      	R                    	P                    	F                         	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Late Oligocene   	N22               	P22           	198	1211	A	  7	H	CC	  12.00	     60.0500	planks   	Planktonic Foraminifers                      	R              	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	F                     	R                       	                         	R                     	F                   	                       	                	                             	R                    	                         	R                           	R                   	R                      	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Early Oligocene  	P20               	P20           	198	1211	A	  8	H	CC	  11.00	     69.3600	planks   	Planktonic Foraminifers                      	F              	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	F                     	F                     	F                       	                         	R                     	F                   	                       	                	                             	R                    	F                        	R                           	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Early Oligocene  	                  	P18           	198	1211	A	  9	H	 1	  78.00	     70.0800	planks   	Planktonic Foraminifers                      	               	                  	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	R                      	R               	R                            	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Early Oligocene  	                  	P18           	198	1211	A	  9	H	 4	  78.00	     74.5800	planks   	Planktonic Foraminifers                      	               	                  	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	R                     	                      	                        	                         	                      	                    	R                      	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	                 	P18               	P19           	198	1211	A	  9	H	CC	  14.00	     78.8000	planks   	Planktonic Foraminifers                      	               	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	P                         	R                     	F                     	F                       	R                        	F                     	F                   	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Middle Eocene    	P14               	P14           	198	1211	A	 10	H	CC	  21.00	     88.2400	planks   	Planktonic Foraminifers                      	R              	P                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	F                	                    	                   	                    	                	                 	                             	                     	                       	                         	R                     	                        	                   	                       	                    	P               	R                        	F                             	F                        	F                     	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Early Eocene     	P9                	P9            	198	1211	A	 11	H	CC	  12.00	     98.0500	planks   	Planktonic Foraminifers                      	C              	M                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	F                     	                      	R                	                    	                   	R                   	                	R                	P                            	F                    	F                      	P                        	R                     	R                       	R                  	F                      	F                   	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Early Eocene     	P8                	P8            	198	1211	A	 12	H	CC	   8.00	    107.4700	planks   	Planktonic Foraminifers                      	C              	M                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	F                     	                       	                   	                 	F                     	                      	R                	R                   	R                  	R                   	R               	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Late Paleocene   	P5                	P5            	198	1211	A	 13	H	CC	  16.00	    117.0200	planks   	Planktonic Foraminifers                      	F              	M                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	F                       	R                     	F                      	F                  	F                	F                     	F                     	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Early Paleocene  	P3b               	P3b           	198	1211	A	 14	H	CC	  12.00	    126.5800	planks   	Planktonic Foraminifers                      	R              	M                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	                               	                   	                         	                       	                         	                           	                     	                       	                         	                         	                   	F                   	+                    	R                     	R                            	F                         	F              	R              	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Maestrichtian    	KS31              	KS31          	198	1211	A	 15	H	CC	  11.00	    135.4600	planks   	Planktonic Foraminifers                      	R              	M                 	                           	                      	                            	                         	                        	                         	                          	                        	                             	                       	                           	                           	                        	                    	                       	                          	                  	F                              	                   	                         	                       	                         	                           	                     	                       	R                        	R                        	F                  	F                   	R                    	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	mostly early Paleocene mix; rel. rare K specimens

  IR	                 	Maestrichtian    	KS31              	KS31          	198	1211	A	 16	H	CC	  15.00	    145.4900	planks   	Planktonic Foraminifers                      	R              	M                 	                           	R                     	R                           	R                        	R                       	F                        	F                         	F                       	R                            	R                      	R                          	R                          	                        	                    	                       	R                         	                  	F                              	R                  	R                        	R                      	R                        	R                          	                     	                       	R                        	R                        	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	single tektite found

  IR	                 	Maestrichtian    	KS30              	KS30          	198	1211	A	 17	H	CC	  11.00	    155.0900	planks   	Planktonic Foraminifers                      	A              	M                 	R                          	R                     	R                           	R                        	R                       	F                        	F                         	F                       	R                            	R                      	R                          	R                          	R                       	R                   	R                      	R                         	R                 	F                              	                   	R                        	R                      	R                        	R                          	+                    	R                      	R                        	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

  IR	                 	Maestrichtian    	KS30              	KS30          	198	1211	A	 18	H	CC	  15.00	    159.0100	planks   	Planktonic Foraminifers                      	A              	G                 	R                          	F                     	R                           	R                        	R                       	F                        	F                         	F                       	R                            	R                      	R                          	R                          	R                       	R                   	R                      	R                         	R                 	F                              	R                  	R                        	R                      	                         	                           	                     	                       	                         	                         	                   	                    	                     	                      	                             	                          	               	               	                        	                      	                       	                   	                 	                      	                      	                 	                    	                   	                    	                	                 	                             	                     	                       	                         	                      	                        	                   	                       	                    	                	                         	                              	                         	                      	                          	                      	                      	                        	                         	                      	                    	                       	                	                             	                     	                         	                            	                    	                       	                              	                 	                        	                            	                              	                   	                       	                     	                     	                          	                              	                                     	                          	                            	                     	                     	                       	                          	                        	                           	                    	                         	                            	                       	                          	                            	                  	                         	                   	                    	                        	                              	                    	       

