Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Sphenolithus belemnos,Sphenolithus abies/neoabies,Reticulofenestra spp. (small - medium),Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Helicosphaera ampliaperta,Discoaster variabilis,Discoaster druggii,Discoaster deflandrei,Discoaster bollii,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus macintyrei,Sphenolithus heteromorphus,Florisphaera profunda,Calcidiscus premacintyrei,Calcidiscus leptoporus,Discoaster petaliformis,Discoaster calcaris,Rhabdosphaera clavigera,Discoaster moorei,Discoaster pentaradiatus,Discoaster signus,Discoaster brouweri,Pontosphaera spp.,Triquetrorhabdulus rugosus,Discoaster prepentaradiatus,Discoaster kugleri,Discoaster bellus,Discoaster neorectus,Thorosphaera flabellata,Scapholithus fossilis,Discoaster loeblichii,Catinaster coalitus,Catinaster calyculus,Discoaster quinqueramus,Discoaster neohamatus,Discoaster hamatus,Oolithotus antillarum,Discoaster surculus,Discoaster berggrenii,Minylitha convallis,Amaurolithus amplificus,Syracosphaera pulchra,Gephyrocapsa spp. (small),Amaurolithus primus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus rugosus,Pseudoemiliania lacunosa,Discoaster asymmetricus,Syracosphaera spp.,Gephyrocapsa oceanica,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Reticulofenestra asanoi,Discosphaera tubifera,Helicosphaera wallichii,Helicosphaera inversa,Helicosphaera hyalina,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21A             ,NN21A         ,184,1146,A,  5,H,CC,  20.00,     42.1800,nannos   ,Nannofossils                                 ,A              ,G                 ,C                      ,                     ,                           ,                                      ,                                ,C                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,A                    ,                         ,F                     ,                       ,                   ,C                      ,                 ,                        ,                 ,                   ,                 ,                          ,                           ,                  ,                 ,                    ,                       ,F                    ,                     ,                   ,                    ,                       ,                     ,                  ,R                    ,                   ,                     ,                   ,                       ,C                    ,A                        ,                   ,                      ,                            ,                    ,R                     ,                    ,                        ,                       ,                  ,A                    ,                       ,                         ,R                         ,                       ,                     ,R                      ,R                    ,R                    ,F                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21A             ,NN21A         ,184,1146,A,  6,H,CC,  35.00,     50.8700,nannos   ,Nannofossils                                 ,A              ,G                 ,C                      ,                     ,                           ,                                      ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,A                    ,                         ,F                     ,                       ,                   ,C                      ,                 ,                        ,                 ,                   ,F                ,                          ,                           ,                  ,                 ,                    ,                       ,F                    ,                     ,                   ,                    ,                       ,                     ,                  ,F                    ,                   ,                     ,                   ,                       ,C                    ,D                        ,                   ,                      ,                            ,                    ,R                     ,                    ,                        ,                       ,                  ,A                    ,                       ,R                        ,                          ,                       ,R                    ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21A             ,NN21A         ,184,1146,A,  7,H,CC,  36.00,     61.3200,nannos   ,Nannofossils                                 ,C              ,G                 ,                       ,                     ,                           ,                                      ,                                ,R                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,C                    ,                         ,R                     ,                       ,                   ,F                      ,                 ,                        ,                 ,                   ,R                ,                          ,                           ,                  ,                 ,                    ,                       ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,A                        ,                   ,                      ,                            ,                    ,R                     ,                    ,R                       ,                       ,R                 ,C                    ,C                      ,C                        ,R                         ,                       ,R                    ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN20              ,NN20          ,184,1146,A,  8,H,CC,   0.00,     70.0600,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,                     ,                           ,                                      ,                                ,R                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,C                    ,                         ,R                     ,                       ,                   ,F                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,                       ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,F                    ,A                        ,                   ,                      ,                            ,                    ,R                     ,                    ,R                       ,                       ,R                 ,C                    ,C                      ,C                        ,R                         ,                       ,R                    ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN20              ,NN20          ,184,1146,A,  9,H,CC,  26.00,     80.2200,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,                     ,                           ,                                      ,                                ,R                    ,                         ,R                    ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,R                     ,                          ,C                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,                        ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,A                        ,                   ,                      ,                            ,                    ,R                     ,                    ,F                       ,                       ,R                 ,C                    ,C                      ,C                        ,R                         ,                       ,R                    ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 10,H,CC,  26.00,     89.5700,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,                     ,                           ,                                      ,                                ,R                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,D                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,F                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,C                        ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,                       ,R                 ,C                    ,C                      ,C                        ,R                         ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 11,H,CC,  44.00,     99.4700,nannos   ,Nannofossils                                 ,A              ,M                 ,R                      ,                     ,                           ,                                      ,                                ,R                    ,                         ,R                    ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,D                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,F                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,C                        ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,                       ,R                 ,C                    ,F                      ,F                        ,R                         ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 12,H,CC,  26.00,    108.5700,nannos   ,Nannofossils                                 ,A              ,M                 ,F                      ,                     ,                           ,                                      ,                                ,R                    ,                         ,R                    ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,D                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,F                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,C                        ,                   ,                      ,                            ,                    ,                      ,                    ,C                       ,                       ,R                 ,C                    ,F                      ,R                        ,R                         ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 13,H,CC,  22.00,    118.3000,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,                                      ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,                      ,                          ,D                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,C                        ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,                       ,                  ,C                    ,F                      ,                         ,                          ,R                      ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 14,H,CC,  20.00,    127.6400,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,                     ,                           ,                                      ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,R                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,D                        ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,                       ,R                 ,F                    ,F                      ,R                        ,R                         ,C                      ,R                    ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 15,H,CC,  25.00,    137.2800,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,                     ,                           ,R                                     ,                                ,R                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,A                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,D                        ,                   ,                      ,                            ,                    ,R                     ,                    ,A                       ,                       ,                  ,R                    ,R                      ,R                        ,                          ,R                      ,R                    ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 16,H,CC,  25.00,    144.8300,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,                     ,                           ,R                                     ,                                ,R                    ,                         ,R                    ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,                      ,                          ,C                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,D                        ,                   ,                      ,                            ,                    ,R                     ,                    ,A                       ,                       ,                  ,R                    ,F                      ,F                        ,R                         ,R                      ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1146,A, 17,H,CC,  32.00,    155.7200,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,R                                     ,                                ,C                    ,                         ,R                    ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,                      ,                          ,A                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,D                        ,                   ,                      ,                            ,                    ,R                     ,                    ,A                       ,                       ,                  ,F                    ,F                      ,C                        ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19a             ,NN19a         ,184,1146,A, 18,H,CC,  24.00,    165.4100,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,R                                     ,                                ,C                    ,                         ,R                    ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,R                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,A                        ,                   ,                      ,                            ,                    ,R                     ,                    ,A                       ,                       ,                  ,F                    ,C                      ,F                        ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19a             ,NN19a         ,184,1146,A, 19,H,CC,  20.00,    175.2800,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,F                                     ,                                ,R                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,F                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,R                       ,                 ,R                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,                         ,                   ,                      ,                            ,                    ,R                     ,                    ,A                       ,                       ,                  ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN18              ,NN18          ,184,1146,A, 20,H,CC,  25.00,    184.6700,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,A                                     ,                                ,R                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,F                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,F                      ,                 ,F                       ,                 ,C                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,                         ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,                       ,                  ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN18              ,NN18          ,184,1146,A, 21,H,CC,   0.00,    193.7700,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,A                                     ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,R                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,F                      ,                 ,F                       ,                 ,C                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,                         ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,                       ,                  ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN16              ,NN17          ,184,1146,A, 22,X,CC,  30.00,    203.6200,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,A                                     ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,R                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,F                      ,                 ,F                       ,                 ,C                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,                   ,                     ,                   ,                       ,R                    ,                         ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,R                      ,                  ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN16              ,NN16          ,184,1146,A, 23,X,CC,  22.00,    212.7500,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,                           ,A                                     ,R                               ,F                    ,                         ,R                    ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,R                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,F                      ,                 ,C                       ,                 ,C                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,R                  ,                     ,                   ,                       ,R                    ,                         ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,R                      ,                  ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN16              ,NN16          ,184,1146,A, 24,X,CC,  28.00,    222.3400,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,                     ,                           ,A                                     ,                                ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,R                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,F                      ,                 ,C                       ,                 ,C                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,R                  ,                     ,                   ,                       ,R                    ,                         ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,R                      ,F                 ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NN16              ,NN16          ,184,1146,A, 26,X,CC,  35.00,    241.9200,nannos   ,Nannofossils                                 ,A              ,G                 ,R                      ,                     ,F                          ,A                                     ,R                               ,F                    ,                         ,                     ,                  ,                     ,                 ,                           ,                      ,R                    ,                        ,C                     ,                          ,A                    ,                         ,R                     ,                       ,                   ,R                      ,                 ,A                       ,                 ,C                  ,R                ,                          ,                           ,                  ,                 ,                    ,R                      ,R                    ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,R                  ,                     ,                   ,                       ,R                    ,                         ,                   ,                      ,                            ,                    ,R                     ,                    ,C                       ,R                      ,                  ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NN15              ,NN15          ,184,1146,A, 27,X,CC,  23.00,    251.3300,nannos   ,Nannofossils                                 ,A              ,G                 ,C                      ,                     ,A                          ,A                                     ,C                               ,C                    ,                         ,F                    ,                  ,                     ,                 ,                           ,                      ,                     ,                        ,C                     ,                          ,A                    ,                         ,C                     ,                       ,                   ,R                      ,                 ,C                       ,                 ,F                  ,                 ,                          ,                           ,                  ,                 ,                    ,                       ,                     ,                     ,                   ,                    ,                       ,                     ,                  ,                     ,C                  ,                     ,                   ,                       ,F                    ,                         ,                   ,                      ,                            ,                    ,R                     ,R                   ,                        ,                       ,                  ,                     ,                       ,                         ,                          ,                       ,                     ,                       ,                     ,                     ,                 ,       
