Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus irregularis,Zygodiscus erectus,Watznaueria britannica,Rucinolithus terebrodentarius,Rhagodiscus asper,Nannoconus steinmannii steinmannii,Nannoconus globulus,Nannoconus colomii,Nannoconus bucheri,Micrantholithus hoschulzii,Lithraphidites carniolensis,Discorhabdus rotatorius,Diazomatolithus lehmanii,Cyclagelosphaera margerelii,Cretarhabdus surirellus,Conusphaera mexicana mexicana,Vagalapilla stradneri,Parhabdolithus embergeri,Nannoconus wassallii,Nannoconus truitti,Nannoconus circularis,Microstaurus chiastius,Markalius circumradiatus,Glaukolithus diplogrammus,Biscutum constans,Rhagodiscus angustus,Nannoconus spp.,Nannoconus inconspicuus,Eprolithus floralis,Braarudosphaera africana,Pervilithus varius,Eiffellithus sp. small,Watznaueria supracretacea,Braarudosphaera stenorhetha,Zeugrhabdotus sp. cf. Z. nanum,Zeugrhabdotus sp. cf. Z. acanthus,Zeugrhabdotus pseudanthophorus,Tranolithus phacelosus,Stoverius coronatus,Rotelapillus crenulatus,Reinhardtites anthophorus,Prediscosphaera spinosa,Prediscosphaera intercisa,Prediscosphaera cretacea,Placozygus fibuliformis,Micula decussata,Micula cubiformis,Micula concava,Marthasterites furcatus,Manivitella pemmatoidea,Lucianorhabdus cayeuxii,Glaukolithus bicrescenticus,Gephyrorhabdus coronadventis,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus eximius,Cribrosphaerella ehrenbergii,Corollithion signum,Corollithion exiguum,Chiastozygus quadriperforatus,Chiastozygus litterarius,Chiastozygus amphipons,Ceratolithoides verbeekii,Ceratolithoides aculeus,Bukryaster hayi,Aspidolithus parcus expansus,Arkhangelskiella specillata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,CC7               ,              ,144, 878,A, 41,M, 1,   0.00,    380.2000,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,R                       ,                  ,                      ,R                            ,                 ,R                                 ,                   ,                  ,R                 ,R                         ,R                          ,                       ,                        ,R                          ,R                      ,                             ,R                    ,                        ,                    ,F                 ,                     ,                      ,                        ,                         ,R                ,                    ,               ,R                      ,R                  ,                        ,                  ,                      ,                         ,                           ,                              ,                                 ,                              ,                      ,                   ,                       ,                         ,                       ,                         ,                        ,                       ,                ,                 ,              ,                       ,                       ,                       ,                           ,                            ,                   ,                           ,                    ,                            ,                   ,                    ,                             ,                        ,                      ,                         ,                       ,               ,                            ,                           ,from ODP Leg 144 SR; Ch 8; Table 9; p 166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,CC7               ,              ,144, 878,A, 41,M, 1,   4.00,    380.2400,Erba     ,Nannofossils                                 ,C              ,M                 ,R                   ,R                       ,R                 ,                      ,R                            ,                 ,R                                 ,                   ,                  ,R                 ,R                         ,                           ,R                      ,R                       ,R                          ,                       ,                             ,                     ,                        ,                    ,C                 ,                     ,                      ,R                       ,R                        ,                 ,R                   ,F              ,R                      ,R                  ,R                       ,                  ,                      ,                         ,                           ,                              ,                                 ,                              ,                      ,                   ,                       ,                         ,                       ,                         ,                        ,                       ,                ,                 ,              ,                       ,                       ,                       ,                           ,                            ,                   ,                           ,                    ,                            ,                   ,                    ,                             ,                        ,                      ,                         ,                       ,               ,                            ,                           ,from ODP Leg 144 SR; Ch 8; Table 9; p 166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,CC7b              ,              ,144, 878,A, 75,R, 1, 141.00,    694.9100,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,R                       ,                  ,                      ,R                            ,                 ,F                                 ,R                  ,F                 ,F                 ,R                         ,                           ,                       ,                        ,R                          ,                       ,                             ,R                    ,R                       ,R                   ,R                 ,R                    ,R                     ,R                       ,R                        ,R                ,                    ,               ,                       ,                   ,                        ,                  ,                      ,                         ,                           ,                              ,                                 ,                              ,                      ,                   ,                       ,                         ,                       ,                         ,                        ,                       ,                ,                 ,              ,                       ,                       ,                       ,                           ,                            ,                   ,                           ,                    ,                            ,                   ,                    ,                             ,                        ,                      ,                         ,                       ,               ,                            ,                           ,from ODP Leg 144 SR; Ch 8; Table 9; p 166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,CC7b              ,              ,144, 878,A, 75,R, 2,   0.00,    695.0000,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,R                       ,R                 ,R                     ,R                            ,R                ,F                                 ,R                  ,F                 ,F                 ,R                         ,R                          ,R                      ,R                       ,R                          ,R                      ,R                            ,                     ,                        ,                    ,                  ,                     ,                      ,                        ,                         ,                 ,                    ,               ,                       ,                   ,                        ,                  ,                      ,                         ,                           ,                              ,                                 ,                              ,                      ,                   ,                       ,                         ,                       ,                         ,                        ,                       ,                ,                 ,              ,                       ,                       ,                       ,                           ,                            ,                   ,                           ,                    ,                            ,                   ,                    ,                             ,                        ,                      ,                         ,                       ,               ,                            ,                           ,from ODP Leg 144 SR; Ch 8; Table 9; p 166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Aptian           ,                 ,CC7b              ,              ,144, 878,A, 77,R, 1,  28.00,    712.7800,Erba     ,Nannofossils                                 ,R              ,P                 ,VR                  ,VR                      ,                  ,                      ,                             ,                 ,                                  ,                   ,                  ,                  ,                          ,                           ,                       ,                        ,                           ,                       ,                             ,                     ,                        ,                    ,                  ,                     ,                      ,                        ,                         ,                 ,                    ,               ,                       ,                   ,                        ,                  ,                      ,                         ,                           ,                              ,                                 ,                              ,                      ,                   ,                       ,                         ,                       ,                         ,                        ,                       ,                ,                 ,              ,                       ,                       ,                       ,                           ,                            ,                   ,                           ,                    ,                            ,                   ,                    ,                             ,                        ,                      ,                         ,                       ,               ,                            ,                           ,from ODP Leg 144 SR; Ch 8; Table 9; p 166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
