Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera spp.	Sphenolithus moriformis	Reticulofenestra umbilica	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus titus	Chiasmolithus solitus	Zygrhablithus bijugatus	Helicosphaera compacta	Discoaster tanii	Discoaster saipanensis	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus grandis	Braarudosphaera spp.	Sphenolithus pseudoradians	Sphenolithus predistentus	Reticulofenestra bisecta	Pontosphaera spp.	Helicosphaera reticulata	Campylosphaera dela	Cribrocentrum reticulatum	Coronocyclus nitescens	Discoaster deflandrei	Clausicoccus fenestratus	Cyclicargolithus abisectus	Sphenolithus distentus	Helicosphaera recta	Micrantholithus flos	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Discoaster variabilis	Discoaster triradiatus	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster hamatus	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster berggrenii	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster quinqueramus	Amaurolithus primus	Amaurolithus delicatus	Sphenolithus abies	Reticulofenestra pseudoumbilica	Discoaster asymmetricus	Scyphosphaera spp.	Rhabdosphaera clavigera	Crenalithus doronicoides	Ceratolithus acutus	Discoaster tamalis	Ceratolithus cristatus	Amaurolithus tricorniculatus	Helicosphaera carteri	Hayaster perplexus	Ceratolithus armatus	Pseudoemiliania lacunosa	Discoaster bollii	Ceratolithus rugosus	Helicosphaera sellii	Umbilicosphaera sibogae	Scapholithus fossilis	Pontosphaera japonica	Gephyrocapsa oceanica	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Comment

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  2	H	 2	  81.00	      5.6100	Clark    	Nannofossils                                 	C              	M                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	F                 	C                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	F                       	                 	                    	                    	C                      	R                    	                     	A                    	F                     	F                        	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  2	H	 3	  81.00	      7.1100	Clark    	Nannofossils                                 	A              	G                 	F                  	rR                     	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	R                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	F                 	C                      	C                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	R                    	                     	V                    	A                     	C                        	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  2	H	 4	  81.00	      8.6100	Clark    	Nannofossils                                 	C              	M                 	F                  	                       	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	rR                      	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	C                 	C                      	C                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	                     	                     	A                    	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  2	H	 5	  81.00	     10.1100	Clark    	Nannofossils                                 	C              	G                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	rR                      	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	C                 	C                      	F                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	R                    	                     	A                    	A                     	C                        	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  2	H	 6	  81.00	     11.6100	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	rR                      	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	C                 	C                      	C                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	                     	R                    	A                    	A                     	C                        	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  3	H	 1	  99.00	     13.7900	Clark    	Nannofossils                                 	A              	G                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	A                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	C                 	A                      	C                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	F                    	F                    	A                    	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  3	H	 2	  99.00	     15.2900	Clark    	Nannofossils                                 	C              	G                 	F                  	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	C                 	A                      	C                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	R                    	                     	A                    	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  3	H	 3	  99.00	     16.7900	Clark    	Nannofossils                                 	A              	G                 	F                  	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	C                 	A                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	A                      	F                    	                     	F                    	V                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  3	H	 4	  99.00	     18.2900	Clark    	Nannofossils                                 	C              	G                 	C                  	                       	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	A                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	C                 	A                      	A                       	                   	                  	F                     	                            	R                    	                  	                    	V                       	                 	                    	                    	C                      	                     	                     	F                    	V                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  3	H	 5	  99.00	     19.7900	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	C                 	A                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	V                       	                 	                    	                    	C                      	F                    	F                    	F                    	V                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  3	H	 6	  99.00	     21.2900	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	A                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	C                 	A                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	A                      	R                    	F                    	A                    	V                     	C                        	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  3	H	CC	  11.00	     22.4600	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	A                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	A                 	A                      	F                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	A                      	F                    	F                    	A                    	V                     	C                        	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  4	H	 1	  79.00	     23.0900	Clark    	Nannofossils                                 	C              	G                 	F                  	                       	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	C                 	C                      	C                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	R                    	F                    	A                    	V                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  4	H	 2	  79.00	     24.5900	Clark    	Nannofossils                                 	C              	M                 	F                  	                       	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	rR                 	                      	A                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	F                 	F                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	F                      	                     	                     	A                    	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  4	H	 3	  79.00	     26.0900	Clark    	Nannofossils                                 	A              	G                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	R                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	A                 	A                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	R                    	                     	A                    	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  4	H	 4	  79.00	     27.5900	Clark    	Nannofossils                                 	A              	G                 	F                  	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	rR                      	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	rR                	                               	                       	A                 	A                      	A                       	                   	                  	C                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	F                    	R                    	C                    	V                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  4	H	 5	  79.00	     29.0900	Clark    	Nannofossils                                 	A              	G                 	F                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	rR                    	A                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	A                 	A                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	V                       	                 	                    	                    	A                      	F                    	R                    	                     	V                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  4	H	 6	  79.00	     30.5900	Clark    	Nannofossils                                 	A              	G                 	C                  	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	A                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	C                 	A                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	V                       	                 	                    	                    	A                      	F                    	F                    	F                    	V                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	P. lacunosa       	              	110	 672	A	  4	H	CC	  13.00	     32.0700	Clark    	Nannofossils                                 	A              	M                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	rR                         	                       	                     	R                   	                          	                         	                        	F                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	A                 	A                      	A                       	                   	                  	F                     	                            	F                    	                  	                    	A                       	                 	                    	                    	C                      	                     	R                    	C                    	A                     	F                        	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Pliocene   	                 	C.macintyrei (Gart.)	              	110	 672	A	  5	H	 1	  80.00	     32.6000	Clark    	Nannofossils                                 	A              	M                 	C                  	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	C                	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	C                     	C                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	A                 	A                      	A                       	                   	                  	F                     	                            	C                    	                  	                    	A                       	                 	                    	F                   	C                      	F                    	F                    	                     	A                     	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.
