Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Corbisema sp. 1	Corbisema praedelicata	Corbisema inermis inermis	Corbisema hastata miranda	Corbisema hastata hastata	Corbisema hastata globulata	Corbisema hastata (with small basal spines)	Corbisema delicata	Corbisema sp. cf. C.archangelskiana (with small basal spines)	Corbisema inermis var. 2	Corbisema inermis minor	Corbisema constricta constricta	Corbisema apiculata	Corbisema hastata alta	Corbisema toxeuma	Corbisema lateradiata	Corbisema disymmetrica disymmetrica	Corbisema disymmetrica crenulata	Corbisema naviculoidea	Dictyocha precarentis	Corbisema precarentis	Corbisema glezerae	Corbisema camera	Dictyocha sp. cf. D.quadralta	Dictyocha sp. 2	Corbisema sp. cf. C.flexuosa	Corbisema sp. cf. C.archangelskiana (with small basal spines and minor strut indent.)	Corbisema scapana	Corbisema hastata var. 2	Corbisema geometrica	Corbisema falklandensis	Corbisema archangelskiana	Corbisema animoparallela	Corbisema sp. cf. C.regina	Corbisema hastata cunicula	Corbisema sp. 4	Dictyocha pentagona	Corbisema sp. cf. C. toxeuma	Corbisema triacantha lepidospinosa	Naviculopsis sp. 1	Naviculopsis primativa	Corbisema constricta spinosa	Naviculopsis cruciata	Corbisema falklandensis var. 2	Corbisema triacantha lepidospinosa (short-spined)	Naviculopsis constricta	Lyramula minor	Corbisema falklandensis var. 1	Corbisema cuspis	Corbisema inermis var. 1	Corbisema bimucronata bimucronata	Dictyocha sp. 1	Corbisema sp. cf. C.naviculoidea (very constricta)	Corbisema sp. aff. C.naviculoidea	Corbisema sp. 3	Corbisema triacantha	Naviculopsis eobiapiculata	Comment

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 28	R	 3	 116.00	    261.1600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	25                       	                         	38                       	13                         	                                           	                  	                                                             	                        	                       	13                             	                   	                      	                 	                     	                                   	                                	1                     	A                    	158                  	35                	                	                             	               	                            	                                                                                     	                 	                        	                    	2                      	                         	                        	                          	11                        	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	3                      	              	                              	1               	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 28	R	 4	 116.00	    262.6600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	14                       	1                        	36                       	43                         	                                           	                  	                                                             	                        	4                      	20                             	                   	1                     	                 	                     	                                   	                                	2                     	A                    	67                   	24                	2               	                             	56             	                            	                                                                                     	                 	                        	                    	1                      	6                        	                        	                          	6                         	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	1                             	                	                        	2                                	1              	11                                                	1                                	1              	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 29	R	 1	  38.00	    266.8800	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	18                       	                         	24                       	29                         	                                           	                  	                                                             	                        	                       	16                             	                   	                      	                 	                     	                                   	1                               	5                     	A                    	142                  	35                	                	                             	               	                            	                                                                                     	                 	                        	                    	3                      	1                        	                        	                          	12                        	               	                   	                            	                                  	                  	                      	10                          	                     	                              	                                                 	1                      	              	1                             	                	1                       	2                                	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 29	R	 2	  36.00	    268.3600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	4                        	                         	8                        	31                         	                                           	                  	                                                             	                        	                       	1                              	                   	                      	                 	                     	                                   	                                	2                     	A                    	69                   	6                 	                	                             	158            	                            	                                                                                     	                 	                        	                    	                       	3                        	                        	                          	1                         	               	                   	                            	                                  	                  	                      	6                           	                     	                              	                                                 	4                      	1             	4                             	1               	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 29	R	CC	   0.00	    269.3400	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2              	                      	13                       	9                        	21                       	11                         	                                           	                  	1                                                            	                        	9                      	                               	                   	                      	                 	                     	                                   	                                	                      	C                    	34                   	16                	15              	                             	112            	                            	                                                                                     	                 	                        	                    	2                      	6                        	2                       	                          	2                         	               	3                  	                            	20                                	                  	                      	                            	                     	                              	22                                               	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	D. precarentis    	              	114	 700	B	 30	R	 1	  99.00	    276.9900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	12                       	                         	21                       	10                         	                                           	                  	                                                             	                        	                       	10                             	                   	                      	                 	                     	3                                  	                                	                      	S                    	11                   	7                 	11              	                             	               	                            	                                                                                     	                 	                        	                    	1                      	4                        	                        	                          	14                        	               	1                  	                            	164                               	                  	                      	                            	30                   	1                             	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	C. hastata alta   	              	114	 700	B	 30	R	 2	 118.00	    278.6800	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	38                       	                         	13                       	9                          	                                           	                  	                                                             	                        	                       	                               	3                  	4                     	                 	                     	                                   	                                	                      	                     	                     	20                	18              	                             	1              	                            	                                                                                     	                 	                        	                    	2                      	1                        	1                       	                          	                          	               	                   	                            	                                  	4                 	186                   	2                           	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	C. hastata alta   	              	114	 700	B	 30	R	 3	 106.00	    280.0600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	9                        	                         	106                      	10                         	                                           	                  	                                                             	1                       	7                      	                               	                   	107                   	                 	                     	                                   	                                	                      	R                    	6                    	24                	3               	                             	               	                            	                                                                                     	                 	                        	                    	3                      	2                        	                        	                          	19                        	               	                   	                            	3                                 	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	C. hastata alta   	              	114	 700	B	 30	R	 4	 109.00	    281.5900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	3              	                      	47                       	2                        	90                       	12                         	                                           	                  	13                                                           	8                       	6                      	4                              	2                  	13                    	8                	                     	                                   	                                	                      	F                    	25                   	32                	3               	                             	22             	                            	                                                                                     	                 	                        	                    	2                      	1                        	5                       	                          	                          	               	1                  	1                           	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Late Paleocene   	                 	C. hastata alta   	              	114	 700	B	 30	R	 5	 111.00	    283.1100	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	20             	                      	14                       	1                        	110                      	11                         	                                           	                  	1                                                            	1                       	5                      	5                              	4                  	48                    	14               	                     	                                   	                                	                      	VR                   	1                    	48                	3               	1                            	3              	                            	                                                                                     	                 	                        	                    	4                      	3                        	                        	                          	1                         	               	2                  	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 31	R	 1	  29.00	    285.7900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	7              	                      	28                       	1                        	107                      	17                         	                                           	                  	7                                                            	3                       	3                      	2                              	2                  	19                    	2                	                     	2                                  	                                	                      	S                    	10                   	51                	2               	                             	28             	1                           	                                                                                     	                 	                        	                    	2                      	2                        	4                       	                          	1                         	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 31	R	 2	   9.00	    287.0900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	41                       	                         	55                       	21                         	                                           	                  	12                                                           	1                       	1                      	5                              	10                 	4                     	                 	                     	                                   	                                	                      	S                    	11                   	62                	8               	                             	58             	                            	                                                                                     	                 	                        	                    	4                      	                         	                        	4                         	1                         	2              	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 31	R	 3	   9.00	    288.5900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	4                        	                         	23                       	13                         	                                           	                  	1                                                            	                        	3                      	3                              	6                  	                      	3                	                     	4                                  	                                	                      	                     	                     	7                 	                	                             	4              	                            	                                                                                     	                 	                        	                    	1                      	                         	                        	1                         	1                         	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 31	R	 4	   9.00	    290.0900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	61                       	                         	46                       	6                          	                                           	                  	1                                                            	6                       	                       	3                              	1                  	                      	                 	                     	3                                  	                                	                      	R                    	3                    	16                	1               	                             	1              	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	                 	                 	C. hastata alta   	              	114	 700	B	 31	R	 5	   8.00	    291.5800	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	2                        	                         	2                        	1                          	                                           	                  	                                                             	                        	                       	2                              	                   	                      	2                	                     	11                                 	                                	                      	                     	                     	                  	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 31	R	 6	  36.00	    293.3600	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	7                        	9                        	48                       	10                         	                                           	                  	                                                             	                        	                       	6                              	24                 	                      	15               	                     	3                                  	                                	                      	                     	                     	8                 	1               	2                            	1              	1                           	4                                                                                    	5                	35                      	1                   	1                      	2                        	1                       	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 31	R	 7	  40.00	    294.9000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	                         	                         	14                       	3                          	                                           	                  	                                                             	                        	                       	5                              	8                  	                      	1                	                     	6                                  	                                	                      	R                    	3                    	2                 	1               	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 32	R	 1	  38.00	    295.3800	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	                         	                         	2                        	3                          	4                                          	                  	                                                             	                        	                       	12                             	2                  	3                     	                 	                     	239                                	2                               	1                     	                     	                     	                  	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 32	R	 2	  35.00	    296.8500	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	1                        	                         	1                        	2                          	6                                          	                  	                                                             	                        	                       	                               	                   	3                     	8                	1                    	50                                 	2                               	                      	                     	                     	                  	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata alta   	              	114	 700	B	 32	R	 3	  40.00	    298.4000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	               	                      	1                        	                         	1                        	2                          	                                           	                  	                                                             	                        	                       	                               	                   	1                     	                 	                     	                                   	                                	                      	                     	                     	                  	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata hastata	              	114	 700	B	 32	R	 4	  42.00	    299.9200	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1              	                      	3                        	4                        	8                        	                           	                                           	1                 	5                                                            	1                       	2                      	5                              	1                  	                      	                 	                     	                                   	                                	                      	                     	                     	                  	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

  SR	Early Paleocene  	                 	C. hastata hastata	              	114	 700	B	 32	R	 5	  40.00	    301.4000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1              	2                     	1                        	4                        	7                        	3                          	3                                          	9                 	                                                             	                        	                       	                               	                   	                      	                 	                     	                                   	                                	                      	                     	                     	                  	                	                             	               	                            	                                                                                     	                 	                        	                    	                       	                         	                        	                          	                          	               	                   	                            	                                  	                  	                      	                            	                     	                              	                                                 	                       	              	                              	                	                        	                                 	               	                                                  	                                 	               	                    	                          	from ODP Leg 114 SR Chapter 4 Table 3 p 60-62

