Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Rhabdosphaera clavigera,Reticulofenestra umbilica (>7 microns),Reticulofenestra sp. (5-7 microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Ceratolithus sp.,Umbilicosphaera mirabilis,Scapholithus fossilis,Pontosphaera sp.,Pontosphaera multipora,Pontosphaera japonica,Oolithotus fragilis,Hayaster perplexus,Discoaster barbadiensis,Calcidiscus leptoporus,Syracosphaera pulchra,Sphenolithus sp.,Pontosphaera discopora,Gephyrocapsa spp. (large >5.5 microns),Discoaster tamalis,Discoaster surculus,Calcidiscus macintyrei,Discoaster triradiatus,Discoaster sp. (5-rayed),Markalius inversus,Ericsonia formosa,Discoaster deflandrei,Ceratolithus cristatus,Scyphosphaera sp.,Reticulofenestra sp. (<5 microns),Holodiscolithus macroporus,Dictyococcites bisectus,Ceratolithus rugosus,Discoaster tuberi,Discoaster delicatus,Chiasmolithus sp.,Discoaster lodoensis,Discoaster septemradiatus,Discoaster saipanensis,Chiasmolithus grandis,Syracosphaera sp.,Triquetrorhabdulus rugosus,Discoaster challengeri,Helicosphaera sellii,Ceratolithus telesmus,Helicosphaera inversa,Discoaster bramlettei,Coronocyclus nitescens,Sphenolithus ciperoensis,Syracosphaera clava,Rhabdosphaera sp.,Umbellosphaera irregularis,Reticulofenestra sp.,Emiliania huxleyi,Clausicoccus fenestratus,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  3,R, 1,  30.00,    127.5000,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,S                      ,                                      ,                                  ,rC                      ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,S                    ,                ,                         ,S                    ,S               ,R                     ,S                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,R                     ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,R                    ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  3,R, 2,  39.00,    129.0900,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,S                      ,                                      ,                                  ,rS                      ,C                      ,C                                     ,A                                      ,rS                   ,rC            ,rS                     ,rS                      ,rS                 ,C                 ,rC                         ,S                    ,R               ,C                        ,S                    ,                ,                      ,S                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,rR                 ,rR                    ,                      ,                        ,                  ,                 ,rS                   ,R                     ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,R                         ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  3,R, 3,  20.00,    130.4000,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,S                      ,                                      ,                                  ,rS                      ,C                      ,C                                     ,A                                      ,rS                   ,rC            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,S                    ,                ,C                        ,S                    ,                ,R                     ,                     ,                   ,                  ,                       ,C                     ,                     ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  3,R, 4,  30.00,    132.0000,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,C                      ,                                      ,                                  ,rS                      ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rR                         ,S                    ,R               ,C                        ,                     ,                ,                      ,R                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,rS                   ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,S                         ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  3,R, 5,  20.00,    133.4000,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rR                        ,rC                         ,S                      ,                                      ,                                  ,rS                      ,C                      ,A                                     ,C                                      ,rS                   ,rS            ,rS                     ,rR                      ,rR                 ,S                 ,                           ,S                    ,                ,C                        ,R                    ,                ,                      ,                     ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,rR                   ,                      ,                 ,A                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,R                ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,rR                      ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  3,R, 6,  10.00,    134.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,S                      ,                                      ,                                  ,rS                      ,C                      ,C                                     ,A                                      ,rS                   ,rS            ,rR                     ,rS                      ,rS                 ,S                 ,rS                         ,S                    ,                ,C                        ,                     ,                ,                      ,R                    ,                   ,                  ,                       ,C                     ,                     ,                ,                      ,                                      ,                  ,rR                 ,rR                    ,                      ,                        ,                  ,                 ,rR                   ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,R                         ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  3,R, 7,   8.00,    136.2800,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,C                      ,                                      ,                                  ,rS                      ,C                      ,C                                     ,C                                      ,rS                   ,rC            ,                       ,rS                      ,rS                 ,C                 ,rC                         ,S                    ,                ,C                        ,S                    ,                ,                      ,R                    ,                   ,                  ,                       ,S                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,R                ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  4,R, 1,  15.00,    137.0500,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,rS                        ,rC                         ,S                      ,                                      ,                                  ,rS                      ,C                      ,A                                     ,A                                      ,rS                   ,rC            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,S                    ,                ,C                        ,C                    ,S               ,R                     ,                     ,                   ,                  ,                       ,C                     ,                     ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,A                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,R                ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  4,R, 2,  40.00,    138.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,S                      ,                                      ,                                  ,rS                      ,                       ,A                                     ,A                                      ,rS                   ,rR            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,                     ,                ,C                        ,                     ,S               ,                      ,                     ,                   ,                  ,                       ,C                     ,                     ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,rR                   ,                      ,                 ,                                 ,                          ,rR                     ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,R                ,                          ,                      ,                    ,                     ,R                    ,                     ,                      ,                        ,                   ,                 ,R                         ,R                   ,S                ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 827,B,  4,R, 3,  11.00,    140.0100,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,rR                        ,rC                         ,C                      ,                                      ,                                  ,rS                      ,C                      ,C                                     ,A                                      ,                     ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,                     ,                ,C                        ,S                    ,                ,                      ,                     ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  4,R, 4,  78.00,    142.1800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,                       ,                                      ,                                  ,A                       ,C                      ,C                                     ,A                                      ,rS                   ,rS            ,rR                     ,rS                      ,rS                 ,C                 ,rS                         ,                     ,R               ,C                        ,S                    ,R               ,                      ,                     ,R                  ,R                 ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,rR                 ,                      ,rC                    ,                        ,                  ,                 ,                     ,R                     ,                 ,A                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,R                    ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  4,R, 6,  13.00,    144.5300,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,                          ,rC                         ,                       ,                                      ,                                  ,C                       ,S                      ,C                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,S                    ,                ,C                        ,                     ,                ,                      ,                     ,R                  ,R                 ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,rR                   ,R                     ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  4,R, 7,  13.00,    146.0300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,                       ,                                      ,                                  ,C                       ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rR                 ,C                 ,rR                         ,                     ,R               ,C                        ,C                    ,                ,                      ,                     ,                   ,                  ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,R                     ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  5,R, 1,  23.00,    146.7300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,rR                        ,rC                         ,S                      ,                                      ,                                  ,S                       ,C                      ,A                                     ,A                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,                  ,rR                         ,S                    ,R               ,C                        ,S                    ,R               ,R                     ,R                    ,                   ,                  ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,rR                      ,                  ,                 ,rR                   ,R                     ,                 ,                                 ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,R                ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,R                  ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  5,R, 3, 120.00,    150.7000,Staerker ,Nannofossils                                 ,R              ,E                 ,rR                     ,                          ,                           ,C                      ,                                      ,                                  ,A                       ,C                      ,A                                     ,A                                      ,                     ,              ,                       ,                        ,                   ,C                 ,rS                         ,                     ,                ,C                        ,C                    ,S               ,                      ,S                    ,A                  ,C                 ,                       ,A                     ,S                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,                     ,                      ,R                ,                                 ,R                         ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,R                  ,R                ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  5,R, 4,  39.00,    151.3900,Staerker ,Nannofossils                                 ,R              ,E                 ,rS                     ,                          ,                           ,                       ,                                      ,                                  ,A                       ,C                      ,A                                     ,                                       ,                     ,rS            ,rS                     ,rR                      ,rS                 ,C                 ,rS                         ,S                    ,R               ,C                        ,S                    ,                ,                      ,R                    ,S                  ,S                 ,                       ,C                     ,C                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,rR                   ,R                     ,                 ,C                                ,                          ,rR                     ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  5,R, 5,  11.00,    152.6100,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rS                         ,C                      ,                                      ,                                  ,A                       ,C                      ,A                                     ,S                                      ,rS                   ,rS            ,rS                     ,rS                      ,rS                 ,C                 ,rS                         ,S                    ,R               ,C                        ,S                    ,S               ,                      ,S                    ,S                  ,S                 ,                       ,C                     ,S                    ,                ,                      ,                                      ,                  ,                   ,                      ,                      ,rR                      ,                  ,                 ,rR                   ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  6,R, 1,  40.00,    156.6000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rC                         ,C                      ,                                      ,                                  ,C                       ,S                      ,C                                     ,C                                      ,rR                   ,rR            ,                       ,rR                      ,rR                 ,C                 ,                           ,S                    ,                ,C                        ,                     ,                ,                      ,S                    ,                   ,                  ,                       ,C                     ,S                    ,rR              ,                      ,                                      ,                  ,                   ,                      ,                      ,                        ,                  ,                 ,rR                   ,                      ,                 ,A                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 827,B,  6,R, 2,  40.00,    158.1000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                          ,rS                         ,                       ,                                      ,                                  ,C                       ,S                      ,C                                     ,C                                      ,rR                   ,rS            ,rR                     ,rR                      ,rS                 ,C                 ,rR                         ,                     ,                ,C                        ,                     ,R               ,                      ,S                    ,                   ,                  ,                       ,C                     ,                     ,                ,                      ,                                      ,                  ,                   ,rR                    ,                      ,                        ,                  ,                 ,                     ,                      ,                 ,C                                ,                          ,                       ,                    ,                 ,                    ,                 ,                    ,                         ,                      ,                     ,                 ,                          ,                      ,                    ,                     ,                     ,                     ,                      ,                        ,                   ,                 ,                          ,                    ,                 ,                        ,                         ,from ODP Leg 134 SR Chapter 10 Table 4 pp 198-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
