Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius gammation,Reticulofenestra umbilica,Discoaster saipanensis,Discoaster limbatus,Discoaster falcatus,Coccolithus pelagicus,Coccolithus formosus,Chiasmolithus solitus,Discoaster nodifer,Coccolithus eopelagicus,Chiasmolithus grandis,Dictyococcites bisectus,Dictyococcites scrippsae,Cribrocentrum reticulatum,Isthmolithus recurvus,Chiasmolithus expansus,Discoaster tanii ornatus,Discoaster deflandrei,Cyclicargolithus floridanus,Discoaster tanii,Coronocyclus nitescens,Reticulofenestra hillae,Zygrhablithus bijugatus,Sphenolithus moriformis,Reticulofenestra orangensis,Reticulofenestra hampdenensis,Lanternithus minutus,Blackites spinosus,Chiasmolithus oamaruensis,Reticulofenestra oamaruensis,Pontosphaera pulchripora,Pontosphaera plana,Chiasmolithus altus,Reticulofenestra lockerii,Clausicoccus fenestratus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,NP21          ,182,1128,D,  5,R,CC,  11.00,    269.7100,Ladner   ,Nannofossils                                 ,F              ,P                 ,                 ,F                        ,                      ,                   ,                   ,                     ,F                   ,                     ,                  ,                       ,                     ,F                      ,                        ,                         ,R                    ,                      ,                        ,                     ,                           ,                ,                      ,F                      ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,NP21          ,182,1128,D,  6,R,CC,  19.00,    284.0300,Ladner   ,Nannofossils                                 ,C              ,P                 ,                 ,C                        ,                      ,                   ,                   ,F                    ,                    ,                     ,                  ,                       ,                     ,                       ,                        ,                         ,                     ,F                     ,R                       ,                     ,C                          ,R               ,F                     ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Oligocene  ,                  ,NP21          ,182,1128,D,  7,R,CC,  11.00,    289.0100,Ladner   ,Nannofossils                                 ,C              ,P                 ,                 ,C                        ,                      ,                   ,                   ,                     ,F                   ,                     ,                  ,                       ,                     ,                       ,                        ,                         ,                     ,R                     ,                        ,                     ,F                          ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,NP19/20       ,182,1128,D,  8,R,CC,  17.00,    304.2100,Ladner   ,Nannofossils                                 ,A              ,M                 ,                 ,C                        ,R                     ,                   ,                   ,F                    ,F                   ,                     ,R                 ,                       ,                     ,                       ,                        ,                         ,                     ,                      ,R                       ,F                    ,F                          ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,NP19/20       ,182,1128,D,  9,R,CC,   6.00,    308.1600,Ladner   ,Nannofossils                                 ,A              ,M                 ,                 ,C                        ,R                     ,                   ,                   ,F                    ,F                   ,                     ,                  ,                       ,                     ,                       ,                        ,                         ,R                    ,F                     ,                        ,                     ,                           ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,"Some downhole contamination. Discoaster surculus, D. penteradiatus, D. druggii, Calcidiscus macintyrei.(Upper Neogene)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 10,R, 3,  82.00,    321.4200,Shafik   ,Nannofossils                                 ,T              ,                  ,                 ,                         ,                      ,                   ,                   ,                     ,                    ,                     ,                  ,                       ,                     ,                       ,                        ,R                        ,                     ,                      ,                        ,                     ,                           ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 10,R,CC,  12.00,    322.4600,Shafik   ,Nannofossils                                 ,B              ,                  ,                 ,                         ,R                     ,                   ,                   ,                     ,                    ,                     ,R                 ,                       ,                     ,                       ,R                       ,                         ,                     ,                      ,                        ,                     ,                           ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 11,R,CC,  21.00,    332.2500,Shafik   ,Nannofossils                                 ,T              ,                  ,                 ,C                        ,C                     ,                   ,                   ,                     ,                    ,                     ,C                 ,                       ,                     ,F                      ,                        ,                         ,                     ,                      ,                        ,                     ,                           ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,NP17          ,182,1128,D, 12,R,CC,  20.00,    339.4300,Shafik   ,Nannofossils                                 ,C              ,P                 ,                 ,A                        ,R                     ,                   ,                   ,                     ,F                   ,                     ,C                 ,R                      ,R                    ,                       ,                        ,                         ,                     ,                      ,                        ,                     ,                           ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,Zonal assign. assumes C. grandis is in situ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,NP14              ,NP17          ,182,1128,D, 21,R,CC,  20.00,    427.3200,Ladner   ,Nannofossils                                 ,F              ,P                 ,R                ,R                        ,R                     ,R                  ,R                  ,R                    ,R                   ,R                    ,                  ,                       ,                     ,                       ,                        ,                         ,                     ,                      ,                        ,                     ,                           ,                ,                      ,                       ,                       ,                       ,                           ,                             ,                    ,                  ,                         ,                            ,                        ,                  ,                   ,                         ,                        ,"A few discoasters that resemble D. binodosus and D. falcatus or D. limbatus. Rare, extremely overgrown coccoliths."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
