Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Amaurolithus spp.,Discoaster pentaradiatus,Sphenolithus spp.,Calcidiscus leptoporus,Ceratolithus spp.,Ceratolithus rugosus,Ceratolithus acutus,Discoaster surculus,Discoaster brouweri,Discoaster asymmetricus,Ceratolithus telesmus,Pseudoemiliania lacunosa,Helicosphaera carteri,Discoaster tamalis,Helicosphaera sellii,Coccolithus pelagicus,Discoaster triradiatus,Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa (small),Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1011,C,  6,H,CC,  33.00,     51.3700,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                        ,                 ,F                     ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,C                       ,C                    ,                  ,R                   ,                     ,                      ,F/C                       ,C                 ,A                   ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1011,C,  7,H,CC,  31.00,     60.6600,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                        ,                 ,F/C                   ,                 ,                    ,                   ,                   ,RR                 ,                       ,                     ,C                       ,+                    ,                  ,C                   ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,questionable zonal assignment. from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1011,C,  8,H,CC,  38.00,     70.2700,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                        ,                 ,F                     ,                 ,                    ,                   ,                   ,F                  ,                       ,                     ,                        ,                     ,                  ,R/F                 ,R                    ,F                     ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1011,C,  9,H,CC,  24.00,     79.7100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                        ,                 ,C                     ,R                ,                    ,                   ,                   ,F                  ,                       ,R                    ,R                       ,                     ,                  ,                    ,R                    ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12c         ,167,1011,C, 10,H,CC,  35.00,     89.2700,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,F                       ,                 ,                      ,                 ,                    ,                   ,                   ,R/F                ,                       ,                     ,R/F                     ,R                    ,                  ,+                   ,F                    ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12b         ,167,1011,C, 11,H,CC,  13.00,     98.2100,Fornaciari,Nannofossils                                 ,R              ,P                 ,                                ,                 ,F/C                     ,                 ,                      ,                 ,                    ,                   ,C                  ,R                  ,                       ,                     ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1011,C, 12,H,CC,  27.00,    108.2500,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,C                       ,                 ,+                     ,                 ,                    ,                   ,C                  ,                   ,R                      ,                     ,+                       ,                     ,C                 ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1011,C, 13,H,CC,  21.00,    117.5700,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,F                       ,                 ,F                     ,R                ,                    ,                   ,F                  ,                   ,F                      ,                     ,R                       ,R                    ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1011,C, 14,H,CC,  21.00,    126.6200,Fornaciari,Nannofossils                                 ,C/A            ,G                 ,RR                              ,                 ,                        ,                 ,C                     ,C                ,R                   ,F                  ,C                  ,F                  ,F                      ,R                    ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10b             ,CN10c         ,167,1011,C, 15,H,CC,  29.00,    136.6900,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,C                               ,R                ,                        ,                 ,C                     ,R                ,R                   ,R/F                ,                   ,                   ,                       ,                     ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1011,C, 16,X,CC,  14.00,    145.8900,Fornaciari,Nannofossils                                 ,A              ,P/M               ,A                               ,F                ,                        ,R                ,R                     ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1011,C, 17,X,CC,  22.00,    155.4600,Fornaciari,Nannofossils                                 ,A              ,P/M               ,A                               ,F/C              ,RR                      ,                 ,                      ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1011,C, 18,X,CC,  16.00,    165.1300,Fornaciari,Nannofossils                                 ,A              ,P                 ,R/F                             ,F/C              ,                        ,                 ,                      ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1011,C, 19,X,CC,  13.00,    174.6300,Fornaciari,Nannofossils                                 ,A              ,P/M               ,C                               ,R                ,                        ,                 ,                      ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9               ,CN10a         ,167,1011,C, 20,X,CC,  25.00,    184.4400,Fornaciari,Nannofossils                                 ,A              ,M                 ,A                               ,R/F              ,                        ,                 ,                      ,                 ,                    ,                   ,                   ,                   ,                       ,                     ,                        ,                     ,                  ,                    ,                     ,                      ,                          ,                  ,                    ,                  ,                 ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
