Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylodictya validispina,Stylatractus universus,Stichocorys peregrina,Phormostichoartus crustula,Phormostichoartus corbula,Larcospira moschkovskii,Lamprocyclas junonis,Eucyrtidium teuscheri group,Eucyrtidium erythromystax,Botryostrobus tumidulus,Botryostrobus praetumidulus,Anthocyrtidium pliocenica,Eucyrtidium calvertense,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Stichocorys delmontensis,Diartus hughesi,Botryostrobus aquilonaris,Stylacontarium acquilonium,Lithelius sp.,Dictyophimus splendens,Actinomma popofskii,Gondwanaria hister,Acrosphaera murrayana,Comment
  IR,                 ,                 ,                  ,              ,167,1011,C, 11,H,CC,  13.00,     98.2100,Caulet   ,Radiolarians                                 ,F              ,M                 ,                       ,+                     ,                     ,                          ,                         ,                       ,+                   ,                           ,                         ,                       ,                           ,                         ,                       ,+                          ,                        ,                        ,               ,                         ,+                         ,+            ,+                     ,+                  ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. langii (N Pac) ,E. matuyamai (N Pac),167,1011,C, 13,H,CC,  21.00,    117.5700,Caulet   ,Radiolarians                                 ,C              ,M                 ,                       ,                      ,                     ,                          ,                         ,                       ,                    ,                           ,                         ,                       ,                           ,                         ,                       ,+                          ,                        ,+                       ,+              ,+                        ,                          ,             ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,C, 14,H,CC,  21.00,    126.6200,Caulet   ,Radiolarians                                 ,C              ,M                 ,                       ,                      ,                     ,                          ,                         ,                       ,+                   ,                           ,+                        ,                       ,                           ,                         ,+                      ,+                          ,+                       ,                        ,               ,                         ,                          ,             ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. peregrina (N Pac),              ,167,1011,C, 18,X,CC,  16.00,    165.1300,Caulet   ,Radiolarians                                 ,R              ,P                 ,                       ,+                     ,                     ,                          ,                         ,                       ,                    ,                           ,                         ,                       ,                           ,                         ,                       ,+                          ,                        ,                        ,               ,                         ,                          ,             ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. peregrina (N Pac),              ,167,1011,C, 19,X,CC,  13.00,    174.6300,Caulet   ,Radiolarians                                 ,R              ,P                 ,                       ,+                     ,                     ,                          ,                         ,                       ,                    ,                           ,                         ,                       ,                           ,                         ,+                      ,                           ,                        ,                        ,               ,                         ,                          ,             ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,S. peregrina (N Pac),              ,167,1011,C, 20,X,CC,  25.00,    184.4400,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                      ,+                     ,+                    ,+                         ,+                        ,+                      ,+                   ,+                          ,+                        ,+                      ,+                          ,+                        ,                       ,                           ,                        ,                        ,               ,                         ,                          ,             ,                      ,                   ,                  ,                     ,from IR. Ch 5. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
