Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Denticulopsis praelauta	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Cavitatus jouseanus	Aulacoseira spp.	Actinocyclus ingens	Stephanopyxis turris	Denticulopsis lauta	Thalassiothrix longissima	Paralia sulcata	Denticulopsis hyalina	Crucidenticula nicobarica	Actinoptychus senarius	Denticulopsis simonsenii	Thalassiosira yabei	Denticulopsis praedimorpha	Delphineis simonsenii	Proboscia barboi	Actinocyclus ellipticus	Azpeitia nodulifera	Rhizosolenia hebetata f. hiemalis	Ikebea tenuis	Denticulopsis dimorpha	Denticulopsis katayamae	Thalassionema schraderi	Rouxia californica	Koizumia tatsunokuchiensis	Nitzschia fossilis	Thalassiosira lineata	Odontella aurita	Hemidiscus cuneiformis	Actinocyclus curvatulus	Thalassiosira nidulus	Nitzschia rolandii	Neodenticula kamtschatica	Nitzschia reinholdii	Thalassiosira antiqua	Nitzschia marina	Pyxidicula zabelinae	Cocconeis costata	Coscinodiscus radiatus	Stephanopyxis horridus	Proboscia curvirostris	Thalassiosira eccentrica	Thalassiosira jouseae	Thalassiosira praeoestrupii	Thalassiosira jacksonii	Asteromphalus flabellatus	Thalassiosira oestrupii	Delphineis surirella	Actinocyclus oculatus	Thalassiosira latimarginata	Thalassiosira gravida	Actinocyclus ochotensis	Neodenticula koizumii	Neodenticula seminae	Rhizosolenia bergonii	Actinocyclus octonarius	Bacterosira fragilis	Nitzschia interruptestriata	Fragilariopsis doliolus	Comment

  IR	                 	                 	                  	              	186	1151	A	  4	R	CC	  15.00	     99.5100	Ikeda    	Diatoms                                      	A              	G                 	                           	                       	F                       	C                                	                   	                	                   	F                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	                         	R                   	                     	                	                    	R                	                      	                      	R                     	                        	                     	                           	                       	                         	                       	                    	R                    	                           	                     	                       	                     	C                   	                     	                       	R                   	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	  5	R	CC	   0.00	    105.9000	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	                        	C                                	                   	T               	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	                     	                	R                     	                       	                     	                  	                         	F                   	                     	                	                    	F                	R                     	                      	                      	R                       	R                    	                           	                       	                         	F                      	                    	R                    	                           	                     	                       	                     	F                   	                     	R                      	                    	                           	                       	       

  IR	                 	                 	                  	NPD 9         	186	1151	A	  6	R	 1	  70.00	    113.3000	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	F                       	C                                	                   	                	                   	F                   	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	                         	                    	                     	                	                    	                 	                      	                      	                      	                        	R                    	                           	                       	                         	R                      	                    	                     	                           	F                    	                       	F                    	C                   	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	  6	R	CC	   8.00	    118.0700	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	                        	A                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	T                 	                     	                	R                     	R                      	                     	                  	                         	C                   	T                    	                	                    	                 	                      	                      	                      	                        	F                    	                           	                       	                         	F                      	                    	R                    	                           	F                    	R                      	C                    	C                   	                     	                       	                    	                           	                       	r=T(N.kam)

  IR	                 	                 	                  	              	186	1151	A	  7	R	 1	  70.00	    122.9000	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	                        	C                                	                   	                	                   	F                   	                   	R                        	               	                     	                         	                      	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	T                    	                	R                     	T                      	                     	                  	                         	                    	                     	                	                    	                 	                      	R                     	                      	                        	                     	                           	                       	                         	                       	                    	F                    	                           	                     	                       	                     	C                   	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	  7	R	CC	  14.00	    126.4500	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	R                       	C                                	                   	                	                   	C                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	F               	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	                     	                	                      	                       	                     	                  	                         	                    	                     	R               	                    	                 	                      	                      	                      	T                       	C                    	                           	                       	                         	                       	                    	F                    	                           	F                    	F                      	                     	F                   	                     	                       	                    	                           	                       	r=T(N.kam)

  IR	                 	                 	                  	              	186	1151	A	  8	R	CC	  18.00	    136.7800	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	                        	C                                	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	                         	                    	                     	                	R                   	                 	                      	                      	                      	                        	F                    	                           	                       	                         	R                      	                    	R                    	                           	                     	                       	C                    	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	  9	R	CC	   7.00	    147.1700	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	R                       	A                                	                   	                	                   	R                   	                   	                         	T              	                     	                         	                      	                        	                   	                          	                     	T               	                       	R                  	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	                         	                    	                     	                	C                   	R                	                      	                      	                      	                        	R                    	                           	                       	                         	                       	                    	R                    	                           	                     	                       	C                    	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 10	R	CC	  18.00	    158.6400	Ikeda    	Diatoms                                      	A              	M                 	                           	                       	F                       	F                                	                   	                	                   	C                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	C               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	                         	                    	                     	                	F                   	                 	                      	                      	                      	R                       	R                    	                           	                       	                         	                       	                    	                     	                           	                     	                       	F                    	F                   	R                    	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 11	R	CC	  15.00	    168.8900	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	                        	                                 	                   	                	                   	C                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	F               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	                         	                    	                     	                	                    	                 	                      	                      	                      	R                       	F                    	                           	                       	                         	                       	                    	R                    	                           	                     	                       	C                    	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	NPD 8         	186	1151	A	 12	R	 3	 140.00	    174.6000	Ikeda    	Diatoms                                      	A              	G                 	C                          	                       	C                       	                                 	                   	                	                   	R                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	F                        	                    	                     	R               	                    	                 	                      	                      	                      	                        	                     	                           	                       	                         	F                      	                    	R                    	                           	R                    	                       	C                    	R                   	                     	                       	                    	                           	                       	r=T(D.pd)

  IR	                 	                 	                  	              	186	1151	A	 12	R	CC	   7.00	    179.9600	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	F                       	                                 	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	R                     	F                      	                     	                  	F                        	                    	                     	                	R                   	                 	                      	                      	                      	R                       	F                    	                           	                       	                         	R                      	                    	                     	                           	                     	                       	C                    	R                   	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 13	R	CC	  11.00	    187.1100	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	F                       	C                                	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	R                        	R                   	R                    	                	                    	                 	                      	                      	                      	                        	                     	                           	                       	T                        	F                      	R                   	                     	R                          	                     	                       	C                    	                    	                     	                       	                    	                           	                       	r=T(D.sim)

  IR	                 	                 	                  	              	186	1151	A	 14	R	CC	   9.00	    199.1900	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	C                       	F                                	                   	                	                   	                    	                   	R                        	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	T                    	                	F                     	R                      	                     	                  	C                        	                    	                     	                	                    	                 	                      	                      	R                     	                        	R                    	                           	                       	                         	R                      	                    	                     	                           	                     	                       	R                    	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	NPD 7Bb       	186	1151	A	 15	R	 4	  72.00	    204.4200	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	F                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	C                        	                    	                     	                	C                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	                       	                    	                     	F                          	                     	                       	                     	                    	                     	                       	                    	                           	                       	r=T(D.prd)

  IR	                 	                 	                  	              	186	1151	A	 15	R	CC	   0.00	    208.8700	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	F                       	                                 	                   	                	                   	C                   	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	R                    	                	R                     	                       	                     	                  	C                        	                    	                     	                	F                   	                 	                      	                      	                      	                        	R                    	                           	                       	                         	F                      	                    	                     	R                          	R                    	T                      	                     	                    	                     	                       	                    	                           	                       	r=T(D.kat)

  IR	                 	                 	                  	              	186	1151	A	 16	R	CC	   8.00	    218.6400	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	                        	R                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	R                     	                       	                     	                  	C                        	R                   	                     	                	F                   	                 	                      	                      	                      	                        	R                    	                           	                       	                         	R                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 17	R	CC	   0.00	    222.7500	Ikeda    	Diatoms                                      	A              	G                 	C                          	                       	F                       	F                                	                   	                	                   	R                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	A                        	                    	                     	                	                    	                 	                      	                      	                      	                        	R                    	                           	                       	                         	                       	                    	                     	R                          	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 18	R	CC	  11.00	    237.8900	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	C                       	F                                	                   	                	                   	T                   	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	R               	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	R                      	                     	                  	C                        	                    	F                    	                	R                   	                 	                      	                      	                      	                        	                     	                           	                       	                         	F                      	                    	                     	F                          	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 19	R	CC	  16.00	    244.9600	Ikeda    	Diatoms                                      	A              	G                 	A                          	                       	R                       	F                                	                   	                	                   	                    	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	                  	                     	                	                      	                       	                     	                  	C                        	                    	F                    	                	R                   	                 	                      	                      	                      	R                       	R                    	                           	                       	                         	R                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 20	R	CC	  12.00	    252.5000	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	C                       	                                 	                   	                	                   	                    	                   	                         	T              	                     	                         	R                     	                        	                   	                          	                     	                	                       	T                  	                                 	             	                      	                       	                       	                  	                          	                  	R                    	                	                      	                       	                     	                  	C                        	                    	F                    	                	                    	R                	                      	                      	                      	                        	                     	                           	                       	                         	T                      	                    	                     	                           	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 21	R	CC	  12.00	    266.6900	Ikeda    	Diatoms                                      	A              	G                 	F                          	                       	C                       	C                                	                   	                	                   	F                   	                   	                         	               	                     	                         	R                     	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	                          	R                 	R                    	                	                      	                       	                     	                  	C                        	                    	                     	                	                    	                 	                      	                      	                      	                        	R                    	                           	                       	                         	                       	                    	                     	R                          	                     	                       	                     	                    	                     	                       	                    	                           	                       	       

  IR	                 	                 	                  	              	186	1151	A	 22	R	CC	  12.00	    276.1400	Ikeda    	Diatoms                                      	C              	G                 	F                          	                       	C                       	R                                	                   	                	                   	                    	                   	                         	               	                     	                         	                      	                        	                   	                          	                     	                	                       	                   	                                 	             	                      	                       	                       	                  	F                         	R                 	R                    	                	                      	                       	                     	                  	C                        	                    	                     	                	                    	                 	                      	                      	                      	                        	R                    	                           	                       	T                        	                       	                    	                     	R                          	R                    	                       	                     	                    	                     	                       	                    	                           	                       	       
