Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies	Reticulofenestra pseudoumbilica	Helicosphaera carteri	Discoaster variabilis	Discoaster hamatus	Discoaster bellus	Coccolithus pelagicus	Catinaster coalitus	Calcidiscus leptoporus	Discoaster neorectus	Discoaster intercalaris	Discoaster asymmetricus (grainy)	Discoaster brouweri	Scyphosphaera pulcherrima	Reticulofenestra minuta	Discoaster prepentaradiatus	Discoaster bollii	Discoaster pentaradiatus	Discoaster neohamatus	Thoracosphaera sp.	Discoaster deflandrei	Discoaster surculus	Discoaster quinqueramus	Reticulofenestra minutula	Discoaster loeblichii	Discolithina sp.	Pontosphaera pachymorpha	Triquetrorhabdulus rugosus	Discoaster berggrenii	Calcidiscus tropicus	Amaurolithus amplificus	Amaurolithus primus	Amaurolithus delicatus	Helicosphaera sellii	Microrhabdulus attenuatus	Ceratolithus armatus	Ceratolithus sp.	Discoaster blackstockae	Discolithina japonica	Discoaster tristellifer	Pseudoemiliania lacunosa	Crenalithus sp.	Sphenolithus neoabies	Umbilicosphaera sibogae	Ceratolithus rugosus	Ceratolithus cristatus	Gephyrocapsa spp. (small)	Umbilicosphaera sp.	Helicosphaera neogranulata	Syracosphaera pulchra	Discoaster triradiatus	Discoaster sp.	Gephyrocapsa oceanica s.l.	Scapholithus fossilis	Helicosphaera wallichii	Discosphaera tubifera	Rhabdosphaera clavigera	Comment

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  5	X	CC	  40.00	     38.4000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	R                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  6	X	CC	   0.00	     48.0400	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	T                  	                         	                       	                           	                 	T                       	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	T                      	                    	                      	T                        	                   	                          	                     	                      	              	R                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  7	X	 1	  20.00	     55.7000	Gartner  	Nannofossils                                 	               	                  	T                 	                               	F                    	                     	                  	                 	                     	                   	F                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	F                      	                    	F                     	                         	                   	                          	                     	                      	              	A                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  7	X	CC	  21.00	     57.6100	Gartner  	Nannofossils                                 	               	                  	                  	                               	T                    	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN14b             	CN15          	116	 717	C	  8	X	 2	  59.00	     67.0900	Gartner  	Nannofossils                                 	               	                  	T                 	                               	F                    	                     	                  	                 	T                    	                   	C                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	T                    	T                  	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	T                    	                       	                        	               	                     	C                      	                    	                      	                         	                   	                          	R                    	                      	              	A                         	T                    	                       	                     	T                      	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	  8	X	CC	  14.00	     67.5400	Gartner  	Nannofossils                                 	               	                  	T                 	                               	T                    	                     	                  	                 	                     	                   	R                     	                    	                       	                                	                   	                         	                       	T                          	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	F                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 10	X	 1	  71.00	     75.2100	Gartner  	Nannofossils                                 	               	                  	                  	                               	T                    	                     	                  	                 	                     	                   	R                     	                    	                       	                                	T                  	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	T                      	                    	                      	                         	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 11	X	CC	   4.00	     84.0400	Gartner  	Nannofossils                                 	               	                  	                  	                               	T                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	R                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 12	X	CC	   8.00	     93.5800	Gartner  	Nannofossils                                 	               	                  	                  	                               	R                    	                     	                  	                 	                     	                   	R                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	R                      	                    	                      	R                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 14	X	CC	  31.00	    105.7800	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	T                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	                    	T                     	F                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 15	X	CC	  23.00	    114.9100	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	T                        	                   	                          	                     	                      	              	R                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 16	X	 1	  64.00	    122.6400	Gartner  	Nannofossils                                 	               	                  	                  	                               	T                    	                     	                  	                 	T                    	                   	T                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	T                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 16	X	CC	  32.00	    123.6200	Gartner  	Nannofossils                                 	               	                  	                  	                               	T                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	R                      	                    	                      	R                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 18	X	CC	  16.00	    131.6600	Gartner  	Nannofossils                                 	               	                  	                  	                               	R                    	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	                    	R                     	F                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 19	X	 1	  29.00	    141.2900	Gartner  	Nannofossils                                 	               	                  	T                 	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	T                          	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	C                       	               	                     	                       	                    	                      	R                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 19	X	CC	  34.00	    142.4200	Gartner  	Nannofossils                                 	               	                  	T                 	                               	T                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	F                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 20	X	 1	  58.00	    151.0800	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	T                     	                    	                       	                                	T                  	                         	                       	                           	                 	                        	                     	                  	                     	                   	T                      	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	T                       	               	                     	                       	                    	                      	F                        	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 20	X	CC	  36.00	    155.9500	Gartner  	Nannofossils                                 	               	                  	T                 	                               	F                    	                     	                  	                 	                     	                   	C                     	                    	                       	                                	T                  	                         	                       	T                          	                 	                        	                     	T                 	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	T                    	                       	R                       	               	                     	F                      	                    	                      	C                        	                   	                          	R                    	                      	              	A                         	                     	T                      	T                    	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 21	X	 3	  47.00	    163.4700	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	T                    	                   	C                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	T                     	                         	                   	                          	                     	                      	              	A                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 21	X	CC	  34.00	    166.0200	Gartner  	Nannofossils                                 	               	                  	                  	                               	F                    	                     	                  	                 	T                    	                   	F                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	R                 	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	R                    	                       	R                       	               	                     	                       	                    	                      	C                        	                   	T                         	                     	                      	              	A                         	T                    	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 22	X	 5	  29.00	    175.8000	Gartner  	Nannofossils                                 	               	                  	                  	                               	R                    	                     	                  	                 	                     	                   	F                     	                    	                       	                                	                   	                         	                       	T                          	                 	                        	                     	                  	                     	                   	T                      	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	C                       	               	                     	                       	                    	R                     	                         	                   	                          	                     	                      	              	A                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 22	X	CC	  32.00	    176.5700	Gartner  	Nannofossils                                 	               	                  	                  	                               	R                    	                     	                  	                 	T                    	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	R                       	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	F                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 23	X	CC	  34.00	    188.6700	Gartner  	Nannofossils                                 	               	                  	R                 	                               	C                    	                     	                  	                 	T                    	                   	C                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	R                 	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	T                    	                       	C                       	               	                     	F                      	                    	                      	                         	                   	                          	                     	                      	R             	A                         	                     	C                      	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 24	X	 1	  70.00	    189.2000	Gartner  	Nannofossils                                 	               	                  	T                 	                               	C                    	                     	                  	                 	                     	                   	C                     	                    	                       	                                	T                  	                         	                       	T                          	                 	                        	                     	R                 	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	C                       	               	                     	F                      	                    	                      	C                        	                   	                          	                     	                      	              	A                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Pliocene         	Pleistocene      	CN13a             	CN14a         	116	 717	C	 24	X	 3	  50.00	    192.0000	Gartner  	Nannofossils                                 	               	                  	                  	                               	F                    	                     	                  	                 	                     	                   	F                     	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	T                    	                       	F                       	               	                     	R                      	                    	                      	                         	                   	                          	                     	                      	              	C                         	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175
