Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeorbulina sicanus,Praeorbulina glomerosa,Neogloboquadrina continuosa,Globorotalia mayeri,Globorotalia fohsi peripheroacuta,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides subquadratus,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerinella obesa,Globigerina praebulloides,Globoquadrina praedehiscens,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinatella insueta,Globigerina bulloides,Orbulina suturalis,Globorotalia fohsi fohsi,Globorotalia (fohsi/lobata transition),Globigerina decoraperta,Globorotalia praescitula,Globorotalia lenguaensis,Globigerinella aequilateralis,Sphaeroidinellopsis disjuncta,Orbulina universa,Orbulina bilobata,Globorotalia acrostoma,Globigerinoides mitra,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis seminulina,Globorotalia praemenardii,Globigerina woodi,Globigerina cf. woodi,Globoquadrina altispira globosa,Clavatorella bermudezi,Globorotalia fohsi lobata,Globorotalia cf. scitula,Globorotalia fohsi robusta,Globorotalia menardii,Globorotalia limbata,Neogloboquadrina pseudopachyderma,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globigerinoides ruber,Globigerinoides extremus,Globigerina nepenthes,Sphaeroidinellopsis paenedehiscens,Globorotalia scitula,Globorotalia paralenguaensis,Globorotalia multicamerata,Globigerinoides conglobatus,Candeina nitida,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia margaritae margaritae,Globorotalia juanai,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia exilis,Globorotalia cibaoensis,Globigerina incisa,Globorotalia ungulata,Globorotalia crassaformis crassaformis,Globorotalia cf. Gr. multicamerata,Globigerina apertura,Globorotalia flexuosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 626,C,  4,X, 1,  25.00,     25.7500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,                         ,                       ,r                                ,C                       ,                            ,F                            ,F                        ,R                      ,R                   ,                         ,                           ,r                           ,F                         ,                        ,                        ,R                    ,                  ,                        ,                                      ,r                      ,                        ,                        ,R                            ,                             ,C                ,R                ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,R                       ,                          ,F                    ,                    ,                                 ,r                        ,r                           ,r                        ,                     ,r                       ,r                    ,r                                 ,                    ,                            ,r                         ,F                          ,R              ,                         ,                   ,                             ,                      ,r                                 ,r                  ,                            ,R                         ,r                  ,                       ,                  ,                     ,                                      ,r                                 ,r                   ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 626,C,  4,X,CC,   7.00,     28.1900,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,                         ,                       ,r                                ,F                       ,                            ,F                            ,F                        ,R                      ,                    ,                         ,                           ,                            ,F                         ,                        ,                        ,                     ,                  ,                        ,                                      ,                       ,                        ,                        ,R                            ,                             ,C                ,                 ,                      ,                     ,r                               ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,F                    ,                    ,                                 ,r                        ,r                           ,                         ,                     ,r                       ,r                    ,                                  ,                    ,                            ,r                         ,F                          ,               ,F                        ,R                  ,F                            ,                      ,r                                 ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,R                                     ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,G. fimbriata      ,              ,101, 626,C,  5,X, 1,  25.00,     35.3500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,                         ,                       ,r                                ,                        ,                            ,r                            ,F                        ,                       ,                    ,                         ,                           ,                            ,R                         ,                        ,                        ,R                    ,                  ,                        ,                                      ,                       ,                        ,                        ,R                            ,                             ,F                ,R                ,                      ,                     ,                                ,r                             ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,R                    ,                    ,                                 ,R                        ,                            ,                         ,                     ,r                       ,r                    ,r                                 ,R                   ,                            ,r                         ,R                          ,R              ,                         ,                   ,                             ,                      ,r                                 ,                   ,T                           ,                          ,r                  ,                       ,                  ,R                    ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,G. bermudezi  ,101, 626,C,  5,X,CC,  33.00,     36.1600,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,                         ,                       ,r                                ,C                       ,                            ,F                            ,R                        ,R                      ,                    ,                         ,                           ,                            ,F                         ,                        ,                        ,R                    ,                  ,                        ,                                      ,                       ,                        ,                        ,                             ,                             ,A                ,                 ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,F                    ,                    ,                                 ,                         ,                            ,r                        ,                     ,r                       ,r                    ,r                                 ,                    ,                            ,r                         ,F                          ,               ,R                        ,F                  ,R                            ,                      ,r                                 ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,G. bermudezi  ,101, 626,C,  6,X, 1,  25.00,     44.9500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,                         ,r                      ,r                                ,C                       ,                            ,F                            ,F                        ,R                      ,R                   ,                         ,                           ,                            ,F                         ,r                       ,                        ,R                    ,                  ,                        ,                                      ,                       ,                        ,                        ,                             ,                             ,A                ,                 ,                      ,                     ,r                               ,r                             ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,                     ,                    ,                                 ,R                        ,R                           ,                         ,R                    ,r                       ,r                    ,r                                 ,                    ,                            ,r                         ,F                          ,               ,R                        ,T                  ,R                            ,                      ,                                  ,                   ,T                           ,T                         ,r                  ,r                      ,T                 ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,G. bermudezi  ,101, 626,C,  6,X,CC,  29.00,     46.0400,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,                         ,r                      ,r                                ,C                       ,                            ,F                            ,                         ,R                      ,                    ,                         ,                           ,                            ,F                         ,                        ,                        ,R                    ,                  ,                        ,                                      ,                       ,                        ,                        ,                             ,                             ,C                ,R                ,                      ,                     ,                                ,r                             ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,                     ,                    ,                                 ,R                        ,R                           ,                         ,R                    ,r                       ,r                    ,r                                 ,                    ,                            ,                          ,F                          ,               ,R                        ,T                  ,R                            ,D                     ,r                                 ,r                  ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. acostaensis    ,              ,101, 626,C,  7,X,CC,   2.00,     54.3200,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                      ,                           ,                   ,                                 ,P                        ,                       ,P                                ,                        ,                            ,                             ,P                        ,                       ,                    ,                         ,                           ,                            ,P                         ,                        ,                        ,                     ,                  ,                        ,                                      ,                       ,                        ,                        ,P                            ,                             ,P                ,                 ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,                     ,                    ,                                 ,                         ,                            ,R                        ,                     ,P                       ,P                    ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. acostaensis    ,              ,101, 626,C,  9,X, 1,  21.00,     73.6100,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,                           ,                   ,r                                ,R                        ,R                      ,F                                ,F                       ,                            ,F                            ,                         ,R                      ,R                   ,R                        ,                           ,                            ,R                         ,R                       ,                        ,R                    ,                  ,                        ,                                      ,                       ,                        ,r                       ,                             ,                             ,F                ,R                ,                      ,                     ,R                               ,R                             ,                         ,                 ,                     ,R                              ,                      ,                         ,                        ,                          ,                     ,F                   ,T                                ,R                        ,R                           ,R                        ,                     ,R                       ,r                    ,R                                 ,T                   ,R                           ,R                         ,D                          ,T              ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N. acostaensis    ,              ,101, 626,C,  9,X,CC,  29.00,     74.0700,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,                           ,                   ,                                 ,R                        ,R                      ,F                                ,F                       ,                            ,F                            ,F                        ,R                      ,                    ,                         ,                           ,T                           ,R                         ,R                       ,                        ,R                    ,                  ,                        ,                                      ,R                      ,                        ,R                       ,R                            ,                             ,C                ,R                ,                      ,                     ,                                ,F                             ,                         ,                 ,                     ,T                              ,                      ,                         ,                        ,                          ,                     ,F                   ,T                                ,cf                       ,R                           ,R                        ,T                    ,cf                      ,F                    ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,P. mayeri         ,              ,101, 626,C, 11,X,CC,  12.00,     92.8200,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,                           ,F                  ,                                 ,R                        ,F                      ,F                                ,F                       ,                            ,F                            ,F                        ,R                      ,R                   ,                         ,                           ,R                           ,R                         ,F                       ,                        ,                     ,R                 ,                        ,                                      ,R                      ,                        ,F                       ,                             ,                             ,F                ,R                ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,                         ,                        ,                          ,F                    ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,P. mayeri         ,              ,101, 626,C, 13,H, 1,  25.00,    112.3500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                      ,                           ,F                  ,                                 ,F                        ,F                      ,R                                ,C                       ,                            ,R                            ,                         ,F                      ,                    ,R                        ,                           ,R                           ,F                         ,F                       ,                        ,                     ,R                 ,                        ,r                                     ,                       ,                        ,                        ,                             ,                             ,F                ,                 ,                      ,                     ,F                               ,                              ,                         ,                 ,                     ,                               ,                      ,r                        ,                        ,                          ,R                    ,F                   ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,M9b               ,              ,101, 626,C, 13,H, 4,  25.00,    116.8500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,                           ,F                  ,                                 ,R                        ,F                      ,R                                ,F                       ,                            ,F                            ,                         ,                       ,R                   ,R                        ,                           ,R                           ,R                         ,R                       ,                        ,                     ,                  ,F                       ,                                      ,                       ,                        ,                        ,                             ,                             ,F                ,                 ,                      ,                     ,                                ,R                             ,F                        ,                 ,                     ,                               ,                      ,F                        ,                        ,F                         ,                     ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,M9b               ,              ,101, 626,C, 13,H,CC,   4.00,    117.2000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,                           ,F                  ,                                 ,R                        ,R                      ,R                                ,F                       ,F                           ,                             ,                         ,                       ,R                   ,R                        ,                           ,                            ,                          ,R                       ,                        ,                     ,                  ,F                       ,                                      ,                       ,                        ,                        ,                             ,                             ,C                ,                 ,                      ,                     ,                                ,R                             ,R                        ,                 ,                     ,                               ,                      ,C                        ,                        ,                          ,                     ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,M9b               ,              ,101, 626,C, 14,H, 2,  25.00,    123.4500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,r                     ,R                          ,R                  ,                                 ,F                        ,F                      ,R                                ,F                       ,F                           ,F                            ,                         ,R                      ,R                   ,R                        ,r                          ,                            ,                          ,                        ,                        ,                     ,                  ,R                       ,                                      ,                       ,                        ,                        ,                             ,                             ,F                ,                 ,                      ,                     ,T                               ,R                             ,R                        ,                 ,                     ,                               ,                      ,F                        ,                        ,F                         ,                     ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,M9a               ,              ,101, 626,C, 14,H, 2, 110.00,    124.3000,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,                           ,P                  ,                                 ,P                        ,                       ,                                 ,P                       ,                            ,                             ,                         ,                       ,                    ,                         ,                           ,                            ,                          ,                        ,                        ,                     ,                  ,                        ,                                      ,                       ,                        ,                        ,                             ,                             ,P                ,                 ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,P                        ,                        ,                          ,                     ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,M9a               ,              ,101, 626,C, 14,H, 2, 133.00,    124.5300,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,                           ,P                  ,                                 ,P                        ,                       ,                                 ,P                       ,                            ,P                            ,                         ,                       ,                    ,                         ,                           ,                            ,                          ,                        ,                        ,                     ,                  ,                        ,                                      ,                       ,                        ,                        ,                             ,                             ,P                ,                 ,                      ,                     ,                                ,                              ,                         ,                 ,                     ,                               ,                      ,P                        ,                        ,                          ,                     ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,M9a               ,              ,101, 626,C, 14,H, 3,  25.00,    124.9500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                      ,R                          ,F                  ,                                 ,R                        ,                       ,F                                ,                        ,F                           ,F                            ,F                        ,R                      ,                    ,                         ,                           ,R                           ,                          ,                        ,                        ,                     ,                  ,R                       ,R                                     ,                       ,                        ,                        ,                             ,                             ,F                ,                 ,                      ,                     ,                                ,                              ,F                        ,                 ,                     ,R                              ,                      ,                         ,                        ,                          ,                     ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,M9a               ,              ,101, 626,C, 14,H, 5,  25.00,    127.9500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                      ,R                          ,F                  ,T                                ,F                        ,R                      ,F                                ,                        ,C                           ,                             ,C                        ,                       ,R                   ,                         ,                           ,R                           ,                          ,R                       ,                        ,                     ,                  ,                        ,F                                     ,R                      ,                        ,                        ,                             ,R                            ,F                ,R                ,                      ,                     ,                                ,                              ,R                        ,                 ,                     ,R                              ,                      ,                         ,R                       ,                          ,                     ,                    ,                                 ,                         ,                            ,                         ,                     ,                        ,                     ,                                  ,                    ,                            ,                          ,                           ,               ,                         ,                   ,                             ,                      ,                                  ,                   ,                            ,                          ,                   ,                       ,                  ,                     ,                                      ,                                  ,                    ,                     ,from Melillo; ODP 101 Sr Ch 1 Fig 3 p 6-9
