Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra bisecta,Coccolithus sp.,Sphenolithus heteromorphus,Helicosphaera intermedia,Coccolithus pelagicus,Sphenolithus moriformis,Helicosphaera kamptneri,Cyclococcolithus leptoporus,Cyclicargolithus floridanus,Reticulofenestra sp.,Discoaster variabilis,Cyclococcolithus macintyrei,Discoaster exilis,Scyphosphaera apsteinii,Discoaster quinqueramus,Discoaster brouweri,Discoaster berggrenii,Syracosphaera pulchra,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster asymmetricus,Umbilicosphaera sibogae,Umbellosphaera irregularis,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Neosphaera coccolithomorpha,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Discolithina caponica,Thoracosphaera sp.,Emiliania huxleyi,Hayaster perplexus,Comment
  SR,                 ,                 ,                  ,              ,101, 626,C,  9,X, 1,  40.00,            ,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,                          ,                        ,                     ,                       ,                       ,                           ,                           ,                    ,                     ,                           ,                 ,                       ,                       ,                   ,                     ,                     ,R                 ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NN11              ,              ,101, 626,C,  9,X,CC,  29.00,     74.0700,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,               ,                          ,                        ,R                    ,                       ,R                      ,R                          ,                           ,                    ,R                    ,R                          ,                 ,                       ,R                      ,R                  ,R                    ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN6               ,NN11          ,101, 626,C, 13,H, 1,  28.00,    112.3800,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,                          ,                        ,                     ,                       ,R                      ,                           ,                           ,                    ,R                    ,R                          ,                 ,R                      ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN6               ,NN11          ,101, 626,C, 13,H, 4,  28.00,    116.8800,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,R              ,                          ,                        ,R                    ,                       ,R                      ,                           ,                           ,                    ,R                    ,                           ,R                ,R                      ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NN6               ,NN11          ,101, 626,C, 13,H,CC,   4.00,    117.2000,Watkins  ,Nannofossils                                 ,               ,P                 ,                        ,               ,                          ,                        ,R                    ,                       ,R                      ,                           ,                           ,                    ,R                    ,                           ,R                ,                       ,                       ,                   ,                     ,                     ,                  ,                               ,                  ,                   ,                        ,                       ,                       ,                          ,                     ,                       ,                        ,                           ,                     ,                         ,                    ,                     ,                  ,                 ,                  ,from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
