Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. (small),Helicosphaera sellii,Dictyococcites spp. (small),Coccolithus streckerii,Coccolithus pelagicus,Calcidiscus leptoporus,Discolithina sp.,Calcidiscus macintyrei,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Comment
  SR,Quaternary       ,                 ,                  ,              ,151, 910,C,  7,R, 1,  10.00,     54.6000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,                     ,                      ,                ,                      ,                        ,+                        ,+                    ,+                        ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 11,R, 1,  17.00,     93.2700,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,+                    ,                      ,                ,                      ,                        ,+                        ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 12,R, 1,  83.00,    103.6300,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                    ,                           ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 15,R,CC,  24.00,    133.5700,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                    ,                           ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 20,R,CC,  14.00,    187.7900,Sato     ,Nannofossils                                 ,               ,                  ,                             ,                    ,                           ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 25,R,CC,   7.00,    236.4900,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,                     ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 27,R,CC,  20.00,    254.9000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                   ,+                          ,                      ,+                    ,+                     ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 29,R,CC,  14.00,    272.9100,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,                      ,+               ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 30,R, 1,  21.00,    276.4100,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 32,R,CC,  13.00,    304.8000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 34,R,CC,   8.00,    324.2200,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,                     ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 37,R,CC,   7.00,    353.5300,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                   ,+                          ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 38,R,CC,  14.00,    362.2000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                   ,+                          ,                      ,+                    ,+                     ,                ,                      ,+                       ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 39,R,CC,   9.00,    368.8400,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 41,R,CC,  14.00,    391.7000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,+                     ,+                    ,                      ,                ,                      ,+                       ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 42,R,CC,   9.00,    400.3200,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 43,R,CC,  15.00,    409.8900,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 45,R,CC,  19.00,    429.2600,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,+                     ,+                    ,+                     ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 46,R,CC,  15.00,    436.9600,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 47,R,CC,  12.00,    449.2300,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,+                    ,+                     ,                ,+                     ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 48,R,CC,   8.00,    458.0500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,+                    ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 49,R,CC,   9.00,    468.4600,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                   ,+                          ,                      ,+                    ,+                     ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 50,R,CC,  13.00,    478.5300,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,                           ,                      ,+                    ,+                     ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 51,R,CC,   0.00,    484.6900,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,                     ,                      ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 52,R,CC,   8.00,    497.7000,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,                    ,+                          ,                      ,+                    ,+                     ,+               ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,151, 910,C, 53,R,CC,   9.00,    504.6400,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                   ,+                          ,+                     ,+                    ,+                     ,                ,                      ,                        ,                         ,                     ,                         ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
