Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trilete spores (unspecified taxon or taxa),Sciadopitys taxa,Pinus taxa,Picea taxa,Monolete spores taxa,Lycopodium  complanatum,Larix taxa,Ericaceae taxa,Cyperaceae taxa,Crumpled pollen  taxa ,Cicatricosisporites taxa,Betula taxa,Alnus taxa,Abies taxa,Corylus taxa,Cicatricosisporites australiensis,Aquilapollenites scabridus,Cupressaceae taxa,Sphagnum taxa,Poaceae taxa,Liguliflorae taxa,Gleicheniidites taxa,Corollina (Classopollis) taxa,Castanea taxa,Carya taxa,Tsuga taxa,Salix taxa,Sagittaria taxa,Ranunculaceae taxa,Appendicisporites  potomacensis,Cicatricosisporites cf. subrotundus,Aquilapollenites taxa,Ostrya/Carpinus taxa,Ulmus taxa,Pterocarya taxa,Asteraceae taxa,Comment
  SR,                 ,                 ,                  ,              ,151, 910,C, 32,R, 6,  55.00,    302.5100,Willard  ,Pollen/Spores                                ,               ,                  ,9                                         ,1               ,67        ,19        ,1                   ,2                      ,1         ,3             ,6              ,12                    ,r                       ,14         ,5         ,4         ,5           ,                                 ,                          ,1                ,             ,5           ,                 ,                    ,                             ,             ,          ,          ,          ,               ,                  ,r                              ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 88; Total spores = 12; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 37,R, 1,  55.00,    344.3500,Willard  ,Pollen/Spores                                ,               ,                  ,13                                        ,1               ,42        ,7         ,1                   ,2                      ,          ,4             ,               ,                      ,r                       ,29         ,5         ,          ,6           ,r                                ,                          ,1                ,1            ,4           ,                 ,                    ,                             ,             ,          ,1         ,1         ,1              ,1                 ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 75; Total spores = 17; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 41,R, 2,  57.00,    383.9700,Willard  ,Pollen/Spores                                ,               ,                  ,25                                        ,                ,192       ,47        ,9                   ,7                      ,2         ,16            ,1              ,17                    ,r                       ,10         ,7         ,5         ,15          ,r                                ,                          ,                 ,3            ,3           ,1                ,r                   ,r                            ,1            ,1         ,          ,          ,               ,                  ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen =301; Total spores =44; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 45,R, 2,  55.00,    422.5500,Willard  ,Pollen/Spores                                ,               ,                  ,14                                        ,                ,6         ,4         ,                    ,2                      ,          ,              ,1              ,9                     ,                        ,1          ,1         ,          ,2           ,                                 ,                          ,1                ,             ,            ,                 ,                    ,                             ,             ,          ,          ,          ,               ,                  ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 16; Total spores = 16; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 49,R, 3,  52.00,    462.5200,Willard  ,Pollen/Spores                                ,               ,                  ,2                                         ,                ,2         ,1         ,1                   ,1                      ,          ,1             ,               ,1                     ,r                       ,6          ,          ,          ,1           ,r                                ,r                         ,                 ,             ,            ,                 ,                    ,                             ,             ,          ,          ,          ,               ,                  ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 11; Total spores = 4; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,C, 51,R, 3,  55.00,    481.9500,Willard  ,Pollen/Spores                                ,               ,                  ,4                                         ,1               ,119       ,33        ,3                   ,1                      ,2         ,2             ,4              ,8                     ,r                       ,2          ,1         ,1         ,            ,                                 ,                          ,                 ,             ,            ,                 ,                    ,                             ,             ,          ,          ,          ,               ,                  ,                               ,                                   ,                     ,                    ,          ,               ,               ,Total pollen = 165; Total spores = 8; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
