Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vaginulina paucistriata	Stensioeina sp. 1	Spiroplectammina grzybowskii	Saccammina sp.	Praebulimina sp.	Osangularia sp.	Osangularia cordieriana	Notoplanulina aff. compressa	Marssonella oxycona	Marginulina sp. 1	Lenticulina macrodisca	Haplophragmoides/Trochammina (undifferentiated)	Gyroidinoides goudkoffi	Gyroidinoides globosa	Globorotalites spineus	Gavelinella sandidgei	Gaudryina sp.	Frondicularia archiaciana	Dorothia conicula	?Saccammina sp. 1	Vaginulina aff. wadei	Praebulimina carseyae	Pleurostomella subnodosa	Marginulina sp.	Lenticulina sp.	Bolivina sp.	Stilostomella sp.	Spiroplectammina sp.	Gyroidinoides bandyi	Globulina lacrima	Dentalina sp.	Dentalina legumen	Quadrimorphina allomorphinoides	Pullenia americana	Gyroidinoides quadratus	Gavelinella sp. 1	Gavelinella eriksdalensis	Foraminifer (gen. et sp. Indet)	Dorothia confraga	Anomalinoides sp.	Osangularia texana	Nuttallinella coronula	Nodosaria cf. proboscidea	Gyroidinoides exsertus	Gyroidinoides diversus	Gyroidinoides aff. haidingerii	Gavelinella aff. trujilloi	Ellipsoglandulina sp.	Ellipsocristellaria sp.	Dentalina inornata	Alabamina australis	Agglutinated sp.	Pleurostomella binaria	Gyroidinoides sp. 1	Gyroidinoides sp.	Gyroidinoides nitidus	Gyroidinoides cf. nonionoides	Ellipsopolymorphina sp.	Dentalina aff. legumen	Valvulineria lenticula	Spiroplectammina paula	Osangularia velascoensis	Marginulina inconstantia	Lenticulina sp. 1	Gyroidina noda	Ellipsoglandulina velascoensis	Aragonia sp. 2	Valvulineria sp.	Globorotalites umbilicatus	Planularia dissona	Bolivinopsis rosula	Praebulimina reussi	Notoplanulina rakauroana	Lingulina sp 1	Globorotalites sp.	Charltonina ripleyensis	Praebulimina cf. prolixa	Praebulimina aff. cushmani	Nodosaria prismatica	Lenticulina navicula	Saracenaria sp.	Pullenia cretacea	Dentalina sp. 2	Ceratobulimina sp.	Bolivinoides granulatus	Allomorphina sp.	Nodosaria sp.	Nodosaria septemcostata	Lagena acuticosta	Guttulina subsphaerica	Frondicularia sp.	Comment

  SR	                 	                 	                  	              	120	 750	B	  4	W	 1	 148.00	    461.0800	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	+                   	                    	                 	             	                 	                               	                  	+                      	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	+                    	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	+                         	                  	                   	                   	                        	              	                  	                       	                        	D                         	+                   	+                   	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  4	W	 2	  25.00	    461.3500	Quilty   	Benthic Foraminifers                         	               	                  	                       	D                	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	+              	            	                 	                    	                    	                 	             	                 	+                              	                  	                       	                 	                         	                               	                 	+                	                  	                      	                         	                      	                      	                              	                          	                     	                       	+                 	                   	+               	                      	                   	                 	+                    	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	+                         	                  	+                  	+                  	                        	              	                  	                       	+                       	+                         	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  6	W	 1	   0.00	    488.5000	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	+                   	                    	                 	             	                 	                               	                  	                       	+                	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	+                       	                        	                 	              	                              	              	                	+                         	                  	                   	+                  	+                       	+             	+                 	+                      	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  6	W	 2	  57.00	    490.5700	Quilty   	Benthic Foraminifers                         	               	                  	                       	D                	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	+                  	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  7	W	 1	   0.00	    507.9000	Quilty   	Benthic Foraminifers                         	               	                  	                       	+                	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	+                 	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  7	W	 1	  32.00	    508.2200	Quilty   	Benthic Foraminifers                         	               	                  	                       	+                	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	+           	                 	                    	                    	                 	+            	                 	                               	                  	                       	                 	                         	                               	                 	                 	+                 	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	+             	                              	              	+               	+                         	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  8	W	 1	 116.00	    528.4600	Quilty   	Benthic Foraminifers                         	               	                  	                       	+                	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	                 	                 	                     	+                    	                        	               	+              	            	                 	                    	                    	                 	             	                 	                               	                  	+                      	                 	                         	                               	                 	+                	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	+                    	                             	                       	                      	                      	                      	+                       	                        	                 	              	                              	              	+               	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  8	W	 2	   4.00	    528.8400	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	                       	                            	                   	                 	+                     	                                               	                       	                     	                      	                     	             	                         	+                	                 	                     	+                    	                        	               	               	            	                 	                    	                    	                 	+            	                 	+                              	                  	                       	                 	                         	                               	+                	+                	+                 	                      	                         	+                     	                      	                              	                          	                     	                       	                  	                   	+               	                      	                   	                 	                     	                             	                       	                      	+                     	+                     	+                       	+                       	+                	+             	+                             	+             	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  8	W	 2	  10.00	    528.9000	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	                       	                            	                   	                 	                      	                                               	                       	                     	                      	                     	             	                         	+                	                 	                     	+                    	+                       	+              	               	            	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	D                        	                               	                 	                 	+                 	                      	                         	                      	+                     	                              	                          	                     	                       	                  	+                  	                	                      	                   	                 	+                    	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  9	W	 1	  44.00	    547.1400	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	               	                       	                            	                   	                 	                      	                                               	+                      	                     	                      	                     	             	                         	                 	                 	                     	                     	                        	               	               	            	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	                         	                               	                 	                 	                  	                      	                         	+                     	                      	+                             	                          	                     	                       	                  	                   	                	                      	+                  	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  9	W	 1	 128.00	    547.9800	Quilty   	Benthic Foraminifers                         	               	                  	                       	+                	                            	              	                	               	+                      	                            	                   	                 	+                     	                                               	+                      	                     	                      	                     	             	                         	+                	                 	                     	                     	                        	               	+              	            	                 	                    	                    	                 	+            	                 	                               	                  	+                      	                 	                         	                               	                 	+                	D                 	                      	                         	+                     	                      	+                             	                          	                     	                       	                  	                   	                	+                     	+                  	D                	+                    	+                            	+                      	+                     	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	  9	W	 2	  37.00	    548.5700	Quilty   	Benthic Foraminifers                         	               	                  	                       	+                	+                           	              	                	               	+                      	                            	+                  	                 	                      	                                               	D                      	                     	                      	                     	             	                         	                 	                 	                     	                     	+                       	+              	+              	            	                 	                    	                    	                 	+            	                 	                               	                  	                       	                 	                         	                               	                 	                 	+                 	+                     	+                        	+                     	+                     	+                             	+                         	+                    	+                      	+                 	+                  	+               	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	 10	W	 1	  60.00	    566.6000	Quilty   	Benthic Foraminifers                         	               	                  	                       	+                	                            	              	                	               	                       	+                           	                   	                 	+                     	                                               	                       	+                    	                      	                     	             	                         	+                	                 	                     	                     	+                       	               	               	            	                 	                    	                    	                 	+            	                 	+                              	+                 	+                      	+                	D                        	+                              	+                	+                	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	 11	W	 2	  75.00	    596.8500	Quilty   	Benthic Foraminifers                         	               	                  	+                      	D                	                            	              	                	               	                       	+                           	+                  	+                	                      	                                               	+                      	+                    	+                     	+                    	+            	                         	                 	                 	                     	+                    	+                       	               	+              	            	+                	+                   	+                   	+                	+            	+                	                               	                  	                       	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	 11	W	 2	 128.00	    597.3800	Quilty   	Benthic Foraminifers                         	               	                  	                       	D                	+                           	              	                	+              	                       	                            	+                  	                 	+                     	+                                              	+                      	+                    	+                     	+                    	             	                         	                 	+                	+                    	+                    	+                       	+              	+              	+           	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	 11	W	 2	 136.00	    597.4600	Quilty   	Benthic Foraminifers                         	               	                  	                       	                 	                            	              	                	+              	                       	+                           	                   	+                	                      	                                               	                       	                     	                      	                     	+            	+                        	+                	                 	                     	                     	                        	               	               	            	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

  SR	                 	                 	                  	              	120	 750	B	 11	W	 2	 136.00	    597.4600	Quilty   	Benthic Foraminifers                         	               	                  	+                      	D                	+                           	+             	+               	+              	+                      	                            	+                  	+                	+                     	+                                              	+                      	+                    	+                     	+                    	             	                         	                 	+                	                     	                     	                        	               	               	            	                 	                    	                    	                 	             	                 	                               	                  	                       	                 	                         	                               	                 	                 	                  	                      	                         	                      	                      	                              	                          	                     	                       	                  	                   	                	                      	                   	                 	                     	                             	                       	                      	                      	                      	                        	                        	                 	              	                              	              	                	                          	                  	                   	                   	                        	              	                  	                       	                        	                          	                    	                    	               	                 	               	                  	                       	                	             	                       	                 	                      	                 	from ODP Leg 120 SR vol 1 Chapter 23 Table 4 p 408-412

