Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylatractus universus,Stylacontarium acquilonium,Sphaeropyle robusta,Phormostichoartus crustula,Lamprocyrtis heteroporos,Lamprocyrtis daniellae,Eucyrtidium teuscheri group,Eucyrtidium infundibulum,Clathrocyclas bicornis,Botryostrobus praetumidulus,Actinomma popofskii,Stichocorys peregrina,Pseudocubus warreni,Lamprocyclas hadros,Gondwanaria dogieli,Eucyrtidium erythromystax,Eucyrtidium calvertense,Eucyrtidium acuminatum,Anthocyrtidium pliocenica,Stylodictya validispina,Pterocanium korotnevi,Circodiscus ellipticus,Phormostichoartus multiseriatus,Lychnocanoma nipponica sakaii,Cycladophora craspedota,Dictyophimus crisiae,Rhizosphaera antarctica,Lithostrobus hexagonalis,Botryostrobus aquilonaris,Spongotrochus glacialis,Ceratospyris hyperborea,Rhopalastrum profunda group,Pterocanium auritum,Lamprocyclas junonis,Cycladophora davisiana davisiana,Lamprocyrtis neoheteroporos,Sphaeropyle langii,Siphostichartus scalaris,Eucyrtidium matuyamai,Lipmanella virchowii,Actinomma delicatulum,Pterocorys clausus,Botryostrobus tumidulus,Stylochlamidium  venustum,Anthocyrtidium nosicaae,Plectacantha cremastoplegma,Cycladophora bicincta,Lamprocyrtis nigriniae,Amphimelissa setosa,Acrosphaera murrayana,Pterocorys zancleus,Dictyophimus infabricatus,Pterocorys minythorax,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1018,A,  5,H,CC,  28.00,     43.6100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,R                         ,                   ,                          ,                        ,                      ,R                          ,                        ,                      ,                           ,C                  ,                     ,T                  ,                   ,T                  ,                         ,                       ,                      ,                         ,C                      ,A                    ,                      ,                               ,C                            ,R                      ,C                   ,R                      ,                        ,R                        ,F                      ,A                      ,R                          ,                   ,                    ,A                               ,                           ,C                 ,R                       ,                     ,                    ,R                    ,C                 ,                       ,R                        ,                       ,                           ,A                    ,C                     ,R                  ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,B. aquilonaris    ,              ,167,1018,A,  6,H,CC,  36.00,     52.8100,Caulet   ,Radiolarians                                 ,F              ,M                 ,                      ,                          ,                   ,                          ,                        ,                      ,                           ,                        ,                      ,                           ,R                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,                       ,                     ,                      ,                               ,R                            ,                       ,R                   ,                       ,                        ,F                        ,                       ,                       ,                           ,                   ,                    ,F                               ,                           ,                  ,                        ,                     ,                    ,R                    ,                  ,F                      ,                         ,                       ,                           ,R                    ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A,  7,H,CC,  24.00,     61.8100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,C                         ,                   ,F                         ,                        ,                      ,                           ,T                       ,                      ,                           ,A                  ,                     ,                   ,                   ,                   ,                         ,C                      ,                      ,                         ,C                      ,A                    ,                      ,                               ,F                            ,                       ,C                   ,R                      ,R                       ,C                        ,F                      ,                       ,                           ,R                  ,R                   ,A                               ,                           ,F                 ,                        ,                     ,T                   ,                     ,A                 ,C                      ,                         ,                       ,                           ,A                    ,A                     ,                   ,T                    ,                   ,T                        ,T                    ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A,  8,H,CC,  40.00,     71.8100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                          ,                   ,R                         ,                        ,                      ,R                          ,                        ,                      ,                           ,                   ,                     ,R                  ,                   ,T                  ,                         ,                       ,                      ,                         ,F                      ,C                    ,                      ,R                              ,A                            ,                       ,F                   ,                       ,                        ,                         ,                       ,C                      ,                           ,F                  ,                    ,A                               ,                           ,A                 ,                        ,                     ,F                   ,R                    ,R                 ,R                      ,F                        ,                       ,                           ,A                    ,A                     ,T                  ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A,  9,H,CC,  23.00,     81.4300,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                     ,R                         ,                   ,                          ,                        ,                      ,                           ,T                       ,                      ,                           ,R                  ,                     ,T                  ,                   ,                   ,                         ,                       ,                      ,                         ,                       ,C                    ,                      ,                               ,                             ,                       ,R                   ,                       ,                        ,R                        ,                       ,                       ,T                          ,                   ,                    ,A                               ,                           ,C                 ,R                       ,                     ,T                   ,                     ,F                 ,                       ,T                        ,                       ,                           ,C                    ,A                     ,                   ,T                    ,T                  ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A, 10,H,CC,  44.00,     91.1500,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                     ,R                         ,                   ,                          ,                        ,                      ,T                          ,T                       ,                      ,                           ,                   ,                     ,                   ,                   ,T                  ,                         ,R                      ,                      ,                         ,F                      ,                     ,                      ,                               ,F                            ,R                      ,C                   ,R                      ,                        ,F                        ,                       ,                       ,R                          ,                   ,R                   ,A                               ,                           ,R                 ,                        ,                     ,                    ,                     ,A                 ,F                      ,                         ,                       ,T                          ,A                    ,A                     ,                   ,                     ,R                  ,T                        ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A, 11,X,CC,  11.00,     99.2100,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                     ,A                         ,                   ,                          ,                        ,                      ,R                          ,                        ,                      ,                           ,R                  ,                     ,                   ,                   ,                   ,                         ,T                      ,                      ,                         ,R                      ,R                    ,                      ,T                              ,                             ,R                      ,F                   ,F                      ,R                       ,C                        ,                       ,                       ,F                          ,F                  ,R                   ,A                               ,R                          ,A                 ,                        ,                     ,                    ,                     ,A                 ,F                      ,                         ,                       ,                           ,A                    ,A                     ,                   ,T                    ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A, 12,X,CC,  11.00,    106.2100,Caulet   ,Radiolarians                                 ,F              ,M                 ,R                     ,                          ,                   ,                          ,                        ,                      ,                           ,                        ,                      ,                           ,                   ,                     ,                   ,                   ,R                  ,                         ,                       ,                      ,                         ,                       ,                     ,                      ,                               ,                             ,                       ,R                   ,                       ,                        ,R                        ,R                      ,R                      ,                           ,                   ,                    ,R                               ,                           ,R                 ,                        ,                     ,                    ,                     ,R                 ,                       ,                         ,                       ,                           ,R                    ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A, 13,X,CC,  26.00,    117.9000,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                     ,C                         ,                   ,                          ,                        ,                      ,R                          ,                        ,                      ,                           ,C                  ,                     ,                   ,                   ,R                  ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,R                              ,C                            ,                       ,F                   ,R                      ,                        ,A                        ,C                      ,C                      ,                           ,                   ,                    ,A                               ,C                          ,C                 ,R                       ,                     ,R                   ,                     ,F                 ,                       ,                         ,                       ,                           ,A                    ,A                     ,R                  ,R                    ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A, 14,X,CC,  12.00,    127.7500,Caulet   ,Radiolarians                                 ,F              ,M                 ,T                     ,F                         ,                   ,                          ,                        ,                      ,                           ,                        ,                      ,                           ,A                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,                               ,                             ,                       ,F                   ,R                      ,                        ,A                        ,R                      ,                       ,R                          ,                   ,                    ,C                               ,                           ,F                 ,                        ,                     ,                    ,                     ,R                 ,                       ,                         ,                       ,                           ,A                    ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A, 15,X,CC,  17.00,    137.6400,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                     ,                          ,                   ,                          ,                        ,                      ,R                          ,                        ,R                     ,                           ,C                  ,                     ,                   ,                   ,R                  ,                         ,                       ,                      ,                         ,                       ,F                    ,                      ,                               ,R                            ,R                      ,F                   ,F                      ,                        ,C                        ,R                      ,R                      ,R                          ,                   ,F                   ,A                               ,R                          ,                  ,                        ,                     ,R                   ,                     ,C                 ,C                      ,                         ,                       ,                           ,A                    ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,167,1018,A, 16,X,CC,  14.00,    142.2800,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                          ,                   ,                          ,                        ,                      ,R                          ,                        ,A                     ,                           ,C                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,                       ,                     ,                      ,                               ,                             ,                       ,C                   ,                       ,                        ,F                        ,R                      ,R                      ,                           ,T                  ,                    ,A                               ,R                          ,R                 ,T                       ,                     ,                    ,                     ,R                 ,F                      ,                         ,                       ,                           ,R                    ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 17,X,CC,  31.00,    157.0700,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                     ,                          ,                   ,                          ,                        ,                      ,R                          ,                        ,F                     ,                           ,C                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,R                    ,                      ,                               ,R                            ,                       ,F                   ,                       ,                        ,F                        ,R                      ,R                      ,                           ,                   ,                    ,A                               ,C                          ,R                 ,                        ,R                    ,                    ,                     ,                  ,A                      ,                         ,                       ,                           ,F                    ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 18,X,CC,  33.00,    166.8100,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                     ,R                         ,                   ,                          ,                        ,                      ,                           ,                        ,C                     ,R                          ,                   ,                     ,                   ,                   ,T                  ,                         ,                       ,                      ,                         ,                       ,F                    ,                      ,                               ,R                            ,T                      ,R                   ,                       ,                        ,R                        ,T                      ,                       ,                           ,                   ,R                   ,A                               ,A                          ,R                 ,R                       ,R                    ,R                   ,                     ,F                 ,                       ,                         ,T                      ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 19,X,CC,  40.00,    176.3000,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                     ,R                         ,                   ,                          ,                        ,                      ,R                          ,                        ,A                     ,                           ,F                  ,                     ,                   ,                   ,T                  ,                         ,                       ,                      ,                         ,                       ,                     ,                      ,                               ,                             ,                       ,                    ,                       ,                        ,F                        ,R                      ,A                      ,                           ,R                  ,F                   ,A                               ,                           ,R                 ,R                       ,R                    ,                    ,                     ,                  ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 20,X,CC,  31.00,    185.9600,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                     ,                          ,                   ,                          ,                        ,                      ,                           ,                        ,A                     ,                           ,                   ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,                               ,R                            ,T                      ,                    ,                       ,                        ,                         ,                       ,C                      ,                           ,R                  ,                    ,A                               ,A                          ,R                 ,R                       ,R                    ,                    ,                     ,R                 ,                       ,                         ,                       ,T                          ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 21,X,CC,  31.00,    195.4800,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                     ,R                         ,                   ,                          ,R                       ,                      ,T                          ,                        ,A                     ,                           ,F                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,                               ,                             ,                       ,                    ,                       ,                        ,                         ,R                      ,C                      ,                           ,R                  ,R                   ,A                               ,R                          ,                  ,                        ,R                    ,                    ,                     ,                  ,T                      ,R                        ,R                      ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 22,X,CC,  25.00,    205.0200,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                     ,                          ,R                  ,                          ,C                       ,                      ,                           ,                        ,A                     ,C                          ,A                  ,                     ,                   ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,R                              ,                             ,                       ,                    ,                       ,                        ,                         ,R                      ,C                      ,                           ,R                  ,                    ,A                               ,R                          ,R                 ,                        ,R                    ,R                   ,                     ,                  ,R                      ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 23,X,CC,  11.00,    214.4800,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                     ,R                         ,                   ,                          ,A                       ,                      ,                           ,                        ,A                     ,C                          ,                   ,                     ,R                  ,                   ,T                  ,                         ,                       ,                      ,                         ,F                      ,R                    ,R                     ,                               ,                             ,                       ,R                   ,R                      ,                        ,F                        ,R                      ,F                      ,R                          ,                   ,                    ,A                               ,C                          ,R                 ,R                       ,F                    ,R                   ,                     ,                  ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 24,X,CC,  28.00,    224.2800,Caulet   ,Radiolarians                                 ,C              ,G                 ,R                     ,F                         ,                   ,                          ,C                       ,                      ,                           ,                        ,C                     ,                           ,R                  ,                     ,R                  ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,                               ,R                            ,                       ,F                   ,                       ,                        ,                         ,R                      ,C                      ,                           ,                   ,                    ,A                               ,F                          ,                  ,                        ,R                    ,R                   ,                     ,R                 ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 25,X,CC,  29.00,    233.9300,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                     ,R                         ,                   ,                          ,A                       ,                      ,                           ,                        ,A                     ,A                          ,A                  ,                     ,C                  ,T                  ,T                  ,                         ,R                      ,                      ,                         ,                       ,R                    ,                      ,                               ,R                            ,                       ,R                   ,                       ,                        ,A                        ,                       ,                       ,R                          ,R                  ,                    ,A                               ,                           ,C                 ,R                       ,R                    ,                    ,                     ,R                 ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 26,X,CC,  35.00,    243.6600,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                     ,                          ,                   ,T                         ,C                       ,                      ,                           ,                        ,A                     ,A                          ,C                  ,                     ,R                  ,                   ,                   ,                         ,R                      ,T                     ,                         ,R                      ,R                    ,                      ,                               ,                             ,                       ,                    ,                       ,                        ,                         ,                       ,A                      ,                           ,                   ,                    ,A                               ,C                          ,R                 ,                        ,R                    ,R                   ,                     ,                  ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 27,X,CC,  32.00,    253.2900,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                     ,F                         ,                   ,                          ,A                       ,                      ,R                          ,                        ,                      ,A                          ,A                  ,                     ,                   ,                   ,R                  ,R                        ,                       ,                      ,                         ,T                      ,                     ,                      ,T                              ,R                            ,                       ,                    ,                       ,                        ,                         ,                       ,                       ,R                          ,C                  ,F                   ,A                               ,F                          ,R                 ,                        ,R                    ,R                   ,R                    ,                  ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Quaternary       ,E. matuyamai (N Pac),              ,167,1018,A, 28,X,CC,  20.00,    262.7000,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                     ,F                         ,                   ,                          ,A                       ,                      ,R                          ,                        ,A                     ,A                          ,R                  ,                     ,R                  ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,                               ,                             ,                       ,R                   ,                       ,                        ,                         ,                       ,F                      ,R                          ,T                  ,                    ,A                               ,R                          ,R                 ,                        ,R                    ,                    ,                     ,                  ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1018,A, 29,X,CC,  32.00,    272.2800,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                     ,                          ,                   ,                          ,A                       ,                      ,                           ,                        ,A                     ,C                          ,C                  ,                     ,R                  ,                   ,                   ,T                        ,                       ,                      ,                         ,                       ,                     ,                      ,R                              ,R                            ,R                      ,R                   ,                       ,                        ,C                        ,                       ,R                      ,                           ,R                  ,                    ,A                               ,C                          ,R                 ,                        ,                     ,                    ,                     ,                  ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. langii (N Pac) ,              ,167,1018,A, 30,X,CC,  30.00,    281.9500,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,                          ,                   ,                          ,A                       ,                      ,                           ,T                       ,A                     ,                           ,                   ,                     ,R                  ,                   ,                   ,                         ,                       ,                      ,                         ,R                      ,                     ,                      ,T                              ,                             ,                       ,                    ,                       ,                        ,                         ,                       ,                       ,R                          ,                   ,                    ,A                               ,F                          ,R                 ,T                       ,                     ,                    ,                     ,                  ,                       ,                         ,                       ,                           ,                     ,                      ,                   ,                     ,                   ,                         ,                     ,from IR. Ch 12. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
