Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Haplophragmoides sp.	Cyclammina spp.	Bathysiphon sp. 	Trochammina sp.	Spiroplectammina spectabilis	Ammodiscus sp.	Cyclammina amplectans	Cribrostomoides sp.	Tubes (unspecified)	Trochammina spp.	Haplophragmoides spp.	Spirolocammina sp.	Rhabdammina spp.	Recurvoides sp.	Spirosigmoilinella sp.	Melonis zaandamae	Epistominella exigua	Cibicidoides grimsdalei	Anomalinoides alazanensis	Spirosigmoilinella spp.	Cibicides spp.	Cassidulina subglobosa	Cassidulina laevigata	Oridorsalis umbonatus	Eponides umbonatus	Cibicides wuellerstorfi	Stainforthia loeblichi	Cassidulina reniforme	Pyrgo murrhina	Comment
  SR	                 	                 	A1                	              	104	 643	A	  2	H	 3	  76.00	      9.0600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	+                    	+                    	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  2	H	 5	  76.00	     12.0600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	+                      	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  2	H	 6	  76.00	     13.5600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	+                	                    	                       	                         	                       	              	                      	                     	+                    	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  2	H	CC	  10.00	     14.9900	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	+                      	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  3	H	 2	  74.00	     17.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	1.5%          	63.4%                 	1.5%                 	                     	                  	21.1%                  	                      	                     	              	Other taxa = 14%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  3	H	 3	  74.00	     18.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	1.0%                 	                  	                       	                      	                     	              	Other taxa = 99%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  3	H	 5	  74.00	     21.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	+                      	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  3	H	 6	  74.00	     23.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	+             	                      	                     	                     	                  	+                      	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  3	H	 7	  34.00	     24.1400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	27.0%                  	                      	                     	              	Other taxa = 73%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A1                	              	104	 643	A	  3	H	CC	   9.00	     24.5200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	+             	                      	+                    	                     	                  	+                      	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	A1                	              	104	 643	A	  3	H	CC	  17.00	     24.6000	Osterman 	Benthic Foraminifers                         	F              	G                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	47.0%               	                       	                         	                       	              	4.0%                  	                     	                     	                  	11.0%                  	26.0%                 	6.0%                 	              	Other benthic species = 12%; Benthic forams = 1%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	                  	              	104	 643	A	  4	H	 5	  73.00	     31.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	+                      	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	                  	              	104	 643	A	  6	H	 2	  75.00	     45.5500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	+                    	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A2                	              	104	 643	A	  7	H	 2	  74.00	     55.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	9.9%             	46.9%               	                       	                         	                       	2.7%          	1.3%                  	35.2%                	1.1%                 	                  	                       	                      	                     	              	Other taxa = 100%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A2                	              	104	 643	A	  7	H	 3	  74.00	     56.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	12.0%            	14.0%               	                       	                         	                       	1.3%          	                      	46.0%                	                     	                  	                       	                      	                     	              	Other taxa = 26.7%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A2                	              	104	 643	A	  7	H	 4	  74.00	     58.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	5.4%             	57.1%               	                       	                         	                       	7.0%          	.3%                   	15.8%                	1.1%                 	                  	                       	                      	                     	              	Other taxa = 10.5%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A2                	              	104	 643	A	  7	H	 5	  74.00	     59.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	5.0%             	55.0%               	                       	                         	                       	              	                      	23.0%                	8.0%                 	                  	                       	                      	                     	              	Other taxa = 9%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A2                	              	104	 643	A	  7	H	CC	   9.00	     60.7800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	+             	                      	+                    	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A2                	              	104	 643	A	  8	H	 1	  74.00	     63.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	+                	+                   	                       	                         	                       	              	                      	+                    	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	A2                	              	104	 643	A	  8	H	 3	  74.00	     66.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	+                   	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	  8	H	 6	  74.00	     70.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	  9	H	 1	  73.00	     72.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	3.1%                  	35.8%            	21.0%               	                       	                         	                       	17.9%         	6.8%                  	                     	1.2%                 	                  	                       	                      	                     	              	Other taxa = 15.6%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	  9	H	 3	  73.00	     75.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	  9	H	 4	  73.00	     77.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	  9	H	 5	  73.00	     78.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	+                	                    	                       	                         	                       	+             	+                     	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	  9	H	 6	  73.00	     80.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	+                     	+                	+                   	                       	                         	                       	+             	+                     	                     	+                    	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	  9	H	CC	  15.00	     81.4900	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	+                	                    	                       	                         	                       	+             	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	B                 	              	104	 643	A	  9	H	CC	  34.00	     81.6800	Osterman 	Benthic Foraminifers                         	R              	P                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	17.0%            	2.0%                	                       	                         	2.0%                   	7.0%          	23.0%                 	                     	                     	6.0%              	                       	                      	                     	              	Other benthic species = 43%; Benthic forams = 38%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	B                 	              	104	 643	A	 10	H	 1	  73.00	     82.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	+                	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 10	H	 2	  73.00	     83.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	+             	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 10	H	 3	  73.00	     85.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	.3%                   	23.0%            	10.0%               	                       	                         	                       	6.0%          	                      	.3%                  	                     	                  	                       	                      	                     	              	Other taxa = 60.4%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 10	H	 4	  73.00	     86.5300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	+                	+                   	                       	                         	                       	+             	+                     	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 10	H	 5	  73.00	     88.0300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	+                	+                   	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 10	H	CC	   1.00	     90.7300	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	.5%               	                	               	                      	29.0%            	9.0%                	                       	                         	                       	6.0%          	1.0%                  	                     	48.0%                	                  	                       	                      	                     	              	Other taxa = 6.5%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	B                 	              	104	 643	A	 10	H	CC	   7.00	     90.7900	Osterman 	Benthic Foraminifers                         	R              	G                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	39.0%            	                    	                       	                         	2.0%                   	4.0%          	                      	                     	                     	46.0%             	                       	                      	                     	              	Other benthic species = 9%; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	B                 	              	104	 643	A	 11	H	 1	  75.00	     91.5500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	+                	                    	                       	                         	                       	+             	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 11	H	 2	  78.00	     93.0800	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 11	H	 3	  75.00	     94.5500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	+                	                    	                       	                         	                       	              	                      	                     	+                    	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 11	H	 4	  76.00	     96.0600	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	B                 	              	104	 643	A	 11	H	 5	  75.00	     97.5500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	13.4%            	                    	                       	                         	                       	13.4%         	                      	.7%                  	55.2%                	                  	                       	                      	                     	              	Other taxa = 17.2%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C1                	              	104	 643	A	 11	H	 6	  75.00	     99.0500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	+                   	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C1                	              	104	 643	A	 11	H	 7	  31.00	    100.1100	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C1                	              	104	 643	A	 11	H	CC	  30.00	    100.5100	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	B                 	              	104	 643	A	 11	H	CC	  46.00	    100.6700	Osterman 	Benthic Foraminifers                         	R              	M                 	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	T                      	              	T                     	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 70%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	C1                	              	104	 643	A	 12	H	 1	  74.00	    101.0400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	C1                	              	104	 643	A	 12	H	 2	  74.00	    102.5400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762
