Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus stradneri	Distephanus speculum speculum	Distephanus speculum hemisphaericus &  boliviensis (hemisphaericoid)	Distephanus quinquangellus	Distephanus pseudofibula	Distephanus longispinus	Distephanus hannai	Distephanus crux scutulatus	Distephanus crux parvus & slavincii	Distephanus crux	Distephanus boliviensis (w/ 4 or more aw.)  	Distephanus boliviensis	Dictyocha fibula	Dictyocha brevispina	Dictyocha aspera	Corbisema triacantha	Corbisema apiculata	Caryocha depressa	Bachmannocena quadrangula	Bachmannocena hexalitha	Bachmannocena diodon nodosa	Bachmannocena apiculata apiculata	Naviculopsis quadrata	Naviculopsis ponticula ponticula	Naviculopsis navicula	Distephanus speculum (bolivienoid w/ 2 or more aw.)	Distephanus boliviensis (w/ 3aw.)      	Distephanus boliviensis (w/ 2aw.)        	Distephanus aff. pseudocrux	Dictyocha (pentagonal form)	Dictyocha (aberrant forms)	Bachmannocena apiculata evexa	Distephanus crux ssp. 3	Distephanus speculum quintus	Distephanus schulzii	Bachmannocena apiculata curvata	Dictyocha deflandrei	Dictyocha flexatella	Caryocha ernestinae	Bachmannocena triangula	Distephanus speculum bolivienoid (w/ very long major spines)	Distephanus crux ssp. 2	Dictyocha elongata	Bachmannocena cf. oamaruensis	Neonaviculopsis neonautica neonautica	Distephanus crux bispinosus f. mesophthalmus	Dictyocha sp. 1	Dictyocha subclinata	Bachmannocena diodon diodon	Distephanus crux ssp. 1	Dictyocha pentagona	Dictyocha longa	Dictyocha fibula augusta	Bachmannocena circulus apiculata	Distephanus boliviensis (w/ large aw.)      	Neonaviculopsis cf. neonautica	Bachmannocena dumitricae	Comment

  SR	Late Miocene     	                 	Ds. crux scutulatus	              	104	 643	A	 11	H	 2	  70.00	     93.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                     	                             	                                                                    	                          	                        	2                      	                  	15                         	                                   	10              	                                            	3                      	                	                    	                	                    	                   	                 	                         	                       	                           	                                 	                     	                                	                     	                                                   	                                       	1                                        	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	6                               	1                                           	                              	                        	Total whole specimens = 38; fragments = 53; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Late Miocene     	                 	B.c.apic/Cary(Cies)	              	104	 643	A	 12	H	 2	  70.00	    102.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	9                    	85                           	                                                                    	                          	                        	                       	10                	16                         	4                                  	69              	1                                           	11                     	3               	                    	2               	                    	                   	1                	                         	                       	                           	1                                	                     	                                	                     	                                                   	                                       	1                                        	1                          	                           	1                         	                             	                       	                            	                    	                               	                    	                    	10                 	                       	1                                                           	                       	                  	                             	                                     	3                                           	               	                    	                           	1                      	r4                 	1              	1                       	28                              	                                            	                              	                        	Total whole specimens = 264; fragments = 42; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Middle Miocene   	                 	C. ernestinae     	              	104	 643	A	 12	H	 5	  70.00	    107.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	33                   	7                            	                                                                    	1                         	                        	7                      	5                 	50                         	51                                 	54              	                                            	3                      	3               	2                   	1               	2                   	                   	22               	3                        	                       	10                         	1                                	                     	                                	                     	                                                   	                                       	                                         	                           	                           	1                         	                             	                       	                            	                    	                               	                    	                    	8                  	                       	                                                            	                       	                  	                             	                                     	                                            	               	2                   	8                          	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 274; fragments = 28; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Middle Miocene   	                 	D. sp. hemis(Cies)	              	104	 643	A	 13	H	 2	  69.00	    111.9900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	38                   	26                           	7                                                                   	1                         	1                       	2                      	1                 	82                         	61                                 	40              	2                                           	6                      	1               	1                   	2               	2                   	r1                 	3                	1                        	1                      	1                          	2                                	                     	                                	                     	                                                   	                                       	                                         	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 282; fragments = 19; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Middle Miocene   	                 	D. sp. hemis(Cies)	              	104	 643	A	 13	H	 5	  69.00	    116.4900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	17                   	29                           	12                                                                  	                          	                        	5                      	4                 	72                         	66                                 	38              	4                                           	7                      	                	                    	                	                    	r2                 	8                	                         	                       	                           	1                                	                     	                                	                     	2                                                  	6                                      	4                                        	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	6                  	                       	                                                            	                       	                  	                             	                                     	2                                           	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 285; fragments = 14; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Middle Miocene   	                 	D. sp. hemis(Cies)	              	104	 643	A	 14	H	 2	  70.00	    121.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	21                   	10                           	4                                                                   	                          	                        	3                      	3                 	95                         	116                                	23              	                                            	2                      	                	                    	1               	1                   	                   	3                	                         	                       	                           	3                                	                     	                                	                     	2                                                  	2                                      	                                         	                           	                           	                          	                             	1                      	                            	                    	                               	                    	                    	4                  	                       	                                                            	                       	                  	                             	                                     	1                                           	1              	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 296; fragments = 8; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Middle Miocene   	                 	D. sp. hemis(Cies)	              	104	 643	A	 15	H	 2	  71.00	    131.0100	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	34                   	16                           	3                                                                   	1                         	                        	1                      	1                 	57                         	81                                 	40              	3                                           	21                     	1               	                    	2               	                    	                   	7                	                         	                       	                           	3                                	                     	                                	                     	5                                                  	1                                      	6                                        	                           	                           	                          	                             	1                      	                            	                    	                               	                    	                    	5                  	                       	                                                            	                       	                  	                             	1                                    	2                                           	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 292; fragments = 11; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 16	H	 2	  70.00	    140.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	27                   	30                           	                                                                    	                          	                        	1                      	18                	49                         	89                                 	20              	1                                           	17                     	1               	                    	1               	                    	                   	4                	                         	                       	                           	2                                	                     	                                	                     	5                                                  	3                                      	                                         	                           	                           	                          	1                            	2                      	                            	                    	1                              	                    	10                  	4                  	                       	                                                            	                       	                  	1                            	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 287; fragments = 39; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 17	X	 1	  32.00	    148.1200	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	25                   	20                           	4                                                                   	                          	                        	1                      	7                 	53                         	91                                 	13              	5                                           	28                     	                	                    	                	1                   	r1                 	1                	                         	                       	                           	3                                	                     	                                	                     	8                                                  	6                                      	6                                        	                           	                           	                          	                             	1                      	                            	                    	2                              	r1                  	1                   	                   	                       	                                                            	4                      	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 282; fragments = 16; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 18	X	 1	  65.00	    157.9500	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	17                   	39                           	7                                                                   	                          	                        	2                      	                  	68                         	68                                 	27              	2                                           	17                     	1               	                    	3               	                    	                   	2                	                         	                       	                           	                                 	                     	                                	                     	5                                                  	1                                      	2                                        	                           	                           	                          	                             	                       	                            	                    	                               	                    	1                   	1                  	                       	1                                                           	9                      	1                 	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 274; fragments = 22; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 19	X	 5	  70.00	    173.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	19                   	31                           	1                                                                   	                          	                        	1                      	                  	66                         	45                                 	17              	10                                          	27                     	                	                    	                	                    	                   	15               	                         	                       	                           	7                                	                     	                                	                     	14                                                 	15                                     	12                                       	                           	                           	                          	                             	                       	                            	                    	4                              	                    	                    	2                  	1                      	1                                                           	2                      	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 290; fragments = 10 from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 20	X	 5	  70.00	    183.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	37                   	5                            	1                                                                   	                          	                        	                       	                  	80                         	91                                 	21              	14                                          	8                      	                	1                   	                	                    	                   	4                	                         	                       	                           	8                                	                     	                                	                     	8                                                  	4                                      	4                                        	                           	                           	                          	                             	                       	1                           	                    	2                              	                    	                    	1                  	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 290; fragments = 11; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 22	X	 5	  69.00	    201.9900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	40                   	11                           	2                                                                   	                          	                        	                       	2                 	66                         	73                                 	17              	12                                          	17                     	                	                    	                	                    	r1                 	8                	                         	                       	                           	6                                	                     	                                	                     	9                                                  	17                                     	3                                        	                           	                           	                          	                             	                       	                            	                    	1                              	                    	2                   	1                  	1                      	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 289; fragments = 12; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 23	X	 5	  70.00	    211.8000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	35                   	55                           	                                                                    	                          	                        	                       	                  	71                         	47                                 	15              	6                                           	14                     	                	                    	                	                    	                   	2                	                         	                       	                           	4                                	                     	                                	                     	23                                                 	3                                      	9                                        	                           	                           	                          	                             	                       	1                           	1                   	1                              	r1                  	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 288; fragments = 12; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 25	X	 5	  70.00	    231.4000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	39                   	39                           	3                                                                   	                          	                        	                       	                  	55                         	57                                 	13              	8                                           	6                      	                	                    	                	                    	                   	                 	                         	                       	                           	3                                	                     	                                	                     	52                                                 	10                                     	6                                        	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 291; fragments = 9; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 26	X	 5	  70.00	    241.2000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	23                   	25                           	3                                                                   	                          	                        	                       	                  	54                         	48                                 	26              	10                                          	42                     	                	                    	                	                    	                   	3                	                         	                       	                           	7                                	                     	                                	                     	27                                                 	12                                     	9                                        	                           	                           	                          	                             	                       	1                           	1                   	1                              	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 292; fragments = 8; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	D. sp. hemis(Cies)	              	104	 643	A	 27	X	 6	  70.00	    252.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	25                   	29                           	3                                                                   	                          	                        	                       	                  	55                         	60                                 	29              	11                                          	25                     	1               	                    	                	                    	                   	1                	                         	                       	                           	3                                	                     	                                	                     	35                                                 	4                                      	5                                        	1                          	                           	                          	                             	1                      	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 288; fragments = 12; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	N. quadrata (Cies.)	              	104	 643	A	 28	X	 6	  70.00	    262.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	19                   	66                           	                                                                    	                          	                        	                       	                  	36                         	42                                 	                	21                                          	14                     	                	                    	10              	                    	                   	                 	                         	                       	                           	                                 	17                   	2                               	2                    	25                                                 	7                                      	6                                        	1                          	1                          	1                         	1                            	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 271; fragments = 10; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

  SR	Early Miocene    	                 	N. quadrata (Cies.)	              	104	 643	A	 29	X	 5	  70.00	    270.6000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	38                   	26                           	7                                                                   	1                         	1                       	2                      	1                 	82                         	61                                 	40              	2                                           	6                      	1               	1                   	2               	2                   	r1                 	3                	1                        	1                      	1                          	2                                	                     	                                	                     	                                                   	                                       	                                         	                           	                           	                          	                             	                       	                            	                    	                               	                    	                    	                   	                       	                                                            	                       	                  	                             	                                     	                                            	               	                    	                           	                       	                   	               	                        	                                	                                            	                              	                        	Total whole specimens = 282; fragments = 19; from ODP Leg 104 SR Chapter 28 Table 2 p 508-511

