Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Orbulina universa,Globorotalia conomiozea,Globigerinoides sacculifer,Globigerina apertura,Globorotalia crassaformis,Globigerinoides obliquus,Globigerinoides bollii,Globorotalia hirsuta,Globorotalia crassaformis cf. viola,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticulata,Globorotalia aequilaterus,Globorotalia margaritae,Globigerinella obesa,Neogloboquadrina pachyderma,Globorotalia crassaformis viola,Globigerina woodi,Globorotalia inflata,Globorotalia cf. Gr. tosaensis,Globigerinoides extremus,Globigerina eamesi,Globigerinoides ruber,Neogloboquadrina dutertrei,Globigerina quinqueloba,Globorotalia scitula,Globigerinella siphonifera,Globorotalia tosaensis,Globorotalia truncatulinoides,Globigerina umbilicata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  5,H,CC,  32.00,     41.6800,Christensen,Planktonic Foraminifers                      ,T              ,VG                ,D                    ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,A                          ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,"onlu saw a few specimens, mostly G. bulloides (~ 5 specimens) and a few N. pachy (R) in 150-250"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  6,H,CC,  14.00,     51.0300,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A                    ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,A                   ,                              ,                        ,                  ,                     ,+                         ,                       ,                    ,                          ,                      ,                             ,                      ,some etching- may have lost some of the fragile species like Orbulina more inflata than bulloides common sponge spicules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  7,H,CC,  47.00,     60.6500,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,A                    ,+                ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,A                   ,                              ,                        ,                  ,+                    ,+                         ,                       ,+                   ,                          ,                      ,+                            ,                      ,inflata> bulloides and co-dominant pachy (R) and dut are codominatnt in 150-250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  8,H,CC,  14.00,     70.0200,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,+                    ,+                ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,+                   ,                              ,                        ,                  ,+                    ,+                         ,                       ,                    ,                          ,                      ,+                            ,                      ,common frgments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A,  9,H,CC,  15.00,     79.5500,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A                    ,+                ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,D                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,+                            ,                      ,bulloides have smaller aperture than in younger samples; bulloides are etched
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 10,H,CC,  16.00,     89.0300,Christensen,Planktonic Foraminifers                      ,C              ,M                 ,A                    ,+                ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,+                                      ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,+                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,+                            ,                      ,etching and fragments silica rich bolivina flood
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 11,H,CC,  15.00,     98.6900,Christensen,Planktonic Foraminifers                      ,F              ,VG                ,+                    ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,D                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,dissolution; very rare bugs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 12,H,CC,  22.00,    108.3500,Christensen,Planktonic Foraminifers                      ,T              ,M                 ,                     ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,D                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,+                     ,                             ,                      ,~barren in 150- 250 toasensis in >250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 13,H,CC,  32.00,    117.7200,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,                     ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,+                   ,                                   ,+                                      ,                         ,                         ,                       ,                    ,+                          ,+                              ,                 ,D                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,+                     ,+                            ,                      ,bolivina flood
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 14,H,CC,  14.00,    127.0400,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,+                   ,                                   ,+                                      ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,A                   ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,dominated by inflata; fragments  rare pachy (l)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 15,H,CC,  18.00,    136.6300,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,A                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,+                                      ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,A                   ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,+                         ,+                     ,+                            ,                      ,common pachy (L and R) in 150-250 dominated by inflata and bulloides Abundant diatoms. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 16,H,CC,  28.00,    143.1200,Christensen,Planktonic Foraminifers                      ,R              ,P                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,D                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,like 12H-CC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 17,H,CC,  15.00,    149.8300,Christensen,Planktonic Foraminifers                      ,C              ,M                 ,A                    ,+                ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,+                                      ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,D                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,+                         ,+                     ,+                            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 19,X,CC,  18.00,    158.4600,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,                     ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,+                                      ,                         ,                         ,                       ,                    ,D                          ,                               ,                 ,+                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,some fragments of G. inflata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 20,X,CC,  24.00,    167.8300,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,+                                      ,+                        ,                         ,                       ,                    ,+                          ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,+                   ,+                         ,+                     ,                             ,                      ,more pachy (R) than pachy (L)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 21,X,CC,  10.00,    180.3300,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,+                    ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,+                                      ,+                        ,                         ,                       ,                    ,                           ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 23,X,CC,  15.00,    195.4600,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,+                    ,                 ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,+                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 24,X,CC,  19.00,    206.9800,Christensen,Planktonic Foraminifers                      ,R              ,M                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,+                        ,                         ,                       ,                    ,+                          ,                               ,                 ,+                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,pachy (R) in 150 - 250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 25,X,CC,   0.00,    219.6500,Christensen,Planktonic Foraminifers                      ,               ,                  ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,+                                  ,                                       ,+                        ,                         ,                       ,                    ,+                          ,                               ,                 ,+                   ,                              ,                        ,                  ,R                    ,                          ,                       ,                    ,+                         ,                      ,                             ,                      ,pachy R common in 150 - 250 and G. ruber is presnet in same interval
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 26,X,CC,  23.00,    222.6100,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,A                    ,+                ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,+                        ,                         ,                       ,                    ,                           ,                               ,                 ,A                   ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,trace bugs in 150 - 250 also
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 27,X,CC,  36.00,    235.7900,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,+                    ,                 ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,+                                  ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,+                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,pyritized diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 28,X,CC,   9.00,    248.6200,Christensen,Planktonic Foraminifers                      ,R              ,M                 ,A                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,+                              ,                 ,A                   ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 30,X,CC,  22.00,    265.8900,Christensen,Planktonic Foraminifers                      ,A              ,G                 ,D                    ,                 ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,+                        ,                         ,                       ,                    ,+                          ,                               ,                 ,A                   ,                              ,                        ,                  ,                     ,+                         ,                       ,                    ,                          ,                      ,                             ,                      ,Carina gets antarctic fauna in this interval; may indicate reduced upwelling and lower o. matter since the dissolution has decreased . Theory agrees with benthics- low % peregrina and bolivina Lots of fragments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 31,X,CC,  25.00,    271.7400,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,                     ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,pachy (r) present in  150 - 250; ~ barren in >250 interval
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 32,X,CC,  23.00,    283.1800,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,                     ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,+                          ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 38,X,CC,  28.00,    344.7900,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,+                                      ,                         ,                         ,                       ,                    ,+                          ,+                              ,                 ,+                   ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,benthics are more pelagic pyritized diatoms some pachy (l) in 150 - 250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 40,X,CC,  24.00,    364.3100,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,+                        ,                         ,                       ,                    ,                           ,                               ,                 ,+                   ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 41,X,CC,  35.00,    373.9500,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,D                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,+                                  ,                                       ,+                        ,                         ,                       ,                    ,                           ,                               ,                 ,A                   ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 44,X,CC,  38.00,    403.1900,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,+                                  ,+                                      ,+                        ,                         ,                       ,                    ,+                          ,                               ,                 ,+                   ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,frags are common and pachy (L) is common in 150-250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 46,X,CC,  28.00,    422.1200,Christensen,Planktonic Foraminifers                      ,F              ,VG                ,+                    ,                 ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,+                              ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,+                   ,                          ,                      ,                             ,                      ,diatom mat improves preservation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 48,X,CC,  22.00,    439.4900,Christensen,Planktonic Foraminifers                      ,               ,                  ,+                    ,                 ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,                                       ,+                        ,                         ,                       ,                    ,+                          ,                               ,                 ,                    ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,no nflata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,              ,175,1084,A, 50,X,CC,  54.00,    460.6400,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,+                    ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,+                              ,                 ,                    ,                              ,                        ,                  ,+                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 51,X,CC,  13.00,    469.8800,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,+                    ,+                ,                       ,+                         ,                    ,+                        ,                        ,                      ,                    ,+                                  ,                                       ,+                        ,                         ,                       ,                    ,+                          ,                               ,                 ,+                   ,                              ,                        ,                  ,                     ,+                         ,+                      ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 52,X,CC,  53.00,    477.8300,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,+                    ,+                ,                       ,                          ,                    ,+                        ,                        ,                      ,                    ,                                   ,+                                      ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,                    ,                              ,+                       ,                  ,A                    ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,some pyritization
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 53,X,CC,  23.00,    485.7300,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,                     ,+                ,                       ,+                         ,                    ,                         ,+                       ,                      ,+                   ,                                   ,+                                      ,+                        ,                         ,                       ,                    ,                           ,                               ,                 ,+                   ,+                             ,+                       ,+                 ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,              ,175,1084,A, 54,X,CC,  18.00,    496.6800,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,+                    ,+                ,                       ,+                         ,                    ,                         ,+                       ,                      ,                    ,+                                  ,+                                      ,+                        ,                         ,                       ,                    ,+                          ,+                              ,+                ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 55,X,CC,  15.00,    503.5400,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,A                    ,+                ,                       ,+                         ,                    ,A                        ,+                       ,                      ,+                   ,+                                  ,                                       ,                         ,                         ,+                      ,+                   ,                           ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 56,X,CC,  20.00,    513.7800,Christensen,Planktonic Foraminifers                      ,F              ,G                 ,A                    ,                 ,                       ,                          ,                    ,A                        ,                        ,+                     ,                    ,                                   ,+                                      ,+                        ,+                        ,                       ,                    ,                           ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 57,X,CC,  30.00,    527.1400,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,+                    ,                 ,                       ,+                         ,                    ,A                        ,+                       ,+                     ,+                   ,+                                  ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 58,X,CC,  30.00,    534.9200,Christensen,Planktonic Foraminifers                      ,R              ,M                 ,                     ,+                ,                       ,                          ,                    ,+                        ,+                       ,+                     ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 59,X,CC,  36.00,    544.0800,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,                     ,A                ,+                      ,+                         ,+                   ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,some forams are dark- some pyritization
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1084,A, 64,X,CC,  26.00,    594.5600,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,4                    ,                 ,                       ,                          ,                    ,                         ,                        ,                      ,                    ,                                   ,                                       ,                         ,                         ,                       ,                    ,                           ,                               ,                 ,                    ,                              ,                        ,                  ,                     ,                          ,                       ,                    ,                          ,                      ,                             ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
