Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia salisburyi,Pullenia quinqueloba,Parafissurina curta,Martinottiella communis,Globocassidulina subglobosa,Globobulimina auriculata,Fissurina sp. B,Anomalina glabrata,Agglutinated spp. (indeterminate),Martinottiella sp.,Gyroidina spp.,Fontbotia wuellerstorfi,Calcareous sp. indeterminate,Globobulimina spp.,Globocassidulina globosa,Cyclammina sp. C ,Cyclammina cancellata,Bathysiphon spp.,Ammodiscus macilentus,Miliammina echigoensis,Islandiella cf. I. californica,Eggerella bradyi,Melonis pompilioides,Fissurina cf. F. exculpta,Stainforthia complanata,Rosalina spp.,Bulimina striata mexicana,Bulimina pagoda,Rectoglandulina torrida,Pyrgo sp.,Pseudonodosaria sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  5,H,CC,  25.00,     45.0900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,1                          ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,1                        ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A,  8,H,CC,   0.00,     73.3000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,15                    ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 10,H,CC,  25.00,     92.5500,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,2                     ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 12,H,CC,  28.00,    111.6100,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,7                      ,                           ,                        ,               ,                  ,2                                ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 13,H,CC,  26.00,    121.2200,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,2                   ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 14,H,CC,  30.00,    130.5400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,3                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 15,H,CC,  27.00,    140.2000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,1                      ,1                          ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,1                     ,1                             ,3               ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 16,X, 7,  39.00,    149.1900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,R                           ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 17,X,CC,  16.00,    159.1700,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,A, 19,X, 4,   4.00,    173.0400,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,28.0%                  ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,8.0%                    ,12.0%            ,4.0%                 ,+               ,4.0%                 ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,Miscellaneous taxa = 44%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 20,X,CC,  33.00,    187.9400,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 21,X,CC,  16.00,    194.9300,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,R                           ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 22,X,CC,   9.00,    207.0200,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,R             ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 23,X,CC,  25.00,    216.8800,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 24,X,CC,   0.00,    216.9000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 25,X,CC,  16.00,    234.0300,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,R                 ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 26,X, 6, 148.00,    245.1800,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 27,X,CC,  19.00,    255.6100,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,R                      ,                           ,                        ,               ,                  ,                                 ,                  ,              ,                       ,                            ,R                 ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 30,X,CC,  16.00,    282.3600,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                   ,                    ,                   ,                       ,                           ,                        ,               ,                  ,                                 ,R                 ,R             ,R                      ,R                           ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,A, 31,X,CC,  37.00,    293.9200,Brunner  ,Benthic Foraminifers                         ,               ,                  ,1                  ,2                   ,1                  ,1                      ,1                          ,4                       ,1              ,1                 ,2                                ,                  ,              ,                       ,                            ,                  ,                        ,                 ,                     ,                ,                     ,                      ,                              ,                ,                    ,                         ,                       ,             ,                         ,               ,                       ,         ,                   ,from ODP Legs 127&128 SR Chapter 12 Table 2 p 190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
