Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera sellii,Discoaster surculus,Calcidiscus macintyrei (>11 um),Calcidiscus leptoporus,Coccolithus pelagicus,Ceratolithus spp.,Discoaster pentaradiatus,Discoaster brouweri,Discoaster tamalis,Discoaster asymmetricus,Helicosphaera carteri,Gephyrocapsa (small),Gephyrocapsa sp. 3,Comment
  IR,                 ,                 ,CN12              ,CN13a         ,167,1022,A,  2,H,CC,  24.00,     14.5300,Fornaciari,Nannofossils                                 ,F              ,P                 ,+                       ,                    ,                   ,R                              ,R                     ,F                    ,                 ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1022,A,  3,H,CC,  23.00,     24.0000,Fornaciari,Nannofossils                                 ,C              ,P/M               ,C                       ,                    ,R                  ,                               ,R                     ,                     ,                 ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1022,A,  4,H,CC,  20.00,     33.3900,Fornaciari,Nannofossils                                 ,R              ,P                 ,+                       ,                    ,R                  ,                               ,                      ,                     ,                 ,R                       ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1022,A,  5,H,CC,  19.00,     42.9100,Fornaciari,Nannofossils                                 ,A              ,G                 ,+                       ,                    ,+                  ,                               ,                      ,                     ,                 ,R                       ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1022,A,  6,H,CC,  33.00,     52.3100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,                   ,                               ,                      ,F                    ,                 ,R                       ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12              ,              ,167,1022,A,  7,H,CC,  13.00,     61.8000,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,F                  ,+                              ,C                     ,                     ,                 ,F                       ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A,  8,H,CC,  35.00,     71.6900,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,F                  ,                               ,R                     ,F                    ,                 ,R                       ,                   ,R                 ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A,  9,H,CC,  19.00,     80.9900,Fornaciari,Nannofossils                                 ,A              ,G                 ,R/F                     ,                    ,F                  ,C                              ,C                     ,F                    ,                 ,F                       ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 10,H,CC,  20.00,     90.5200,Fornaciari,Nannofossils                                 ,A              ,G                 ,F                       ,                    ,R                  ,C                              ,                      ,F                    ,                 ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 11,H,CC,  10.00,     99.7400,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,                    ,R                  ,R/F                            ,C                     ,F                    ,                 ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 12,H,CC,   0.00,    109.3700,Fornaciari,Nannofossils                                 ,A              ,G                 ,+                       ,                    ,R                  ,+                              ,C                     ,F                    ,                 ,R                       ,                   ,R                 ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 13,H,CC,  24.00,    119.1500,Fornaciari,Nannofossils                                 ,A              ,G                 ,R                       ,R                   ,R                  ,+                              ,C                     ,C                    ,                 ,                        ,                   ,                  ,R                      ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 14,H,CC,  21.00,    128.6300,Fornaciari,Nannofossils                                 ,A              ,G                 ,+                       ,+                   ,R/F                ,F                              ,F                     ,                     ,R                ,                        ,                   ,R/F               ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 15,H,CC,  18.00,    137.9600,Fornaciari,Nannofossils                                 ,A              ,M/G               ,+                       ,                    ,R                  ,F/C                            ,C                     ,                     ,                 ,                        ,R                  ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 16,H,CC,  24.00,    147.5000,Fornaciari,Nannofossils                                 ,C/A            ,P/M               ,R                       ,                    ,                   ,C                              ,+                     ,R                    ,                 ,R                       ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 17,H,CC,  19.00,    157.1000,Fornaciari,Nannofossils                                 ,F/C            ,P/M               ,                        ,                    ,+                  ,R                              ,F                     ,F                    ,R                ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1022,A, 18,H,CC,  28.00,    163.2600,Fornaciari,Nannofossils                                 ,C              ,G                 ,+                       ,R                   ,F                  ,R                              ,R                     ,                     ,                 ,                        ,                   ,                  ,                       ,                     ,                    ,                  ,from IR. Ch 16. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
