Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xitus spicularius	Thanarla pulchra	Syringocapsa limatum	Syringocapsa agolarium	Sethocapsa uterculus	Pseudodictyomitra nuda	Pseudodictyomitra carpatica	Podobursa triacantha	Parvicingula cosmoconica	Parvicingula boesii	Foremanella diamphidia	Dictyomitrella(?) puga	Archaeodictyomitra pseudoscalaris	Archaeodictyomitra excellens	Archaeodictyomitra brouweri var. alpha	Archaeodictyomitra apiarium	Alievium helenae	Acanthocircus trizonalis	Acanthocircus dicranacanthos	Acaeniotyle umbilicata	Acaeniotyle diaphorogona	Hemicryptocapsa capita	Sethocapsa cetia	Mirifusus mediodilatatus	Podobursa tricola	Eucyrtis hanni	Dictyomitrella(?) columna	Cecrops septemporatus	Mirifusus chenodes	Stichocapsa cribata	Thanarla elegantissima	Pseudodictyomitra lilyae	Crolanium pythiae	Eucyrtis tenuis	Dibolachras tytthopora	Acanthocircus carinatus	Archaeodictyomitra lacrimula	Comment
  SR	Valanginian      	Hauterivian      	C. septemporatus  	              	129	 800	A	 52	R	CC	  11.00	    462.3000	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	                	                    	                      	+                   	+                     	                           	                    	                        	+                  	                      	                      	                                 	+                           	+                                     	                           	+               	                        	+                           	                      	+                       	+                     	                	                        	                 	              	                         	+                    	                  	                   	                      	+                       	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	                 	C. septemporatus  	              	129	 800	A	 53	R	 1	  53.00	    465.4300	Matsuoka 	Radiolarians                                 	A              	M                 	+                	+               	+                   	+                     	+                   	+                     	                           	+                   	                        	                   	                      	+                     	                                 	+                           	+                                     	                           	+               	+                       	+                           	                      	                        	                      	                	                        	                 	+             	                         	+                    	                  	                   	                      	+                       	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	                 	C. septemporatus  	              	129	 800	A	 53	R	 2	  17.00	    466.5700	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	+                   	+                     	                    	                      	                           	                    	                        	+                  	                      	+                     	+                                	+                           	+                                     	                           	+               	+                       	                            	+                     	                        	+                     	                	                        	                 	+             	                         	+                    	+                 	                   	                      	+                       	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	                 	C. septemporatus  	              	129	 800	A	 53	R	 2	  75.00	    467.1500	Matsuoka 	Radiolarians                                 	A              	M                 	+                	+               	+                   	+                     	+                   	+                     	+                          	                    	                        	+                  	+                     	+                     	+                                	+                           	+                                     	                           	+               	+                       	+                           	+                     	+                       	+                     	                	+                       	+                	+             	+                        	+                    	+                 	+                  	+                     	+                       	+                	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	                 	C. septemporatus  	              	129	 800	A	 54	R	 1	  54.00	    471.5400	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	+                   	                      	+                   	                      	+                          	                    	                        	+                  	                      	+                     	+                                	+                           	+                                     	                           	+               	+                       	+                           	                      	+                       	+                     	                	+                       	                 	              	                         	+                    	                  	+                  	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	                 	C. septemporatus  	              	129	 800	A	 54	R	 1	 140.00	    472.4000	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	+                   	                      	+                   	+                     	+                          	+                   	                        	                   	+                     	+                     	+                                	+                           	+                                     	                           	+               	+                       	+                           	+                     	+                       	+                     	+               	+                       	+                	              	+                        	+                    	+                 	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Valanginian      	                 	C. septemporatus  	              	129	 800	A	 54	R	 2	  50.00	    473.0000	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	+                   	                      	+                   	+                     	+                          	                    	                        	                   	+                     	+                     	+                                	+                           	+                                     	+                          	+               	+                       	+                           	+                     	+                       	+                     	                	+                       	+                	+             	+                        	+                    	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Tithonian        	                 	P. carpatica      	              	129	 800	A	 54	R	 2	  98.00	    473.4800	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	+                   	                      	                    	+                     	+                          	+                   	                        	+                  	                      	+                     	+                                	                            	+                                     	                           	+               	+                       	+                           	                      	+                       	+                     	                	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Tithonian        	Valanginian      	P. carpatica      	              	129	 800	A	 54	R	CC	   0.00	    473.8200	Matsuoka 	Radiolarians                                 	A              	M                 	+                	+               	+                   	                      	+                   	+                     	+                          	+                   	+                       	+                  	+                     	+                     	+                                	+                           	+                                     	                           	+               	+                       	+                           	                      	+                       	+                     	                	+                       	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Tithonian        	Valanginian      	P. carpatica      	              	129	 800	A	 55	R	 1	  70.00	    479.8000	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	                    	                      	+                   	                      	+                          	+                   	                        	+                  	                      	                      	+                                	+                           	+                                     	+                          	+               	                        	+                           	                      	                        	+                     	                	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Tithonian        	Valanginian      	P. carpatica      	              	129	 800	A	 55	R	 1	 137.00	    480.4700	Matsuoka 	Radiolarians                                 	A              	M                 	+                	+               	                    	                      	                    	                      	+                          	+                   	                        	+                  	                      	+                     	+                                	+                           	+                                     	                           	+               	+                       	+                           	+                     	+                       	+                     	                	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Tithonian        	Valanginian      	P. carpatica      	              	129	 800	A	 55	R	 2	  44.00	    481.0400	Matsuoka 	Radiolarians                                 	A              	P-M               	+                	+               	+                   	                      	+                   	                      	+                          	+                   	                        	+                  	                      	                      	+                                	+                           	+                                     	+                          	+               	+                       	+                           	                      	                        	+                     	+               	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Tithonian        	Valanginian      	P. carpatica      	              	129	 800	A	 55	R	 2	 133.00	    481.9300	Matsuoka 	Radiolarians                                 	A              	M                 	+                	+               	                    	+                     	                    	                      	+                          	                    	                        	+                  	                      	                      	+                                	+                           	+                                     	+                          	                	+                       	+                           	                      	                        	+                     	                	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

  SR	Tithonian        	Valanginian      	P. carpatica      	              	129	 800	A	 55	R	 2	 147.00	    482.0700	Matsuoka 	Radiolarians                                 	A              	M                 	+                	+               	+                   	+                     	+                   	+                     	+                          	+                   	+                       	+                  	+                     	+                     	+                                	+                           	+                                     	+                          	+               	+                       	+                           	+                     	+                       	                      	                	                        	                 	              	                         	                     	                  	                   	                      	                        	                 	               	                      	                       	                            	from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 1 p 206

